,QUARTER,TIME_REMAINING,HOUSTON_ACTION,LA LAKERS_ACTION,HOUSTON_SCORE,LA LAKERS_SCORE
0,1,11:42.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Harden),,3,0
1,1,11:21.0,,R. Hibbert makes 2-pt hook shot from 4 ft (assist by K. Bryant),3,2
2,1,11:07.0,J. Harden makes 2-pt layup from 1 ft,,5,2
3,1,10:54.0,,Turnover by J. Randle (bad pass; steal by T. Ariza),5,2
4,1,10:44.0,J. Harden misses 2-pt jump shot from 13 ft,,5,2
5,1,10:41.0,,Defensive rebound by J. Randle,5,2
6,1,10:32.0,,J. Clarkson misses 2-pt layup at rim,5,2
7,1,10:32.0,Defensive rebound by C. Capela,,5,2
8,1,10:18.0,D. Howard makes 2-pt layup from 2 ft (assist by J. Terry),,7,2
9,1,10:06.0,,Shooting foul by C. Capela (drawn by R. Hibbert),7,2
10,1,10:06.0,,R. Hibbert makes free throw 1 of 2,7,3
11,1,10:06.0,,R. Hibbert makes free throw 2 of 2,7,4
12,1,9:45.0,J. Harden makes 2-pt jump shot from 14 ft,,9,4
13,1,9:29.0,,J. Clarkson makes 2-pt jump shot from 8 ft,9,6
14,1,9:18.0,C. Capela misses 2-pt layup from 3 ft (block by R. Hibbert),,9,6
15,1,9:15.0,Offensive rebound by C. Capela,,9,6
16,1,9:06.0,J. Terry misses 3-pt jump shot from 24 ft,,9,6
17,1,9:05.0,,Defensive rebound by J. Clarkson,9,6
18,1,8:57.0,,Shooting foul by J. Terry (drawn by L. Williams),9,6
19,1,8:57.0,,L. Williams makes free throw 1 of 2,9,7
20,1,8:57.0,,L. Williams makes free throw 2 of 2,9,8
21,1,8:42.0,D. Howard makes 2-pt layup from 1 ft (assist by J. Harden),,11,8
22,1,8:42.0,Shooting foul by R. Hibbert (drawn by D. Howard),,11,8
23,1,8:42.0,D. Howard makes free throw 1 of 1,,12,8
24,1,8:31.0,,L. Williams makes 3-pt jump shot from 27 ft (assist by J. Clarkson),12,11
25,1,8:13.0,J. Harden misses 3-pt jump shot from 27 ft,,12,11
26,1,8:12.0,Offensive rebound by C. Capela,,12,11
27,1,8:12.0,C. Capela makes 2-pt dunk at rim,,14,11
28,1,7:54.0,,J. Randle misses 2-pt jump shot from 9 ft,14,11
