,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MILWAUKEE_ACTION,CHARLOTTE_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,,K. Middleton makes 2-pt jump shot from 19 ft (assist by J. Parker),0,2
1,1,11:30.0,Personal foul by G. Antetokounmpo,,0,2
2,1,11:24.0,Shooting foul by G. Monroe (drawn by M. Williams),,0,2
3,1,11:24.0,M. Williams makes free throw 1 of 2,,1,2
4,1,11:24.0,M. Williams misses free throw 2 of 2,,1,2
5,1,11:23.0,,Defensive rebound by G. Antetokounmpo,1,2
6,1,11:03.0,,J. Parker misses 2-pt jump shot from 14 ft,1,2
7,1,11:00.0,Defensive rebound by C. Zeller,,1,2
8,1,10:43.0,N. Batum makes 3-pt jump shot from 24 ft (assist by C. Lee),,4,2
9,1,10:16.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,4,4
10,1,10:03.0,Turnover by K. Walker (lost ball; steal by J. Bayless),,4,4
11,1,9:55.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,4,4
12,1,9:53.0,Defensive rebound by N. Batum,,4,4
13,1,9:41.0,C. Lee makes 3-pt jump shot from 25 ft (assist by N. Batum),,7,4
14,1,9:20.0,,G. Monroe misses 2-pt jump shot from 3 ft (block by C. Zeller),7,4
15,1,9:18.0,Defensive rebound by M. Williams,,7,4
16,1,9:13.0,N. Batum misses 3-pt jump shot from 24 ft,,7,4
17,1,9:11.0,,Defensive rebound by K. Middleton,7,4
18,1,8:57.0,,J. Bayless misses 2-pt jump shot from 17 ft,7,4
19,1,8:56.0,Defensive rebound by C. Lee,,7,4
20,1,8:45.0,K. Walker misses 2-pt jump shot from 14 ft,,7,4
21,1,8:44.0,,Defensive rebound by G. Monroe,7,4
22,1,8:38.0,,K. Middleton makes 2-pt jump shot from 21 ft,7,6
23,1,8:13.0,M. Williams misses 2-pt jump shot from 9 ft,,7,6
24,1,8:09.0,Offensive rebound by N. Batum,,7,6
25,1,8:09.0,N. Batum makes 2-pt layup at rim,,9,6
26,1,7:57.0,,J. Bayless misses 3-pt jump shot from 23 ft,9,6
27,1,7:56.0,Defensive rebound by N. Batum,,9,6
28,1,7:43.0,C. Zeller misses 2-pt layup at rim,,9,6
29,1,7:42.0,,Defensive rebound by J. Bayless,9,6
30,1,7:33.0,,G. Monroe misses 2-pt layup from 2 ft,9,6
31,1,7:31.0,Defensive rebound by M. Williams,,9,6
32,1,7:20.0,M. Williams makes 2-pt jump shot from 12 ft (assist by C. Lee),,11,6
33,1,6:58.0,,G. Antetokounmpo misses 2-pt jump shot from 5 ft,11,6
34,1,6:56.0,Defensive rebound by C. Zeller,,11,6
35,1,6:52.0,N. Batum makes 2-pt layup from 1 ft (assist by K. Walker),,13,6
36,1,6:52.0,,Milwaukee full timeout,13,6
37,1,6:52.0,,R. Vaughn enters the game for G. Antetokounmpo,13,6
38,1,6:33.0,,R. Vaughn misses 2-pt layup from 2 ft (block by M. Williams),13,6
39,1,6:33.0,,Offensive rebound by Team,13,6
40,1,6:28.0,,K. Middleton makes 2-pt jump shot from 16 ft,13,8
41,1,6:13.0,K. Walker makes 2-pt layup at rim,,15,8
42,1,5:55.0,,Turnover by J. Bayless (bad pass; steal by N. Batum),15,8
43,1,5:51.0,,Violation by K. Middleton (kicked ball),15,8
44,1,5:44.0,C. Zeller makes 2-pt jump shot from 11 ft (assist by N. Batum),,17,8
45,1,5:30.0,,G. Monroe misses 2-pt layup from 2 ft (block by C. Zeller),17,8
46,1,5:28.0,Defensive rebound by C. Lee,,17,8
47,1,5:23.0,C. Lee misses 2-pt layup from 1 ft,,17,8
48,1,5:21.0,Offensive rebound by C. Zeller,,17,8
49,1,5:21.0,C. Zeller makes 2-pt layup at rim,,19,8
50,1,5:01.0,,R. Vaughn misses 3-pt jump shot from 24 ft,19,8
51,1,4:58.0,,Offensive rebound by J. Parker,19,8
52,1,4:45.0,,J. Parker makes 2-pt jump shot from 5 ft (assist by K. Middleton),19,10
53,1,4:29.0,M. Williams makes 2-pt jump shot from 16 ft (assist by N. Batum),,21,10
54,1,4:11.0,,K. Middleton makes 3-pt jump shot from 22 ft (assist by G. Monroe),21,13
55,1,3:51.0,Shooting foul by K. Middleton (drawn by N. Batum),,21,13
56,1,3:51.0,N. Batum makes free throw 1 of 3,,22,13
57,1,3:51.0,N. Batum makes free throw 2 of 3,,23,13
58,1,3:51.0,A. Jefferson enters the game for C. Zeller,,23,13
59,1,3:51.0,J. Lin enters the game for C. Lee,,23,13
60,1,3:51.0,,J. Henson enters the game for G. Monroe,23,13
61,1,3:51.0,,M. Plumlee enters the game for J. Parker,23,13
62,1,3:51.0,N. Batum makes free throw 3 of 3,,24,13
63,1,3:29.0,,K. Middleton misses 3-pt jump shot from 25 ft,24,13
64,1,3:27.0,Defensive rebound by N. Batum,,24,13
65,1,3:18.0,J. Lin makes 2-pt layup from 1 ft,,26,13
66,1,3:00.0,,J. Bayless misses 2-pt jump shot from 19 ft,26,13
67,1,2:59.0,Defensive rebound by A. Jefferson,,26,13
68,1,2:38.0,Shooting foul by J. Henson (drawn by A. Jefferson),,26,13
69,1,2:38.0,Charlotte full timeout,,26,13
70,1,2:38.0,F. Kaminsky enters the game for K. Walker,,26,13
71,1,2:38.0,J. Lamb enters the game for M. Williams,,26,13
72,1,2:38.0,,T. Ennis enters the game for J. Bayless,26,13
73,1,2:38.0,A. Jefferson makes free throw 1 of 2,,27,13
