,QUARTER,TIME_REMAINING,DALLAS_ACTION,PORTLAND_ACTION,DALLAS_SCORE,PORTLAND_SCORE
0,1,11:41.0,D. Nowitzki makes 2-pt jump shot from 14 ft,,2,0
1,1,11:25.0,,C. McCollum misses 2-pt jump shot from 5 ft,2,0
2,1,11:24.0,Defensive rebound by W. Matthews,,2,0
3,1,11:15.0,Turnover by D. Nowitzki (bad pass; steal by M. Plumlee),,2,0
4,1,11:05.0,,N. Vonleh misses 2-pt jump shot from 6 ft,2,0
5,1,11:04.0,Defensive rebound by Z. Pachulia,,2,0
6,1,10:42.0,D. Nowitzki misses 2-pt jump shot from 13 ft,,2,0
7,1,10:39.0,,Defensive rebound by Team,2,0
8,1,10:25.0,,D. Lillard makes 2-pt layup from 2 ft,2,2
9,1,10:18.0,Z. Pachulia makes 2-pt layup from 2 ft (assist by D. Williams),,4,2
10,1,10:18.0,Shooting foul by M. Plumlee (drawn by Z. Pachulia),,4,2
11,1,10:18.0,Z. Pachulia misses free throw 1 of 1,,4,2
12,1,10:17.0,,Defensive rebound by N. Vonleh,4,2
13,1,10:13.0,,Turnover by D. Lillard (bad pass),4,2
14,1,10:02.0,W. Matthews makes 2-pt jump shot from 17 ft,,6,2
15,1,9:48.0,,M. Plumlee misses 2-pt layup from 2 ft (block by D. Nowitzki),6,2
16,1,9:48.0,,Offensive rebound by Team,6,2
17,1,9:41.0,,D. Lillard makes 3-pt jump shot from 23 ft,6,5
18,1,9:28.0,Z. Pachulia makes 2-pt layup at rim (assist by D. Nowitzki),,8,5
19,1,9:16.0,,C. McCollum misses 2-pt jump shot from 11 ft,8,5
20,1,9:16.0,Defensive rebound by Team,,8,5
21,1,9:16.0,,Loose ball foul by N. Vonleh (drawn by D. Nowitzki),8,5
22,1,9:05.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,8,5
23,1,9:04.0,,Defensive rebound by C. McCollum,8,5
24,1,8:54.0,,A. Aminu misses 3-pt jump shot from 22 ft,8,5
25,1,8:53.0,Defensive rebound by Z. Pachulia,,8,5
26,1,8:44.0,R. Felton makes 2-pt jump shot from 19 ft,,10,5
27,1,8:25.0,,M. Plumlee misses 2-pt hook shot from 3 ft,10,5
28,1,8:24.0,Defensive rebound by Z. Pachulia,,10,5
29,1,8:16.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by D. Williams),,13,5
30,1,8:16.0,,Portland full timeout,13,5
31,1,8:02.0,,C. McCollum misses 2-pt jump shot from 15 ft,13,5
32,1,8:00.0,Defensive rebound by Z. Pachulia,,13,5
33,1,7:46.0,Shooting foul by D. Lillard (drawn by D. Nowitzki),,13,5
34,1,7:46.0,D. Nowitzki makes free throw 1 of 2,,14,5
35,1,7:46.0,D. Nowitzki makes free throw 2 of 2,,15,5
36,1,7:34.0,,D. Lillard misses 3-pt jump shot from 26 ft,15,5
37,1,7:33.0,Defensive rebound by D. Williams,,15,5
