,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BOSTON_ACTION,SACRAMENTO_SCORE,BOSTON_SCORE
0,1,11:43.0,M. Belinelli makes 2-pt jump shot from 17 ft (assist by D. Cousins),,2,0
1,1,11:28.0,,J. Crowder misses 2-pt jump shot from 7 ft,2,0
2,1,11:27.0,Defensive rebound by D. Cousins,,2,0
3,1,11:23.0,Personal foul by I. Thomas (drawn by R. Rondo),,2,0
4,1,11:18.0,M. Belinelli makes 2-pt jump shot from 21 ft (assist by R. Rondo),,4,0
5,1,11:05.0,,I. Thomas makes 2-pt jump shot from 10 ft,4,2
6,1,11:05.0,,Shooting block foul by W. Cauley-Stein (drawn by I. Thomas),4,2
7,1,11:05.0,,I. Thomas makes free throw 1 of 1,4,3
8,1,10:46.0,Turnover by D. Cousins (bad pass; steal by A. Johnson),,4,3
9,1,10:40.0,,A. Bradley makes 3-pt jump shot from 24 ft (assist by I. Thomas),4,6
10,1,10:34.0,Turnover by D. Cousins (bad pass; steal by J. Sullinger),,4,6
11,1,10:28.0,,I. Thomas misses 3-pt jump shot from 25 ft,4,6
12,1,10:27.0,,Offensive rebound by A. Johnson,4,6
13,1,10:23.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by A. Johnson),4,9
14,1,10:08.0,D. Cousins makes 2-pt jump shot from 3 ft (assist by R. Rondo),,6,9
15,1,9:59.0,,J. Sullinger makes 2-pt jump shot from 18 ft (assist by I. Thomas),6,11
16,1,9:49.0,D. Cousins misses 2-pt jump shot from 16 ft,,6,11
17,1,9:49.0,,Defensive rebound by I. Thomas,6,11
18,1,9:40.0,,A. Bradley makes 2-pt layup from 1 ft (assist by I. Thomas),6,13
19,1,9:23.0,W. Cauley-Stein misses 2-pt hook shot from 4 ft,,6,13
20,1,9:22.0,,Defensive rebound by J. Sullinger,6,13
21,1,9:14.0,,I. Thomas misses 2-pt layup from 2 ft,6,13
22,1,9:13.0,Defensive rebound by D. Cousins,,6,13
23,1,9:01.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by D. Cousins),,8,13
24,1,8:49.0,,Personal foul by M. Belinelli (drawn by J. Crowder),8,13
25,1,8:39.0,,J. Crowder makes 2-pt jump shot from 6 ft (assist by A. Johnson),8,15
26,1,8:29.0,R. Rondo makes 2-pt layup from 2 ft,,10,15
27,1,8:21.0,,A. Bradley misses 3-pt jump shot from 23 ft,10,15
28,1,8:20.0,,Offensive rebound by A. Johnson,10,15
29,1,8:18.0,,Shooting foul by W. Cauley-Stein (drawn by A. Bradley),10,15
30,1,8:18.0,,A. Bradley makes free throw 1 of 2,10,16
31,1,8:18.0,K. Koufos enters the game for W. Cauley-Stein,,10,16
32,1,8:18.0,,A. Bradley misses free throw 2 of 2,10,16
33,1,8:18.0,Defensive rebound by J. Anderson,,10,16
34,1,8:05.0,M. Belinelli makes 3-pt jump shot from 24 ft (assist by R. Rondo),,13,16
35,1,7:51.0,,J. Crowder misses 2-pt jump shot from 18 ft,13,16
36,1,7:50.0,Defensive rebound by K. Koufos,,13,16
37,1,7:39.0,Turnover by J. Anderson (traveling),,13,16
38,1,7:30.0,,J. Sullinger makes 2-pt jump shot from 21 ft (assist by A. Johnson),13,18
39,1,7:20.0,D. Cousins misses 2-pt hook shot from 2 ft,,13,18
40,1,7:19.0,,Defensive rebound by A. Johnson,13,18
41,1,7:13.0,,I. Thomas misses 2-pt layup from 1 ft (block by J. Anderson),13,18
42,1,7:12.0,,Offensive rebound by A. Johnson,13,18
43,1,7:10.0,,J. Sullinger makes 3-pt jump shot from 24 ft (assist by A. Johnson),13,21
44,1,7:01.0,D. Cousins misses 2-pt layup from 1 ft,,13,21
45,1,7:01.0,,Defensive rebound by A. Johnson,13,21
46,1,6:53.0,,A. Bradley makes 3-pt jump shot from 24 ft (assist by I. Thomas),13,24
47,1,6:52.0,Sacramento full timeout,,13,24
48,1,6:38.0,D. Cousins misses 2-pt layup from 1 ft,,13,24
49,1,6:38.0,,Defensive rebound by J. Sullinger,13,24
50,1,6:31.0,Technical foul by D. Cousins,,13,24
51,1,6:31.0,,I. Thomas misses technical free throw,13,24
52,1,6:31.0,,Offensive rebound by Team,13,24
53,1,6:22.0,,Turnover by A. Johnson (bad pass; steal by R. Rondo),13,24
54,1,6:15.0,M. Belinelli misses 3-pt jump shot from 24 ft,,13,24
55,1,6:14.0,,Defensive rebound by A. Johnson,13,24
56,1,6:04.0,,J. Sullinger makes 2-pt hook shot from 2 ft (assist by I. Thomas),13,26
57,1,5:58.0,Shooting foul by J. Sullinger (drawn by D. Cousins),,13,26
58,1,5:58.0,D. Cousins makes free throw 1 of 2,,14,26
59,1,5:58.0,O. Casspi enters the game for J. Anderson,,14,26
