,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW YORK_ACTION,PHOENIX_SCORE,NEW YORK_SCORE
0,1,11:45.0,Turnover by P. Tucker (bad pass; steal by K. Porziņģis),,0,0
1,1,11:26.0,,C. Anthony misses 2-pt jump shot from 15 ft,0,0
2,1,11:24.0,Defensive rebound by P. Tucker,,0,0
3,1,11:10.0,D. Booker misses 3-pt jump shot from 24 ft,,0,0
4,1,11:08.0,Offensive rebound by P. Tucker,,0,0
5,1,10:59.0,P. Tucker misses 2-pt jump shot from 22 ft,,0,0
6,1,10:56.0,,Defensive rebound by L. Galloway,0,0
7,1,10:47.0,,Shooting foul by A. Len (drawn by R. Lopez),0,0
8,1,10:47.0,,R. Lopez misses free throw 1 of 2,0,0
9,1,10:47.0,,Offensive rebound by Team,0,0
10,1,10:47.0,,R. Lopez makes free throw 2 of 2,0,1
11,1,10:25.0,A. Len makes 2-pt layup from 1 ft,,2,1
12,1,10:25.0,Shooting foul by K. Porziņģis (drawn by A. Len),,2,1
13,1,10:25.0,A. Len misses free throw 1 of 1,,2,1
14,1,10:20.0,,Defensive rebound by R. Lopez,2,1
15,1,10:09.0,,L. Galloway misses 3-pt jump shot from 23 ft,2,1
16,1,10:07.0,Defensive rebound by T. Chandler,,2,1
17,1,10:00.0,A. Len misses 2-pt jump shot from 8 ft,,2,1
18,1,9:59.0,Offensive rebound by T. Chandler,,2,1
19,1,9:54.0,A. Goodwin misses 3-pt jump shot from 24 ft,,2,1
20,1,9:54.0,,Defensive rebound by K. Porziņģis,2,1
21,1,9:44.0,,L. Galloway makes 2-pt layup from 1 ft,2,3
22,1,9:30.0,Turnover by D. Booker (bad pass; steal by L. Galloway),,2,3
23,1,9:27.0,,Shooting foul by D. Booker (drawn by L. Galloway),2,3
24,1,9:27.0,,L. Galloway misses free throw 1 of 2,2,3
25,1,9:27.0,,Offensive rebound by Team,2,3
26,1,9:27.0,,L. Galloway makes free throw 2 of 2,2,4
27,1,9:17.0,A. Goodwin misses 2-pt layup from 2 ft,,2,4
28,1,9:15.0,Offensive rebound by A. Goodwin,,2,4
29,1,9:08.0,Turnover by A. Goodwin (bad pass; steal by A. Afflalo),,2,4
30,1,9:04.0,,A. Afflalo misses 2-pt layup from 2 ft (block by P. Tucker),2,4
31,1,9:03.0,,Offensive rebound by Team,2,4
32,1,9:01.0,,Shooting foul by D. Booker (drawn by A. Afflalo),2,4
33,1,9:01.0,,A. Afflalo makes free throw 1 of 2,2,5
34,1,9:01.0,S. Weems enters the game for D. Booker,,2,5
35,1,9:01.0,,A. Afflalo makes free throw 2 of 2,2,6
36,1,8:47.0,A. Goodwin misses 2-pt layup from 2 ft (block by R. Lopez),,2,6
37,1,8:43.0,Offensive rebound by A. Goodwin,,2,6
38,1,8:42.0,Turnover by A. Goodwin (bad pass; steal by L. Galloway),,2,6
39,1,8:38.0,,A. Afflalo makes 2-pt layup from 2 ft (assist by L. Galloway),2,8
40,1,8:26.0,Turnover by A. Goodwin (bad pass; steal by K. Porziņģis),,2,8
41,1,8:21.0,,R. Lopez makes 2-pt layup from 2 ft (assist by C. Anthony),2,10
42,1,8:20.0,Phoenix full timeout,,2,10
43,1,8:10.0,P. Tucker makes 2-pt jump shot from 18 ft,,4,10
44,1,7:57.0,,Turnover by C. Anthony (traveling),4,10
45,1,7:44.0,Turnover by A. Len (lost ball; steal by C. Anthony),,4,10
46,1,7:37.0,,A. Afflalo makes 3-pt jump shot from 24 ft (assist by C. Anthony),4,13
47,1,7:12.0,Turnover by A. Len (lost ball),,4,13
48,1,6:57.0,,L. Galloway misses 3-pt jump shot from 25 ft,4,13
49,1,6:55.0,Defensive rebound by T. Chandler,,4,13
50,1,6:46.0,A. Goodwin misses 2-pt jump shot from 17 ft,,4,13
51,1,6:45.0,,Defensive rebound by C. Anthony,4,13
52,1,6:37.0,,A. Afflalo makes 3-pt jump shot from 23 ft (assist by L. Galloway),4,16
53,1,6:16.0,Turnover by A. Len (lost ball; steal by L. Galloway),,4,16
54,1,6:10.0,,K. Porziņģis misses 2-pt jump shot from 3 ft,4,16
55,1,6:08.0,Defensive rebound by A. Len,,4,16
56,1,6:00.0,Turnover by S. Weems (bad pass; steal by C. Anthony),,4,16
57,1,5:55.0,,A. Afflalo makes 2-pt layup from 2 ft (assist by C. Anthony),4,18
58,1,5:53.0,Phoenix full timeout,,4,18
59,1,5:53.0,M. Teletović enters the game for A. Len,,4,18
60,1,5:41.0,Personal foul by L. Galloway (drawn by T. Chandler),,4,18
61,1,5:38.0,Personal foul by C. Anthony (drawn by P. Tucker),,4,18
62,1,5:25.0,A. Goodwin misses 3-pt jump shot from 24 ft,,4,18
63,1,5:23.0,,Defensive rebound by C. Anthony,4,18
64,1,5:17.0,,L. Galloway misses 2-pt jump shot from 19 ft,4,18
65,1,5:15.0,Defensive rebound by T. Chandler,,4,18
66,1,5:11.0,M. Teletović misses 3-pt jump shot from 25 ft,,4,18
67,1,5:08.0,,Defensive rebound by K. Porziņģis,4,18
68,1,4:58.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,4,18
69,1,4:56.0,Defensive rebound by P. Tucker,,4,18
70,1,4:51.0,M. Teletović misses 3-pt jump shot from 25 ft,,4,18
71,1,4:49.0,,Defensive rebound by Team,4,18
72,1,4:49.0,J. McRae enters the game for A. Goodwin,,4,18
73,1,4:27.0,,A. Afflalo misses 3-pt jump shot from 23 ft,4,18
74,1,4:25.0,,Offensive rebound by R. Lopez,4,18
75,1,4:22.0,,C. Anthony misses 3-pt jump shot from 24 ft,4,18
76,1,4:20.0,Defensive rebound by P. Tucker,,4,18
77,1,4:13.0,J. McRae misses 3-pt jump shot from 25 ft,,4,18
78,1,4:11.0,,Defensive rebound by L. Galloway,4,18
79,1,4:05.0,,New York full timeout,4,18
80,1,4:05.0,T. Warren enters the game for T. Chandler,,4,18
81,1,4:05.0,M. Morris enters the game for S. Weems,,4,18
82,1,4:05.0,,J. Grant enters the game for K. Porziņģis,4,18
83,1,4:05.0,,L. Thomas enters the game for A. Afflalo,4,18
84,1,3:56.0,,C. Anthony makes 2-pt jump shot from 14 ft (assist by J. Grant),4,20
85,1,3:40.0,M. Morris makes 2-pt jump shot from 18 ft (assist by P. Tucker),,6,20
86,1,3:23.0,,L. Thomas makes 2-pt jump shot from 15 ft (assist by L. Galloway),6,22
87,1,3:03.0,M. Morris misses 2-pt layup from 2 ft,,6,22
88,1,3:01.0,,Defensive rebound by L. Thomas,6,22
89,1,2:42.0,,Shooting foul by P. Tucker (drawn by C. Anthony),6,22
90,1,2:42.0,,C. Anthony makes free throw 1 of 2,6,23
91,1,2:42.0,,L. Amundson enters the game for R. Lopez,6,23
92,1,2:42.0,,C. Anthony makes free throw 2 of 2,6,24
93,1,2:31.0,Shooting foul by L. Amundson (drawn by J. McRae),,6,24
94,1,2:31.0,J. McRae makes free throw 1 of 2,,7,24
95,1,2:31.0,,D. Williams enters the game for C. Anthony,7,24
96,1,2:31.0,J. McRae makes free throw 2 of 2,,8,24
97,1,2:12.0,,D. Williams misses 2-pt jump shot from 3 ft (block by P. Tucker),8,24
98,1,2:10.0,Defensive rebound by P. Tucker,,8,24
99,1,2:03.0,M. Teletović misses 3-pt jump shot from 25 ft,,8,24
100,1,2:01.0,,Defensive rebound by J. Grant,8,24
101,1,1:46.0,,L. Thomas makes 2-pt hook shot from 4 ft,8,26
102,1,1:29.0,M. Teletović makes 2-pt jump shot from 7 ft,,10,26
103,1,1:11.0,,L. Thomas misses 2-pt jump shot from 17 ft,10,26
104,1,1:09.0,,Offensive rebound by L. Galloway,10,26
105,1,1:00.0,,Turnover by D. Williams (lost ball; steal by J. McRae),10,26
106,1,0:55.0,P. Tucker makes 2-pt layup from 2 ft (assist by J. McRae),,12,26
107,1,0:37.0,,Turnover by L. Amundson (lost ball; steal by M. Morris),12,26
108,1,0:32.0,T. Warren makes 2-pt layup from 1 ft (assist by J. McRae),,14,26
109,1,0:13.0,,J. Grant misses 2-pt jump shot from 17 ft,14,26
110,1,0:11.0,Defensive rebound by M. Morris,,14,26
111,1,0:04.0,T. Warren makes 2-pt layup from 2 ft (assist by J. McRae),,16,26
112,1,0:00.0,,J. Grant misses 2-pt layup from 2 ft,16,26
113,1,0:00.0,,Offensive rebound by Team,16,26
114,2,11:48.0,,Shooting foul by M. Morris (drawn by L. Thomas),16,26
115,2,11:48.0,,L. Thomas makes free throw 1 of 2,16,27
116,2,11:48.0,,L. Thomas makes free throw 2 of 2,16,28
117,2,11:34.0,Shooting foul by A. Afflalo (drawn by T. Warren),,16,28
118,2,11:34.0,T. Warren makes free throw 1 of 2,,17,28
119,2,11:34.0,T. Warren misses free throw 2 of 2,,17,28
120,2,11:33.0,,Defensive rebound by D. Williams,17,28
121,2,11:24.0,,Personal foul by M. Morris (drawn by K. Porziņģis),17,28
122,2,11:09.0,,K. Porziņģis makes 2-pt jump shot from 13 ft,17,30
123,2,10:52.0,J. Leuer misses 3-pt jump shot from 25 ft,,17,30
124,2,10:48.0,Offensive rebound by T. Warren,,17,30
125,2,10:42.0,J. McRae makes 2-pt dunk at rim,,19,30
126,2,10:22.0,,Turnover by A. Afflalo (lost ball),19,30
127,2,10:11.0,Personal foul by S. Vujačić (drawn by J. McRae),,19,30
128,2,10:03.0,M. Teletović makes 2-pt jump shot from 15 ft (assist by T. Warren),,21,30
129,2,9:51.0,,Personal foul by T. Warren (drawn by A. Afflalo),21,30
130,2,9:43.0,,K. Porziņģis makes 2-pt jump shot from 16 ft (assist by A. Afflalo),21,32
131,2,9:31.0,J. McRae makes 2-pt jump shot from 14 ft,,23,32
132,2,9:11.0,,A. Afflalo misses 2-pt layup from 2 ft (block by M. Teletović),23,32
133,2,9:09.0,Defensive rebound by J. McRae,,23,32
134,2,9:04.0,T. Warren makes 2-pt jump shot from 13 ft (assist by J. McRae),,25,32
135,2,8:46.0,,Personal foul by J. McRae (drawn by K. Porziņģis),25,32
136,2,8:46.0,Official timeout,,25,32
137,2,8:46.0,,C. Anthony enters the game for D. Williams,25,32
138,2,8:46.0,,L. Galloway enters the game for S. Vujačić,25,32
139,2,8:36.0,,C. Anthony misses 2-pt jump shot from 15 ft,25,32
140,2,8:34.0,Defensive rebound by J. Leuer,,25,32
141,2,8:23.0,M. Teletović misses 3-pt jump shot from 24 ft,,25,32
142,2,8:21.0,,Defensive rebound by L. Galloway,25,32
143,2,8:13.0,,Shooting foul by M. Teletović (drawn by C. Anthony),25,32
144,2,8:13.0,,C. Anthony makes free throw 1 of 2,25,33
145,2,8:13.0,P. Tucker enters the game for M. Teletović,,25,33
146,2,8:13.0,,C. Anthony makes free throw 2 of 2,25,34
147,2,8:03.0,J. Leuer misses 2-pt jump shot from 10 ft,,25,34
148,2,8:01.0,,Defensive rebound by A. Afflalo,25,34
149,2,7:57.0,,C. Anthony makes 3-pt jump shot from 24 ft (assist by L. Galloway),25,37
150,2,7:38.0,T. Warren misses 2-pt jump shot from 16 ft,,25,37
151,2,7:36.0,,Defensive rebound by K. Porziņģis,25,37
152,2,7:18.0,,C. Anthony makes 2-pt jump shot from 15 ft (assist by L. Galloway),25,39
153,2,7:00.0,T. Warren makes 2-pt jump shot from 14 ft (assist by P. Tucker),,27,39
154,2,6:42.0,,A. Afflalo misses 3-pt jump shot from 24 ft,27,39
155,2,6:40.0,Defensive rebound by M. Morris,,27,39
156,2,6:30.0,Personal foul by A. Afflalo (drawn by T. Warren),,27,39
157,2,6:30.0,,K. O'Quinn enters the game for K. Porziņģis,27,39
158,2,6:30.0,,S. Vujačić enters the game for A. Afflalo,27,39
159,2,6:18.0,J. Leuer misses 2-pt jump shot from 16 ft,,27,39
160,2,6:16.0,,Defensive rebound by L. Galloway,27,39
161,2,6:11.0,,S. Vujačić misses 3-pt jump shot from 25 ft,27,39
162,2,6:09.0,Defensive rebound by P. Tucker,,27,39
163,2,6:02.0,Shooting foul by C. Anthony (drawn by J. McRae),,27,39
164,2,6:02.0,J. McRae makes free throw 1 of 2,,28,39
165,2,6:02.0,,D. Williams enters the game for L. Thomas,28,39
166,2,6:02.0,A. Len enters the game for J. Leuer,,28,39
167,2,6:02.0,J. McRae misses free throw 2 of 2,,28,39
168,2,6:00.0,,Defensive rebound by C. Anthony,28,39
169,2,5:45.0,,Shooting foul by A. Len (drawn by D. Williams),28,39
170,2,5:45.0,,New York full timeout,28,39
171,2,5:45.0,D. Booker enters the game for J. McRae,,28,39
