,QUARTER,TIME_REMAINING,UTAH_ACTION,CHICAGO_ACTION,UTAH_SCORE,CHICAGO_SCORE
0,1,11:40.0,R. Hood misses 3-pt jump shot from 25 ft,,0,0
1,1,11:38.0,,Defensive rebound by T. Gibson,0,0
2,1,11:22.0,,J. Butler makes 2-pt jump shot from 19 ft (assist by D. Rose),0,2
3,1,11:09.0,G. Hayward misses 3-pt jump shot from 23 ft,,0,2
4,1,11:08.0,,Defensive rebound by Team,0,2
5,1,10:48.0,,D. Rose makes 3-pt jump shot from 24 ft (assist by J. Butler),0,5
6,1,10:21.0,D. Favors makes 2-pt layup from 1 ft (assist by R. Gobert),,2,5
7,1,9:57.0,,T. Gibson makes 2-pt layup from 1 ft,2,7
8,1,9:41.0,S. Mack makes 2-pt jump shot from 7 ft,,4,7
9,1,9:25.0,,D. Rose makes 2-pt jump shot from 10 ft,4,9
10,1,9:06.0,D. Favors makes 2-pt layup at rim (assist by S. Mack),,6,9
11,1,8:54.0,,C. Felício makes 2-pt jump shot from 19 ft (assist by J. Butler),6,11
12,1,8:35.0,R. Gobert misses 2-pt jump shot from 6 ft,,6,11
13,1,8:34.0,,Defensive rebound by C. Felício,6,11
14,1,8:29.0,,T. Gibson makes 2-pt dunk at rim (assist by D. Rose),6,13
15,1,8:09.0,G. Hayward misses 2-pt layup from 2 ft,,6,13
16,1,8:08.0,,Defensive rebound by J. Butler,6,13
17,1,7:59.0,,J. Butler makes 2-pt dunk at rim,6,15
18,1,7:58.0,Utah full timeout,,6,15
19,1,7:43.0,D. Favors misses 2-pt jump shot from 9 ft,,6,15
20,1,7:42.0,,Defensive rebound by M. Dunleavy,6,15
21,1,7:28.0,,J. Butler misses 2-pt jump shot from 7 ft,6,15
22,1,7:28.0,Defensive rebound by Team,,6,15
23,1,7:11.0,S. Mack misses 2-pt jump shot from 6 ft,,6,15
24,1,7:09.0,Offensive rebound by S. Mack,,6,15
25,1,7:09.0,S. Mack misses 2-pt layup at rim,,6,15
26,1,7:08.0,,Defensive rebound by D. Rose,6,15
27,1,6:58.0,,D. Rose misses 2-pt jump shot from 4 ft,6,15
28,1,6:57.0,,Offensive rebound by T. Gibson,6,15
29,1,6:43.0,,D. Rose makes 2-pt jump shot from 15 ft (assist by J. Butler),6,17
30,1,6:29.0,D. Favors makes 2-pt layup from 1 ft (assist by R. Hood),,8,17
31,1,6:05.0,,Turnover by C. Felício (traveling),8,17
32,1,5:48.0,Shooting foul by T. Gibson (drawn by D. Favors),,8,17
33,1,5:48.0,D. Favors misses free throw 1 of 2,,8,17
34,1,5:48.0,Offensive rebound by Team,,8,17
35,1,5:48.0,T. Booker enters the game for R. Gobert,,8,17
36,1,5:48.0,,N. Mirotić enters the game for C. Felício,8,17
37,1,5:48.0,D. Favors makes free throw 2 of 2,,9,17
38,1,5:28.0,,J. Butler misses 2-pt jump shot from 10 ft,9,17
39,1,5:27.0,Defensive rebound by T. Booker,,9,17
40,1,5:07.0,Turnover by D. Favors (3 sec),,9,17
41,1,4:49.0,,D. Rose misses 2-pt layup from 2 ft (block by D. Favors),9,17
42,1,4:47.0,Defensive rebound by S. Mack,,9,17
43,1,4:41.0,R. Hood makes 3-pt jump shot from 23 ft (assist by S. Mack),,12,17
44,1,4:39.0,,Chicago full timeout,12,17
45,1,4:39.0,,A. Brooks enters the game for D. Rose,12,17
46,1,4:39.0,,D. McDermott enters the game for M. Dunleavy,12,17
47,1,4:39.0,J. Ingles enters the game for G. Hayward,,12,17
48,1,4:22.0,,J. Butler misses 2-pt jump shot from 17 ft,12,17
49,1,4:21.0,Defensive rebound by D. Favors,,12,17
50,1,4:04.0,R. Hood misses 2-pt layup from 1 ft,,12,17
51,1,4:03.0,,Defensive rebound by N. Mirotić,12,17
52,1,3:54.0,,Turnover by A. Brooks (bad pass),12,17
53,1,3:54.0,,J. Holiday enters the game for J. Butler,12,17
54,1,3:38.0,Turnover by J. Ingles (bad pass; steal by T. Gibson),,12,17
55,1,3:25.0,,D. McDermott makes 3-pt jump shot from 24 ft (assist by N. Mirotić),12,20
56,1,3:15.0,Personal foul by A. Brooks,,12,20
57,1,3:15.0,,B. Portis enters the game for T. Gibson,12,20
58,1,3:15.0,R. Neto enters the game for S. Mack,,12,20
59,1,3:06.0,D. Favors misses 2-pt jump shot from 16 ft,,12,20
60,1,3:06.0,Offensive rebound by Team,,12,20
61,1,2:49.0,J. Ingles misses 3-pt jump shot from 25 ft,,12,20
62,1,2:49.0,,Defensive rebound by Team,12,20
63,1,2:37.0,,J. Holiday makes 2-pt jump shot from 18 ft (assist by D. McDermott),12,22
64,1,2:37.0,,Away from play foul by T. Booker,12,22
65,1,2:37.0,,B. Portis makes free throw 1 of 1,12,23
66,1,2:22.0,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),,14,23
67,1,1:54.0,,N. Mirotić misses 2-pt jump shot from 16 ft,14,23
68,1,1:53.0,Defensive rebound by D. Favors,,14,23
69,1,1:45.0,Personal foul by D. McDermott,,14,23
70,1,1:45.0,G. Hayward enters the game for R. Hood,,14,23
71,1,1:33.0,D. Favors makes 2-pt jump shot from 13 ft (assist by G. Hayward),,16,23
72,1,1:20.0,,A. Brooks makes 2-pt layup from 2 ft,16,25
73,1,0:58.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by R. Neto),,19,25
74,1,0:36.0,,D. McDermott misses 2-pt layup from 1 ft,19,25
75,1,0:35.0,,Offensive rebound by D. McDermott,19,25
76,1,0:35.0,,D. McDermott misses 2-pt layup from 1 ft,19,25
77,1,0:34.0,,Offensive rebound by B. Portis,19,25
78,1,0:34.0,,B. Portis misses 2-pt layup from 1 ft,19,25
79,1,0:34.0,,Offensive rebound by B. Portis,19,25
80,1,0:34.0,,B. Portis misses 2-pt layup from 1 ft,19,25
81,1,0:33.0,Defensive rebound by J. Ingles,,19,25
82,1,0:25.0,T. Booker misses 2-pt jump shot from 12 ft,,19,25
83,1,0:24.0,,Defensive rebound by N. Mirotić,19,25
84,1,0:06.0,,Personal foul by R. Neto,19,25
85,1,0:02.0,,N. Mirotić misses 3-pt jump shot from 26 ft,19,25
86,1,0:01.0,Defensive rebound by J. Ingles,,19,25
87,1,0:00.0,J. Ingles misses 3-pt jump shot from 71 ft,,19,25
88,1,0:00.0,Offensive rebound by Team,,19,25
89,2,11:51.0,,Personal foul by J. Ingles,19,25
90,2,11:46.0,,D. McDermott misses 3-pt jump shot from 25 ft (block by J. Ingles),19,25
91,2,11:44.0,Defensive rebound by R. Gobert,,19,25
92,2,11:26.0,T. Booker misses 3-pt jump shot from 24 ft,,19,25
93,2,11:25.0,Offensive rebound by R. Gobert,,19,25
94,2,11:24.0,R. Gobert misses 2-pt layup from 2 ft (block by B. Portis),,19,25
95,2,11:22.0,,Defensive rebound by D. McDermott,19,25
96,2,11:16.0,,B. Portis makes 2-pt jump shot from 20 ft,19,27
97,2,10:54.0,R. Neto misses 2-pt layup from 2 ft (block by B. Portis),,19,27
98,2,10:54.0,Offensive rebound by Team,,19,27
99,2,10:54.0,T. Lyles enters the game for T. Booker,,19,27
100,2,10:54.0,,Offensive charge foul by J. Ingles (drawn by D. McDermott),19,27
101,2,10:54.0,Turnover by J. Ingles (offensive foul),,19,27
102,2,10:36.0,,B. Portis makes 3-pt jump shot from 24 ft (assist by J. Holiday),19,30
103,2,10:07.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by T. Lyles),,22,30
104,2,9:57.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by B. Portis),22,32
105,2,9:46.0,G. Hayward makes 2-pt dunk at rim (assist by J. Ingles),,24,32
106,2,9:30.0,,D. McDermott misses 2-pt jump shot from 21 ft,24,32
107,2,9:30.0,Defensive rebound by Team,,24,32
108,2,9:22.0,T. Lyles misses 3-pt jump shot from 24 ft,,24,32
109,2,9:21.0,,Defensive rebound by J. Holiday,24,32
110,2,9:11.0,,J. Holiday misses 3-pt jump shot from 23 ft,24,32
111,2,9:10.0,Defensive rebound by R. Gobert,,24,32
112,2,8:54.0,J. Ingles misses 3-pt jump shot from 23 ft,,24,32
113,2,8:53.0,,Defensive rebound by D. McDermott,24,32
114,2,8:47.0,,N. Mirotić misses 2-pt layup from 1 ft,24,32
115,2,8:46.0,Defensive rebound by J. Ingles,,24,32
116,2,8:29.0,R. Neto makes 2-pt jump shot from 12 ft,,26,32
117,2,8:09.0,,A. Brooks makes 2-pt layup from 1 ft,26,34
118,2,7:52.0,G. Hayward misses 2-pt jump shot from 17 ft,,26,34
119,2,7:51.0,,Defensive rebound by B. Portis,26,34
120,2,7:41.0,,Chicago full timeout,26,34
121,2,7:41.0,,M. Dunleavy enters the game for N. Mirotić,26,34
122,2,7:41.0,,D. Rose enters the game for A. Brooks,26,34
123,2,7:41.0,,J. Butler enters the game for D. McDermott,26,34
124,2,7:41.0,,T. Gibson enters the game for J. Holiday,26,34
125,2,7:41.0,R. Hood enters the game for J. Ingles,,26,34
126,2,7:41.0,S. Mack enters the game for R. Neto,,26,34
127,2,7:25.0,,T. Gibson makes 2-pt hook shot from 4 ft,26,36
128,2,7:08.0,R. Hood misses 2-pt jump shot from 15 ft,,26,36
129,2,7:07.0,,Defensive rebound by J. Butler,26,36
130,2,7:00.0,,Turnover by M. Dunleavy (traveling),26,36
131,2,7:00.0,,Violation by Team (jump ball),26,36
132,2,6:49.0,G. Hayward misses 2-pt layup from 1 ft,,26,36
133,2,6:48.0,,Defensive rebound by M. Dunleavy,26,36
134,2,6:31.0,,D. Rose misses 2-pt jump shot from 10 ft,26,36
135,2,6:30.0,,Offensive rebound by B. Portis,26,36
136,2,6:30.0,,B. Portis makes 2-pt layup from 3 ft,26,38
137,2,6:09.0,S. Mack misses 2-pt layup from 1 ft,,26,38
138,2,6:07.0,Offensive rebound by T. Lyles,,26,38
139,2,6:07.0,T. Lyles makes 2-pt layup at rim,,28,38
140,2,5:50.0,,D. Rose makes 2-pt jump shot from 16 ft,28,40
141,2,5:25.0,R. Hood misses 3-pt jump shot from 24 ft,,28,40
142,2,5:24.0,,Defensive rebound by D. Rose,28,40
143,2,5:16.0,,B. Portis misses 3-pt jump shot from 23 ft,28,40
144,2,5:14.0,Defensive rebound by R. Gobert,,28,40
145,2,5:11.0,Utah full timeout,,28,40
146,2,5:11.0,C. Johnson enters the game for G. Hayward,,28,40
147,2,5:11.0,D. Favors enters the game for R. Gobert,,28,40
148,2,4:57.0,D. Favors makes 2-pt layup from 1 ft (assist by S. Mack),,30,40
149,2,4:38.0,,Def 3 sec tech foul by D. Favors,30,40
150,2,4:38.0,,M. Dunleavy makes technical free throw,30,41
151,2,4:38.0,,N. Mirotić enters the game for B. Portis,30,41
152,2,4:29.0,,D. Rose makes 2-pt jump shot from 9 ft (assist by N. Mirotić),30,43
153,2,4:17.0,S. Mack makes 3-pt jump shot from 24 ft (assist by D. Favors),,33,43
154,2,3:59.0,,N. Mirotić misses 3-pt jump shot from 25 ft,33,43
155,2,3:59.0,Defensive rebound by Team,,33,43
156,2,3:59.0,R. Gobert enters the game for T. Lyles,,33,43
157,2,3:41.0,D. Favors makes 2-pt jump shot from 21 ft (assist by S. Mack),,35,43
158,2,3:25.0,,D. Rose makes 3-pt jump shot from 24 ft (assist by J. Butler),35,46
159,2,3:10.0,Def 3 sec tech foul by T. Gibson,,35,46
160,2,3:10.0,R. Hood makes technical free throw,,36,46
161,2,3:01.0,D. Favors misses 2-pt layup from 2 ft,,36,46
162,2,3:00.0,Offensive rebound by C. Johnson,,36,46
163,2,2:53.0,Turnover by S. Mack (bad pass; steal by T. Gibson),,36,46
164,2,2:50.0,,Turnover by M. Dunleavy (step out of bounds),36,46
165,2,2:50.0,,Chicago full timeout,36,46
166,2,2:39.0,Turnover by D. Favors (bad pass; steal by M. Dunleavy),,36,46
167,2,2:31.0,,Turnover by D. Rose (bad pass; steal by R. Gobert),36,46
168,2,2:26.0,C. Johnson makes 2-pt layup from 2 ft,,38,46
169,2,2:00.0,,D. Rose makes 2-pt jump shot from 8 ft (assist by T. Gibson),38,48
170,2,1:40.0,D. Favors makes 2-pt dunk at rim (assist by S. Mack),,40,48
171,2,1:20.0,,J. Butler misses 2-pt jump shot from 20 ft,40,48
172,2,1:19.0,Defensive rebound by R. Hood,,40,48
173,2,1:05.0,,Offensive charge foul by C. Johnson (drawn by J. Butler),40,48
174,2,1:05.0,Turnover by C. Johnson (offensive foul),,40,48
175,2,0:51.0,,N. Mirotić misses 3-pt jump shot from 24 ft,40,48
176,2,0:50.0,Defensive rebound by S. Mack,,40,48
177,2,0:32.0,R. Hood misses 3-pt jump shot from 23 ft,,40,48
178,2,0:31.0,,Defensive rebound by N. Mirotić,40,48
179,2,0:22.0,,N. Mirotić makes 2-pt layup at rim (assist by M. Dunleavy),40,50
180,2,0:06.0,Personal foul by D. Rose,,40,50
181,2,0:06.0,Utah full timeout,,40,50
182,2,0:06.0,G. Hayward enters the game for C. Johnson,,40,50
183,3,11:38.0,,J. Butler misses 2-pt layup from 1 ft,40,50
184,3,11:36.0,Defensive rebound by S. Mack,,40,50
185,3,11:23.0,D. Favors makes 2-pt layup from 1 ft (assist by G. Hayward),,42,50
186,3,11:23.0,Shooting foul by D. Rose (drawn by D. Favors),,42,50
187,3,11:23.0,D. Favors misses free throw 1 of 1,,42,50
188,3,11:21.0,,Defensive rebound by M. Dunleavy,42,50
189,3,11:05.0,,C. Felício makes 2-pt layup from 2 ft (assist by D. Rose),42,52
190,3,10:49.0,R. Hood makes 3-pt jump shot from 23 ft (assist by S. Mack),,45,52
191,3,10:20.0,,J. Butler makes 2-pt jump shot from 21 ft (assist by T. Gibson),45,54
192,3,10:06.0,G. Hayward misses 2-pt jump shot from 5 ft,,45,54
193,3,10:05.0,,Defensive rebound by C. Felício,45,54
194,3,10:00.0,,Turnover by D. Rose (bad pass; steal by R. Hood),45,54
195,3,9:58.0,Personal take foul by C. Felício,,45,54
196,3,9:43.0,Turnover by S. Mack (bad pass),,45,54
197,3,9:24.0,,D. Rose makes 2-pt layup from 1 ft,45,56
198,3,9:06.0,D. Favors makes 2-pt dunk at rim (assist by S. Mack),,47,56
199,3,8:40.0,,T. Gibson misses 2-pt jump shot from 5 ft (block by D. Favors),47,56
200,3,8:38.0,,Offensive rebound by T. Gibson,47,56
201,3,8:36.0,,Turnover by Team (shot clock),47,56
202,3,8:15.0,S. Mack makes 2-pt jump shot from 8 ft,,49,56
203,3,7:58.0,,T. Gibson makes 2-pt jump shot from 15 ft (assist by J. Butler),49,58
204,3,7:40.0,R. Hood makes 3-pt jump shot from 24 ft (assist by G. Hayward),,52,58
205,3,7:23.0,,J. Butler makes 2-pt jump shot from 9 ft,52,60
206,3,7:18.0,Turnover by R. Gobert (bad pass; steal by C. Felício),,52,60
207,3,7:15.0,,T. Gibson makes 2-pt dunk at rim (assist by D. Rose),52,62
208,3,7:15.0,Utah full timeout,,52,62
209,3,7:15.0,T. Lyles enters the game for R. Gobert,,52,62
210,3,6:53.0,S. Mack misses 2-pt jump shot from 21 ft,,52,62
211,3,6:52.0,,Defensive rebound by T. Gibson,52,62
212,3,6:33.0,,C. Felício misses 2-pt layup from 2 ft,52,62
213,3,6:32.0,,Offensive rebound by T. Gibson,52,62
214,3,6:32.0,,T. Gibson misses 2-pt layup at rim,52,62
215,3,6:31.0,,Offensive rebound by T. Gibson,52,62
216,3,6:18.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,52,62
217,3,6:17.0,,Offensive rebound by T. Gibson,52,62
218,3,6:14.0,,D. Rose makes 2-pt jump shot from 4 ft (assist by T. Gibson),52,64
219,3,6:02.0,Shooting foul by T. Gibson (drawn by S. Mack),,52,64
220,3,6:02.0,S. Mack misses free throw 1 of 2,,52,64
221,3,6:02.0,Offensive rebound by Team,,52,64
222,3,6:02.0,,N. Mirotić enters the game for C. Felício,52,64
223,3,6:02.0,S. Mack makes free throw 2 of 2,,53,64
224,3,5:49.0,,J. Butler misses 2-pt jump shot from 4 ft,53,64
225,3,5:48.0,,Offensive rebound by T. Gibson,53,64
226,3,5:44.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,53,64
227,3,5:43.0,Defensive rebound by T. Lyles,,53,64
