,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MIAMI_ACTION,ORLANDO_SCORE,MIAMI_SCORE
0,1,11:33.0,,G. Dragić makes 2-pt layup from 1 ft,0,2
1,1,11:07.0,E. Payton misses 2-pt jump shot from 6 ft,,0,2
2,1,11:06.0,Offensive rebound by E. Payton,,0,2
3,1,10:57.0,A. Gordon misses 2-pt jump shot from 13 ft,,0,2
4,1,10:56.0,,Defensive rebound by L. Deng,0,2
5,1,10:43.0,,G. Dragić makes 2-pt jump shot from 15 ft,0,4
6,1,10:23.0,D. Dedmon misses 2-pt hook shot from 5 ft,,0,4
7,1,10:22.0,,Defensive rebound by A. Stoudemire,0,4
8,1,10:07.0,,Turnover by G. Dragić (bad pass),0,4
9,1,9:53.0,M. Hezonja makes 2-pt jump shot from 17 ft (assist by E. Payton),,2,4
10,1,9:27.0,,D. Wade misses 3-pt jump shot from 25 ft,2,4
11,1,9:26.0,Defensive rebound by E. Payton,,2,4
12,1,9:19.0,D. Dedmon misses 2-pt layup from 1 ft,,2,4
13,1,9:18.0,Offensive rebound by D. Dedmon,,2,4
14,1,9:17.0,Shooting foul by D. Wade (drawn by D. Dedmon),,2,4
15,1,9:17.0,D. Dedmon makes free throw 1 of 2,,3,4
16,1,9:17.0,D. Dedmon makes free throw 2 of 2,,4,4
17,1,9:00.0,,J. Johnson misses 2-pt jump shot from 7 ft,4,4
18,1,8:59.0,Defensive rebound by Team,,4,4
19,1,8:59.0,,Loose ball foul by A. Stoudemire,4,4
20,1,8:47.0,E. Fournier misses 2-pt jump shot from 5 ft,,4,4
21,1,8:46.0,,Defensive rebound by A. Stoudemire,4,4
22,1,8:34.0,,L. Deng misses 2-pt jump shot from 17 ft,4,4
23,1,8:33.0,Defensive rebound by M. Hezonja,,4,4
24,1,8:24.0,M. Hezonja misses 2-pt jump shot from 7 ft,,4,4
25,1,8:23.0,,Defensive rebound by L. Deng,4,4
26,1,8:08.0,,D. Wade makes 2-pt layup from 2 ft,4,6
27,1,7:50.0,D. Dedmon makes 2-pt jump shot from 12 ft (assist by E. Fournier),,6,6
28,1,7:33.0,,Personal foul by E. Payton,6,6
29,1,7:23.0,,A. Stoudemire makes 2-pt jump shot from 11 ft (assist by J. Johnson),6,8
30,1,7:07.0,D. Dedmon makes 2-pt layup from 1 ft (assist by E. Payton),,8,8
31,1,7:07.0,Shooting foul by A. Stoudemire (drawn by D. Dedmon),,8,8
32,1,7:07.0,D. Dedmon makes free throw 1 of 1,,9,8
33,1,6:53.0,,D. Wade makes 2-pt layup from 2 ft,9,10
