,QUARTER,TIME_REMAINING,NEW YORK_ACTION,UTAH_ACTION,NEW YORK_SCORE,UTAH_SCORE
0,1,11:43.0,C. Anthony misses 2-pt jump shot from 16 ft,,0,0
1,1,11:41.0,Offensive rebound by J. Calderón,,0,0
2,1,11:30.0,K. Porziņģis makes 2-pt jump shot from 7 ft,,2,0
3,1,11:12.0,,G. Hayward makes 3-pt jump shot from 24 ft,2,3
4,1,10:56.0,C. Anthony misses 2-pt jump shot from 19 ft,,2,3
5,1,10:55.0,,Defensive rebound by T. Lyles,2,3
6,1,10:42.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by T. Lyles),2,6
7,1,10:27.0,A. Afflalo misses 3-pt jump shot from 24 ft,,2,6
8,1,10:25.0,Offensive rebound by K. Porziņģis,,2,6
9,1,10:22.0,K. Porziņģis misses 2-pt hook shot from 4 ft,,2,6
10,1,10:21.0,,Defensive rebound by T. Lyles,2,6
11,1,9:59.0,,R. Neto makes 3-pt jump shot from 24 ft,2,9
12,1,9:42.0,K. Porziņģis misses 2-pt jump shot from 16 ft,,2,9
13,1,9:41.0,,Defensive rebound by R. Neto,2,9
14,1,9:32.0,,Personal foul by K. Porziņģis (drawn by G. Hayward),2,9
15,1,9:20.0,,D. Favors makes 2-pt jump shot from 10 ft (assist by R. Neto),2,11
16,1,9:01.0,K. Porziņģis misses 2-pt jump shot from 11 ft,,2,11
17,1,9:00.0,,Defensive rebound by D. Favors,2,11
18,1,8:50.0,,T. Lyles misses 2-pt jump shot from 7 ft,2,11
19,1,8:49.0,Defensive rebound by A. Afflalo,,2,11
20,1,8:42.0,A. Afflalo makes 2-pt jump shot from 11 ft,,4,11
21,1,8:28.0,,G. Hayward misses 2-pt jump shot from 3 ft (block by R. Lopez),4,11
22,1,8:28.0,,Offensive rebound by Team,4,11
23,1,8:17.0,,D. Favors makes 2-pt jump shot from 14 ft (assist by R. Hood),4,13
24,1,8:01.0,R. Lopez misses 2-pt layup from 1 ft,,4,13
25,1,8:01.0,,Defensive rebound by T. Lyles,4,13
26,1,7:43.0,,D. Favors misses 2-pt jump shot from 4 ft,4,13
27,1,7:43.0,Defensive rebound by K. Porziņģis,,4,13
28,1,7:33.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,4,13
29,1,7:32.0,,Defensive rebound by T. Lyles,4,13
30,1,7:20.0,,G. Hayward misses 2-pt jump shot from 18 ft,4,13
31,1,7:20.0,,Offensive rebound by Team,4,13
32,1,7:15.0,,Shooting foul by R. Lopez (drawn by G. Hayward),4,13
33,1,7:15.0,,G. Hayward makes free throw 1 of 2,4,14
34,1,7:15.0,New York full timeout,,4,14
35,1,7:15.0,L. Thomas enters the game for K. Porziņģis,,4,14
36,1,7:15.0,,G. Hayward makes free throw 2 of 2,4,15
37,1,7:00.0,A. Afflalo misses 2-pt jump shot from 22 ft,,4,15
38,1,6:59.0,,Defensive rebound by R. Hood,4,15
39,1,6:47.0,,Shooting foul by R. Lopez (drawn by D. Favors),4,15
40,1,6:47.0,,D. Favors makes 2-pt dunk at rim (assist by R. Hood),4,17
41,1,6:47.0,K. Séraphin enters the game for R. Lopez,,4,17
42,1,6:47.0,,D. Favors makes free throw 1 of 1,4,18
43,1,6:33.0,J. Calderón makes 2-pt jump shot from 15 ft (assist by K. Séraphin),,6,18
44,1,6:16.0,,D. Favors misses 2-pt jump shot from 1 ft,6,18
45,1,6:15.0,,Offensive rebound by D. Favors,6,18
46,1,6:15.0,,D. Favors misses 2-pt layup from 1 ft,6,18
47,1,6:14.0,Defensive rebound by K. Séraphin,,6,18
48,1,6:07.0,J. Calderón makes 2-pt jump shot from 17 ft,,8,18
49,1,5:55.0,,T. Lyles makes 2-pt jump shot from 20 ft (assist by R. Neto),8,20
50,1,5:37.0,J. Calderón misses 3-pt jump shot from 24 ft,,8,20
51,1,5:36.0,,Defensive rebound by R. Hood,8,20
52,1,5:25.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by R. Neto),8,23
53,1,5:13.0,C. Anthony misses 2-pt jump shot from 21 ft,,8,23
54,1,5:12.0,,Defensive rebound by D. Favors,8,23
55,1,4:51.0,,R. Neto misses 3-pt jump shot from 24 ft,8,23
56,1,4:49.0,Defensive rebound by C. Anthony,,8,23
