,QUARTER,TIME_REMAINING,DETROIT_ACTION,UTAH_ACTION,DETROIT_SCORE,UTAH_SCORE
0,1,11:45.0,E. İlyasova makes 3-pt jump shot from 24 ft (assist by M. Morris),,3,0
1,1,11:31.0,,T. Lyles misses 2-pt dunk at rim,3,0
2,1,11:30.0,Defensive rebound by M. Morris,,3,0
3,1,11:24.0,M. Morris makes 2-pt jump shot from 9 ft,,5,0
4,1,11:06.0,,G. Hayward misses 2-pt jump shot from 8 ft,5,0
5,1,11:06.0,Defensive rebound by A. Drummond,,5,0
6,1,11:00.0,E. İlyasova makes 2-pt layup from 2 ft (assist by R. Jackson),,7,0
7,1,10:37.0,,R. Hood misses 3-pt jump shot from 23 ft,7,0
8,1,10:37.0,Defensive rebound by K. Caldwell-Pope,,7,0
9,1,10:28.0,R. Jackson misses 2-pt jump shot from 4 ft,,7,0
10,1,10:28.0,,Defensive rebound by T. Lyles,7,0
11,1,10:16.0,,T. Lyles makes 2-pt jump shot from 14 ft,7,2
12,1,9:57.0,K. Caldwell-Pope misses 2-pt jump shot from 12 ft,,7,2
13,1,9:57.0,,Defensive rebound by R. Gobert,7,2
14,1,9:38.0,,R. Neto misses 3-pt jump shot from 23 ft,7,2
15,1,9:38.0,,Offensive rebound by R. Gobert,7,2
16,1,9:33.0,,R. Gobert misses 2-pt jump shot from 4 ft,7,2
17,1,9:32.0,Defensive rebound by A. Drummond,,7,2
18,1,9:17.0,Shooting foul by T. Lyles (drawn by A. Drummond),,7,2
19,1,9:17.0,A. Drummond misses free throw 1 of 2,,7,2
20,1,9:17.0,Offensive rebound by Team,,7,2
21,1,9:17.0,A. Drummond misses free throw 2 of 2,,7,2
22,1,9:16.0,,Defensive rebound by R. Gobert,7,2
23,1,8:59.0,,R. Gobert makes 2-pt dunk from 2 ft,7,4
24,1,8:44.0,Turnover by K. Caldwell-Pope (bad pass; steal by R. Gobert),,7,4
25,1,8:35.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by R. Gobert),7,7
26,1,8:12.0,Shooting foul by T. Lyles (drawn by E. İlyasova),,7,7
27,1,8:12.0,E. İlyasova makes free throw 1 of 2,,8,7
28,1,8:12.0,,T. Booker enters the game for T. Lyles,8,7
29,1,8:12.0,E. İlyasova makes free throw 2 of 2,,9,7
30,1,7:58.0,,G. Hayward misses 2-pt layup from 1 ft,9,7
31,1,7:56.0,,Offensive rebound by T. Booker,9,7
32,1,7:56.0,,T. Booker misses 2-pt layup from 1 ft,9,7
33,1,7:55.0,,Offensive rebound by R. Gobert,9,7
34,1,7:45.0,,Turnover by R. Neto (bad pass; steal by A. Drummond),9,7
35,1,7:28.0,Turnover by K. Caldwell-Pope (bad pass; steal by R. Hood),,9,7
36,1,7:21.0,,G. Hayward misses 2-pt layup from 1 ft,9,7
37,1,7:21.0,Defensive rebound by A. Drummond,,9,7
38,1,7:09.0,R. Jackson misses 2-pt jump shot from 5 ft,,9,7
39,1,7:09.0,Offensive rebound by E. İlyasova,,9,7
40,1,7:05.0,E. İlyasova makes 2-pt layup from 2 ft,,11,7
41,1,6:53.0,,Shooting foul by E. İlyasova (drawn by R. Gobert),11,7
42,1,6:53.0,,R. Gobert makes free throw 1 of 2,11,8
43,1,6:53.0,,R. Gobert misses free throw 2 of 2,11,8
44,1,6:52.0,Defensive rebound by E. İlyasova,,11,8
45,1,6:29.0,R. Jackson makes 3-pt jump shot from 24 ft,,14,8
46,1,6:24.0,,Utah full timeout,14,8
47,1,6:14.0,,G. Hayward misses 2-pt jump shot from 17 ft,14,8
48,1,6:13.0,Defensive rebound by E. İlyasova,,14,8
49,1,5:57.0,A. Drummond misses 2-pt hook shot from 4 ft,,14,8
50,1,5:57.0,,Defensive rebound by R. Gobert,14,8
51,1,5:48.0,,Utah full timeout,14,8
52,1,5:48.0,,T. Burke enters the game for R. Neto,14,8
53,1,5:48.0,,C. Johnson enters the game for R. Hood,14,8
54,1,5:39.0,,T. Burke misses 2-pt jump shot from 20 ft,14,8
55,1,5:38.0,Defensive rebound by M. Morris,,14,8
56,1,5:24.0,Turnover by A. Drummond (lost ball; steal by T. Booker),,14,8
57,1,5:18.0,,T. Booker makes 2-pt layup from 2 ft (assist by T. Burke),14,10
58,1,5:05.0,R. Jackson makes 2-pt jump shot from 17 ft,,16,10
59,1,4:41.0,,Turnover by T. Booker (bad pass),16,10
60,1,4:26.0,M. Morris misses 2-pt jump shot from 14 ft,,16,10
61,1,4:25.0,,Defensive rebound by G. Hayward,16,10
62,1,4:15.0,,G. Hayward misses 2-pt jump shot from 20 ft,16,10
63,1,4:14.0,Defensive rebound by K. Caldwell-Pope,,16,10
64,1,4:05.0,A. Drummond misses 2-pt layup from 1 ft (block by R. Gobert),,16,10
65,1,4:03.0,Offensive rebound by R. Jackson,,16,10
66,1,3:56.0,E. İlyasova makes 2-pt jump shot from 5 ft (assist by M. Morris),,18,10
67,1,3:34.0,,T. Burke misses 3-pt jump shot from 24 ft,18,10
68,1,3:34.0,Defensive rebound by K. Caldwell-Pope,,18,10
69,1,3:28.0,R. Jackson makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,20,10
70,1,3:18.0,,Personal foul by M. Morris (drawn by G. Hayward),20,10
71,1,3:18.0,S. Johnson enters the game for M. Morris,,20,10
72,1,3:18.0,B. Jennings enters the game for R. Jackson,,20,10
73,1,3:09.0,,G. Hayward misses 2-pt jump shot from 16 ft,20,10
74,1,3:06.0,,Offensive rebound by R. Gobert,20,10
75,1,3:06.0,,R. Gobert misses 2-pt layup from 1 ft,20,10
76,1,3:05.0,Defensive rebound by K. Caldwell-Pope,,20,10
77,1,2:53.0,A. Drummond misses 2-pt dunk at rim,,20,10
78,1,2:53.0,,Defensive rebound by T. Booker,20,10
79,1,2:33.0,,T. Booker misses 3-pt jump shot from 23 ft,20,10
80,1,2:32.0,,Offensive rebound by R. Gobert,20,10
81,1,2:30.0,,R. Gobert makes 2-pt layup from 1 ft,20,12
82,1,2:20.0,Detroit full timeout,,20,12
83,1,2:20.0,,D. Favors enters the game for T. Booker,20,12
84,1,2:20.0,,J. Ingles enters the game for C. Johnson,20,12
85,1,2:20.0,,R. Hood enters the game for G. Hayward,20,12
86,1,2:13.0,Turnover by A. Drummond (offensive goaltending),,20,12
87,1,1:52.0,,R. Hood misses 2-pt jump shot from 10 ft,20,12
88,1,1:51.0,Defensive rebound by E. İlyasova,,20,12
89,1,1:51.0,Personal foul by D. Favors (drawn by E. İlyasova),,20,12
90,1,1:37.0,E. İlyasova misses 2-pt jump shot from 16 ft,,20,12
91,1,1:36.0,,Defensive rebound by R. Gobert,20,12
92,1,1:34.0,,Turnover by R. Gobert (lost ball; steal by S. Johnson),20,12
93,1,1:20.0,Turnover by S. Johnson (bad pass; steal by R. Hood),,20,12
94,1,1:17.0,,Shooting foul by K. Caldwell-Pope (drawn by R. Hood),20,12
95,1,1:17.0,,R. Hood makes free throw 1 of 2,20,13
96,1,1:17.0,,R. Hood misses free throw 2 of 2,20,13
97,1,1:15.0,Defensive rebound by Team,,20,13
98,1,0:59.0,E. İlyasova misses 3-pt jump shot from 23 ft,,20,13
99,1,0:58.0,Offensive rebound by K. Caldwell-Pope,,20,13
100,1,0:56.0,A. Drummond makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,22,13
101,1,0:45.0,,Turnover by R. Hood (traveling),22,13
102,1,0:25.0,Turnover by S. Johnson (traveling),,22,13
103,1,0:08.0,,D. Favors misses 2-pt jump shot from 14 ft,22,13
104,1,0:08.0,,Offensive rebound by J. Ingles,22,13
105,1,0:01.0,,Turnover by J. Ingles (bad pass; steal by B. Jennings),22,13
