,QUARTER,TIME_REMAINING,ORLANDO_ACTION,TORONTO_ACTION,ORLANDO_SCORE,TORONTO_SCORE
0,1,11:39.0,D. Dedmon misses 2-pt hook shot from 9 ft,,0,0
1,1,11:39.0,,Defensive rebound by B. Biyombo,0,0
2,1,11:17.0,,L. Scola misses 3-pt jump shot from 23 ft,0,0
3,1,11:17.0,Defensive rebound by D. Dedmon,,0,0
4,1,11:02.0,B. Jennings misses 2-pt jump shot from 19 ft,,0,0
5,1,11:02.0,,Defensive rebound by B. Biyombo,0,0
6,1,10:50.0,,B. Biyombo misses 2-pt jump shot from 5 ft (block by A. Gordon),0,0
7,1,10:49.0,Defensive rebound by B. Jennings,,0,0
8,1,10:44.0,Turnover by V. Oladipo (bad pass; steal by L. Scola),,0,0
9,1,10:36.0,,K. Lowry makes 3-pt jump shot from 24 ft (assist by B. Biyombo),0,3
10,1,10:23.0,,Violation by L. Scola (kicked ball),0,3
11,1,10:12.0,V. Oladipo makes 2-pt layup from 2 ft,,2,3
12,1,9:47.0,,L. Scola makes 2-pt layup from 1 ft,2,5
13,1,9:35.0,A. Gordon misses 2-pt layup from 1 ft (block by B. Biyombo),,2,5
14,1,9:34.0,,Defensive rebound by K. Lowry,2,5
15,1,9:29.0,,L. Scola misses 2-pt layup from 1 ft (block by A. Gordon),2,5
16,1,9:28.0,Defensive rebound by D. Dedmon,,2,5
17,1,9:18.0,A. Gordon misses 2-pt jump shot from 17 ft,,2,5
18,1,9:17.0,,Defensive rebound by K. Lowry,2,5
19,1,9:06.0,,Shooting foul by D. Dedmon (drawn by B. Biyombo),2,5
20,1,9:06.0,,B. Biyombo misses free throw 1 of 2,2,5
21,1,9:06.0,,Offensive rebound by Team,2,5
22,1,9:06.0,,B. Biyombo makes free throw 2 of 2,2,6
23,1,8:53.0,A. Gordon misses 3-pt jump shot from 24 ft,,2,6
24,1,8:52.0,,Defensive rebound by K. Lowry,2,6
25,1,8:41.0,,L. Scola misses 2-pt jump shot from 8 ft,2,6
26,1,8:40.0,,Offensive rebound by L. Scola,2,6
27,1,8:37.0,,L. Scola misses 2-pt layup from 2 ft,2,6
28,1,8:36.0,Defensive rebound by B. Jennings,,2,6
29,1,8:29.0,Turnover by B. Jennings (bad pass; steal by D. DeRozan),,2,6
30,1,8:25.0,,D. DeRozan makes 2-pt layup from 2 ft,2,8
31,1,8:25.0,,Shooting foul by V. Oladipo (drawn by D. DeRozan),2,8
32,1,8:25.0,,D. DeRozan makes free throw 1 of 1,2,9
33,1,8:13.0,V. Oladipo misses 3-pt jump shot from 24 ft,,2,9
34,1,8:12.0,,Defensive rebound by L. Scola,2,9
35,1,8:04.0,,Shooting foul by A. Gordon (drawn by D. DeRozan),2,9
36,1,8:04.0,,D. DeRozan makes free throw 1 of 2,2,10
37,1,8:04.0,,D. DeRozan misses free throw 2 of 2,2,10
38,1,8:03.0,Defensive rebound by D. Dedmon,,2,10
39,1,7:42.0,A. Gordon makes 3-pt jump shot from 24 ft (assist by E. Fournier),,5,10
40,1,7:17.0,,D. DeRozan makes 2-pt jump shot from 16 ft,5,12
41,1,7:17.0,,Shooting foul by E. Fournier (drawn by D. DeRozan),5,12
42,1,7:17.0,,D. DeRozan makes free throw 1 of 1,5,13
43,1,7:03.0,V. Oladipo misses 3-pt jump shot from 24 ft,,5,13
44,1,7:02.0,,Defensive rebound by Team,5,13
45,1,6:44.0,,N. Powell misses 3-pt jump shot from 23 ft (block by V. Oladipo),5,13
46,1,6:43.0,,Offensive rebound by D. DeRozan,5,13
47,1,6:37.0,,K. Lowry makes 2-pt layup from 1 ft,5,15
48,1,6:33.0,Orlando full timeout,,5,15
49,1,6:24.0,V. Oladipo makes 2-pt jump shot from 19 ft,,7,15
50,1,6:10.0,,Shooting foul by A. Gordon (drawn by L. Scola),7,15
51,1,6:10.0,,L. Scola misses free throw 1 of 2,7,15
52,1,6:10.0,,Offensive rebound by Team,7,15
53,1,6:10.0,E. İlyasova enters the game for A. Gordon,,7,15
54,1,6:10.0,,L. Scola misses free throw 2 of 2,7,15
55,1,6:09.0,,Offensive rebound by Team,7,15
56,1,5:54.0,,Turnover by L. Scola (bad pass; steal by D. Dedmon),7,15
57,1,5:50.0,Shooting foul by D. DeRozan (drawn by E. Fournier),,7,15
58,1,5:50.0,E. Fournier makes free throw 1 of 2,,8,15
59,1,5:50.0,J. Smith enters the game for D. Dedmon,,8,15
60,1,5:50.0,E. Fournier makes free throw 2 of 2,,9,15
61,1,5:34.0,,L. Scola makes 2-pt layup from 2 ft (assist by D. DeRozan),9,17
62,1,5:20.0,B. Jennings makes 2-pt jump shot from 4 ft,,11,17
63,1,5:05.0,,N. Powell misses 2-pt hook shot from 4 ft,11,17
