,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,UTAH_ACTION,MEMPHIS_SCORE,UTAH_SCORE
0,1,11:39.0,,Shooting foul by J. Green (drawn by T. Lyles),0,0
1,1,11:39.0,,T. Lyles makes free throw 1 of 2,0,1
2,1,11:39.0,,T. Lyles makes free throw 2 of 2,0,2
3,1,11:16.0,M. Gasol misses 2-pt jump shot from 15 ft,,0,2
4,1,11:16.0,,Defensive rebound by Team,0,2
5,1,11:16.0,,Personal foul by T. Allen (drawn by R. Hood),0,2
6,1,10:56.0,,R. Neto misses 2-pt layup from 1 ft,0,2
7,1,10:56.0,Defensive rebound by M. Gasol,,0,2
8,1,10:37.0,C. Lee makes 3-pt jump shot from 24 ft (assist by M. Gasol),,3,2
9,1,10:24.0,,Turnover by R. Neto (bad pass; steal by T. Allen),3,2
10,1,10:20.0,T. Allen makes 2-pt dunk at rim,,5,2
11,1,9:59.0,,G. Hayward makes 2-pt jump shot from 18 ft,5,4
12,1,9:36.0,Shooting foul by J. Withey (drawn by C. Lee),,5,4
13,1,9:36.0,C. Lee makes free throw 1 of 2,,6,4
14,1,9:36.0,C. Lee makes free throw 2 of 2,,7,4
15,1,9:16.0,,G. Hayward makes 2-pt jump shot from 8 ft,7,6
16,1,8:55.0,M. Gasol misses 2-pt jump shot from 17 ft,,7,6
17,1,8:55.0,,Defensive rebound by G. Hayward,7,6
18,1,8:42.0,,R. Hood makes 2-pt jump shot from 21 ft,7,8
19,1,8:25.0,J. Green makes 2-pt hook shot from 3 ft (assist by M. Conley),,9,8
20,1,8:10.0,,Turnover by T. Lyles (bad pass; steal by T. Allen),9,8
21,1,8:05.0,M. Conley makes 2-pt layup from 2 ft (assist by T. Allen),,11,8
22,1,7:39.0,,R. Neto makes 2-pt layup from 2 ft (assist by G. Hayward),11,10
23,1,7:24.0,T. Allen makes 3-pt jump shot from 22 ft (assist by M. Gasol),,14,10
24,1,7:06.0,,R. Hood makes 3-pt jump shot from 23 ft (assist by J. Withey),14,13
25,1,6:46.0,M. Conley misses 2-pt jump shot from 19 ft,,14,13
26,1,6:45.0,,Defensive rebound by J. Withey,14,13
27,1,6:30.0,,Shooting foul by C. Lee (drawn by G. Hayward),14,13
28,1,6:30.0,,G. Hayward makes free throw 1 of 2,14,14
29,1,6:30.0,Z. Randolph enters the game for C. Lee,,14,14
30,1,6:30.0,,G. Hayward makes free throw 2 of 2,14,15
31,1,6:11.0,Turnover by M. Gasol (bad pass; steal by R. Hood),,14,15
32,1,6:05.0,,R. Hood makes 2-pt dunk at rim (assist by R. Neto),14,17
33,1,5:34.0,J. Green misses 3-pt jump shot from 24 ft,,14,17
34,1,5:33.0,Offensive rebound by Z. Randolph,,14,17
35,1,5:19.0,M. Conley misses 2-pt jump shot from 9 ft,,14,17
36,1,5:19.0,,Defensive rebound by T. Lyles,14,17
37,1,5:12.0,,R. Neto misses 3-pt jump shot from 24 ft,14,17
38,1,5:12.0,Defensive rebound by M. Gasol,,14,17
39,1,4:58.0,J. Green misses 3-pt jump shot from 24 ft,,14,17
40,1,4:57.0,,Defensive rebound by R. Hood,14,17
41,1,4:47.0,Violation by M. Gasol (kicked ball),,14,17
42,1,4:47.0,,Utah full timeout,14,17
43,1,4:47.0,,T. Booker enters the game for J. Withey,14,17
44,1,4:41.0,,R. Hood misses 3-pt jump shot from 24 ft,14,17
45,1,4:41.0,Defensive rebound by T. Allen,,14,17
46,1,4:26.0,Z. Randolph makes 2-pt jump shot from 2 ft,,16,17
47,1,4:01.0,,Turnover by Team (shot clock),16,17
48,1,3:51.0,Personal foul by G. Hayward (drawn by M. Conley),,16,17
49,1,3:51.0,M. Conley makes free throw 1 of 2,,17,17
50,1,3:51.0,C. Lee enters the game for T. Allen,,17,17
51,1,3:51.0,,T. Pleiß enters the game for T. Lyles,17,17
52,1,3:51.0,,T. Burke enters the game for R. Neto,17,17
53,1,3:51.0,M. Conley misses free throw 2 of 2,,17,17
54,1,3:50.0,,Defensive rebound by T. Pleiß,17,17
55,1,3:29.0,,R. Hood misses 2-pt jump shot from 10 ft,17,17
56,1,3:29.0,,Offensive rebound by R. Hood,17,17
57,1,3:16.0,,R. Hood misses 2-pt jump shot from 11 ft,17,17
58,1,3:15.0,,Offensive rebound by T. Booker,17,17
59,1,3:07.0,,R. Hood makes 3-pt jump shot from 23 ft (assist by T. Booker),17,20
60,1,2:58.0,Memphis full timeout,,17,20
61,1,2:58.0,M. Chalmers enters the game for M. Conley,,17,20
62,1,2:58.0,,C. Johnson enters the game for R. Hood,17,20
63,1,2:54.0,Turnover by C. Lee (offensive foul),,17,20
64,1,2:54.0,Offensive foul by C. Lee (drawn by G. Hayward),,17,20
65,1,2:39.0,,G. Hayward misses 3-pt jump shot from 24 ft,17,20
66,1,2:38.0,Defensive rebound by J. Green,,17,20
67,1,2:27.0,M. Gasol misses 2-pt jump shot from 10 ft,,17,20
