,QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
0,1,11:41.0,Turnover by D. DeRozan (bad pass),,0,0
1,1,11:29.0,,M. Carter-Williams misses 2-pt jump shot from 8 ft,0,0
2,1,11:27.0,Defensive rebound by B. Biyombo,,0,0
3,1,11:19.0,K. Lowry misses 2-pt jump shot from 4 ft,,0,0
4,1,11:17.0,,Defensive rebound by G. Monroe,0,0
5,1,11:12.0,,G. Antetokounmpo misses 2-pt jump shot from 9 ft,0,0
6,1,11:11.0,Defensive rebound by L. Scola,,0,0
7,1,11:03.0,Personal block foul by G. Antetokounmpo (drawn by D. DeRozan),,0,0
8,1,10:55.0,Turnover by D. DeRozan (traveling),,0,0
9,1,10:39.0,,Turnover by G. Monroe (lost ball; steal by J. Johnson),0,0
10,1,10:33.0,J. Johnson makes 2-pt dunk at rim (assist by K. Lowry),,2,0
11,1,10:17.0,,K. Middleton misses 2-pt layup from 2 ft (block by J. Johnson),2,0
12,1,10:14.0,,Offensive rebound by M. Carter-Williams,2,0
13,1,10:08.0,,J. Parker misses 2-pt layup from 1 ft (block by B. Biyombo),2,0
14,1,10:06.0,Defensive rebound by B. Biyombo,,2,0
15,1,9:57.0,B. Biyombo makes 2-pt dunk at rim (assist by K. Lowry),,4,0
16,1,9:35.0,,J. Parker misses 2-pt jump shot from 7 ft,4,0
17,1,9:34.0,Defensive rebound by L. Scola,,4,0
18,1,9:30.0,Shooting foul by J. Parker (drawn by D. DeRozan),,4,0
19,1,9:30.0,D. DeRozan misses free throw 1 of 2,,4,0
20,1,9:30.0,Offensive rebound by Team,,4,0
21,1,9:30.0,D. DeRozan makes free throw 2 of 2,,5,0
22,1,9:17.0,,G. Monroe makes 2-pt hook shot from 8 ft,5,2
23,1,9:17.0,,Shooting foul by B. Biyombo (drawn by G. Monroe),5,2
24,1,9:17.0,,G. Monroe makes free throw 1 of 1,5,3
25,1,8:56.0,J. Johnson makes 2-pt jump shot from 9 ft (assist by D. DeRozan),,7,3
26,1,8:29.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,7,3
27,1,8:27.0,Defensive rebound by B. Biyombo,,7,3
28,1,8:11.0,D. DeRozan misses 3-pt jump shot from 23 ft,,7,3
29,1,8:10.0,,Defensive rebound by G. Monroe,7,3
30,1,7:52.0,,K. Middleton misses 2-pt jump shot from 6 ft,7,3
31,1,7:44.0,Defensive rebound by L. Scola,,7,3
32,1,7:31.0,L. Scola misses 2-pt jump shot from 8 ft,,7,3
33,1,7:28.0,,Defensive rebound by G. Antetokounmpo,7,3
34,1,7:27.0,Loose ball foul by L. Scola (drawn by G. Antetokounmpo),,7,3
35,1,7:13.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by G. Monroe),7,5
36,1,6:58.0,Shooting block foul by M. Carter-Williams (drawn by D. DeRozan),,7,5
37,1,6:58.0,D. DeRozan makes free throw 1 of 2,,8,5
38,1,6:58.0,D. DeRozan makes free throw 2 of 2,,9,5
39,1,6:46.0,,Turnover by G. Monroe (traveling),9,5
40,1,6:33.0,K. Lowry misses 2-pt jump shot from 19 ft,,9,5
41,1,6:29.0,,Defensive rebound by K. Middleton,9,5
42,1,6:24.0,,M. Carter-Williams makes 2-pt layup from 1 ft (assist by K. Middleton),9,7
43,1,6:07.0,K. Lowry misses 3-pt jump shot from 26 ft,,9,7
