,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHARLOTTE_ACTION,PHILADELPHIA_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,,C. Lee misses 2-pt jump shot from 18 ft,0,0
1,1,11:42.0,Defensive rebound by I. Canaan,,0,0
2,1,11:24.0,H. Thompson makes 2-pt layup from 1 ft,,2,0
3,1,11:08.0,,K. Walker makes 2-pt jump shot from 6 ft,2,2
4,1,10:44.0,H. Thompson misses 3-pt jump shot from 23 ft,,2,2
5,1,10:43.0,,Defensive rebound by C. Zeller,2,2
6,1,10:38.0,,Shooting foul by C. Landry (drawn by K. Walker),2,2
7,1,10:38.0,,K. Walker makes free throw 1 of 2,2,3
8,1,10:38.0,,K. Walker makes free throw 2 of 2,2,4
9,1,10:29.0,I. Canaan misses 3-pt jump shot from 31 ft,,2,4
10,1,10:28.0,,Defensive rebound by C. Zeller,2,4
11,1,10:19.0,,K. Walker misses 2-pt layup from 2 ft (block by I. Canaan),2,4
12,1,10:17.0,,Offensive rebound by C. Zeller,2,4
13,1,10:13.0,,Turnover by N. Batum (bad pass; steal by J. Grant),2,4
14,1,10:08.0,J. Grant misses 2-pt layup from 2 ft,,2,4
15,1,10:05.0,Offensive rebound by C. Landry,,2,4
16,1,10:05.0,C. Landry makes 2-pt layup from 1 ft,,4,4
17,1,9:52.0,,K. Walker misses 3-pt jump shot from 24 ft,4,4
18,1,9:51.0,Defensive rebound by C. Landry,,4,4
19,1,9:35.0,Shooting foul by N. Batum (drawn by J. Grant),,4,4
20,1,9:35.0,J. Grant makes free throw 1 of 2,,5,4
21,1,9:35.0,J. Grant makes free throw 2 of 2,,6,4
22,1,9:21.0,,M. Williams makes 2-pt layup from 2 ft (assist by N. Batum),6,6
23,1,9:21.0,,Shooting foul by H. Thompson (drawn by M. Williams),6,6
24,1,9:21.0,,M. Williams misses free throw 1 of 1,6,6
25,1,9:20.0,Defensive rebound by J. Grant,,6,6
26,1,9:07.0,I. Smith misses 3-pt jump shot from 24 ft,,6,6
27,1,9:06.0,Offensive rebound by C. Landry,,6,6
28,1,9:02.0,Turnover by Team (5 sec inbounds),,6,6
29,1,8:50.0,,N. Batum misses 2-pt jump shot from 21 ft,6,6
30,1,8:49.0,Defensive rebound by J. Grant,,6,6
31,1,8:40.0,J. Grant makes 2-pt layup from 1 ft (assist by C. Landry),,8,6
32,1,8:25.0,,M. Williams misses 3-pt jump shot from 25 ft,8,6
33,1,8:24.0,Defensive rebound by I. Smith,,8,6
34,1,8:12.0,Turnover by H. Thompson (bad pass; steal by C. Zeller),,8,6
35,1,8:09.0,,C. Lee makes 2-pt layup from 1 ft (assist by C. Zeller),8,8
36,1,8:09.0,Philadelphia full timeout,,8,8
37,1,8:09.0,R. Covington enters the game for J. Grant,,8,8
38,1,7:46.0,I. Canaan misses 2-pt jump shot from 20 ft,,8,8
39,1,7:45.0,,Defensive rebound by C. Zeller,8,8
40,1,7:37.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by C. Lee),8,11
41,1,7:24.0,R. Covington misses 3-pt jump shot from 26 ft,,8,11
42,1,7:22.0,,Defensive rebound by C. Lee,8,11
43,1,7:10.0,,Personal foul by H. Thompson,8,11
44,1,7:10.0,N. Stauskas enters the game for H. Thompson,,8,11
45,1,7:01.0,,C. Lee misses 2-pt jump shot from 9 ft,8,11
46,1,6:59.0,Defensive rebound by C. Landry,,8,11
47,1,6:47.0,I. Canaan misses 3-pt jump shot from 26 ft,,8,11
48,1,6:46.0,,Defensive rebound by M. Williams,8,11
49,1,6:43.0,,Shooting foul by N. Stauskas (drawn by C. Zeller),8,11
50,1,6:43.0,,C. Zeller makes free throw 1 of 2,8,12
51,1,6:43.0,,C. Zeller makes free throw 2 of 2,8,13
52,1,6:31.0,C. Landry makes 2-pt layup at rim (assist by R. Covington),,10,13
53,1,6:16.0,,Turnover by N. Batum (bad pass),10,13
54,1,6:03.0,I. Canaan makes 2-pt jump shot from 13 ft,,12,13
55,1,5:49.0,,K. Walker makes 2-pt layup from 1 ft,12,15
56,1,5:39.0,C. Landry misses 2-pt jump shot from 8 ft (block by C. Zeller),,12,15
57,1,5:38.0,Offensive rebound by C. Landry,,12,15
58,1,5:34.0,N. Stauskas makes 3-pt jump shot from 24 ft (assist by C. Landry),,15,15
59,1,5:23.0,,K. Walker makes 2-pt jump shot from 18 ft,15,17
60,1,5:01.0,R. Covington misses 3-pt jump shot from 25 ft,,15,17
61,1,5:00.0,,Defensive rebound by K. Walker,15,17
62,1,4:45.0,,C. Zeller makes 2-pt dunk at rim (assist by N. Batum),15,19
63,1,4:20.0,C. Landry makes 2-pt layup from 2 ft (assist by I. Smith),,17,19
64,1,4:03.0,,N. Batum misses 3-pt jump shot from 25 ft,17,19
65,1,4:02.0,Defensive rebound by I. Smith,,17,19
66,1,3:55.0,E. Brand enters the game for C. Landry,,17,19
67,1,3:55.0,T. McConnell enters the game for I. Canaan,,17,19
68,1,3:55.0,,A. Jefferson enters the game for C. Zeller,17,19
69,1,3:55.0,,J. Lin enters the game for C. Lee,17,19
70,1,3:51.0,Turnover by N. Stauskas (bad pass; steal by J. Lin),,17,19
71,1,3:46.0,,J. Lin makes 2-pt layup at rim,17,21
72,1,3:31.0,N. Stauskas misses 3-pt jump shot from 23 ft,,17,21
73,1,3:29.0,,Defensive rebound by A. Jefferson,17,21
74,1,3:17.0,,A. Jefferson misses 2-pt jump shot from 9 ft (block by E. Brand),17,21
75,1,3:17.0,Defensive rebound by Team,,17,21
76,1,3:17.0,,F. Kaminsky enters the game for M. Williams,17,21
77,1,3:17.0,,J. Lamb enters the game for N. Batum,17,21
78,1,3:01.0,E. Brand makes 2-pt layup from 1 ft (assist by T. McConnell),,19,21
79,1,2:40.0,,K. Walker misses 2-pt jump shot from 18 ft,19,21
80,1,2:39.0,Defensive rebound by E. Brand,,19,21
81,1,2:30.0,I. Smith misses 3-pt jump shot from 24 ft,,19,21
82,1,2:27.0,,Defensive rebound by J. Lamb,19,21
83,1,2:14.0,,K. Walker misses 3-pt jump shot from 24 ft,19,21
84,1,2:13.0,Defensive rebound by E. Brand,,19,21
85,1,2:07.0,Turnover by I. Smith (bad pass; steal by F. Kaminsky),,19,21
86,1,2:06.0,,Personal foul by R. Covington,19,21
87,1,2:06.0,,Charlotte full timeout,19,21
88,1,2:06.0,K. Marshall enters the game for I. Smith,,19,21
89,1,2:06.0,,F. Kaminsky makes free throw 1 of 2,19,22
90,1,2:06.0,,F. Kaminsky misses free throw 2 of 2,19,22
91,1,2:05.0,,Offensive rebound by Team,19,22
92,1,2:04.0,,J. Lin makes 2-pt layup from 1 ft (assist by J. Lamb),19,24
93,1,2:04.0,,Shooting foul by E. Brand (drawn by J. Lin),19,24
94,1,2:04.0,,J. Lin makes free throw 1 of 1,19,25
95,1,1:42.0,T. McConnell makes 3-pt jump shot from 23 ft (assist by N. Stauskas),,22,25
96,1,1:18.0,,F. Kaminsky misses 2-pt layup from 1 ft,22,25
97,1,1:17.0,Defensive rebound by E. Brand,,22,25
98,1,1:06.0,Shooting foul by A. Jefferson (drawn by R. Covington),,22,25
99,1,1:06.0,R. Covington misses free throw 1 of 2,,22,25
100,1,1:06.0,Offensive rebound by Team,,22,25
101,1,1:06.0,R. Covington misses free throw 2 of 2,,22,25
102,1,1:05.0,,Defensive rebound by A. Jefferson,22,25
103,1,0:48.0,,A. Jefferson misses 2-pt layup from 2 ft (block by R. Covington),22,25
104,1,0:47.0,Defensive rebound by E. Brand,,22,25
105,1,0:28.0,R. Covington makes 3-pt jump shot from 24 ft (assist by E. Brand),,25,25
106,1,0:08.0,,K. Walker misses 3-pt jump shot from 24 ft,25,25
107,1,0:06.0,Defensive rebound by R. Covington,,25,25
108,1,0:00.0,R. Covington misses 3-pt jump shot from 24 ft,,25,25
109,1,0:00.0,Offensive rebound by Team,,25,25
110,2,11:47.0,Personal foul by J. Lamb,,25,25
111,2,11:36.0,E. Brand makes 2-pt jump shot from 17 ft (assist by T. McConnell),,27,25
112,2,11:20.0,,Turnover by J. Lin (bad pass; steal by J. Grant),27,25
113,2,11:16.0,K. Marshall misses 2-pt layup from 1 ft,,27,25
114,2,11:12.0,,Defensive rebound by F. Kaminsky,27,25
115,2,10:57.0,,J. Lamb misses 2-pt jump shot from 4 ft (block by J. Grant),27,25
116,2,10:55.0,Defensive rebound by K. Marshall,,27,25
117,2,10:44.0,Shooting foul by J. Lamb (drawn by N. Stauskas),,27,25
118,2,10:44.0,N. Stauskas misses free throw 1 of 3,,27,25
119,2,10:44.0,Offensive rebound by Team,,27,25
120,2,10:44.0,N. Stauskas makes free throw 2 of 3,,28,25
121,2,10:44.0,N. Stauskas makes free throw 3 of 3,,29,25
122,2,10:32.0,,J. Lin misses 2-pt jump shot from 15 ft (block by T. McConnell),29,25
123,2,10:30.0,Defensive rebound by E. Brand,,29,25
124,2,10:28.0,N. Stauskas misses 2-pt layup at rim (block by J. Lin),,29,25
125,2,10:25.0,,Defensive rebound by F. Kaminsky,29,25
126,2,10:16.0,,A. Jefferson makes 2-pt dunk at rim (assist by J. Lin),29,27
127,2,10:01.0,N. Stauskas makes 2-pt dunk at rim (assist by J. Grant),,31,27
128,2,9:53.0,,Charlotte full timeout,31,27
129,2,9:41.0,,J. Lamb makes 2-pt layup from 1 ft (assist by J. Lin),31,29
130,2,9:36.0,Shooting foul by F. Kaminsky (drawn by J. Grant),,31,29
131,2,9:36.0,J. Grant makes free throw 1 of 2,,32,29
132,2,9:36.0,J. Grant misses free throw 2 of 2,,32,29
133,2,9:35.0,,Defensive rebound by F. Kaminsky,32,29
