,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CLEVELAND_ACTION,PHILADELPHIA_SCORE,CLEVELAND_SCORE
0,1,11:44.0,K. Marshall makes 2-pt jump shot from 17 ft,,2,0
1,1,11:20.0,,K. Irving misses 2-pt layup from 1 ft,2,0
2,1,11:18.0,Defensive rebound by I. Canaan,,2,0
3,1,11:01.0,J. Okafor misses 2-pt jump shot from 16 ft,,2,0
4,1,11:00.0,,Defensive rebound by L. James,2,0
5,1,10:52.0,,L. James makes 2-pt layup from 1 ft,2,2
6,1,10:34.0,R. Covington misses 2-pt jump shot from 10 ft,,2,2
7,1,10:33.0,,Defensive rebound by L. James,2,2
8,1,10:21.0,,T. Mozgov makes 2-pt jump shot from 18 ft (assist by K. Irving),2,4
9,1,10:04.0,J. Okafor makes 2-pt jump shot from 11 ft (assist by K. Marshall),,4,4
10,1,9:40.0,,K. Love makes 2-pt hook shot from 11 ft (assist by J. Smith),4,6
11,1,9:23.0,J. Okafor makes 2-pt layup at rim,,6,6
12,1,9:11.0,,K. Love misses 2-pt layup at rim (block by N. Noel),6,6
13,1,9:09.0,Defensive rebound by J. Okafor,,6,6
14,1,8:46.0,N. Noel misses 2-pt jump shot from 5 ft,,6,6
15,1,8:46.0,,Defensive rebound by K. Love,6,6
16,1,8:44.0,,Turnover by K. Love (bad pass; steal by R. Covington),6,6
17,1,8:36.0,I. Canaan makes 3-pt jump shot from 24 ft (assist by K. Marshall),,9,6
18,1,8:23.0,,K. Irving misses 2-pt jump shot from 16 ft,9,6
19,1,8:21.0,Defensive rebound by N. Noel,,9,6
20,1,8:10.0,R. Covington misses 3-pt jump shot from 25 ft,,9,6
21,1,8:10.0,,Defensive rebound by T. Mozgov,9,6
22,1,8:05.0,,Personal foul by R. Covington (drawn by K. Love),9,6
23,1,8:05.0,,M. Dellavedova enters the game for K. Irving,9,6
24,1,7:58.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,9,6
25,1,7:57.0,Defensive rebound by N. Noel,,9,6
26,1,7:41.0,K. Marshall misses 3-pt jump shot from 25 ft,,9,6
27,1,7:40.0,,Defensive rebound by K. Love,9,6
28,1,7:28.0,,Shooting foul by J. Okafor (drawn by T. Mozgov),9,6
29,1,7:28.0,,T. Mozgov makes free throw 1 of 2,9,7
30,1,7:28.0,,T. Mozgov makes free throw 2 of 2,9,8
31,1,7:17.0,N. Noel makes 2-pt jump shot from 11 ft (assist by K. Marshall),,11,8
32,1,6:58.0,,Turnover by M. Dellavedova (lost ball; steal by I. Canaan),11,8
33,1,6:54.0,I. Canaan misses 2-pt layup from 1 ft,,11,8
34,1,6:53.0,,Defensive rebound by Team,11,8
35,1,6:53.0,,Personal foul by R. Covington (drawn by M. Dellavedova),11,8
36,1,6:53.0,H. Thompson enters the game for R. Covington,,11,8
37,1,6:40.0,,T. Mozgov misses 2-pt dunk at rim,11,8
38,1,6:36.0,Defensive rebound by K. Marshall,,11,8
39,1,6:25.0,Shooting foul by K. Love (drawn by N. Noel),,11,8
40,1,6:25.0,N. Noel makes free throw 1 of 2,,12,8
41,1,6:25.0,N. Noel makes free throw 2 of 2,,13,8
42,1,6:11.0,,T. Mozgov makes 2-pt hook shot from 1 ft (assist by K. Love),13,10
43,1,5:57.0,J. Okafor misses 2-pt jump shot from 14 ft,,13,10
44,1,5:56.0,,Defensive rebound by L. James,13,10
45,1,5:51.0,,T. Mozgov makes 2-pt layup at rim (assist by L. James),13,12
46,1,5:51.0,Philadelphia full timeout,,13,12
47,1,5:51.0,,I. Shumpert enters the game for J. Smith,13,12
48,1,5:51.0,T. Wroten enters the game for K. Marshall,,13,12
49,1,5:39.0,Turnover by J. Okafor (traveling),,13,12
50,1,5:30.0,,Turnover by M. Dellavedova (bad pass),13,12
51,1,5:30.0,J. Grant enters the game for J. Okafor,,13,12
52,1,5:30.0,J. Sampson enters the game for I. Canaan,,13,12
53,1,5:15.0,N. Noel misses 2-pt jump shot from 5 ft,,13,12
54,1,5:14.0,Offensive rebound by N. Noel,,13,12
55,1,5:11.0,N. Noel makes 2-pt layup from 3 ft,,15,12
56,1,4:57.0,,Turnover by K. Love (bad pass),15,12
57,1,4:57.0,,T. Thompson enters the game for T. Mozgov,15,12
58,1,4:43.0,J. Grant misses 2-pt jump shot from 6 ft (block by T. Thompson),,15,12
59,1,4:42.0,,Defensive rebound by I. Shumpert,15,12
60,1,4:38.0,,L. James makes 2-pt layup from 2 ft (assist by I. Shumpert),15,14
61,1,4:19.0,Turnover by H. Thompson (traveling),,15,14
62,1,4:06.0,,L. James misses 2-pt layup from 1 ft,15,14
63,1,4:06.0,Defensive rebound by J. Sampson,,15,14
64,1,4:00.0,,Offensive charge foul by H. Thompson (drawn by K. Love),15,14
65,1,4:00.0,Turnover by H. Thompson (offensive foul),,15,14
66,1,3:55.0,R. Holmes enters the game for N. Noel,,15,14
67,1,3:49.0,,J. Jones enters the game for K. Love,15,14
68,1,3:37.0,Violation by J. Grant (def goaltending),,15,14
69,1,3:37.0,,T. Thompson makes 2-pt layup at rim (assist by I. Shumpert),15,16
70,1,3:30.0,Turnover by R. Holmes (lost ball; steal by M. Dellavedova),,15,16
71,1,3:22.0,,L. James makes 2-pt layup at rim (assist by M. Dellavedova),15,18
72,1,3:00.0,J. Sampson misses 2-pt jump shot from 4 ft,,15,18
73,1,2:58.0,Offensive rebound by R. Holmes,,15,18
74,1,2:56.0,R. Holmes makes 2-pt dunk at rim,,17,18
75,1,2:40.0,,T. Thompson makes 2-pt layup from 1 ft (assist by M. Dellavedova),17,20
76,1,2:24.0,J. Grant misses 2-pt jump shot from 3 ft (block by J. Jones),,17,20
77,1,2:23.0,,Defensive rebound by J. Jones,17,20
78,1,2:23.0,,Cleveland full timeout,17,20
79,1,2:23.0,,R. Jefferson enters the game for L. James,17,20
80,1,2:09.0,,I. Shumpert misses 3-pt jump shot from 24 ft,17,20
81,1,2:08.0,Defensive rebound by T. Wroten,,17,20
82,1,2:00.0,J. Sampson makes 2-pt jump shot from 5 ft (assist by T. Wroten),,19,20
83,1,1:44.0,,I. Shumpert misses 2-pt jump shot from 18 ft,19,20
84,1,1:43.0,,Offensive rebound by T. Thompson,19,20
85,1,1:43.0,,T. Thompson misses 2-pt layup at rim,19,20
86,1,1:43.0,Defensive rebound by Team,,19,20
87,1,1:43.0,Personal foul by T. Thompson (drawn by T. Wroten),,19,20
88,1,1:29.0,R. Holmes misses 2-pt layup at rim,,19,20
89,1,1:28.0,,Defensive rebound by T. Thompson,19,20
90,1,1:13.0,,Turnover by M. Dellavedova (bad pass),19,20
91,1,1:00.0,Shooting foul by R. Jefferson (drawn by R. Holmes),,19,20
92,1,1:00.0,R. Holmes makes free throw 1 of 2,,20,20
93,1,1:00.0,R. Holmes makes free throw 2 of 2,,21,20
94,1,0:51.0,,Shooting foul by T. Wroten (drawn by I. Shumpert),21,20
95,1,0:51.0,,I. Shumpert makes free throw 1 of 2,21,21
96,1,0:51.0,,A. Varejão enters the game for T. Thompson,21,21
97,1,0:51.0,,I. Shumpert misses free throw 2 of 2,21,21
98,1,0:48.0,Defensive rebound by H. Thompson,,21,21
