,QUARTER,TIME_REMAINING,MIAMI_ACTION,GOLDEN STATE_ACTION,MIAMI_SCORE,GOLDEN STATE_SCORE
0,1,11:37.0,C. Bosh makes 2-pt jump shot from 18 ft (assist by D. Wade),,2,0
1,1,11:19.0,,A. Bogut misses 2-pt hook shot from 10 ft,2,0
2,1,11:18.0,Defensive rebound by D. Wade,,2,0
3,1,11:05.0,G. Dragić misses 3-pt jump shot from 25 ft,,2,0
4,1,11:04.0,,Defensive rebound by D. Green,2,0
5,1,10:53.0,,A. Bogut makes 2-pt layup at rim (assist by S. Curry),2,2
6,1,10:32.0,D. Wade misses 2-pt jump shot from 13 ft,,2,2
7,1,10:30.0,,Defensive rebound by A. Bogut,2,2
8,1,10:18.0,,K. Thompson makes 2-pt jump shot from 10 ft (assist by D. Green),2,4
9,1,10:02.0,C. Bosh misses 3-pt jump shot from 25 ft,,2,4
10,1,10:02.0,,Defensive rebound by B. Rush,2,4
11,1,9:53.0,,S. Curry misses 2-pt jump shot from 22 ft,2,4
12,1,9:53.0,Defensive rebound by C. Bosh,,2,4
13,1,9:41.0,J. Winslow misses 2-pt jump shot from 17 ft,,2,4
14,1,9:41.0,,Defensive rebound by A. Bogut,2,4
15,1,9:35.0,,Turnover by A. Bogut (bad pass; steal by J. Winslow),2,4
16,1,9:26.0,L. Deng misses 3-pt jump shot from 23 ft,,2,4
17,1,9:26.0,,Defensive rebound by A. Bogut,2,4
18,1,9:18.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Green),2,7
19,1,8:55.0,J. Winslow makes 3-pt jump shot from 24 ft (assist by L. Deng),,5,7
20,1,8:48.0,,Personal foul by J. Winslow (drawn by K. Thompson),5,7
21,1,8:43.0,,K. Thompson misses 2-pt layup from 1 ft,5,7
22,1,8:42.0,Defensive rebound by J. Winslow,,5,7
23,1,8:28.0,G. Dragić makes 2-pt jump shot from 13 ft,,7,7
24,1,8:18.0,,Personal foul by G. Dragić (drawn by A. Bogut),7,7
25,1,8:05.0,,S. Curry misses 2-pt jump shot from 6 ft,7,7
26,1,8:04.0,Defensive rebound by C. Bosh,,7,7
27,1,7:53.0,L. Deng makes 2-pt layup from 1 ft (assist by D. Wade),,9,7
28,1,7:40.0,,K. Thompson misses 2-pt jump shot from 11 ft,9,7
29,1,7:39.0,Defensive rebound by L. Deng,,9,7
30,1,7:30.0,G. Dragić makes 2-pt layup from 1 ft,,11,7
31,1,7:20.0,,D. Green misses 2-pt layup from 2 ft (block by C. Bosh),11,7
32,1,7:19.0,Defensive rebound by G. Dragić,,11,7
33,1,7:14.0,L. Deng misses 2-pt layup from 1 ft,,11,7
34,1,7:13.0,,Defensive rebound by K. Thompson,11,7
35,1,7:13.0,Technical foul by L. Deng,,11,7
36,1,7:13.0,,S. Curry makes technical free throw,11,8
37,1,6:54.0,,S. Curry misses 2-pt layup from 2 ft (block by J. Winslow),11,8
38,1,6:53.0,Defensive rebound by L. Deng,,11,8
39,1,6:49.0,G. Dragić misses 2-pt layup from 2 ft (block by A. Bogut),,11,8
40,1,6:49.0,Offensive rebound by Team,,11,8
41,1,6:49.0,G. Green enters the game for L. Deng,,11,8
42,1,6:49.0,T. Johnson enters the game for G. Dragić,,11,8
43,1,6:41.0,D. Wade makes 2-pt jump shot from 8 ft (assist by C. Bosh),,13,8
44,1,6:34.0,,K. Thompson misses 3-pt jump shot from 27 ft,13,8
45,1,6:34.0,Defensive rebound by Team,,13,8
46,1,6:19.0,J. Winslow misses 3-pt jump shot from 24 ft,,13,8
47,1,6:18.0,,Defensive rebound by D. Green,13,8
48,1,6:12.0,,B. Rush misses 3-pt jump shot from 23 ft,13,8
49,1,6:09.0,Defensive rebound by C. Bosh,,13,8
50,1,5:58.0,C. Bosh makes 2-pt jump shot from 14 ft (assist by T. Johnson),,15,8
51,1,5:50.0,,S. Curry makes 2-pt layup from 2 ft (assist by A. Bogut),15,10
52,1,5:50.0,,Shooting foul by T. Johnson (drawn by S. Curry),15,10
53,1,5:50.0,,Golden State full timeout,15,10
54,1,5:50.0,,A. Iguodala enters the game for A. Bogut,15,10
55,1,5:50.0,,S. Curry makes free throw 1 of 1,15,11
56,1,5:36.0,Shooting foul by K. Thompson (drawn by D. Wade),,15,11
57,1,5:36.0,D. Wade makes free throw 1 of 2,,16,11
58,1,5:36.0,D. Wade makes free throw 2 of 2,,17,11
59,1,5:21.0,,S. Curry makes 2-pt layup from 1 ft (assist by K. Thompson),17,13
60,1,5:13.0,D. Wade makes 2-pt layup at rim (assist by T. Johnson),,19,13
61,1,5:04.0,,D. Green makes 2-pt layup from 2 ft (assist by S. Curry),19,15
62,1,5:04.0,,Shooting foul by D. Wade (drawn by D. Green),19,15
63,1,5:04.0,,D. Green misses free throw 1 of 1,19,15
64,1,5:01.0,Defensive rebound by J. Winslow,,19,15
65,1,4:53.0,T. Johnson makes 2-pt dunk at rim (assist by C. Bosh),,21,15
66,1,4:42.0,,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),21,17
67,1,4:33.0,Miami full timeout,,21,17
68,1,4:33.0,,H. Barnes enters the game for B. Rush,21,17
69,1,4:24.0,D. Wade misses 2-pt jump shot from 12 ft,,21,17
70,1,4:24.0,,Defensive rebound by S. Curry,21,17
71,1,4:12.0,,Shooting foul by G. Green (drawn by D. Green),21,17
72,1,4:12.0,,D. Green makes free throw 1 of 2,21,18
73,1,4:12.0,G. Dragić enters the game for D. Wade,,21,18
74,1,4:12.0,,D. Green makes free throw 2 of 2,21,19
75,1,3:55.0,C. Bosh makes 2-pt jump shot from 11 ft,,23,19
76,1,3:43.0,,D. Green makes 2-pt dunk at rim (assist by A. Iguodala),23,21
77,1,3:24.0,C. Bosh misses 2-pt jump shot from 20 ft,,23,21
78,1,3:23.0,,Defensive rebound by D. Green,23,21
79,1,3:15.0,,S. Curry misses 2-pt layup from 1 ft,23,21
80,1,3:15.0,Defensive rebound by T. Johnson,,23,21
81,1,3:01.0,C. Bosh makes 2-pt jump shot from 19 ft (assist by G. Dragić),,25,21
82,1,2:45.0,,K. Thompson makes 2-pt hook shot from 6 ft (assist by H. Barnes),25,23
83,1,2:30.0,G. Green misses 2-pt jump shot from 18 ft,,25,23
84,1,2:30.0,,Defensive rebound by K. Thompson,25,23
85,1,2:19.0,,H. Barnes misses 2-pt jump shot from 12 ft,25,23
