,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW YORK_ACTION,MILWAUKEE_SCORE,NEW YORK_SCORE
115,2,10:03.0,,D. Williams makes free throw 1 of 2,37,25
116,2,10:03.0,J. Parker enters the game for J. O'Bryant,,37,25
117,2,10:03.0,,D. Williams makes free throw 2 of 2,37,26
118,2,9:41.0,M. Plumlee makes 2-pt jump shot from 4 ft (assist by J. Bayless),,39,26
119,2,9:20.0,,L. Thomas makes 2-pt jump shot from 4 ft,39,28
120,2,9:20.0,,Shooting foul by K. Middleton (drawn by L. Thomas),39,28
121,2,9:20.0,Violation by M. Plumlee (def goaltending),,39,28
122,2,9:20.0,Technical foul by M. Plumlee,,39,28
123,2,9:20.0,,L. Galloway makes technical free throw,39,29
124,2,9:20.0,,S. Vujačić enters the game for J. Grant,39,29
125,2,9:20.0,,L. Thomas makes free throw 1 of 1,39,30
126,2,9:08.0,J. Parker misses 2-pt jump shot from 8 ft,,39,30
127,2,9:05.0,Offensive rebound by M. Plumlee,,39,30
128,2,8:59.0,J. Parker makes 2-pt dunk at rim,,41,30
129,2,8:48.0,,L. Thomas misses 3-pt jump shot from 24 ft,41,30
130,2,8:46.0,Defensive rebound by J. Parker,,41,30
131,2,8:37.0,J. Parker misses 2-pt jump shot from 17 ft,,41,30
132,2,8:35.0,,Defensive rebound by L. Thomas,41,30
133,2,8:31.0,,Personal foul by J. Parker (drawn by D. Williams),41,30
134,2,8:31.0,Official timeout,,41,30
135,2,8:31.0,T. Ennis enters the game for G. Vásquez,,41,30
136,2,8:31.0,G. Monroe enters the game for M. Plumlee,,41,30
137,2,8:23.0,,L. Galloway misses 2-pt jump shot from 14 ft,41,30
138,2,8:21.0,Defensive rebound by T. Ennis,,41,30
139,2,8:05.0,J. Bayless misses 2-pt jump shot from 3 ft,,41,30
140,2,8:03.0,,Defensive rebound by K. Séraphin,41,30
141,2,7:57.0,,L. Galloway misses 2-pt layup from 2 ft,41,30
142,2,7:55.0,Defensive rebound by G. Monroe,,41,30
143,2,7:36.0,J. Bayless makes 3-pt jump shot from 23 ft (assist by J. Parker),,44,30
144,2,7:17.0,,L. Galloway misses 3-pt jump shot from 24 ft,44,30
145,2,7:14.0,Defensive rebound by K. Middleton,,44,30
146,2,7:03.0,K. Middleton misses 2-pt jump shot from 7 ft,,44,30
147,2,7:01.0,,Defensive rebound by L. Thomas,44,30
148,2,6:47.0,,Shooting foul by J. Bayless (drawn by D. Williams),44,30
149,2,6:47.0,,D. Williams misses free throw 1 of 2,44,30
150,2,6:47.0,,Offensive rebound by Team,44,30
151,2,6:47.0,,J. Calderón enters the game for L. Galloway,44,30
152,2,6:47.0,,C. Anthony enters the game for L. Thomas,44,30
153,2,6:47.0,,R. Lopez enters the game for K. Séraphin,44,30
154,2,6:47.0,,D. Williams makes free throw 2 of 2,44,31
155,2,6:30.0,G. Monroe misses 2-pt layup from 1 ft,,44,31
156,2,6:28.0,,Defensive rebound by J. Calderón,44,31
157,2,6:20.0,,S. Vujačić misses 3-pt jump shot from 24 ft,44,31
158,2,6:18.0,,Offensive rebound by J. Calderón,44,31
159,2,6:16.0,,C. Anthony makes 3-pt jump shot from 24 ft (assist by J. Calderón),44,34
160,2,6:02.0,Turnover by K. Middleton (bad pass),,44,34
161,2,6:02.0,,K. Porziņģis enters the game for D. Williams,44,34
162,2,6:02.0,G. Antetokounmpo enters the game for J. Parker,,44,34
163,2,5:48.0,,S. Vujačić misses 2-pt jump shot from 11 ft,44,34
164,2,5:47.0,,Offensive rebound by Team,44,34
165,2,5:47.0,,New York full timeout,44,34
166,2,5:34.0,,R. Lopez makes 2-pt jump shot from 11 ft (assist by C. Anthony),44,36
167,2,5:22.0,Shooting foul by K. Porziņģis (drawn by G. Antetokounmpo),,44,36
168,2,5:22.0,G. Antetokounmpo makes free throw 1 of 2,,45,36
169,2,5:22.0,G. Antetokounmpo makes free throw 2 of 2,,46,36
170,2,5:08.0,,R. Lopez makes 2-pt layup from 1 ft (assist by C. Anthony),46,38
171,2,4:55.0,T. Ennis misses 2-pt jump shot from 13 ft,,46,38
172,2,4:53.0,,Defensive rebound by S. Vujačić,46,38
173,2,4:40.0,,R. Lopez misses 2-pt hook shot from 6 ft,46,38
174,2,4:38.0,,Offensive rebound by K. Porziņģis,46,38
175,2,4:38.0,,K. Porziņģis misses 2-pt layup at rim,46,38
176,2,4:36.0,Defensive rebound by K. Middleton,,46,38
177,2,4:29.0,K. Middleton misses 3-pt jump shot from 24 ft,,46,38
178,2,4:27.0,Offensive rebound by G. Monroe,,46,38
179,2,4:23.0,Turnover by G. Monroe (bad pass),,46,38
180,2,4:15.0,,Shooting foul by G. Antetokounmpo (drawn by C. Anthony),46,38
181,2,4:15.0,,C. Anthony makes free throw 1 of 2,46,39
182,2,4:15.0,,C. Anthony makes free throw 2 of 2,46,40
183,2,4:03.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,46,40
184,2,4:01.0,,Defensive rebound by K. Porziņģis,46,40
185,2,3:54.0,,R. Lopez makes 2-pt layup at rim (assist by J. Calderón),46,42
186,2,3:52.0,Milwaukee full timeout,,46,42
187,2,3:52.0,C. Copeland enters the game for J. Bayless,,46,42
188,2,3:28.0,Turnover by G. Antetokounmpo (offensive goaltending),,46,42
189,2,3:18.0,,C. Anthony misses 3-pt jump shot from 24 ft,46,42
190,2,3:16.0,Defensive rebound by Team,,46,42
191,2,2:53.0,G. Monroe misses 2-pt hook shot from 5 ft,,46,42
192,2,2:53.0,Offensive rebound by Team,,46,42
193,2,2:53.0,,Loose ball foul by J. Calderón (drawn by C. Copeland),46,42
194,2,2:41.0,Personal foul by R. Lopez (drawn by G. Monroe),,46,42
195,2,2:41.0,Technical foul by G. Monroe,,46,42
196,2,2:41.0,,C. Anthony makes technical free throw,46,43
197,2,2:41.0,G. Monroe makes free throw 1 of 2,,47,43
198,2,2:41.0,G. Monroe makes free throw 2 of 2,,48,43
199,2,2:31.0,,Turnover by C. Anthony (lost ball; steal by G. Antetokounmpo),48,43
200,2,2:12.0,C. Copeland misses 3-pt jump shot from 23 ft (block by K. Porziņģis),,48,43
201,2,2:12.0,Offensive rebound by Team,,48,43
202,2,2:10.0,K. Middleton misses 2-pt jump shot from 16 ft,,48,43
203,2,2:08.0,Offensive rebound by T. Ennis,,48,43
204,2,1:51.0,G. Monroe misses 2-pt layup from 1 ft,,48,43
205,2,1:50.0,,Defensive rebound by K. Porziņģis,48,43
206,2,1:42.0,,K. Porziņģis makes 3-pt jump shot from 24 ft (assist by S. Vujačić),48,46
207,2,1:33.0,Personal foul by J. Calderón (drawn by T. Ennis),,48,46
208,2,1:33.0,T. Ennis makes free throw 1 of 2,,49,46
209,2,1:33.0,J. Henson enters the game for G. Monroe,,49,46
210,2,1:33.0,,L. Galloway enters the game for J. Calderón,49,46
211,2,1:33.0,T. Ennis makes free throw 2 of 2,,50,46
212,2,1:17.0,,R. Lopez misses 2-pt jump shot from 5 ft,50,46
213,2,1:15.0,,Offensive rebound by K. Porziņģis,50,46
214,2,1:15.0,,Shooting foul by T. Ennis (drawn by K. Porziņģis),50,46
215,2,1:15.0,,K. Porziņģis makes free throw 1 of 2,50,47
216,2,1:15.0,G. Vásquez enters the game for T. Ennis,,50,47
217,2,1:15.0,,K. Porziņģis misses free throw 2 of 2,50,47
218,2,1:14.0,Defensive rebound by J. Henson,,50,47
219,2,0:56.0,G. Vásquez misses 3-pt jump shot from 22 ft,,50,47
220,2,0:53.0,Offensive rebound by J. Henson,,50,47
221,2,0:53.0,J. Henson makes 2-pt layup from 2 ft,,52,47
222,2,0:40.0,,Def 3 sec tech foul by J. Henson,52,47
223,2,0:40.0,,C. Anthony makes technical free throw,52,48
224,2,0:34.0,,C. Anthony makes 2-pt jump shot from 11 ft (assist by K. Porziņģis),52,50
225,2,0:25.0,Shooting foul by R. Lopez (drawn by J. Henson),,52,50
226,2,0:25.0,J. Henson makes free throw 1 of 2,,53,50
227,2,0:25.0,J. Henson makes free throw 2 of 2,,54,50
228,2,0:20.0,,New York full timeout,54,50
229,2,0:20.0,J. Bayless enters the game for K. Middleton,,54,50
230,2,0:20.0,,Violation by Team (delay of game),54,50
231,2,0:11.0,,L. Galloway makes 3-pt jump shot from 22 ft (assist by S. Vujačić),54,53
232,2,0:01.0,J. Henson makes 2-pt hook shot from 3 ft (assist by C. Copeland),,56,53
233,3,11:39.0,G. Monroe misses 2-pt jump shot from 11 ft,,56,53
234,3,11:37.0,,Defensive rebound by C. Anthony,56,53
235,3,11:29.0,,Turnover by K. Porziņģis (offensive foul),56,53
236,3,11:29.0,,Offensive foul by K. Porziņģis (drawn by G. Antetokounmpo),56,53
237,3,11:16.0,G. Antetokounmpo makes 2-pt jump shot from 12 ft,,58,53
238,3,11:01.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by J. Calderón),58,55
239,3,10:47.0,Shooting foul by C. Anthony (drawn by G. Antetokounmpo),,58,55
240,3,10:47.0,G. Antetokounmpo makes free throw 1 of 2,,59,55
241,3,10:47.0,G. Antetokounmpo makes free throw 2 of 2,,60,55
242,3,10:31.0,,C. Anthony misses 2-pt jump shot from 14 ft,60,55
243,3,10:30.0,Defensive rebound by T. Ennis,,60,55
244,3,10:23.0,T. Ennis misses 2-pt jump shot from 9 ft,,60,55
245,3,10:22.0,,Defensive rebound by R. Lopez,60,55
246,3,10:14.0,,K. Porziņģis misses 3-pt jump shot from 27 ft,60,55
247,3,10:12.0,Defensive rebound by G. Monroe,,60,55
248,3,10:08.0,T. Ennis makes 2-pt layup from 1 ft (assist by G. Monroe),,62,55
249,3,10:01.0,,Turnover by J. Calderón (bad pass),62,55
250,3,9:40.0,G. Monroe misses 2-pt jump shot from 4 ft,,62,55
251,3,9:38.0,,Defensive rebound by K. Porziņģis,62,55
252,3,9:31.0,,Offensive foul by R. Lopez (drawn by T. Ennis),62,55
253,3,9:31.0,,Turnover by R. Lopez (offensive foul),62,55
254,3,9:09.0,T. Ennis misses 2-pt jump shot from 8 ft,,62,55
255,3,9:07.0,,Defensive rebound by C. Anthony,62,55
256,3,8:55.0,,Turnover by S. Vujačić (step out of bounds),62,55
257,3,8:35.0,G. Antetokounmpo makes 2-pt layup at rim,,64,55
258,3,8:34.0,,L. Galloway enters the game for J. Calderón,64,55
259,3,8:34.0,,New York full timeout,64,55
260,3,8:34.0,,J. Grant enters the game for S. Vujačić,64,55
261,3,8:21.0,,L. Galloway misses 3-pt jump shot from 25 ft,64,55
262,3,8:18.0,Defensive rebound by T. Ennis,,64,55
263,3,7:55.0,K. Middleton misses 3-pt jump shot from 32 ft,,64,55
264,3,7:53.0,,Defensive rebound by L. Galloway,64,55
265,3,7:46.0,,C. Anthony misses 2-pt jump shot from 15 ft,64,55
266,3,7:44.0,,Offensive rebound by K. Porziņģis,64,55
267,3,7:44.0,,K. Porziņģis makes 2-pt dunk at rim,64,57
268,3,7:40.0,Turnover by K. Middleton (lost ball),,64,57
269,3,7:22.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by C. Anthony),64,60
270,3,7:01.0,J. Parker misses 2-pt jump shot from 4 ft,,64,60
271,3,7:00.0,,Defensive rebound by K. Porziņģis,64,60
272,3,6:56.0,,Turnover by C. Anthony (lost ball; steal by K. Middleton),64,60
273,3,6:48.0,Turnover by J. Parker (step out of bounds),,64,60
274,3,6:48.0,G. Vásquez enters the game for T. Ennis,,64,60
275,3,6:33.0,,R. Lopez misses 2-pt jump shot from 5 ft (block by G. Monroe),64,60
276,3,6:31.0,,Offensive rebound by Team,64,60
277,3,6:26.0,,C. Anthony misses 2-pt jump shot from 13 ft,64,60
278,3,6:24.0,Defensive rebound by K. Middleton,,64,60
279,3,6:11.0,G. Monroe misses 2-pt layup from 1 ft,,64,60
280,3,6:09.0,Offensive rebound by G. Monroe,,64,60
281,3,6:09.0,G. Monroe misses 2-pt layup from 2 ft,,64,60
282,3,6:07.0,Offensive rebound by G. Monroe,,64,60
283,3,6:05.0,Turnover by G. Monroe (lost ball; steal by L. Galloway),,64,60
284,3,5:58.0,,Shooting foul by G. Antetokounmpo (drawn by L. Galloway),64,60
