,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PORTLAND_ACTION,LA CLIPPERS_SCORE,PORTLAND_SCORE
0,1,11:42.0,J. Redick misses 2-pt jump shot from 21 ft,,0,0
1,1,11:41.0,,Defensive rebound by A. Aminu,0,0
2,1,11:32.0,,D. Lillard misses 2-pt jump shot from 18 ft,0,0
3,1,11:31.0,,Offensive rebound by M. Plumlee,0,0
4,1,11:19.0,,A. Aminu misses 2-pt hook shot from 8 ft,0,0
5,1,11:18.0,,Offensive rebound by M. Plumlee,0,0
6,1,11:14.0,,A. Aminu makes 2-pt jump shot from 17 ft (assist by M. Plumlee),0,2
7,1,10:56.0,J. Redick makes 2-pt jump shot from 19 ft (assist by C. Paul),,2,2
8,1,10:39.0,,D. Lillard misses 3-pt jump shot from 23 ft,2,2
9,1,10:38.0,Defensive rebound by J. Redick,,2,2
10,1,10:28.0,P. Pierce makes 3-pt jump shot from 24 ft (assist by J. Redick),,5,2
11,1,10:10.0,,N. Vonleh makes 2-pt jump shot from 18 ft (assist by A. Crabbe),5,4
12,1,9:51.0,Shooting foul by D. Lillard (drawn by P. Pierce),,5,4
13,1,9:51.0,P. Pierce makes free throw 1 of 2,,6,4
14,1,9:51.0,P. Pierce makes free throw 2 of 2,,7,4
15,1,9:38.0,,A. Crabbe misses 3-pt jump shot from 24 ft,7,4
16,1,9:37.0,Defensive rebound by L. Mbah a Moute,,7,4
17,1,9:30.0,Turnover by C. Paul (lost ball),,7,4
18,1,9:14.0,,A. Aminu misses 3-pt jump shot from 24 ft,7,4
19,1,9:13.0,Defensive rebound by D. Jordan,,7,4
20,1,8:54.0,P. Pierce misses 2-pt jump shot from 12 ft,,7,4
21,1,8:54.0,,Defensive rebound by A. Aminu,7,4
22,1,8:34.0,,A. Aminu misses 2-pt jump shot from 5 ft (block by D. Jordan),7,4
23,1,8:34.0,,Offensive rebound by M. Plumlee,7,4
24,1,8:34.0,,Personal foul by P. Pierce (drawn by M. Plumlee),7,4
25,1,8:28.0,,Turnover by D. Lillard (bad pass),7,4
26,1,8:21.0,C. Paul makes 2-pt jump shot from 16 ft,,9,4
27,1,8:07.0,,Offensive foul by M. Plumlee (drawn by J. Redick),9,4
28,1,8:07.0,,Turnover by M. Plumlee (offensive foul),9,4
29,1,7:55.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,11,4
30,1,7:42.0,,Personal foul by C. Paul (drawn by D. Lillard),11,4
31,1,7:38.0,,Turnover by D. Lillard (lost ball; steal by C. Paul),11,4
32,1,7:35.0,J. Redick makes 2-pt layup from 1 ft (assist by C. Paul),,13,4
33,1,7:35.0,,Portland full timeout,13,4
34,1,7:17.0,,A. Crabbe makes 2-pt dunk at rim (assist by M. Plumlee),13,6
35,1,6:59.0,P. Pierce misses 2-pt jump shot from 18 ft,,13,6
36,1,6:58.0,Offensive rebound by D. Jordan,,13,6
37,1,6:58.0,D. Jordan makes 2-pt layup at rim,,15,6
38,1,6:46.0,,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),15,8
39,1,6:30.0,C. Paul misses 2-pt jump shot from 16 ft,,15,8
40,1,6:30.0,,Defensive rebound by A. Aminu,15,8
41,1,6:12.0,,N. Vonleh misses 2-pt layup from 2 ft (block by D. Jordan),15,8
42,1,6:10.0,,Offensive rebound by A. Crabbe,15,8
43,1,6:05.0,,A. Aminu misses 3-pt jump shot from 24 ft,15,8
44,1,6:04.0,Defensive rebound by P. Pierce,,15,8
45,1,5:58.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,17,8
46,1,5:31.0,,M. Plumlee makes 2-pt hook shot from 5 ft,17,10
47,1,5:08.0,C. Paul makes 2-pt jump shot from 16 ft,,19,10
48,1,5:08.0,Shooting foul by A. Aminu (drawn by C. Paul),,19,10
49,1,5:08.0,,E. Davis enters the game for M. Plumlee,19,10
