,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MINNESOTA_ACTION,NEW ORLEANS_SCORE,MINNESOTA_SCORE
0,1,11:52.0,,Z. LaVine misses 3-pt jump shot from 23 ft,0,0
1,1,11:50.0,Defensive rebound by J. Hamilton,,0,0
2,1,11:29.0,D. Cunningham misses 3-pt jump shot from 23 ft,,0,0
3,1,11:28.0,,Defensive rebound by A. Wiggins,0,0
4,1,11:10.0,,K. Towns misses 3-pt jump shot from 25 ft,0,0
5,1,11:08.0,Defensive rebound by J. Hamilton,,0,0
6,1,10:54.0,Ö. Aşık makes 2-pt dunk at rim (assist by J. Hamilton),,2,0
7,1,10:34.0,,R. Rubio misses 3-pt jump shot from 25 ft,2,0
8,1,10:33.0,Defensive rebound by Team,,2,0
9,1,10:19.0,D. Cunningham misses 2-pt jump shot from 7 ft,,2,0
10,1,10:18.0,Offensive rebound by Ö. Aşık,,2,0
11,1,10:16.0,T. Douglas misses 3-pt jump shot from 24 ft,,2,0
12,1,10:15.0,,Defensive rebound by Team,2,0
13,1,10:03.0,,G. Dieng makes 2-pt dunk at rim (assist by R. Rubio),2,2
14,1,9:59.0,Turnover by Ö. Aşık (bad pass; steal by R. Rubio),,2,2
15,1,9:56.0,,Turnover by Z. LaVine (lost ball; steal by Ö. Aşık),2,2
16,1,9:47.0,J. Ennis makes 2-pt layup from 2 ft (assist by T. Douglas),,4,2
17,1,9:35.0,,G. Dieng makes 2-pt layup from 2 ft (assist by R. Rubio),4,4
18,1,9:08.0,J. Hamilton misses 3-pt jump shot from 24 ft,,4,4
19,1,9:07.0,,Defensive rebound by G. Dieng,4,4
20,1,8:57.0,,Shooting foul by J. Hamilton (drawn by R. Rubio),4,4
21,1,8:57.0,,R. Rubio makes free throw 1 of 2,4,5
22,1,8:57.0,,R. Rubio makes free throw 2 of 2,4,6
23,1,8:42.0,T. Douglas misses 2-pt jump shot from 19 ft,,4,6
24,1,8:41.0,,Defensive rebound by R. Rubio,4,6
25,1,8:37.0,,Turnover by R. Rubio (bad pass; steal by T. Douglas),4,6
26,1,8:31.0,J. Ennis makes 3-pt jump shot from 22 ft (assist by T. Douglas),,7,6
27,1,8:15.0,,K. Towns makes 3-pt jump shot from 22 ft (assist by R. Rubio),7,9
28,1,7:57.0,J. Hamilton misses 3-pt jump shot from 24 ft,,7,9
29,1,7:56.0,Offensive rebound by T. Douglas,,7,9
30,1,7:52.0,D. Cunningham makes 2-pt layup from 1 ft (assist by T. Douglas),,9,9
31,1,7:32.0,,Z. LaVine misses 3-pt jump shot from 22 ft,9,9
32,1,7:30.0,Defensive rebound by J. Hamilton,,9,9
33,1,7:16.0,Ö. Aşık misses 2-pt layup from 2 ft (block by K. Towns),,9,9
34,1,7:15.0,Offensive rebound by Team,,9,9
35,1,7:13.0,T. Douglas makes 2-pt jump shot from 19 ft (assist by D. Cunningham),,11,9
36,1,6:57.0,,G. Dieng makes 2-pt jump shot from 6 ft (assist by R. Rubio),11,11
37,1,6:41.0,Shooting foul by R. Rubio (drawn by Ö. Aşık),,11,11
38,1,6:41.0,Ö. Aşık makes free throw 1 of 2,,12,11
39,1,6:41.0,Ö. Aşık makes free throw 2 of 2,,13,11
40,1,6:30.0,,K. Towns makes 2-pt jump shot from 17 ft (assist by Z. LaVine),13,13
41,1,6:10.0,D. Cunningham misses 2-pt layup from 2 ft (block by G. Dieng),,13,13
42,1,6:09.0,Offensive rebound by Team,,13,13
43,1,6:06.0,J. Ennis misses 2-pt jump shot from 17 ft,,13,13
44,1,6:05.0,,Defensive rebound by K. Towns,13,13
45,1,5:55.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by R. Rubio),13,16
46,1,5:39.0,J. Ennis misses 2-pt layup from 3 ft (block by Z. LaVine),,13,16
47,1,5:38.0,Offensive rebound by Team,,13,16
48,1,5:38.0,,Minnesota full timeout,13,16
49,1,5:38.0,K. Perkins enters the game for Ö. Aşık,,13,16
50,1,5:38.0,T. Frazier enters the game for T. Douglas,,13,16
51,1,5:34.0,K. Perkins misses 2-pt jump shot from 16 ft,,13,16
52,1,5:33.0,,Defensive rebound by R. Rubio,13,16
53,1,5:22.0,,Shooting foul by J. Ennis (drawn by A. Wiggins),13,16
54,1,5:22.0,,A. Wiggins makes free throw 1 of 2,13,17
55,1,5:22.0,,A. Wiggins misses free throw 2 of 2,13,17
56,1,5:22.0,Defensive rebound by J. Ennis,,13,17
57,1,5:08.0,D. Cunningham misses 2-pt jump shot from 21 ft,,13,17
58,1,5:07.0,,Defensive rebound by K. Towns,13,17
59,1,4:59.0,,K. Towns misses 3-pt jump shot from 24 ft,13,17
60,1,4:57.0,Defensive rebound by J. Hamilton,,13,17
61,1,4:54.0,Turnover by K. Perkins (lost ball; steal by R. Rubio),,13,17
62,1,4:45.0,,K. Towns makes 2-pt hook shot from 7 ft (assist by R. Rubio),13,19
63,1,4:32.0,K. Perkins misses 2-pt jump shot from 17 ft,,13,19
64,1,4:31.0,,Defensive rebound by K. Towns,13,19
65,1,4:17.0,,K. Towns makes 2-pt layup from 1 ft,13,21
66,1,4:01.0,Shooting foul by K. Towns (drawn by K. Perkins),,13,21
67,1,4:01.0,K. Perkins makes free throw 1 of 2,,14,21
