,QUARTER,TIME_REMAINING,INDIANA_ACTION,WASHINGTON_ACTION,INDIANA_SCORE,WASHINGTON_SCORE
0,1,11:49.0,,B. Beal makes 2-pt layup at rim (assist by J. Wall),0,2
1,1,11:31.0,M. Ellis makes 2-pt jump shot from 20 ft (assist by P. George),,2,2
2,1,11:23.0,,O. Porter makes 3-pt jump shot from 23 ft (assist by B. Beal),2,5
3,1,11:13.0,P. George makes 2-pt jump shot from 19 ft,,4,5
4,1,10:50.0,,O. Porter misses 3-pt jump shot from 22 ft,4,5
5,1,10:49.0,,Offensive rebound by M. Gortat,4,5
6,1,10:49.0,,Turnover by M. Gortat (traveling),4,5
7,1,10:35.0,C. Miles makes 3-pt jump shot from 26 ft,,7,5
8,1,10:18.0,,O. Porter misses 2-pt jump shot from 19 ft,7,5
9,1,10:17.0,Defensive rebound by M. Ellis,,7,5
10,1,10:10.0,P. George makes 3-pt jump shot from 26 ft (assist by G. Hill),,10,5
11,1,9:59.0,,J. Wall makes 3-pt jump shot from 26 ft (assist by B. Beal),10,8
12,1,9:35.0,P. George makes 2-pt dunk at rim (assist by I. Mahinmi),,12,8
13,1,9:21.0,,B. Beal makes 2-pt layup from 2 ft,12,10
14,1,9:06.0,Personal foul by O. Porter (drawn by I. Mahinmi),,12,10
15,1,8:56.0,C. Miles makes 3-pt jump shot from 28 ft (assist by G. Hill),,15,10
16,1,8:44.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),15,13
17,1,8:34.0,P. George makes 2-pt jump shot from 13 ft,,17,13
18,1,8:27.0,,Shooting foul by I. Mahinmi (drawn by M. Gortat),17,13
19,1,8:27.0,,M. Gortat misses free throw 1 of 2,17,13
20,1,8:27.0,,Offensive rebound by Team,17,13
21,1,8:27.0,,M. Gortat makes free throw 2 of 2,17,14
22,1,8:13.0,Turnover by C. Miles (bad pass),,17,14
23,1,7:59.0,,B. Beal misses 2-pt jump shot from 9 ft,17,14
24,1,7:58.0,,Offensive rebound by O. Porter,17,14
