,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DENVER_ACTION,MEMPHIS_SCORE,DENVER_SCORE
0,1,11:33.0,Z. Randolph makes 2-pt jump shot from 19 ft,,2,0
1,1,11:08.0,,K. Faried makes 2-pt layup from 1 ft (assist by E. Mudiay),2,2
2,1,10:52.0,Shooting foul by D. Gallinari (drawn by M. Conley),,2,2
3,1,10:52.0,M. Conley makes free throw 1 of 2,,3,2
4,1,10:52.0,M. Conley makes free throw 2 of 2,,4,2
5,1,10:46.0,,Personal foul by M. Conley (drawn by E. Mudiay),4,2
6,1,10:36.0,,G. Harris misses 2-pt jump shot from 16 ft,4,2
7,1,10:35.0,Defensive rebound by Z. Randolph,,4,2
8,1,10:17.0,M. Gasol makes 2-pt jump shot from 13 ft,,6,2
9,1,10:05.0,,Shooting foul by M. Gasol (drawn by N. Jokić),6,2
10,1,10:05.0,,N. Jokić makes free throw 1 of 2,6,3
11,1,10:05.0,,N. Jokić makes free throw 2 of 2,6,4
12,1,9:52.0,Turnover by M. Gasol (lost ball; steal by N. Jokić),,6,4
13,1,9:48.0,,Shooting foul by M. Barnes (drawn by N. Jokić),6,4
14,1,9:48.0,,N. Jokić makes free throw 1 of 2,6,5
15,1,9:48.0,,N. Jokić makes free throw 2 of 2,6,6
16,1,9:36.0,Personal foul by N. Jokić (drawn by M. Gasol),,6,6
17,1,9:27.0,M. Barnes makes 3-pt jump shot from 25 ft (assist by M. Conley),,9,6
18,1,9:07.0,,D. Gallinari makes 2-pt layup from 1 ft (assist by G. Harris),9,8
19,1,8:46.0,M. Conley makes 3-pt jump shot from 24 ft (assist by M. Barnes),,12,8
20,1,8:35.0,,G. Harris misses 3-pt jump shot from 25 ft,12,8
21,1,8:33.0,Defensive rebound by M. Conley,,12,8
22,1,8:16.0,Z. Randolph makes 2-pt layup at rim (assist by M. Barnes),,14,8
23,1,8:02.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by N. Jokić),14,11
24,1,7:42.0,M. Gasol makes 2-pt jump shot from 15 ft (assist by M. Barnes),,16,11
25,1,7:42.0,,Denver full timeout,16,11
26,1,7:19.0,,E. Mudiay misses 2-pt jump shot from 13 ft,16,11
27,1,7:19.0,,Offensive rebound by K. Faried,16,11
28,1,7:13.0,,K. Faried misses 2-pt hook shot from 3 ft,16,11
29,1,7:12.0,,Offensive rebound by K. Faried,16,11
30,1,7:12.0,,K. Faried makes 2-pt layup from 3 ft,16,13
