,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
0,1,11:50.0,Turnover by R. Price (discontinued dribble),,0,0
1,1,11:34.0,,A. Ajinça misses 2-pt jump shot from 17 ft,0,0
2,1,11:33.0,Defensive rebound by P. Tucker,,0,0
3,1,11:11.0,P. Tucker misses 2-pt jump shot from 7 ft,,0,0
4,1,11:10.0,,Defensive rebound by Ö. Aşık,0,0
5,1,10:57.0,,Turnover by J. Ennis (bad pass; steal by P. Tucker),0,0
6,1,10:52.0,D. Booker makes 2-pt layup from 2 ft (assist by P. Tucker),,2,0
7,1,10:34.0,,D. Cunningham misses 2-pt layup from 2 ft (block by T. Chandler),2,0
8,1,10:33.0,Defensive rebound by T. Chandler,,2,0
9,1,10:26.0,P. Tucker misses 3-pt jump shot from 24 ft,,2,0
10,1,10:25.0,,Defensive rebound by Ö. Aşık,2,0
11,1,10:17.0,,Personal foul by R. Price,2,0
12,1,10:08.0,,J. Ennis makes 2-pt layup from 2 ft (assist by T. Douglas),2,2
13,1,9:56.0,D. Booker makes 2-pt jump shot from 13 ft,,4,2
14,1,9:37.0,,A. Ajinça misses 2-pt jump shot from 19 ft,4,2
15,1,9:36.0,,Offensive rebound by J. Ennis,4,2
16,1,9:36.0,,J. Ennis makes 2-pt layup from 1 ft,4,4
17,1,9:24.0,D. Booker makes 2-pt jump shot from 16 ft (assist by A. Len),,6,4
18,1,9:09.0,,T. Douglas misses 3-pt jump shot from 25 ft,6,4
19,1,9:08.0,,Offensive rebound by A. Ajinça,6,4
20,1,9:04.0,,A. Ajinça makes 2-pt hook shot from 6 ft,6,6
21,1,8:50.0,A. Len makes 2-pt dunk at rim (assist by D. Booker),,8,6
22,1,8:25.0,,Turnover by A. Ajinça (lost ball),8,6
23,1,8:13.0,A. Len misses 2-pt jump shot from 15 ft,,8,6
24,1,8:11.0,,Defensive rebound by Ö. Aşık,8,6
25,1,8:01.0,,Shooting foul by A. Len (drawn by D. Cunningham),8,6
26,1,8:01.0,,D. Cunningham makes free throw 1 of 2,8,7
27,1,8:01.0,,D. Cunningham misses free throw 2 of 2,8,7
28,1,8:01.0,Defensive rebound by P. Tucker,,8,7
29,1,7:54.0,Personal foul by J. Ennis,,8,7
30,1,7:49.0,Turnover by R. Price (bad pass),,8,7
31,1,7:31.0,,A. Ajinça misses 2-pt jump shot from 16 ft,8,7
32,1,7:29.0,Defensive rebound by Team,,8,7
33,1,7:21.0,D. Booker misses 2-pt layup from 2 ft,,8,7
34,1,7:20.0,,Defensive rebound by A. Ajinça,8,7
