,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA CLIPPERS_ACTION,SAN ANTONIO_SCORE,LA CLIPPERS_SCORE
0,1,11:39.0,,D. Jordan misses 2-pt jump shot from 3 ft,0,0
1,1,11:38.0,Defensive rebound by D. Green,,0,0
2,1,11:25.0,D. Green misses 3-pt jump shot from 22 ft,,0,0
3,1,11:25.0,,Defensive rebound by C. Paul,0,0
4,1,11:08.0,,J. Redick misses 2-pt jump shot from 13 ft,0,0
5,1,11:08.0,,Offensive rebound by D. Jordan,0,0
6,1,11:08.0,,D. Jordan misses 2-pt layup at rim,0,0
7,1,11:08.0,,Offensive rebound by Team,0,0
8,1,11:02.0,,J. Redick misses 2-pt jump shot from 15 ft,0,0
9,1,11:01.0,Defensive rebound by T. Duncan,,0,0
10,1,10:53.0,Personal foul by L. Mbah a Moute (drawn by L. Aldridge),,0,0
11,1,10:39.0,L. Aldridge misses 2-pt jump shot from 11 ft,,0,0
12,1,10:39.0,,Defensive rebound by P. Pierce,0,0
13,1,10:24.0,,P. Pierce makes 2-pt jump shot from 19 ft,0,2
14,1,9:59.0,T. Parker misses 2-pt jump shot from 11 ft,,0,2
15,1,9:58.0,,Defensive rebound by L. Mbah a Moute,0,2
16,1,9:50.0,,P. Pierce makes 3-pt jump shot from 24 ft (assist by C. Paul),0,5
17,1,9:30.0,K. Anderson makes 2-pt jump shot from 15 ft (assist by T. Parker),,2,5
18,1,9:16.0,,P. Pierce misses 3-pt jump shot from 23 ft,2,5
19,1,9:16.0,Defensive rebound by L. Aldridge,,2,5
20,1,9:00.0,T. Parker misses 3-pt jump shot from 24 ft,,2,5
21,1,8:59.0,,Defensive rebound by D. Jordan,2,5
22,1,8:42.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),2,7
23,1,8:24.0,D. Green misses 2-pt jump shot from 21 ft,,2,7
24,1,8:23.0,,Defensive rebound by C. Paul,2,7
25,1,8:15.0,,Turnover by C. Paul (bad pass; steal by T. Duncan),2,7
26,1,8:09.0,L. Aldridge makes 2-pt layup from 1 ft (assist by K. Anderson),,4,7
27,1,7:38.0,,C. Paul misses 2-pt jump shot from 20 ft,4,7
28,1,7:38.0,Defensive rebound by K. Anderson,,4,7
29,1,7:24.0,T. Duncan misses 2-pt jump shot from 15 ft,,4,7
30,1,7:23.0,,Defensive rebound by C. Paul,4,7
31,1,7:14.0,,L. Mbah a Moute misses 2-pt layup from 1 ft,4,7
32,1,7:13.0,,Offensive rebound by L. Mbah a Moute,4,7
33,1,7:13.0,,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by C. Paul),4,9
34,1,6:55.0,T. Parker misses 2-pt jump shot from 20 ft,,4,9
35,1,6:54.0,,Defensive rebound by D. Jordan,4,9
36,1,6:50.0,,LA Clippers full timeout,4,9
37,1,6:44.0,,C. Paul misses 2-pt layup at rim,4,9
38,1,6:43.0,Defensive rebound by T. Duncan,,4,9
39,1,6:24.0,T. Duncan makes 2-pt jump shot from 6 ft (assist by D. Green),,6,9
40,1,6:11.0,,Offensive foul by L. Mbah a Moute (drawn by K. Anderson),6,9
41,1,6:11.0,,Turnover by L. Mbah a Moute (offensive foul),6,9
42,1,6:11.0,,W. Johnson enters the game for P. Pierce,6,9
43,1,5:52.0,Turnover by T. Duncan (3 sec),,6,9
44,1,5:52.0,,C. Aldrich enters the game for L. Mbah a Moute,6,9
45,1,5:37.0,,Shooting foul by K. Anderson (drawn by C. Aldrich),6,9
46,1,5:37.0,,C. Aldrich misses free throw 1 of 2,6,9
47,1,5:37.0,,Offensive rebound by Team,6,9
48,1,5:37.0,B. Diaw enters the game for T. Duncan,,6,9
49,1,5:37.0,P. Mills enters the game for K. Anderson,,6,9
50,1,5:37.0,J. Simmons enters the game for T. Parker,,6,9
51,1,5:37.0,,C. Aldrich misses free throw 2 of 2,6,9
52,1,5:36.0,Defensive rebound by B. Diaw,,6,9
53,1,5:17.0,L. Aldridge misses 2-pt jump shot from 19 ft,,6,9
54,1,5:16.0,,Defensive rebound by D. Jordan,6,9
55,1,5:01.0,,W. Johnson makes 3-pt jump shot from 23 ft (assist by C. Paul),6,12
56,1,4:48.0,L. Aldridge misses 2-pt jump shot from 17 ft,,6,12
57,1,4:47.0,,Defensive rebound by W. Johnson,6,12
58,1,4:47.0,,Personal foul by J. Simmons (drawn by C. Paul),6,12
59,1,4:39.0,,Offensive foul by D. Jordan (drawn by D. Green),6,12
60,1,4:39.0,,Turnover by D. Jordan (offensive foul),6,12
61,1,4:18.0,L. Aldridge misses 2-pt jump shot from 13 ft,,6,12
62,1,4:18.0,,Defensive rebound by C. Aldrich,6,12
63,1,4:08.0,,C. Paul misses 2-pt jump shot from 14 ft,6,12
64,1,4:06.0,,Offensive rebound by Team,6,12
65,1,4:06.0,,J. Crawford enters the game for J. Redick,6,12
66,1,4:06.0,D. West enters the game for L. Aldridge,,6,12
67,1,4:06.0,R. Butler enters the game for D. Green,,6,12
68,1,4:05.0,,Offensive foul by J. Crawford (drawn by J. Simmons),6,12
69,1,4:05.0,,Turnover by J. Crawford (offensive foul),6,12
70,1,3:45.0,,C. Wilcox enters the game for C. Paul,6,12
71,1,3:41.0,J. Simmons misses 2-pt layup from 2 ft (block by C. Aldrich),,6,12
72,1,3:40.0,,Defensive rebound by W. Johnson,6,12
73,1,3:24.0,,W. Johnson misses 2-pt jump shot from 18 ft,6,12
74,1,3:22.0,,Offensive rebound by C. Aldrich,6,12
75,1,3:22.0,,Turnover by C. Aldrich (lost ball),6,12
76,1,3:09.0,P. Mills misses 2-pt jump shot from 17 ft,,6,12
77,1,3:09.0,,Defensive rebound by D. Jordan,6,12
78,1,3:04.0,,Turnover by J. Crawford (bad pass),6,12
79,1,2:55.0,Turnover by J. Simmons (step out of bounds),,6,12
80,1,2:55.0,San Antonio full timeout,,6,12
81,1,2:35.0,,C. Aldrich makes 2-pt hook shot from 3 ft (assist by J. Crawford),6,14
82,1,2:20.0,R. Butler makes 2-pt layup at rim,,8,14
83,1,2:04.0,,Turnover by W. Johnson (bad pass; steal by B. Diaw),8,14
84,1,1:58.0,J. Simmons makes 2-pt dunk at rim (assist by B. Diaw),,10,14
85,1,1:41.0,,C. Aldrich makes 2-pt hook shot from 8 ft (assist by J. Crawford),10,16
86,1,1:32.0,Personal foul by C. Wilcox (drawn by P. Mills),,10,16
87,1,1:32.0,,P. Pierce enters the game for D. Jordan,10,16
