,QUARTER,TIME_REMAINING,UTAH_ACTION,MIAMI_ACTION,UTAH_SCORE,MIAMI_SCORE
0,1,11:40.0,,G. Dragić makes 2-pt layup from 2 ft,0,2
1,1,11:23.0,D. Favors misses 2-pt jump shot from 16 ft,,0,2
2,1,11:22.0,,Defensive rebound by L. Deng,0,2
3,1,11:12.0,,C. Bosh misses 2-pt jump shot from 17 ft,0,2
4,1,11:11.0,Defensive rebound by T. Lyles,,0,2
5,1,11:01.0,T. Lyles misses 3-pt jump shot from 24 ft,,0,2
6,1,11:00.0,,Defensive rebound by H. Whiteside,0,2
7,1,10:50.0,,J. Richardson makes 3-pt jump shot from 23 ft (assist by G. Dragić),0,5
8,1,10:36.0,R. Hood misses 3-pt jump shot from 23 ft,,0,5
9,1,10:35.0,,Defensive rebound by Team,0,5
10,1,10:19.0,,C. Bosh makes 2-pt jump shot from 16 ft,0,7
11,1,10:00.0,Turnover by T. Lyles (lost ball; steal by L. Deng),,0,7
12,1,9:55.0,,G. Dragić makes 2-pt layup from 1 ft,0,9
13,1,9:55.0,Utah full timeout,,0,9
14,1,9:43.0,R. Hood misses 3-pt jump shot from 24 ft,,0,9
15,1,9:42.0,,Defensive rebound by C. Bosh,0,9
16,1,9:35.0,,Personal foul by R. Neto (drawn by G. Dragić),0,9
17,1,9:16.0,,H. Whiteside misses 2-pt jump shot from 14 ft (block by D. Favors),0,9
18,1,9:15.0,Defensive rebound by D. Favors,,0,9
19,1,9:11.0,Shooting foul by L. Deng (drawn by G. Hayward),,0,9
20,1,9:11.0,G. Hayward makes free throw 1 of 2,,1,9
21,1,9:11.0,G. Hayward makes free throw 2 of 2,,2,9
22,1,8:54.0,,C. Bosh misses 3-pt jump shot from 25 ft,2,9
23,1,8:53.0,Defensive rebound by T. Lyles,,2,9
24,1,8:47.0,R. Neto misses 2-pt layup from 1 ft (block by C. Bosh),,2,9
25,1,8:46.0,,Defensive rebound by G. Dragić,2,9
26,1,8:33.0,,C. Bosh misses 2-pt layup from 1 ft (block by D. Favors),2,9
27,1,8:32.0,,Offensive rebound by C. Bosh,2,9
28,1,8:28.0,,L. Deng misses 2-pt jump shot from 18 ft,2,9
29,1,8:27.0,Defensive rebound by T. Lyles,,2,9
30,1,8:16.0,Shooting foul by H. Whiteside (drawn by D. Favors),,2,9
31,1,8:16.0,D. Favors misses free throw 1 of 2,,2,9
32,1,8:16.0,Offensive rebound by Team,,2,9
33,1,8:16.0,D. Favors makes free throw 2 of 2,,3,9
34,1,8:00.0,,C. Bosh misses 3-pt jump shot from 23 ft,3,9
35,1,7:59.0,Defensive rebound by G. Hayward,,3,9
36,1,7:46.0,R. Hood makes 2-pt jump shot from 9 ft,,5,9
37,1,7:33.0,,C. Bosh misses 2-pt jump shot from 18 ft,5,9
38,1,7:32.0,Defensive rebound by G. Hayward,,5,9
39,1,7:23.0,G. Hayward misses 2-pt jump shot from 15 ft,,5,9
40,1,7:22.0,,Defensive rebound by C. Bosh,5,9
