,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DETROIT_ACTION,ORLANDO_SCORE,DETROIT_SCORE
0,1,11:41.0,,A. Drummond misses 2-pt jump shot from 5 ft (block by D. Dedmon),0,0
1,1,11:41.0,,Offensive rebound by Team,0,0
2,1,11:37.0,,R. Jackson misses 2-pt jump shot from 20 ft,0,0
3,1,11:37.0,Defensive rebound by D. Dedmon,,0,0
4,1,11:17.0,E. Fournier misses 2-pt layup at rim,,0,0
5,1,11:17.0,Offensive rebound by D. Dedmon,,0,0
6,1,11:14.0,D. Dedmon misses 2-pt layup at rim,,0,0
7,1,11:13.0,,Defensive rebound by A. Drummond,0,0
8,1,11:13.0,,R. Jackson makes 2-pt jump shot from 7 ft,0,2
9,1,11:13.0,,Shooting foul by B. Jennings (drawn by R. Jackson),0,2
10,1,11:13.0,,R. Jackson makes free throw 1 of 1,0,3
11,1,10:59.0,A. Gordon misses 2-pt jump shot from 17 ft,,0,3
12,1,10:59.0,,Defensive rebound by Team,0,3
13,1,10:44.0,,A. Drummond misses 2-pt jump shot from 6 ft,0,3
14,1,10:44.0,Defensive rebound by A. Gordon,,0,3
15,1,10:42.0,Shooting foul by M. Morris (drawn by D. Dedmon),,0,3
16,1,10:42.0,D. Dedmon makes free throw 1 of 2,,1,3
17,1,10:42.0,D. Dedmon makes free throw 2 of 2,,2,3
18,1,10:24.0,,T. Harris makes 2-pt jump shot from 15 ft,2,5
19,1,10:11.0,V. Oladipo misses 3-pt jump shot from 25 ft,,2,5
20,1,10:11.0,,Defensive rebound by Team,2,5
21,1,10:11.0,Loose ball foul by D. Dedmon,,2,5
22,1,9:54.0,,T. Harris makes 2-pt jump shot from 7 ft (assist by D. Hilliard),2,7
23,1,9:54.0,,Shooting foul by D. Dedmon (drawn by T. Harris),2,7
24,1,9:54.0,,T. Harris makes free throw 1 of 1,2,8
25,1,9:41.0,B. Jennings misses 2-pt jump shot from 18 ft,,2,8
26,1,9:41.0,,Defensive rebound by M. Morris,2,8
27,1,9:26.0,,M. Morris makes 2-pt hook shot from 5 ft (assist by R. Jackson),2,10
