,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MILWAUKEE_ACTION,LA CLIPPERS_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,J. Redick misses 2-pt jump shot from 14 ft,,0,0
1,1,11:43.0,,Defensive rebound by J. Parker,0,0
2,1,11:20.0,,Turnover by G. Antetokounmpo (lost ball; steal by L. Mbah a Moute),0,0
3,1,11:12.0,J. Redick misses 2-pt jump shot from 21 ft,,0,0
4,1,11:11.0,,Defensive rebound by G. Antetokounmpo,0,0
5,1,10:58.0,,O. Mayo misses 2-pt jump shot from 20 ft,0,0
6,1,10:56.0,Defensive rebound by B. Griffin,,0,0
7,1,10:38.0,Turnover by J. Redick (bad pass; steal by G. Monroe),,0,0
8,1,10:29.0,,G. Monroe misses 2-pt jump shot from 4 ft (block by D. Jordan),0,0
9,1,10:27.0,Defensive rebound by D. Jordan,,0,0
10,1,10:20.0,Personal foul by K. Middleton (drawn by C. Paul),,0,0
11,1,10:16.0,Turnover by B. Griffin (bad pass; steal by O. Mayo),,0,0
12,1,10:12.0,,J. Parker makes 2-pt dunk at rim (assist by O. Mayo),0,2
13,1,10:01.0,J. Redick makes 3-pt jump shot from 23 ft (assist by B. Griffin),,3,2
14,1,9:48.0,,K. Middleton misses 2-pt jump shot from 16 ft,3,2
15,1,9:47.0,Defensive rebound by D. Jordan,,3,2
16,1,9:35.0,B. Griffin misses 2-pt jump shot from 16 ft,,3,2
17,1,9:34.0,Offensive rebound by L. Mbah a Moute,,3,2
18,1,9:34.0,L. Mbah a Moute misses 2-pt layup at rim,,3,2
19,1,9:31.0,,Defensive rebound by O. Mayo,3,2
20,1,9:26.0,,J. Parker makes 2-pt layup from 1 ft (assist by O. Mayo),3,4
21,1,9:12.0,J. Redick makes 3-pt jump shot from 26 ft (assist by C. Paul),,6,4
22,1,8:50.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,6,4
23,1,8:47.0,Defensive rebound by B. Griffin,,6,4
24,1,8:33.0,L. Mbah a Moute misses 2-pt dunk at rim (block by G. Antetokounmpo),,6,4
25,1,8:33.0,Offensive rebound by Team,,6,4
26,1,8:27.0,B. Griffin makes 2-pt layup from 1 ft,,8,4
27,1,8:18.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by O. Mayo),8,6
28,1,8:04.0,C. Paul misses 2-pt jump shot from 10 ft,,8,6
29,1,8:03.0,,Defensive rebound by K. Middleton,8,6
30,1,7:52.0,,G. Monroe makes 2-pt hook shot from 3 ft,8,8
31,1,7:52.0,Violation by D. Jordan (def goaltending),,8,8
32,1,7:40.0,J. Redick misses 3-pt jump shot from 25 ft,,8,8
33,1,7:36.0,,Defensive rebound by G. Monroe,8,8
34,1,7:27.0,,O. Mayo makes 2-pt jump shot from 13 ft,8,10
35,1,7:04.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by C. Paul),,10,10
36,1,6:38.0,,G. Antetokounmpo misses 2-pt layup at rim,10,10
37,1,6:36.0,,Offensive rebound by J. Parker,10,10
38,1,6:34.0,,G. Monroe misses 2-pt jump shot from 11 ft,10,10
39,1,6:32.0,Defensive rebound by B. Griffin,,10,10
40,1,6:26.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,12,10
41,1,6:26.0,Shooting foul by G. Monroe (drawn by D. Jordan),,12,10
42,1,6:26.0,D. Jordan misses free throw 1 of 1,,12,10
43,1,6:25.0,Offensive rebound by L. Mbah a Moute,,12,10
44,1,6:15.0,L. Mbah a Moute misses 3-pt jump shot from 23 ft,,12,10
45,1,6:13.0,Offensive rebound by D. Jordan,,12,10
46,1,6:10.0,Shooting foul by G. Antetokounmpo (drawn by B. Griffin),,12,10
47,1,6:10.0,B. Griffin misses free throw 1 of 2,,12,10
48,1,6:10.0,Offensive rebound by Team,,12,10
49,1,6:10.0,B. Griffin makes free throw 2 of 2,,13,10
50,1,6:00.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,13,10
51,1,5:58.0,,Offensive rebound by G. Monroe,13,10
52,1,5:49.0,,G. Monroe makes 2-pt hook shot from 4 ft,13,12
53,1,5:27.0,Turnover by C. Paul (bad pass),,13,12
54,1,5:27.0,,Milwaukee full timeout,13,12
55,1,5:27.0,W. Johnson enters the game for L. Mbah a Moute,,13,12
56,1,5:27.0,,M. Carter-Williams enters the game for O. Mayo,13,12
57,1,5:21.0,,Personal foul by B. Griffin (drawn by J. Parker),13,12
58,1,5:09.0,,J. Parker misses 2-pt jump shot from 16 ft,13,12
59,1,5:08.0,Defensive rebound by C. Paul,,13,12
60,1,4:47.0,Shooting foul by G. Antetokounmpo (drawn by W. Johnson),,13,12
61,1,4:47.0,W. Johnson misses free throw 1 of 2,,13,12
62,1,4:47.0,Offensive rebound by Team,,13,12
63,1,4:47.0,,R. Vaughn enters the game for G. Antetokounmpo,13,12
64,1,4:47.0,W. Johnson makes free throw 2 of 2,,14,12
65,1,4:38.0,,M. Carter-Williams misses 2-pt jump shot from 15 ft,14,12
66,1,4:36.0,Defensive rebound by B. Griffin,,14,12
67,1,4:26.0,C. Paul makes 2-pt jump shot from 9 ft (assist by B. Griffin),,16,12
68,1,4:12.0,,M. Carter-Williams misses 2-pt layup at rim,16,12
69,1,4:10.0,Defensive rebound by B. Griffin,,16,12
70,1,4:05.0,J. Redick misses 3-pt jump shot from 27 ft,,16,12
71,1,4:03.0,Offensive rebound by B. Griffin,,16,12
72,1,4:03.0,B. Griffin misses 2-pt layup at rim,,16,12
73,1,4:01.0,,Defensive rebound by J. Parker,16,12
74,1,3:44.0,,K. Middleton makes 3-pt jump shot from 27 ft,16,15
75,1,3:25.0,J. Redick makes 2-pt jump shot from 22 ft (assist by C. Paul),,18,15
76,1,3:08.0,,R. Vaughn misses 3-pt jump shot from 23 ft,18,15
77,1,3:07.0,,Offensive rebound by Team,18,15
78,1,3:07.0,,J. O'Bryant enters the game for J. Parker,18,15
79,1,3:07.0,J. Crawford enters the game for D. Jordan,,18,15
80,1,3:07.0,J. Smith enters the game for J. Redick,,18,15
81,1,2:54.0,,K. Middleton misses 3-pt jump shot from 23 ft,18,15
82,1,2:53.0,Defensive rebound by B. Griffin,,18,15
83,1,2:44.0,J. Smith misses 2-pt layup from 2 ft,,18,15
84,1,2:42.0,Offensive rebound by J. Smith,,18,15
85,1,2:38.0,W. Johnson misses 3-pt jump shot from 26 ft,,18,15
86,1,2:37.0,,Defensive rebound by G. Monroe,18,15
87,1,2:24.0,,G. Monroe makes 2-pt hook shot from 7 ft (assist by M. Carter-Williams),18,17
88,1,2:11.0,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),,20,17
89,1,1:53.0,,M. Carter-Williams makes 2-pt layup from 1 ft,20,19
90,1,1:51.0,LA Clippers full timeout,,20,19
91,1,1:51.0,A. Rivers enters the game for C. Paul,,20,19
92,1,1:27.0,Turnover by J. Crawford (bad pass; steal by R. Vaughn),,20,19
93,1,1:24.0,,Turnover by M. Carter-Williams (bad pass; steal by W. Johnson),20,19
94,1,1:22.0,Shooting foul by J. O'Bryant (drawn by J. Smith),,20,19
95,1,1:22.0,J. Smith makes free throw 1 of 2,,21,19
96,1,1:22.0,P. Pierce enters the game for B. Griffin,,21,19
97,1,1:22.0,J. Smith makes free throw 2 of 2,,22,19
98,1,1:11.0,,G. Monroe misses 2-pt layup at rim (block by J. Smith),22,19
99,1,1:09.0,Defensive rebound by P. Pierce,,22,19
100,1,1:03.0,Turnover by A. Rivers (lost ball; steal by M. Carter-Williams),,22,19
101,1,1:01.0,,M. Carter-Williams makes 2-pt layup at rim,22,21
102,1,1:01.0,,Shooting foul by P. Pierce (drawn by M. Carter-Williams),22,21
103,1,1:01.0,,M. Carter-Williams makes free throw 1 of 1,22,22
104,1,0:50.0,J. Crawford misses 2-pt jump shot from 15 ft,,22,22
105,1,0:49.0,,Defensive rebound by K. Middleton,22,22
106,1,0:42.0,,M. Carter-Williams makes 2-pt jump shot from 5 ft (assist by K. Middleton),22,24
107,1,0:30.0,W. Johnson misses 2-pt layup from 2 ft,,22,24
108,1,0:28.0,,Defensive rebound by R. Vaughn,22,24
109,1,0:08.0,,M. Carter-Williams makes 2-pt dunk at rim,22,26
110,1,0:00.0,J. Smith makes 3-pt jump shot from 22 ft (assist by A. Rivers),,25,26
111,2,11:42.0,,J. Henson makes 2-pt hook shot from 6 ft (assist by M. Carter-Williams),25,28
112,2,11:21.0,Personal foul by J. Henson (drawn by D. Jordan),,25,28
113,2,11:05.0,J. Crawford misses 3-pt jump shot from 27 ft,,25,28
114,2,11:04.0,,Defensive rebound by O. Mayo,25,28
115,2,10:38.0,,J. O'Bryant makes 3-pt jump shot from 23 ft (assist by O. Mayo),25,31
