,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,OKLAHOMA CITY_ACTION,SAN ANTONIO_SCORE,OKLAHOMA CITY_SCORE
0,1,12:00.0,,Violation by Team (jump ball),0,0
1,1,11:57.0,,A. Roberson makes 2-pt layup at rim,0,2
2,1,11:31.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by D. Green),,3,2
3,1,11:14.0,,K. Durant makes 2-pt jump shot from 15 ft (assist by R. Westbrook),3,4
4,1,11:04.0,T. Parker misses 2-pt layup at rim,,3,4
5,1,11:02.0,Offensive rebound by K. Leonard,,3,4
6,1,10:56.0,K. Leonard misses 2-pt jump shot from 6 ft,,3,4
7,1,10:55.0,Offensive rebound by Team,,3,4
8,1,10:48.0,D. Green makes 2-pt jump shot from 5 ft,,5,4
9,1,10:35.0,,K. Durant misses 2-pt jump shot from 8 ft,5,4
10,1,10:35.0,Defensive rebound by T. Duncan,,5,4
11,1,10:26.0,T. Parker makes 2-pt jump shot from 5 ft,,7,4
12,1,10:10.0,,R. Westbrook misses 3-pt jump shot from 25 ft,7,4
13,1,10:09.0,Defensive rebound by D. Green,,7,4
14,1,10:01.0,T. Duncan misses 2-pt jump shot from 5 ft,,7,4
15,1,9:59.0,Offensive rebound by T. Duncan,,7,4
16,1,9:59.0,T. Duncan makes 2-pt hook shot from 3 ft (assist by T. Parker),,9,4
17,1,9:45.0,,R. Westbrook makes 2-pt jump shot from 11 ft,9,6
18,1,9:30.0,L. Aldridge misses 2-pt jump shot from 14 ft,,9,6
19,1,9:29.0,,Defensive rebound by K. Durant,9,6
20,1,9:17.0,,R. Westbrook misses 3-pt jump shot from 24 ft,9,6
21,1,9:17.0,Defensive rebound by D. Green,,9,6
22,1,9:02.0,T. Parker misses 2-pt jump shot from 6 ft (block by S. Ibaka),,9,6
23,1,9:00.0,,Defensive rebound by K. Durant,9,6
24,1,8:43.0,,S. Ibaka misses 2-pt jump shot from 20 ft,9,6
25,1,8:41.0,Defensive rebound by D. Green,,9,6
26,1,8:31.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by T. Parker),,11,6
27,1,8:15.0,,Turnover by S. Adams (bad pass; steal by T. Duncan),11,6
28,1,8:11.0,K. Leonard makes 2-pt layup from 2 ft,,13,6
29,1,8:11.0,Shooting foul by S. Adams (drawn by K. Leonard),,13,6
30,1,8:11.0,K. Leonard makes free throw 1 of 1,,14,6
31,1,8:01.0,,K. Durant makes 2-pt jump shot from 15 ft (assist by R. Westbrook),14,8
32,1,7:48.0,K. Leonard misses 2-pt jump shot from 20 ft,,14,8
33,1,7:48.0,,Defensive rebound by A. Roberson,14,8
34,1,7:30.0,,Turnover by S. Ibaka (lost ball; steal by K. Leonard),14,8
35,1,7:22.0,Turnover by T. Parker (bad pass; steal by A. Roberson),,14,8
36,1,7:13.0,,S. Ibaka misses 3-pt jump shot from 24 ft,14,8
37,1,7:12.0,,Offensive rebound by Team,14,8
38,1,7:04.0,,S. Ibaka misses 2-pt jump shot from 19 ft,14,8
39,1,7:01.0,Defensive rebound by T. Parker,,14,8
40,1,6:49.0,Shooting foul by S. Ibaka (drawn by L. Aldridge),,14,8
41,1,6:49.0,L. Aldridge misses free throw 1 of 2,,14,8
42,1,6:49.0,Offensive rebound by Team,,14,8
43,1,6:49.0,P. Mills enters the game for T. Parker,,14,8
44,1,6:49.0,L. Aldridge makes free throw 2 of 2,,15,8
45,1,6:37.0,,R. Westbrook misses 2-pt layup from 2 ft (block by T. Duncan),15,8
46,1,6:37.0,,Offensive rebound by Team,15,8
47,1,6:29.0,,R. Westbrook makes 3-pt jump shot from 25 ft,15,11
48,1,6:28.0,San Antonio full timeout,,15,11
49,1,6:12.0,L. Aldridge makes 2-pt layup at rim,,17,11
50,1,6:02.0,,R. Westbrook makes 2-pt layup from 1 ft,17,13
51,1,6:02.0,,Shooting foul by L. Aldridge (drawn by R. Westbrook),17,13
52,1,6:02.0,,A. Morrow enters the game for A. Roberson,17,13
53,1,6:02.0,,R. Westbrook makes free throw 1 of 1,17,14
54,1,5:50.0,P. Mills misses 3-pt jump shot from 24 ft,,17,14
55,1,5:50.0,,Defensive rebound by K. Durant,17,14
56,1,5:42.0,,K. Durant makes 2-pt jump shot from 17 ft,17,16
57,1,5:24.0,T. Duncan misses 2-pt jump shot from 9 ft,,17,16
58,1,5:24.0,,Defensive rebound by S. Ibaka,17,16
59,1,5:21.0,,Personal block foul by P. Mills (drawn by R. Westbrook),17,16
60,1,5:21.0,B. Diaw enters the game for T. Duncan,,17,16
61,1,5:21.0,M. Ginóbili enters the game for D. Green,,17,16
62,1,5:15.0,,R. Westbrook makes 2-pt jump shot from 14 ft,17,18
63,1,4:57.0,K. Leonard misses 3-pt jump shot from 24 ft,,17,18
64,1,4:56.0,,Defensive rebound by S. Adams,17,18
65,1,4:47.0,,Turnover by S. Ibaka (lost ball),17,18
66,1,4:29.0,L. Aldridge misses 2-pt jump shot from 12 ft,,17,18
67,1,4:29.0,,Defensive rebound by S. Ibaka,17,18
68,1,4:12.0,,Turnover by R. Westbrook (lost ball; steal by B. Diaw),17,18
69,1,4:05.0,M. Ginóbili makes 3-pt jump shot from 24 ft (assist by B. Diaw),,20,18
70,1,3:46.0,,E. Freedom enters the game for S. Ibaka,20,18
71,1,3:46.0,,Oklahoma City full timeout,20,18
72,1,3:40.0,,R. Westbrook makes 2-pt layup from 2 ft,20,20
73,1,3:22.0,B. Diaw makes 3-pt jump shot from 23 ft (assist by M. Ginóbili),,23,20
74,1,3:01.0,,E. Freedom misses 2-pt layup from 1 ft (block by B. Diaw),23,20
75,1,3:00.0,,Offensive rebound by E. Freedom,23,20
76,1,2:59.0,,E. Freedom makes 2-pt layup from 2 ft,23,22
77,1,2:45.0,P. Mills misses 2-pt layup at rim,,23,22
78,1,2:44.0,,Defensive rebound by E. Freedom,23,22
79,1,2:37.0,,K. Durant misses 3-pt jump shot from 24 ft,23,22
80,1,2:36.0,Defensive rebound by K. Leonard,,23,22
81,1,2:27.0,K. Leonard makes 2-pt layup from 1 ft (assist by M. Ginóbili),,25,22
82,1,2:16.0,,Personal foul by P. Mills (drawn by A. Morrow),25,22
83,1,2:16.0,,D. Waiters enters the game for K. Durant,25,22
84,1,2:16.0,,S. Ibaka enters the game for S. Adams,25,22
85,1,2:16.0,K. Anderson enters the game for K. Leonard,,25,22
86,1,2:08.0,,R. Westbrook misses 3-pt jump shot from 24 ft,25,22
87,1,2:07.0,Defensive rebound by P. Mills,,25,22
88,1,1:50.0,Turnover by M. Ginóbili (bad pass; steal by A. Morrow),,25,22
89,1,1:42.0,,A. Morrow makes 3-pt jump shot from 24 ft (assist by D. Waiters),25,25
90,1,1:22.0,Turnover by B. Diaw (bad pass; steal by R. Westbrook),,25,25
91,1,1:20.0,,Turnover by R. Westbrook (bad pass; steal by M. Ginóbili),25,25
92,1,1:15.0,M. Ginóbili misses 2-pt layup from 1 ft,,25,25
93,1,1:15.0,,Defensive rebound by E. Freedom,25,25
94,1,1:02.0,,A. Morrow misses 3-pt jump shot from 24 ft,25,25
95,1,1:02.0,,Offensive rebound by E. Freedom,25,25
96,1,1:02.0,,E. Freedom misses 2-pt layup from 1 ft (block by L. Aldridge),25,25
