,QUARTER,TIME_REMAINING,PHOENIX_ACTION,GOLDEN STATE_ACTION,PHOENIX_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,,S. Curry misses 3-pt jump shot from 24 ft,0,0
1,1,11:44.0,Defensive rebound by T. Chandler,,0,0
2,1,11:31.0,T. Chandler makes 2-pt jump shot from 5 ft (assist by A. Len),,2,0
3,1,11:19.0,,K. Thompson makes 2-pt jump shot from 21 ft (assist by D. Green),2,2
4,1,11:08.0,Personal foul by S. Curry,,2,2
5,1,11:03.0,T. Chandler makes 2-pt jump shot from 17 ft (assist by B. Knight),,4,2
6,1,10:52.0,,Turnover by S. Curry (bad pass; steal by T. Chandler),4,2
7,1,10:46.0,,Offensive charge foul by B. Knight (drawn by S. Curry),4,2
8,1,10:46.0,Turnover by B. Knight (offensive foul),,4,2
9,1,10:33.0,,S. Curry misses 3-pt jump shot from 25 ft,4,2
10,1,10:32.0,Defensive rebound by T. Chandler,,4,2
11,1,10:18.0,Turnover by B. Knight (lost ball; steal by D. Green),,4,2
12,1,10:06.0,,K. Thompson misses 2-pt jump shot from 13 ft,4,2
13,1,10:06.0,Defensive rebound by A. Len,,4,2
14,1,9:55.0,D. Booker makes 2-pt jump shot from 16 ft,,6,2
15,1,9:40.0,,D. Green misses 3-pt jump shot from 25 ft,6,2
16,1,9:40.0,Defensive rebound by A. Len,,6,2
17,1,9:30.0,T. Chandler misses 2-pt hook shot from 7 ft,,6,2
18,1,9:29.0,,Defensive rebound by A. Bogut,6,2
19,1,9:12.0,,K. Thompson misses 2-pt jump shot from 7 ft,6,2
20,1,9:10.0,,Offensive rebound by H. Barnes,6,2
21,1,9:00.0,Violation by T. Chandler (kicked ball),,6,2
22,1,8:49.0,,H. Barnes misses 2-pt jump shot from 4 ft,6,2
23,1,8:48.0,Defensive rebound by A. Len,,6,2
24,1,8:35.0,Turnover by A. Len (bad pass; steal by D. Green),,6,2
25,1,8:29.0,,H. Barnes makes 2-pt dunk at rim (assist by D. Green),6,4
26,1,8:11.0,Personal foul by A. Bogut,,6,4
27,1,8:08.0,B. Knight misses 2-pt jump shot from 4 ft (block by A. Bogut),,6,4
28,1,8:07.0,,Defensive rebound by K. Thompson,6,4
29,1,8:04.0,,Personal foul by A. Len,6,4
30,1,7:51.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),6,7
31,1,7:42.0,D. Booker makes 2-pt layup from 1 ft,,8,7
32,1,7:21.0,,Shooting foul by P. Tucker (drawn by D. Green),8,7
33,1,7:21.0,,D. Green makes free throw 1 of 2,8,8
34,1,7:21.0,,D. Green misses free throw 2 of 2,8,8
35,1,7:21.0,Defensive rebound by T. Chandler,,8,8
36,1,7:09.0,A. Len makes 2-pt jump shot from 17 ft (assist by B. Knight),,10,8
37,1,6:55.0,,D. Green makes 3-pt jump shot from 24 ft (assist by H. Barnes),10,11
38,1,6:44.0,B. Knight misses 3-pt jump shot from 24 ft,,10,11
