,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ORLANDO_ACTION,SAN ANTONIO_SCORE,ORLANDO_SCORE
0,1,11:44.0,K. Leonard misses 2-pt jump shot from 9 ft,,0,0
1,1,11:43.0,,Defensive rebound by A. Gordon,0,0
2,1,11:29.0,,N. Vučević misses 2-pt hook shot from 10 ft,0,0
3,1,11:28.0,Defensive rebound by D. Green,,0,0
4,1,11:11.0,L. Aldridge misses 2-pt jump shot from 10 ft,,0,0
5,1,11:10.0,,Defensive rebound by A. Gordon,0,0
6,1,10:59.0,,A. Gordon misses 3-pt jump shot from 25 ft,0,0
7,1,10:58.0,Defensive rebound by T. Duncan,,0,0
8,1,10:42.0,Turnover by R. McCallum (step out of bounds),,0,0
9,1,10:29.0,,Shooting foul by L. Aldridge (drawn by A. Gordon),0,0
10,1,10:29.0,,A. Gordon misses free throw 1 of 2,0,0
11,1,10:29.0,,Offensive rebound by Team,0,0
12,1,10:29.0,,A. Gordon makes free throw 2 of 2,0,1
13,1,10:13.0,R. McCallum misses 2-pt jump shot from 11 ft,,0,1
14,1,10:12.0,,Defensive rebound by N. Vučević,0,1
15,1,10:05.0,,N. Vučević makes 2-pt jump shot from 17 ft (assist by A. Gordon),0,3
16,1,9:49.0,T. Duncan misses 2-pt jump shot from 7 ft,,0,3
17,1,9:47.0,Offensive rebound by L. Aldridge,,0,3
18,1,9:43.0,L. Aldridge misses 2-pt jump shot from 8 ft,,0,3
19,1,9:42.0,Offensive rebound by Team,,0,3
20,1,9:33.0,Shooting foul by V. Oladipo (drawn by D. Green),,0,3
21,1,9:33.0,D. Green makes free throw 1 of 2,,1,3
22,1,9:33.0,D. Green makes free throw 2 of 2,,2,3
23,1,9:20.0,,Shooting foul by D. Green (drawn by E. Fournier),2,3
24,1,9:20.0,,E. Fournier makes free throw 1 of 2,2,4
25,1,9:20.0,,E. Fournier makes free throw 2 of 2,2,5
26,1,9:03.0,K. Leonard makes 2-pt jump shot from 14 ft (assist by T. Duncan),,4,5
27,1,8:52.0,,N. Vučević misses 2-pt jump shot from 19 ft,4,5
28,1,8:51.0,Defensive rebound by R. McCallum,,4,5
29,1,8:42.0,Offensive foul by K. Leonard (drawn by E. Fournier),,4,5
30,1,8:42.0,Turnover by K. Leonard (offensive foul),,4,5
31,1,8:28.0,,E. Fournier misses 3-pt jump shot from 24 ft,4,5
32,1,8:27.0,Defensive rebound by Team,,4,5
33,1,8:07.0,T. Duncan misses 2-pt jump shot from 10 ft,,4,5
34,1,8:06.0,,Defensive rebound by V. Oladipo,4,5
35,1,7:59.0,,E. Payton misses 3-pt jump shot from 24 ft,4,5
36,1,7:57.0,,Offensive rebound by E. Payton,4,5
37,1,7:51.0,,E. Payton makes 2-pt jump shot from 7 ft,4,7
38,1,7:29.0,T. Duncan misses 2-pt jump shot from 7 ft,,4,7
39,1,7:27.0,Offensive rebound by K. Leonard,,4,7
40,1,7:23.0,D. Green misses 3-pt jump shot from 24 ft,,4,7
41,1,7:22.0,,Defensive rebound by N. Vučević,4,7
42,1,7:14.0,,N. Vučević misses 2-pt layup from 2 ft (block by T. Duncan),4,7
43,1,7:14.0,,Offensive rebound by Team,4,7
44,1,7:06.0,,E. Fournier makes 2-pt layup from 2 ft (assist by E. Payton),4,9
45,1,6:53.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by R. McCallum),,6,9
46,1,6:35.0,,Turnover by V. Oladipo (bad pass),6,9
47,1,6:19.0,K. Leonard makes 2-pt jump shot from 13 ft,,8,9
48,1,6:06.0,,V. Oladipo makes 2-pt jump shot from 15 ft (assist by E. Payton),8,11
49,1,6:06.0,San Antonio full timeout,,8,11
