,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHARLOTTE_ACTION,MEMPHIS_SCORE,CHARLOTTE_SCORE
0,1,11:42.0,,M. Williams misses 3-pt jump shot from 24 ft,0,0
1,1,11:40.0,Defensive rebound by M. Barnes,,0,0
2,1,11:19.0,J. Green misses 2-pt jump shot from 6 ft,,0,0
3,1,11:17.0,Offensive rebound by J. Green,,0,0
4,1,11:17.0,J. Green makes 2-pt layup at rim,,2,0
5,1,10:51.0,,Turnover by K. Walker (bad pass; steal by J. Green),2,0
6,1,10:34.0,Personal foul by C. Zeller (drawn by M. Gasol),,2,0
7,1,10:23.0,M. Conley makes 3-pt jump shot from 24 ft (assist by J. Green),,5,0
8,1,10:09.0,,Shooting foul by M. Barnes (drawn by N. Batum),5,0
9,1,10:09.0,,N. Batum makes free throw 1 of 2,5,1
10,1,10:09.0,,N. Batum makes free throw 2 of 2,5,2
11,1,9:51.0,J. Green makes 3-pt jump shot from 25 ft (assist by M. Conley),,8,2
12,1,9:30.0,,P. Hairston makes 3-pt jump shot from 25 ft (assist by K. Walker),8,5
13,1,9:18.0,Turnover by M. Conley (bad pass; steal by K. Walker),,8,5
14,1,9:12.0,,C. Zeller makes 2-pt layup from 1 ft (assist by K. Walker),8,7
15,1,8:49.0,M. Conley misses 2-pt layup from 2 ft (block by M. Williams),,8,7
16,1,8:48.0,,Defensive rebound by N. Batum,8,7
17,1,8:43.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by N. Batum),8,10
18,1,8:27.0,Memphis full timeout,,8,10
19,1,8:17.0,M. Conley makes 3-pt jump shot from 24 ft (assist by M. Gasol),,11,10
20,1,8:00.0,,C. Zeller misses 2-pt jump shot from 19 ft,11,10
21,1,7:59.0,Defensive rebound by M. Conley,,11,10
22,1,7:46.0,M. Barnes makes 2-pt layup from 1 ft (assist by J. Green),,13,10
23,1,7:29.0,,K. Walker makes 3-pt jump shot from 24 ft (assist by N. Batum),13,13
24,1,7:03.0,M. Gasol misses 2-pt jump shot from 11 ft,,13,13
25,1,7:02.0,,Defensive rebound by M. Williams,13,13
26,1,6:59.0,,Turnover by N. Batum (bad pass),13,13
27,1,6:42.0,M. Barnes misses 2-pt layup at rim (block by C. Zeller),,13,13
28,1,6:41.0,Offensive rebound by M. Barnes,,13,13
29,1,6:34.0,M. Conley makes 2-pt layup at rim,,15,13
30,1,6:19.0,,N. Batum makes 2-pt jump shot from 12 ft (assist by K. Walker),15,15
31,1,6:04.0,Turnover by J. Green (bad pass; steal by C. Zeller),,15,15
32,1,5:54.0,,K. Walker makes 3-pt jump shot from 26 ft,15,18
33,1,5:34.0,M. Gasol misses 2-pt hook shot from 4 ft,,15,18
34,1,5:34.0,,Defensive rebound by Team,15,18
35,1,5:14.0,,Turnover by N. Batum (bad pass; steal by J. Green),15,18
36,1,5:10.0,Shooting foul by M. Williams (drawn by J. Green),,15,18
37,1,5:10.0,J. Green makes free throw 1 of 2,,16,18
38,1,5:10.0,J. Green enters the game for M. Gasol,,16,18
39,1,5:10.0,T. Allen enters the game for C. Lee,,16,18
40,1,5:10.0,J. Green misses free throw 2 of 2,,16,18
41,1,5:08.0,,Defensive rebound by N. Batum,16,18
42,1,4:53.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),16,21
43,1,4:34.0,M. Barnes makes 3-pt jump shot from 24 ft (assist by M. Conley),,19,21
44,1,4:15.0,,P. Hairston makes 3-pt jump shot from 27 ft (assist by N. Batum),19,24
45,1,4:00.0,J. Green misses 2-pt layup at rim (block by M. Williams),,19,24
46,1,3:58.0,,Defensive rebound by M. Williams,19,24
47,1,3:47.0,,P. Hairston makes 3-pt jump shot from 29 ft (assist by K. Walker),19,27
48,1,3:29.0,M. Conley misses 3-pt jump shot from 24 ft,,19,27
49,1,3:29.0,Offensive rebound by Team,,19,27
50,1,3:29.0,,Loose ball foul by C. Zeller (drawn by J. Green),19,27
51,1,3:29.0,,J. Lin enters the game for M. Williams,19,27
52,1,3:29.0,,A. Jefferson enters the game for C. Zeller,19,27
53,1,3:29.0,,F. Kaminsky enters the game for N. Batum,19,27
54,1,3:19.0,J. Green makes 2-pt layup from 1 ft (assist by M. Barnes),,21,27
55,1,3:12.0,,Charlotte full timeout,21,27
56,1,3:12.0,Z. Randolph enters the game for M. Barnes,,21,27
57,1,3:03.0,,A. Jefferson misses 2-pt hook shot from 12 ft,21,27
58,1,3:02.0,Defensive rebound by J. Green,,21,27
59,1,2:41.0,Shooting foul by P. Hairston (drawn by J. Green),,21,27
60,1,2:41.0,J. Green makes free throw 1 of 2,,22,27
61,1,2:41.0,M. Chalmers enters the game for M. Conley,,22,27
62,1,2:41.0,J. Green makes free throw 2 of 2,,23,27
63,1,2:20.0,,F. Kaminsky misses 2-pt layup from 2 ft,23,27
64,1,2:20.0,Defensive rebound by J. Green,,23,27
65,1,2:14.0,M. Chalmers makes 2-pt layup from 1 ft,,25,27
66,1,2:08.0,,Charlotte full timeout,25,27
