,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DENVER_ACTION,MILWAUKEE_SCORE,DENVER_SCORE
0,1,11:37.0,,G. Harris makes 2-pt layup at rim (assist by J. Hickson),0,2
1,1,11:11.0,G. Antetokounmpo makes 2-pt hook shot from 5 ft,,2,2
2,1,11:01.0,,Shooting foul by G. Antetokounmpo (drawn by D. Gallinari),2,2
3,1,11:01.0,,D. Gallinari makes free throw 1 of 2,2,3
4,1,11:01.0,,D. Gallinari makes free throw 2 of 2,2,4
5,1,10:40.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,5,4
6,1,10:28.0,,J. Hickson makes 2-pt layup at rim (assist by E. Mudiay),5,6
7,1,10:11.0,G. Monroe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,7,6
8,1,9:58.0,,J. Hickson misses 2-pt jump shot from 3 ft,7,6
9,1,9:57.0,Defensive rebound by G. Monroe,,7,6
10,1,9:44.0,T. Ennis makes 2-pt layup from 1 ft (assist by G. Monroe),,9,6
11,1,9:34.0,,Personal foul by K. Middleton (drawn by G. Harris),9,6
12,1,9:24.0,,D. Gallinari makes 2-pt jump shot from 20 ft (assist by G. Harris),9,8
13,1,8:57.0,T. Ennis makes 2-pt jump shot from 21 ft,,11,8
14,1,8:36.0,,D. Gallinari misses 2-pt jump shot from 21 ft,11,8
15,1,8:35.0,Defensive rebound by J. O'Bryant,,11,8
16,1,8:18.0,G. Antetokounmpo misses 2-pt jump shot from 3 ft,,11,8
17,1,8:17.0,Offensive rebound by J. O'Bryant,,11,8
18,1,8:12.0,J. O'Bryant misses 2-pt layup from 2 ft,,11,8
19,1,8:12.0,,Defensive rebound by E. Mudiay,11,8
20,1,8:07.0,,J. Hickson makes 2-pt dunk at rim (assist by E. Mudiay),11,10
21,1,7:52.0,T. Ennis misses 3-pt jump shot from 24 ft,,11,10
22,1,7:51.0,,Defensive rebound by Team,11,10
23,1,7:30.0,,D. Gallinari misses 2-pt jump shot from 21 ft,11,10
24,1,7:29.0,Defensive rebound by Team,,11,10
25,1,7:13.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Hickson),,11,10
26,1,7:03.0,,K. Faried makes 2-pt dunk at rim (assist by G. Harris),11,12
27,1,6:49.0,J. O'Bryant makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo),,13,12
28,1,6:38.0,,G. Harris misses 3-pt jump shot from 25 ft,13,12
29,1,6:37.0,Defensive rebound by G. Antetokounmpo,,13,12
30,1,6:26.0,G. Antetokounmpo misses 3-pt jump shot from 24 ft,,13,12
31,1,6:25.0,,Defensive rebound by J. Hickson,13,12
32,1,6:16.0,,J. Hickson makes 2-pt dunk at rim (assist by E. Mudiay),13,14
33,1,5:51.0,J. O'Bryant misses 2-pt jump shot from 19 ft,,13,14
34,1,5:51.0,,Defensive rebound by G. Harris,13,14
35,1,5:41.0,,Turnover by G. Harris (bad pass; steal by K. Middleton),13,14
36,1,5:35.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),,15,14
37,1,5:14.0,,D. Gallinari misses 2-pt jump shot from 20 ft,15,14
38,1,5:13.0,Defensive rebound by G. Monroe,,15,14
39,1,5:05.0,Milwaukee full timeout,,15,14
40,1,5:05.0,J. Henson enters the game for G. Monroe,,15,14
41,1,5:05.0,R. Vaughn enters the game for K. Middleton,,15,14
42,1,4:47.0,T. Ennis makes 3-pt jump shot from 27 ft (assist by J. O'Bryant),,18,14
43,1,4:32.0,,D. Gallinari misses 2-pt layup from 2 ft,18,14
44,1,4:32.0,,Offensive rebound by K. Faried,18,14
45,1,4:32.0,,K. Faried misses 2-pt layup at rim,18,14
46,1,4:27.0,,Offensive rebound by K. Faried,18,14
47,1,4:27.0,,K. Faried makes 2-pt layup from 2 ft,18,16
48,1,4:09.0,J. Henson makes 2-pt jump shot from 7 ft,,20,16
49,1,3:51.0,,E. Mudiay makes 3-pt jump shot from 24 ft (assist by K. Faried),20,19
50,1,3:30.0,J. Henson misses 2-pt layup from 1 ft (block by J. Hickson),,20,19
51,1,3:25.0,Offensive rebound by G. Antetokounmpo,,20,19
52,1,3:25.0,G. Antetokounmpo makes 2-pt layup at rim,,22,19
53,1,3:12.0,,E. Mudiay makes 2-pt jump shot from 18 ft,22,21
54,1,2:57.0,Turnover by T. Ennis (bad pass; steal by E. Mudiay),,22,21
55,1,2:51.0,,E. Mudiay makes 2-pt layup from 2 ft (assist by G. Harris),22,23
56,1,2:39.0,,Violation by J. Hickson (def goaltending),22,23
57,1,2:39.0,G. Antetokounmpo makes 2-pt hook shot from 3 ft,,24,23
58,1,2:26.0,,G. Harris misses 3-pt jump shot from 23 ft,24,23
59,1,2:23.0,Defensive rebound by J. Henson,,24,23
60,1,2:12.0,Turnover by R. Vaughn (traveling),,24,23
61,1,2:12.0,,Denver full timeout,24,23
62,1,2:12.0,G. Vásquez enters the game for G. Antetokounmpo,,24,23
63,1,2:12.0,K. Middleton enters the game for T. Ennis,,24,23
64,1,2:12.0,,N. Jokić enters the game for K. Faried,24,23
