,QUARTER,TIME_REMAINING,TORONTO_ACTION,DENVER_ACTION,TORONTO_SCORE,DENVER_SCORE
0,1,11:40.0,,N. Jokić makes 2-pt jump shot from 5 ft (assist by E. Mudiay),0,2
1,1,11:23.0,Turnover by J. Johnson (lost ball; steal by D. Gallinari),,0,2
2,1,11:19.0,,Turnover by K. Faried (bad pass; steal by K. Lowry),0,2
3,1,11:03.0,J. Valančiūnas makes 2-pt jump shot from 9 ft,,2,2
4,1,10:49.0,,Turnover by K. Faried (lost ball; steal by L. Scola),2,2
5,1,10:42.0,L. Scola makes 2-pt layup from 2 ft (assist by D. DeRozan),,4,2
6,1,10:28.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by D. Gallinari),4,5
7,1,10:06.0,Turnover by J. Valančiūnas (bad pass),,4,5
8,1,9:56.0,,Personal foul by J. Valančiūnas (drawn by N. Jokić),4,5
9,1,9:45.0,,Personal foul by J. Johnson (drawn by D. Gallinari),4,5
10,1,9:37.0,,E. Mudiay misses 2-pt layup from 1 ft,4,5
11,1,9:36.0,Defensive rebound by J. Valančiūnas,,4,5
12,1,9:25.0,J. Johnson makes 3-pt jump shot from 22 ft (assist by D. DeRozan),,7,5
13,1,9:02.0,,N. Jokić makes 2-pt jump shot from 18 ft (assist by D. Gallinari),7,7
14,1,8:46.0,L. Scola misses 2-pt layup from 1 ft,,7,7
15,1,8:43.0,Offensive rebound by J. Valančiūnas,,7,7
16,1,8:43.0,J. Valančiūnas makes 2-pt layup from 1 ft,,9,7
17,1,8:32.0,,N. Jokić misses 3-pt jump shot from 25 ft,9,7
18,1,8:32.0,Defensive rebound by J. Johnson,,9,7
19,1,8:23.0,J. Valančiūnas makes 2-pt jump shot from 18 ft (assist by J. Johnson),,11,7
20,1,8:02.0,,N. Jokić makes 2-pt layup from 2 ft (assist by E. Mudiay),11,9
21,1,7:44.0,D. DeRozan misses 2-pt jump shot from 3 ft,,11,9
22,1,7:44.0,,Defensive rebound by N. Jokić,11,9
23,1,7:32.0,,N. Jokić makes 2-pt layup from 1 ft (assist by K. Faried),11,11
24,1,7:13.0,J. Valančiūnas misses 2-pt layup from 1 ft (block by N. Jokić),,11,11
25,1,7:10.0,,Defensive rebound by N. Jokić,11,11
26,1,7:05.0,,K. Faried makes 2-pt layup at rim (assist by N. Jokić),11,13
27,1,7:00.0,Toronto full timeout,,11,13
28,1,6:46.0,L. Scola makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,14,13
29,1,6:28.0,,D. Gallinari makes 2-pt dunk at rim (assist by E. Mudiay),14,15
30,1,6:08.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,17,15
31,1,5:46.0,,G. Harris misses 2-pt jump shot from 18 ft (block by L. Scola),17,15
32,1,5:45.0,Defensive rebound by Team,,17,15
33,1,5:45.0,,Loose ball foul by G. Harris (drawn by L. Scola),17,15
34,1,5:36.0,Turnover by J. Johnson (lost ball),,17,15
35,1,5:20.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by E. Mudiay),17,18
36,1,5:03.0,J. Valančiūnas misses 2-pt hook shot from 2 ft,,17,18
37,1,5:02.0,,Defensive rebound by N. Jokić,17,18
38,1,4:48.0,,K. Faried makes 2-pt jump shot from 9 ft (assist by N. Jokić),17,20
39,1,4:38.0,J. Valančiūnas misses 2-pt layup from 2 ft,,17,20
40,1,4:35.0,Offensive rebound by J. Valančiūnas,,17,20
41,1,4:35.0,J. Valančiūnas misses 2-pt layup from 1 ft,,17,20
42,1,4:34.0,,Defensive rebound by N. Jokić,17,20
43,1,4:21.0,,N. Jokić misses 2-pt layup from 2 ft (block by J. Johnson),17,20
44,1,4:19.0,Defensive rebound by K. Lowry,,17,20
45,1,4:15.0,K. Lowry misses 3-pt jump shot from 26 ft,,17,20
46,1,4:15.0,,Defensive rebound by K. Faried,17,20
47,1,4:06.0,,G. Harris misses 3-pt jump shot from 25 ft,17,20
48,1,4:05.0,Defensive rebound by J. Valančiūnas,,17,20
49,1,3:48.0,K. Lowry misses 2-pt layup from 1 ft,,17,20
50,1,3:47.0,,Defensive rebound by N. Jokić,17,20
51,1,3:38.0,,Personal foul by D. DeRozan (drawn by G. Harris),17,20
52,1,3:38.0,B. Biyombo enters the game for K. Lowry,,17,20
53,1,3:38.0,T. Ross enters the game for J. Johnson,,17,20
54,1,3:38.0,C. Joseph enters the game for J. Valančiūnas,,17,20
55,1,3:38.0,,J. Nurkić enters the game for N. Jokić,17,20
56,1,3:23.0,,E. Mudiay misses 3-pt jump shot from 24 ft,17,20
57,1,3:22.0,Defensive rebound by B. Biyombo,,17,20
58,1,3:16.0,Personal foul by K. Faried (drawn by D. DeRozan),,17,20
59,1,3:16.0,D. DeRozan makes free throw 1 of 2,,18,20
60,1,3:16.0,P. Patterson enters the game for L. Scola,,18,20
61,1,3:16.0,,D. Arthur enters the game for K. Faried,18,20
62,1,3:16.0,,W. Barton enters the game for G. Harris,18,20
63,1,3:16.0,D. DeRozan makes free throw 2 of 2,,19,20
64,1,2:59.0,,J. Nurkić misses 2-pt hook shot from 2 ft,19,20
65,1,2:58.0,Defensive rebound by T. Ross,,19,20
66,1,2:49.0,D. DeRozan makes 2-pt jump shot from 19 ft,,21,20
67,1,2:40.0,Violation by B. Biyombo (kicked ball),,21,20
68,1,2:40.0,,Denver full timeout,21,20
69,1,2:40.0,,R. Foye enters the game for E. Mudiay,21,20
70,1,2:25.0,,Turnover by D. Gallinari (bad pass; steal by T. Ross),21,20
71,1,2:22.0,Shooting foul by R. Foye (drawn by T. Ross),,21,20
72,1,2:22.0,T. Ross misses free throw 1 of 2,,21,20
73,1,2:22.0,Offensive rebound by Team,,21,20
74,1,2:22.0,T. Ross makes free throw 2 of 2,,22,20
75,1,2:14.0,,R. Foye makes 3-pt jump shot from 25 ft,22,23
76,1,1:57.0,D. DeRozan misses 2-pt jump shot from 19 ft,,22,23
77,1,1:56.0,,Defensive rebound by J. Nurkić,22,23
78,1,1:42.0,,W. Barton misses 2-pt layup from 2 ft,22,23
79,1,1:41.0,,Offensive rebound by J. Nurkić,22,23
80,1,1:41.0,,J. Nurkić misses 2-pt layup from 2 ft,22,23
81,1,1:40.0,,Offensive rebound by J. Nurkić,22,23
82,1,1:40.0,,J. Nurkić misses 2-pt layup from 2 ft,22,23
83,1,1:38.0,,Offensive rebound by J. Nurkić,22,23
84,1,1:36.0,,J. Nurkić makes 2-pt hook shot from 3 ft,22,25
85,1,1:15.0,Shooting foul by D. Arthur (drawn by B. Biyombo),,22,25
86,1,1:15.0,B. Biyombo makes free throw 1 of 2,,23,25
87,1,1:15.0,B. Biyombo makes free throw 2 of 2,,24,25
88,1,1:03.0,,Shooting foul by T. Ross (drawn by D. Gallinari),24,25
89,1,1:03.0,,D. Gallinari makes 2-pt jump shot from 7 ft,24,27
90,1,1:03.0,,D. Gallinari makes free throw 1 of 1,24,28
91,1,0:53.0,T. Ross makes 2-pt jump shot from 14 ft (assist by B. Biyombo),,26,28
92,1,0:35.0,,J. Nurkić misses 2-pt hook shot from 3 ft,26,28
93,1,0:35.0,Defensive rebound by P. Patterson,,26,28
94,1,0:24.0,D. DeRozan makes 2-pt jump shot from 20 ft (assist by P. Patterson),,28,28
95,1,0:02.0,,R. Foye misses 3-pt jump shot from 25 ft,28,28
96,1,0:01.0,Defensive rebound by D. DeRozan,,28,28
97,2,11:43.0,P. Patterson misses 2-pt jump shot from 4 ft,,28,28
98,2,11:42.0,,Defensive rebound by D. Arthur,28,28
99,2,11:33.0,,W. Barton misses 2-pt layup from 2 ft,28,28
100,2,11:32.0,Defensive rebound by B. Biyombo,,28,28
101,2,11:13.0,C. Joseph misses 2-pt layup from 2 ft,,28,28
102,2,11:11.0,,Defensive rebound by J. Nurkić,28,28
103,2,10:58.0,,Turnover by S. Kilpatrick (lost ball; steal by C. Joseph),28,28
104,2,10:50.0,P. Patterson misses 3-pt jump shot from 24 ft,,28,28
105,2,10:49.0,,Defensive rebound by J. Nurkić,28,28
106,2,10:44.0,,W. Barton misses 2-pt jump shot from 9 ft,28,28
107,2,10:43.0,Defensive rebound by Team,,28,28
108,2,10:43.0,,Loose ball foul by J. Nurkić (drawn by C. Joseph),28,28
109,2,10:29.0,T. Ross misses 3-pt jump shot from 26 ft,,28,28
110,2,10:28.0,,Defensive rebound by S. Kilpatrick,28,28
111,2,10:12.0,,Personal foul by B. Biyombo (drawn by J. Nurkić),28,28
112,2,10:12.0,,N. Jokić enters the game for J. Nurkić,28,28
113,2,10:04.0,,R. Foye makes 2-pt layup from 1 ft,28,30
114,2,9:37.0,C. Joseph makes 2-pt hook shot from 9 ft,,30,30
115,2,9:19.0,,W. Barton misses 2-pt layup from 2 ft (block by B. Biyombo),30,30
116,2,9:18.0,Defensive rebound by B. Biyombo,,30,30
117,2,9:09.0,P. Patterson misses 3-pt jump shot from 24 ft,,30,30
118,2,9:08.0,Offensive rebound by C. Joseph,,30,30
119,2,9:07.0,K. Lowry misses 2-pt layup from 1 ft,,30,30
120,2,9:06.0,Offensive rebound by B. Biyombo,,30,30
121,2,9:05.0,Shooting foul by N. Jokić (drawn by B. Biyombo),,30,30
122,2,9:05.0,B. Biyombo misses free throw 1 of 2,,30,30
123,2,9:05.0,Offensive rebound by Team,,30,30
124,2,9:05.0,B. Biyombo misses free throw 2 of 2,,30,30
125,2,9:03.0,,Defensive rebound by N. Jokić,30,30
126,2,8:59.0,,N. Jokić makes 2-pt hook shot from 1 ft,30,32
127,2,8:30.0,Shooting foul by D. Arthur (drawn by B. Biyombo),,30,32
128,2,8:30.0,Official timeout,,30,32
129,2,8:30.0,B. Biyombo misses free throw 1 of 2,,30,32
130,2,8:30.0,Offensive rebound by Team,,30,32
131,2,8:30.0,B. Biyombo makes free throw 2 of 2,,31,32
132,2,8:15.0,,Turnover by N. Jokić (bad pass; steal by C. Joseph),31,32
133,2,8:09.0,P. Patterson misses 3-pt jump shot from 25 ft,,31,32
134,2,8:08.0,Offensive rebound by K. Lowry,,31,32
135,2,8:04.0,Turnover by B. Biyombo (traveling),,31,32
136,2,8:04.0,L. Scola enters the game for P. Patterson,,31,32
137,2,7:51.0,,D. Arthur misses 3-pt jump shot from 25 ft,31,32
138,2,7:50.0,Defensive rebound by T. Ross,,31,32
139,2,7:42.0,T. Ross makes 2-pt jump shot from 11 ft,,33,32
140,2,7:24.0,,D. Arthur misses 3-pt jump shot from 27 ft,33,32
141,2,7:24.0,Defensive rebound by T. Ross,,33,32
142,2,7:17.0,Turnover by T. Ross (lost ball; steal by R. Foye),,33,32
143,2,7:14.0,,Offensive foul by S. Kilpatrick (drawn by K. Lowry),33,32
144,2,7:14.0,,Turnover by S. Kilpatrick (offensive foul),33,32
145,2,7:14.0,,K. Faried enters the game for D. Arthur,33,32
146,2,7:14.0,,G. Harris enters the game for S. Kilpatrick,33,32
147,2,7:06.0,Turnover by B. Biyombo (lost ball; steal by K. Faried),,33,32
148,2,7:05.0,,Personal foul by B. Biyombo (drawn by K. Faried),33,32
149,2,7:05.0,J. Valančiūnas enters the game for B. Biyombo,,33,32
150,2,6:50.0,,W. Barton makes 2-pt layup from 2 ft (assist by N. Jokić),33,34
151,2,6:36.0,C. Joseph misses 2-pt layup from 2 ft,,33,34
152,2,6:35.0,,Defensive rebound by N. Jokić,33,34
153,2,6:22.0,,W. Barton misses 2-pt layup from 1 ft (block by J. Valančiūnas),33,34
154,2,6:21.0,Defensive rebound by L. Scola,,33,34
155,2,6:15.0,L. Scola misses 2-pt layup from 1 ft,,33,34
156,2,6:14.0,,Defensive rebound by K. Faried,33,34
157,2,6:06.0,,R. Foye makes 2-pt jump shot from 21 ft,33,36
158,2,6:02.0,Toronto full timeout,,33,36
159,2,6:02.0,D. DeRozan enters the game for C. Joseph,,33,36
160,2,5:52.0,D. DeRozan makes 2-pt jump shot from 10 ft,,35,36
161,2,5:37.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by W. Barton),35,39
162,2,5:17.0,K. Lowry misses 2-pt layup from 1 ft (block by R. Foye),,35,39
163,2,5:16.0,Offensive rebound by J. Valančiūnas,,35,39
