,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,INDIANA_ACTION,LA CLIPPERS_SCORE,INDIANA_SCORE
0,1,11:40.0,J. Redick makes 3-pt jump shot from 24 ft (assist by D. Jordan),,3,0
1,1,11:23.0,,G. Hill makes 3-pt jump shot from 23 ft (assist by I. Mahinmi),3,3
2,1,11:04.0,D. Jordan makes 2-pt dunk from 1 ft (assist by C. Paul),,5,3
3,1,10:45.0,,I. Mahinmi makes 2-pt layup from 1 ft (assist by P. George),5,5
4,1,10:31.0,J. Redick makes 2-pt jump shot from 17 ft (assist by C. Paul),,7,5
5,1,10:17.0,,G. Hill makes 2-pt layup from 1 ft (assist by L. Allen),7,7
6,1,9:53.0,P. Pierce misses 3-pt jump shot from 24 ft (block by P. George),,7,7
7,1,9:53.0,,Defensive rebound by P. George,7,7
8,1,9:48.0,,P. George makes 2-pt layup from 1 ft,7,9
9,1,9:32.0,J. Redick misses 2-pt jump shot from 10 ft,,7,9
10,1,9:29.0,Offensive rebound by C. Paul,,7,9
11,1,9:19.0,P. Pierce makes 2-pt jump shot from 18 ft (assist by C. Paul),,9,9
12,1,9:07.0,,Turnover by L. Allen (lost ball; steal by P. Pierce),9,9
13,1,8:50.0,J. Redick makes 3-pt jump shot from 26 ft (assist by C. Paul),,12,9
14,1,8:34.0,,P. George makes 2-pt jump shot from 8 ft,12,11
15,1,8:11.0,J. Redick misses 3-pt jump shot from 24 ft,,12,11
16,1,8:10.0,,Defensive rebound by L. Allen,12,11
17,1,8:02.0,,P. George misses 3-pt jump shot from 23 ft,12,11
18,1,8:01.0,Defensive rebound by D. Jordan,,12,11
19,1,7:46.0,C. Paul misses 3-pt jump shot from 25 ft,,12,11
20,1,7:46.0,,Defensive rebound by P. George,12,11
21,1,7:38.0,,P. George makes 2-pt jump shot from 18 ft,12,13
22,1,7:16.0,L. Mbah a Moute misses 3-pt jump shot from 23 ft,,12,13
23,1,7:15.0,,Defensive rebound by I. Mahinmi,12,13
24,1,7:04.0,,P. George misses 2-pt jump shot from 19 ft,12,13
25,1,7:04.0,Defensive rebound by D. Jordan,,12,13
26,1,6:51.0,Turnover by D. Jordan (bad pass; steal by M. Ellis),,12,13
27,1,6:45.0,,M. Ellis misses 2-pt layup from 2 ft,12,13
28,1,6:45.0,Defensive rebound by Team,,12,13
29,1,6:38.0,P. Pierce misses 3-pt jump shot from 23 ft,,12,13
30,1,6:37.0,Offensive rebound by Team,,12,13
31,1,6:37.0,,Loose ball foul by I. Mahinmi (drawn by D. Jordan),12,13
32,1,6:22.0,D. Jordan makes 2-pt hook shot from 5 ft,,14,13
33,1,5:55.0,,P. George makes 2-pt jump shot from 17 ft,14,15
34,1,5:39.0,J. Redick misses 2-pt jump shot from 21 ft,,14,15
35,1,5:38.0,,Defensive rebound by P. George,14,15
36,1,5:33.0,,Turnover by I. Mahinmi (lost ball; steal by P. Pierce),14,15
37,1,5:14.0,P. Pierce misses 2-pt jump shot from 15 ft,,14,15
38,1,5:12.0,,Defensive rebound by L. Allen,14,15
39,1,5:05.0,,Shooting foul by P. Pierce (drawn by P. George),14,15
40,1,5:05.0,,Indiana full timeout,14,15
41,1,5:05.0,,M. Turner enters the game for I. Mahinmi,14,15
42,1,5:05.0,,P. George makes free throw 1 of 2,14,16
43,1,5:05.0,,P. George makes free throw 2 of 2,14,17
44,1,4:46.0,C. Paul misses 2-pt jump shot from 9 ft (block by M. Turner),,14,17
45,1,4:45.0,,Defensive rebound by P. George,14,17
46,1,4:41.0,,M. Ellis misses 2-pt layup from 1 ft,14,17
47,1,4:40.0,,Offensive rebound by Team,14,17
48,1,4:40.0,W. Johnson enters the game for P. Pierce,,14,17
49,1,4:35.0,,M. Turner makes 2-pt jump shot from 16 ft (assist by M. Ellis),14,19
50,1,4:20.0,Turnover by L. Mbah a Moute (bad pass; steal by P. George),,14,19
51,1,4:17.0,,Turnover by M. Ellis (bad pass; steal by J. Redick),14,19
52,1,4:13.0,Turnover by C. Paul (step out of bounds),,14,19
53,1,4:13.0,,J. Hill enters the game for L. Allen,14,19
54,1,3:50.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by P. George),14,21
55,1,3:34.0,W. Johnson misses 2-pt jump shot from 17 ft,,14,21
56,1,3:34.0,,Defensive rebound by M. Turner,14,21
57,1,3:26.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by M. Ellis),14,23
58,1,3:06.0,Turnover by W. Johnson (bad pass),,14,23
59,1,3:06.0,C. Aldrich enters the game for D. Jordan,,14,23
60,1,3:06.0,J. Crawford enters the game for J. Redick,,14,23
61,1,2:52.0,,Turnover by M. Turner (lost ball),14,23
62,1,2:52.0,LA Clippers full timeout,,14,23
63,1,2:52.0,A. Rivers enters the game for C. Paul,,14,23
64,1,2:34.0,Turnover by L. Mbah a Moute (lost ball; steal by G. Hill),,14,23
65,1,2:26.0,,G. Hill misses 2-pt jump shot from 11 ft,14,23
66,1,2:25.0,,Offensive rebound by G. Hill,14,23
67,1,2:19.0,,M. Ellis misses 3-pt jump shot from 24 ft,14,23
68,1,2:19.0,Defensive rebound by A. Rivers,,14,23
69,1,2:12.0,W. Johnson makes 3-pt jump shot from 26 ft (assist by A. Rivers),,17,23
70,1,2:05.0,,C. Miles enters the game for P. George,17,23
71,1,2:05.0,,J. Young enters the game for G. Hill,17,23
72,1,2:05.0,P. Prigioni enters the game for L. Mbah a Moute,,17,23
73,1,1:53.0,,J. Hill misses 2-pt jump shot from 4 ft (block by A. Rivers),17,23
74,1,1:53.0,Defensive rebound by P. Prigioni,,17,23
75,1,1:44.0,W. Johnson makes 3-pt jump shot from 24 ft (assist by J. Crawford),,20,23
76,1,1:34.0,,J. Young misses 3-pt jump shot from 25 ft,20,23
77,1,1:33.0,Defensive rebound by C. Aldrich,,20,23
78,1,1:21.0,J. Crawford makes 3-pt jump shot from 23 ft (assist by W. Johnson),,23,23
79,1,1:00.0,,M. Ellis misses 2-pt jump shot from 20 ft,23,23
80,1,1:00.0,Defensive rebound by P. Prigioni,,23,23
