,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MILWAUKEE_ACTION,SACRAMENTO_SCORE,MILWAUKEE_SCORE
0,1,11:49.0,Shooting foul by G. Antetokounmpo (drawn by R. Gay),,0,0
1,1,11:49.0,R. Gay makes free throw 1 of 2,,1,0
2,1,11:49.0,R. Gay misses free throw 2 of 2,,1,0
3,1,11:46.0,,Defensive rebound by G. Monroe,1,0
4,1,11:31.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,1,0
5,1,11:29.0,Defensive rebound by R. Gay,,1,0
6,1,11:22.0,R. Gay makes 3-pt jump shot from 24 ft (assist by R. Rondo),,4,0
7,1,11:07.0,,G. Monroe makes 2-pt layup at rim (assist by K. Middleton),4,2
8,1,10:49.0,Turnover by B. McLemore (bad pass; steal by M. Carter-Williams),,4,2
9,1,10:43.0,,K. Middleton misses 2-pt jump shot from 22 ft,4,2
10,1,10:42.0,Defensive rebound by R. Rondo,,4,2
11,1,10:33.0,R. Gay makes 2-pt jump shot from 13 ft (assist by R. Rondo),,6,2
12,1,10:10.0,,Turnover by M. Carter-Williams (lost ball; steal by B. McLemore),6,2
13,1,10:08.0,B. McLemore makes 2-pt dunk at rim (assist by R. Rondo),,8,2
14,1,10:01.0,,G. Monroe makes 2-pt layup from 1 ft (assist by K. Middleton),8,4
15,1,9:52.0,Shooting foul by K. Middleton (drawn by B. McLemore),,8,4
16,1,9:52.0,B. McLemore makes free throw 1 of 2,,9,4
17,1,9:52.0,B. McLemore makes free throw 2 of 2,,10,4
18,1,9:39.0,,G. Antetokounmpo makes 3-pt jump shot from 22 ft (assist by J. Parker),10,7
19,1,9:32.0,Personal block foul by G. Monroe (drawn by R. Rondo),,10,7
20,1,9:17.0,R. Gay makes 2-pt jump shot from 9 ft,,12,7
21,1,9:09.0,,Shooting foul by R. Gay (drawn by J. Parker),12,7
22,1,9:09.0,,J. Parker makes free throw 1 of 2,12,8
23,1,9:09.0,,J. Parker makes free throw 2 of 2,12,9
24,1,9:01.0,R. Rondo makes 2-pt layup at rim,,14,9
25,1,8:49.0,,Shooting foul by W. Cauley-Stein (drawn by J. Parker),14,9
26,1,8:49.0,,J. Parker makes free throw 1 of 2,14,10
27,1,8:49.0,,J. Parker makes free throw 2 of 2,14,11
28,1,8:34.0,R. Rondo misses 2-pt jump shot from 10 ft,,14,11
29,1,8:32.0,Offensive rebound by K. Koufos,,14,11
30,1,8:30.0,K. Koufos makes 2-pt layup at rim,,16,11
31,1,8:07.0,,G. Monroe makes 2-pt layup at rim (assist by G. Antetokounmpo),16,13
32,1,7:52.0,K. Koufos makes 2-pt hook shot from 6 ft (assist by B. McLemore),,18,13
33,1,7:37.0,,J. Parker makes 2-pt layup at rim (assist by K. Middleton),18,15
34,1,7:23.0,Turnover by R. Rondo (bad pass; steal by K. Middleton),,18,15
35,1,7:20.0,,K. Middleton makes 2-pt dunk at rim,18,17
36,1,7:02.0,K. Koufos misses 2-pt hook shot from 6 ft,,18,17
37,1,7:01.0,,Defensive rebound by G. Monroe,18,17
38,1,6:55.0,,K. Middleton makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),18,20
39,1,6:52.0,Sacramento full timeout,,18,20
40,1,6:52.0,O. Casspi enters the game for W. Cauley-Stein,,18,20
41,1,6:39.0,B. McLemore misses 2-pt jump shot from 15 ft,,18,20
42,1,6:37.0,,Defensive rebound by J. Parker,18,20
43,1,6:21.0,,Turnover by M. Carter-Williams (bad pass; steal by B. McLemore),18,20
44,1,6:11.0,R. Gay makes 2-pt jump shot from 7 ft,,20,20
45,1,5:50.0,,K. Middleton misses 2-pt jump shot from 16 ft,20,20
46,1,5:48.0,Defensive rebound by K. Koufos,,20,20
47,1,5:37.0,B. McLemore misses 2-pt jump shot from 3 ft (block by G. Monroe),,20,20
48,1,5:34.0,,Defensive rebound by J. Parker,20,20
49,1,5:30.0,,G. Monroe makes 2-pt layup from 1 ft (assist by J. Parker),20,22
50,1,5:08.0,R. Gay misses 2-pt jump shot from 4 ft,,20,22
51,1,5:06.0,Offensive rebound by R. Gay,,20,22
52,1,5:06.0,R. Gay makes 2-pt layup at rim,,22,22
53,1,4:49.0,,G. Monroe misses 2-pt hook shot from 5 ft,22,22
54,1,4:47.0,Defensive rebound by R. Rondo,,22,22
55,1,4:39.0,R. Rondo makes 2-pt layup from 1 ft,,24,22
56,1,4:24.0,,G. Antetokounmpo misses 2-pt jump shot from 6 ft,24,22
57,1,4:24.0,,Offensive rebound by Team,24,22
