,QUARTER,TIME_REMAINING,PORTLAND_ACTION,OKLAHOMA CITY_ACTION,PORTLAND_SCORE,OKLAHOMA CITY_SCORE
0,1,12:00.0,,Violation by Team (delay of game),0,0
1,1,11:52.0,,Turnover by S. Ibaka (offensive foul),0,0
2,1,11:52.0,,Offensive foul by S. Ibaka (drawn by A. Aminu),0,0
3,1,11:36.0,A. Aminu misses 2-pt layup from 2 ft,,0,0
4,1,11:35.0,,Defensive rebound by S. Adams,0,0
5,1,11:26.0,,Turnover by R. Westbrook (bad pass; steal by A. Aminu),0,0
6,1,11:22.0,A. Aminu misses 2-pt layup from 1 ft (block by R. Westbrook),,0,0
7,1,11:21.0,Offensive rebound by M. Plumlee,,0,0
8,1,11:09.0,D. Lillard misses 2-pt jump shot from 14 ft,,0,0
9,1,11:09.0,,Defensive rebound by Team,0,0
10,1,10:54.0,,K. Durant misses 3-pt jump shot from 24 ft,0,0
11,1,10:52.0,Defensive rebound by N. Vonleh,,0,0
12,1,10:36.0,C. McCollum makes 2-pt jump shot from 15 ft,,2,0
13,1,10:23.0,,K. Durant makes 2-pt jump shot from 13 ft (assist by R. Westbrook),2,2
14,1,10:10.0,C. McCollum makes 2-pt jump shot from 20 ft,,4,2
15,1,9:54.0,,S. Adams misses 2-pt dunk at rim,4,2
16,1,9:52.0,Defensive rebound by D. Lillard,,4,2
17,1,9:41.0,A. Aminu makes 3-pt jump shot from 23 ft (assist by M. Plumlee),,7,2
18,1,9:28.0,,S. Ibaka makes 2-pt jump shot from 19 ft (assist by R. Westbrook),7,4
19,1,9:01.0,M. Plumlee misses 2-pt jump shot from 5 ft,,7,4
20,1,9:00.0,Offensive rebound by N. Vonleh,,7,4
21,1,8:56.0,C. McCollum misses 2-pt jump shot from 16 ft,,7,4
22,1,8:55.0,,Defensive rebound by K. Durant,7,4
23,1,8:44.0,,R. Westbrook makes 2-pt jump shot from 6 ft,7,6
24,1,8:33.0,M. Plumlee misses 2-pt jump shot from 9 ft,,7,6
25,1,8:32.0,,Defensive rebound by K. Durant,7,6
