,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW YORK_ACTION,MINNESOTA_SCORE,NEW YORK_SCORE
0,1,11:42.0,,A. Afflalo misses 2-pt jump shot from 15 ft,0,0
1,1,11:41.0,Defensive rebound by G. Dieng,,0,0
2,1,11:27.0,K. Towns misses 2-pt jump shot from 21 ft,,0,0
3,1,11:26.0,,Defensive rebound by J. Calderón,0,0
4,1,11:16.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Calderón),0,3
5,1,10:58.0,A. Wiggins misses 2-pt layup from 1 ft (block by K. Porziņģis),,0,3
6,1,10:57.0,,Defensive rebound by C. Anthony,0,3
7,1,10:48.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,0,3
8,1,10:47.0,Defensive rebound by T. Prince,,0,3
9,1,10:42.0,A. Wiggins misses 2-pt layup at rim (block by K. Porziņģis),,0,3
10,1,10:41.0,Offensive rebound by K. Towns,,0,3
11,1,10:40.0,K. Towns makes 2-pt layup from 1 ft,,2,3
12,1,10:24.0,,R. Lopez misses 2-pt jump shot from 7 ft,2,3
13,1,10:23.0,Defensive rebound by R. Rubio,,2,3
14,1,10:15.0,K. Towns misses 3-pt jump shot from 24 ft,,2,3
15,1,10:14.0,,Defensive rebound by C. Anthony,2,3
16,1,10:05.0,,R. Lopez makes 2-pt hook shot from 6 ft (assist by C. Anthony),2,5
17,1,9:46.0,K. Towns makes 2-pt layup from 2 ft (assist by R. Rubio),,4,5
18,1,9:24.0,,A. Afflalo makes 2-pt jump shot from 14 ft,4,7
19,1,9:10.0,K. Towns misses 2-pt jump shot from 14 ft,,4,7
20,1,9:09.0,,Defensive rebound by A. Afflalo,4,7
21,1,9:05.0,,Turnover by C. Anthony (bad pass; steal by R. Rubio),4,7
22,1,8:57.0,A. Wiggins misses 3-pt jump shot from 23 ft,,4,7
23,1,8:56.0,,Defensive rebound by K. Porziņģis,4,7
24,1,8:45.0,,C. Anthony misses 2-pt jump shot from 13 ft,4,7
25,1,8:44.0,Defensive rebound by R. Rubio,,4,7
26,1,8:25.0,A. Wiggins misses 2-pt jump shot from 9 ft,,4,7
27,1,8:24.0,,Defensive rebound by K. Porziņģis,4,7
28,1,8:20.0,,Turnover by J. Calderón (bad pass; steal by R. Rubio),4,7
29,1,8:16.0,Personal foul by R. Lopez (drawn by G. Dieng),,4,7
30,1,8:06.0,R. Rubio makes 2-pt jump shot from 16 ft (assist by G. Dieng),,6,7
31,1,7:51.0,,K. Porziņģis misses 2-pt jump shot from 11 ft,6,7
32,1,7:50.0,Defensive rebound by K. Towns,,6,7
33,1,7:45.0,R. Rubio misses 2-pt jump shot from 21 ft,,6,7
34,1,7:43.0,,Defensive rebound by Team,6,7
