,QUARTER,TIME_REMAINING,TORONTO_ACTION,SACRAMENTO_ACTION,TORONTO_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,3,0
1,1,11:15.0,,B. McLemore misses 2-pt jump shot from 6 ft,3,0
2,1,11:13.0,Defensive rebound by D. DeRozan,,3,0
3,1,11:06.0,J. Valančiūnas misses 2-pt jump shot from 20 ft,,3,0
4,1,11:06.0,,Defensive rebound by Team,3,0
5,1,10:46.0,,B. McLemore misses 3-pt jump shot from 23 ft,3,0
6,1,10:45.0,Defensive rebound by L. Scola,,3,0
7,1,10:30.0,Shooting foul by W. Cauley-Stein (drawn by D. DeRozan),,3,0
8,1,10:30.0,D. DeRozan misses free throw 1 of 2,,3,0
9,1,10:30.0,Offensive rebound by Team,,3,0
10,1,10:30.0,D. DeRozan makes free throw 2 of 2,,4,0
11,1,10:17.0,,D. Cousins misses 2-pt jump shot from 20 ft,4,0
12,1,10:17.0,Defensive rebound by K. Lowry,,4,0
13,1,10:09.0,K. Lowry makes 3-pt jump shot from 25 ft,,7,0
14,1,9:55.0,,R. Gay makes 2-pt hook shot from 8 ft,7,2
15,1,9:37.0,Turnover by K. Lowry (bad pass; steal by R. Gay),,7,2
16,1,9:30.0,,D. Cousins makes 2-pt dunk at rim (assist by R. Gay),7,4
17,1,9:02.0,K. Lowry misses 3-pt jump shot from 25 ft,,7,4
18,1,9:01.0,,Defensive rebound by W. Cauley-Stein,7,4
19,1,8:58.0,,Personal foul by K. Lowry (drawn by D. Cousins),7,4
20,1,8:41.0,,R. Gay makes 2-pt jump shot from 17 ft,7,6
21,1,8:23.0,D. DeRozan makes 2-pt jump shot from 14 ft,,9,6
22,1,8:16.0,,R. Rondo makes 2-pt layup from 1 ft,9,8
23,1,8:00.0,Turnover by D. Carroll (bad pass; steal by B. McLemore),,9,8
24,1,7:41.0,,D. Cousins makes 2-pt layup from 4 ft,9,10
25,1,7:23.0,Shooting foul by B. McLemore (drawn by D. Carroll),,9,10
26,1,7:23.0,D. Carroll misses free throw 1 of 2,,9,10
