,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,UTAH_ACTION,NEW ORLEANS_SCORE,UTAH_SCORE
0,1,11:42.0,E. Gordon misses 2-pt jump shot from 5 ft (block by R. Gobert),,0,0
1,1,11:41.0,,Defensive rebound by R. Neto,0,0
2,1,11:34.0,,G. Hayward misses 3-pt jump shot from 23 ft,0,0
3,1,11:33.0,,Offensive rebound by T. Booker,0,0
4,1,11:14.0,,R. Hood makes 2-pt jump shot from 11 ft,0,2
5,1,10:55.0,Ö. Aşık misses 2-pt jump shot from 3 ft (block by T. Booker),,0,2
6,1,10:54.0,,Defensive rebound by T. Booker,0,2
7,1,10:48.0,,G. Hayward makes 2-pt layup from 2 ft,0,4
8,1,10:30.0,J. Holiday misses 3-pt jump shot from 23 ft,,0,4
9,1,10:28.0,,Defensive rebound by R. Gobert,0,4
10,1,10:14.0,,R. Neto misses 3-pt jump shot from 24 ft,0,4
11,1,10:13.0,Defensive rebound by Ö. Aşık,,0,4
12,1,10:03.0,A. Davis makes 2-pt jump shot from 9 ft,,2,4
13,1,9:43.0,,R. Neto misses 2-pt jump shot from 5 ft,2,4
14,1,9:43.0,Defensive rebound by A. Davis,,2,4
15,1,9:27.0,Ö. Aşık misses 2-pt layup from 2 ft,,2,4
16,1,9:27.0,,Defensive rebound by R. Gobert,2,4
17,1,9:13.0,,R. Hood misses 2-pt jump shot from 16 ft,2,4
18,1,9:12.0,Defensive rebound by Ö. Aşık,,2,4
19,1,9:09.0,Personal foul by R. Neto (drawn by A. Gee),,2,4
20,1,9:04.0,E. Gordon misses 2-pt dunk at rim,,2,4
21,1,9:03.0,,Defensive rebound by R. Gobert,2,4
22,1,8:44.0,,G. Hayward makes 2-pt jump shot from 10 ft,2,6
23,1,8:38.0,Shooting foul by T. Booker (drawn by A. Davis),,2,6
24,1,8:38.0,,Violation by R. Neto (lane),2,6
25,1,8:38.0,A. Davis makes free throw 1 of 2,,3,6
26,1,8:38.0,A. Davis makes free throw 2 of 2,,4,6
27,1,8:21.0,,Personal foul by A. Gee (drawn by G. Hayward),4,6
28,1,8:10.0,,R. Neto misses 2-pt layup from 2 ft,4,6
29,1,8:10.0,,Offensive rebound by Team,4,6
30,1,8:07.0,,R. Gobert misses 2-pt jump shot from 17 ft,4,6
31,1,8:06.0,Defensive rebound by Team,,4,6
32,1,7:52.0,Turnover by Ö. Aşık (bad pass; steal by R. Neto),,4,6
33,1,7:45.0,,T. Booker makes 2-pt layup from 2 ft (assist by G. Hayward),4,8
34,1,7:38.0,E. Gordon misses 2-pt layup from 2 ft,,4,8
35,1,7:37.0,,Defensive rebound by R. Gobert,4,8
36,1,7:29.0,,R. Hood misses 2-pt jump shot from 13 ft,4,8
37,1,7:27.0,,Offensive rebound by R. Hood,4,8
38,1,7:27.0,,R. Hood makes 2-pt layup at rim,4,10
39,1,7:09.0,J. Holiday misses 2-pt jump shot from 11 ft,,4,10
40,1,7:07.0,,Defensive rebound by R. Gobert,4,10
41,1,6:59.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by R. Neto),4,13
42,1,6:50.0,New Orleans full timeout,,4,13
43,1,6:50.0,R. Anderson enters the game for Ö. Aşık,,4,13
44,1,6:50.0,I. Smith enters the game for J. Holiday,,4,13
45,1,6:42.0,Personal foul by R. Gobert (drawn by A. Davis),,4,13
46,1,6:36.0,A. Davis misses 2-pt dunk at rim,,4,13
47,1,6:36.0,,Defensive rebound by Team,4,13
48,1,6:26.0,,Turnover by R. Gobert (lost ball; steal by A. Davis),4,13
49,1,6:21.0,A. Davis makes 2-pt dunk at rim (assist by I. Smith),,6,13
50,1,6:04.0,,Turnover by G. Hayward (lost ball; steal by E. Gordon),6,13
51,1,5:59.0,Turnover by I. Smith (bad pass; steal by G. Hayward),,6,13
52,1,5:55.0,,Shooting foul by A. Gee (drawn by T. Booker),6,13
53,1,5:55.0,,T. Booker makes free throw 1 of 2,6,14
54,1,5:55.0,D. Cunningham enters the game for A. Gee,,6,14
55,1,5:55.0,,A. Burks enters the game for G. Hayward,6,14
56,1,5:55.0,,T. Booker makes free throw 2 of 2,6,15
57,1,5:40.0,E. Gordon misses 3-pt jump shot from 24 ft,,6,15
58,1,5:39.0,,Defensive rebound by T. Booker,6,15
59,1,5:22.0,,R. Hood makes 2-pt layup from 1 ft,6,17
60,1,5:12.0,Personal foul by A. Burks (drawn by E. Gordon),,6,17
61,1,5:12.0,,J. Ingles enters the game for R. Neto,6,17
62,1,5:12.0,,T. Burke enters the game for R. Hood,6,17
63,1,5:06.0,E. Gordon misses 2-pt jump shot from 3 ft (block by R. Gobert),,6,17
64,1,5:05.0,Offensive rebound by A. Davis,,6,17
65,1,5:00.0,A. Davis makes 2-pt dunk at rim,,8,17
66,1,4:44.0,,T. Booker misses 2-pt layup from 1 ft,8,17
67,1,4:43.0,Defensive rebound by A. Davis,,8,17
68,1,4:35.0,Shooting foul by R. Gobert (drawn by R. Anderson),,8,17
69,1,4:35.0,R. Anderson makes free throw 1 of 2,,9,17
70,1,4:35.0,,J. Withey enters the game for R. Gobert,9,17
71,1,4:35.0,R. Anderson makes free throw 2 of 2,,10,17
72,1,4:23.0,,A. Burks misses 2-pt jump shot from 17 ft,10,17
73,1,4:21.0,Defensive rebound by D. Cunningham,,10,17
74,1,4:18.0,Turnover by D. Cunningham (lost ball; steal by J. Withey),,10,17
75,1,3:57.0,,J. Withey misses 2-pt jump shot from 13 ft (block by A. Davis),10,17
76,1,3:56.0,,Offensive rebound by T. Burke,10,17
77,1,3:55.0,,Turnover by Team (shot clock),10,17
78,1,3:43.0,A. Davis misses 2-pt jump shot from 14 ft,,10,17
79,1,3:42.0,,Defensive rebound by T. Burke,10,17
80,1,3:30.0,,T. Booker misses 2-pt jump shot from 3 ft,10,17
81,1,3:29.0,,Offensive rebound by T. Booker,10,17
82,1,3:24.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by T. Burke),10,20
83,1,3:19.0,Turnover by R. Anderson (lost ball),,10,20
84,1,3:19.0,,T. Lyles enters the game for T. Booker,10,20
85,1,2:59.0,,T. Burke misses 2-pt jump shot from 18 ft,10,20
86,1,2:58.0,Defensive rebound by D. Cunningham,,10,20
87,1,2:47.0,A. Davis makes 2-pt dunk at rim (assist by E. Gordon),,12,20
88,1,2:39.0,,T. Lyles misses 2-pt layup at rim,12,20
89,1,2:38.0,Defensive rebound by R. Anderson,,12,20
90,1,2:31.0,Shooting foul by J. Withey (drawn by A. Davis),,12,20
91,1,2:31.0,,Utah full timeout,12,20
92,1,2:31.0,A. Davis makes free throw 1 of 2,,13,20
93,1,2:31.0,A. Davis makes free throw 2 of 2,,14,20
94,1,2:08.0,,T. Lyles misses 2-pt jump shot from 5 ft,14,20
95,1,2:07.0,,Offensive rebound by T. Lyles,14,20
96,1,2:04.0,,T. Lyles misses 2-pt jump shot from 3 ft,14,20
97,1,2:01.0,,Offensive rebound by J. Withey,14,20
98,1,2:01.0,,J. Withey misses 2-pt layup from 2 ft,14,20
99,1,2:00.0,Defensive rebound by D. Cunningham,,14,20
100,1,1:54.0,R. Anderson misses 3-pt jump shot from 25 ft,,14,20
101,1,1:53.0,,Defensive rebound by A. Burks,14,20
102,1,1:39.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by J. Withey),14,23
103,1,1:20.0,Turnover by I. Smith (bad pass; steal by J. Withey),,14,23
104,1,1:05.0,,A. Burks misses 2-pt jump shot from 17 ft,14,23
105,1,1:03.0,,Offensive rebound by J. Withey,14,23
106,1,1:02.0,,Turnover by J. Withey (lost ball; steal by A. Davis),14,23
107,1,0:46.0,I. Smith misses 2-pt jump shot from 6 ft (block by J. Withey),,14,23
108,1,0:44.0,,Defensive rebound by J. Ingles,14,23
109,1,0:37.0,,J. Ingles misses 2-pt jump shot from 18 ft,14,23
110,1,0:36.0,Defensive rebound by I. Smith,,14,23
111,1,0:24.0,Personal foul by J. Withey (drawn by A. Davis),,14,23
112,1,0:24.0,A. Davis makes free throw 1 of 2,,15,23
113,1,0:24.0,A. Davis makes free throw 2 of 2,,16,23
114,1,0:03.0,,Shooting foul by A. Davis (drawn by J. Withey),16,23
115,1,0:03.0,,J. Withey misses free throw 1 of 2,16,23
116,1,0:03.0,,Offensive rebound by Team,16,23
117,1,0:03.0,,C. Johnson enters the game for J. Ingles,16,23
118,1,0:03.0,,J. Withey misses free throw 2 of 2,16,23
119,1,0:03.0,,Offensive rebound by A. Burks,16,23
120,1,0:01.0,,A. Burks misses 2-pt jump shot from 9 ft,16,23
121,1,0:00.0,Defensive rebound by D. Cunningham,,16,23
122,2,11:46.0,,A. Burks makes 2-pt jump shot from 17 ft,16,25
123,2,11:31.0,R. Anderson misses 2-pt jump shot from 17 ft,,16,25
124,2,11:30.0,,Defensive rebound by J. Withey,16,25
125,2,11:09.0,,T. Lyles makes 2-pt jump shot from 16 ft,16,27
126,2,10:57.0,A. Ajinça makes 2-pt jump shot from 18 ft (assist by I. Smith),,18,27
127,2,10:43.0,,Shooting foul by T. Douglas (drawn by G. Hayward),18,27
128,2,10:43.0,,G. Hayward makes free throw 1 of 2,18,28
129,2,10:43.0,,G. Hayward makes free throw 2 of 2,18,29
130,2,10:36.0,Personal foul by J. Ingles (drawn by I. Smith),,18,29
131,2,10:36.0,,T. Booker enters the game for T. Lyles,18,29
132,2,10:30.0,I. Smith misses 2-pt jump shot from 6 ft,,18,29
133,2,10:29.0,,Defensive rebound by T. Booker,18,29
134,2,10:14.0,,Personal foul by D. Cunningham (drawn by G. Hayward),18,29
135,2,10:14.0,,R. Gobert enters the game for J. Withey,18,29
136,2,10:07.0,,A. Burks makes 2-pt layup from 3 ft,18,31
137,2,10:07.0,,Shooting foul by A. Ajinça (drawn by A. Burks),18,31
138,2,10:07.0,,A. Burks makes free throw 1 of 1,18,32
139,2,9:52.0,A. Ajinça misses 2-pt jump shot from 9 ft,,18,32
140,2,9:52.0,,Defensive rebound by R. Gobert,18,32
141,2,9:37.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by T. Booker),18,35
142,2,9:32.0,New Orleans full timeout,,18,35
143,2,9:32.0,A. Davis enters the game for R. Anderson,,18,35
144,2,9:22.0,A. Davis misses 2-pt jump shot from 18 ft,,18,35
145,2,9:22.0,,Defensive rebound by R. Gobert,18,35
146,2,9:09.0,,Personal foul by T. Douglas (drawn by J. Ingles),18,35
147,2,9:09.0,Technical foul by A. Ajinça,,18,35
148,2,9:09.0,,Technical foul by J. Ingles,18,35
149,2,9:09.0,Technical foul by T. Douglas,,18,35
150,2,9:09.0,,A. Burks makes technical free throw,18,36
151,2,9:01.0,,G. Hayward misses 2-pt jump shot from 18 ft,18,36
152,2,9:01.0,,Offensive rebound by T. Booker,18,36
153,2,9:01.0,Loose ball foul by A. Davis (drawn by R. Gobert),,18,36
154,2,9:01.0,,R. Hood enters the game for J. Ingles,18,36
155,2,9:01.0,,R. Neto enters the game for A. Burks,18,36
156,2,9:01.0,,R. Gobert makes free throw 1 of 2,18,37
157,2,9:01.0,,R. Gobert makes free throw 2 of 2,18,38
158,2,8:46.0,T. Douglas makes 2-pt jump shot from 9 ft,,20,38
159,2,8:20.0,,R. Hood misses 3-pt jump shot from 24 ft,20,38
160,2,8:20.0,Defensive rebound by A. Davis,,20,38
