,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHOENIX_ACTION,CHICAGO_SCORE,PHOENIX_SCORE
0,1,11:40.0,P. Gasol makes 2-pt jump shot from 10 ft,,2,0
1,1,11:17.0,,Turnover by M. Morris (lost ball; steal by N. Mirotić),2,0
2,1,11:04.0,T. Snell misses 3-pt jump shot from 25 ft,,2,0
3,1,11:03.0,,Defensive rebound by E. Bledsoe,2,0
4,1,10:57.0,,P. Tucker makes 2-pt layup at rim (assist by E. Bledsoe),2,2
5,1,10:44.0,J. Butler makes 2-pt dunk at rim (assist by N. Mirotić),,4,2
6,1,10:20.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),4,5
7,1,10:04.0,P. Gasol makes 2-pt jump shot from 19 ft (assist by K. Hinrich),,6,5
8,1,9:55.0,,B. Knight misses 2-pt jump shot from 4 ft,6,5
9,1,9:52.0,,Offensive rebound by M. Morris,6,5
10,1,9:52.0,,M. Morris misses 2-pt jump shot from 1 ft,6,5
11,1,9:51.0,Defensive rebound by N. Mirotić,,6,5
12,1,9:48.0,P. Gasol makes 2-pt dunk at rim (assist by N. Mirotić),,8,5
13,1,9:37.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,8,5
14,1,9:37.0,Defensive rebound by Team,,8,5
15,1,9:37.0,,Loose ball foul by M. Morris (drawn by N. Mirotić),8,5
16,1,9:27.0,Turnover by N. Mirotić (traveling),,8,5
17,1,9:07.0,,P. Tucker misses 3-pt jump shot from 23 ft,8,5
18,1,9:06.0,,Offensive rebound by T. Chandler,8,5
19,1,8:59.0,,T. Chandler makes 2-pt dunk at rim,8,7
20,1,8:39.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by J. Butler),,11,7
21,1,8:21.0,,M. Morris misses 3-pt jump shot from 24 ft,11,7
22,1,8:21.0,Defensive rebound by K. Hinrich,,11,7
23,1,8:01.0,Turnover by J. Butler (bad pass; steal by M. Morris),,11,7
24,1,7:47.0,,Turnover by B. Knight (bad pass; steal by P. Gasol),11,7
25,1,7:40.0,Turnover by T. Snell (traveling),,11,7
26,1,7:28.0,,Turnover by E. Bledsoe (lost ball; steal by K. Hinrich),11,7
27,1,7:22.0,J. Butler makes 3-pt jump shot from 24 ft (assist by K. Hinrich),,14,7
28,1,7:03.0,,B. Knight makes 2-pt jump shot from 9 ft,14,9
29,1,6:52.0,N. Mirotić misses 3-pt jump shot from 24 ft,,14,9
30,1,6:52.0,,Defensive rebound by P. Tucker,14,9
31,1,6:46.0,,E. Bledsoe misses 2-pt jump shot from 18 ft,14,9
32,1,6:42.0,Defensive rebound by N. Mirotić,,14,9
