,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MEMPHIS_ACTION,ORLANDO_SCORE,MEMPHIS_SCORE
0,1,11:42.0,,C. Lee misses 3-pt jump shot from 23 ft,0,0
1,1,11:42.0,Defensive rebound by N. Vučević,,0,0
2,1,11:28.0,V. Oladipo misses 3-pt jump shot from 24 ft,,0,0
3,1,11:27.0,,Defensive rebound by T. Allen,0,0
4,1,11:17.0,,M. Gasol misses 2-pt jump shot from 13 ft,0,0
5,1,11:16.0,,Offensive rebound by T. Allen,0,0
6,1,10:56.0,,T. Allen misses 2-pt jump shot from 7 ft,0,0
7,1,10:54.0,Defensive rebound by N. Vučević,,0,0
8,1,10:50.0,Shooting foul by M. Gasol (drawn by A. Gordon),,0,0
9,1,10:50.0,A. Gordon makes free throw 1 of 2,,1,0
10,1,10:50.0,A. Gordon makes free throw 2 of 2,,2,0
11,1,10:34.0,,M. Gasol makes 2-pt jump shot from 17 ft (assist by C. Lee),2,2
12,1,10:24.0,T. Harris misses 2-pt jump shot from 4 ft,,2,2
13,1,10:23.0,Offensive rebound by N. Vučević,,2,2
14,1,10:23.0,N. Vučević makes 2-pt layup from 2 ft,,4,2
15,1,10:02.0,,Z. Randolph misses 2-pt jump shot from 3 ft,4,2
16,1,9:59.0,,Offensive rebound by Team,4,2
17,1,9:52.0,,Shooting foul by N. Vučević (drawn by M. Gasol),4,2
18,1,9:52.0,,M. Gasol misses free throw 1 of 2,4,2
19,1,9:52.0,,Offensive rebound by Team,4,2
20,1,9:52.0,,M. Gasol makes free throw 2 of 2,4,3
21,1,9:44.0,Turnover by N. Vučević (lost ball; steal by M. Conley),,4,3
22,1,9:36.0,,C. Lee makes 2-pt jump shot from 10 ft (assist by M. Conley),4,5
23,1,9:29.0,A. Gordon makes 2-pt dunk at rim (assist by N. Vučević),,6,5
24,1,9:18.0,,Personal foul by A. Gordon (drawn by Z. Randolph),6,5
25,1,9:08.0,,Z. Randolph misses 2-pt layup from 2 ft,6,5
26,1,9:06.0,Defensive rebound by A. Gordon,,6,5
27,1,8:57.0,T. Harris makes 2-pt dunk at rim (assist by N. Vučević),,8,5
28,1,8:36.0,,M. Conley makes 3-pt jump shot from 23 ft (assist by M. Gasol),8,8
29,1,8:23.0,N. Vučević makes 2-pt jump shot from 16 ft (assist by E. Payton),,10,8
30,1,8:02.0,,M. Conley misses 2-pt layup from 2 ft (block by A. Gordon),10,8
31,1,8:00.0,Defensive rebound by A. Gordon,,10,8
32,1,7:57.0,A. Gordon makes 2-pt layup from 2 ft,,12,8
33,1,7:37.0,,Z. Randolph makes 2-pt hook shot from 4 ft (assist by C. Lee),12,10
34,1,7:21.0,T. Harris makes 2-pt jump shot from 3 ft,,14,10
35,1,7:06.0,,C. Lee makes 3-pt jump shot from 24 ft (assist by M. Conley),14,13
36,1,6:56.0,E. Payton misses 2-pt layup from 2 ft,,14,13
37,1,6:51.0,,Defensive rebound by Z. Randolph,14,13
38,1,6:50.0,,Turnover by Z. Randolph (bad pass; steal by E. Payton),14,13
39,1,6:48.0,E. Payton makes 2-pt layup at rim (assist by V. Oladipo),,16,13
40,1,6:35.0,,M. Gasol misses 2-pt jump shot from 17 ft,16,13
41,1,6:34.0,Defensive rebound by A. Gordon,,16,13
42,1,6:25.0,Turnover by E. Payton (step out of bounds),,16,13
43,1,6:12.0,,Shooting foul by T. Harris (drawn by T. Allen),16,13
