,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DETROIT_ACTION,SACRAMENTO_SCORE,DETROIT_SCORE
0,1,11:50.0,,A. Drummond makes 2-pt layup at rim (assist by R. Jackson),0,2
1,1,11:50.0,,Shooting foul by D. Cousins (drawn by A. Drummond),0,2
2,1,11:50.0,,A. Drummond misses free throw 1 of 1,0,2
3,1,11:49.0,Defensive rebound by Q. Acy,,0,2
4,1,11:38.0,D. Cousins makes 2-pt jump shot from 18 ft (assist by R. Rondo),,2,2
5,1,11:23.0,,Turnover by R. Jackson (bad pass),2,2
6,1,11:13.0,R. Rondo makes 2-pt jump shot from 6 ft,,4,2
7,1,10:59.0,,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,4,2
8,1,10:58.0,,Offensive rebound by K. Caldwell-Pope,4,2
9,1,10:56.0,Offensive charge foul by K. Caldwell-Pope (drawn by D. Cousins),,4,2
10,1,10:56.0,,Turnover by K. Caldwell-Pope (offensive foul),4,2
11,1,10:43.0,R. Gay misses 2-pt jump shot from 17 ft,,4,2
12,1,10:42.0,,Defensive rebound by R. Jackson,4,2
13,1,10:34.0,,R. Jackson misses 2-pt jump shot from 7 ft,4,2
14,1,10:32.0,,Offensive rebound by R. Jackson,4,2
15,1,10:14.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by T. Harris),4,5
16,1,9:54.0,J. Anderson makes 2-pt layup at rim (assist by D. Cousins),,6,5
17,1,9:35.0,,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,6,5
18,1,9:34.0,,Offensive rebound by K. Caldwell-Pope,6,5
19,1,9:32.0,,K. Caldwell-Pope makes 2-pt layup at rim,6,7
20,1,9:20.0,Turnover by D. Cousins (lost ball; steal by K. Caldwell-Pope),,6,7
21,1,9:16.0,,K. Caldwell-Pope makes 2-pt dunk at rim,6,9
22,1,9:03.0,R. Gay makes 2-pt layup at rim,,8,9
23,1,8:44.0,,Shooting foul by J. Anderson (drawn by T. Harris),8,9
24,1,8:44.0,,T. Harris makes 2-pt layup at rim,8,11
25,1,8:44.0,,T. Harris makes free throw 1 of 1,8,12
26,1,8:29.0,J. Anderson misses 2-pt jump shot from 8 ft,,8,12
27,1,8:27.0,,Defensive rebound by K. Caldwell-Pope,8,12
28,1,8:20.0,,R. Jackson misses 3-pt jump shot from 27 ft,8,12
29,1,8:17.0,,Offensive rebound by A. Drummond,8,12
30,1,8:12.0,,R. Jackson makes 2-pt layup at rim (assist by A. Drummond),8,14
31,1,7:56.0,Turnover by Q. Acy (traveling),,8,14
32,1,7:39.0,,T. Harris misses 2-pt jump shot from 12 ft,8,14
33,1,7:38.0,Defensive rebound by D. Cousins,,8,14
34,1,7:20.0,R. Gay makes 2-pt layup at rim (assist by D. Cousins),,10,14
35,1,7:02.0,,R. Jackson misses 3-pt jump shot from 24 ft,10,14
36,1,7:01.0,Defensive rebound by R. Rondo,,10,14
37,1,6:45.0,Turnover by R. Gay (bad pass; steal by A. Drummond),,10,14
38,1,6:40.0,,K. Caldwell-Pope makes 2-pt dunk at rim (assist by R. Jackson),10,16
39,1,6:32.0,Turnover by R. Rondo (bad pass),,10,16
40,1,6:32.0,Sacramento full timeout,,10,16
41,1,6:26.0,,R. Jackson makes 2-pt layup at rim,10,18
42,1,6:26.0,,Shooting foul by J. Anderson (drawn by R. Jackson),10,18
43,1,6:26.0,,R. Jackson makes free throw 1 of 1,10,19
44,1,6:14.0,Personal foul by T. Harris,,10,19
45,1,6:14.0,D. Collison enters the game for J. Anderson,,10,19
46,1,6:00.0,Q. Acy misses 2-pt jump shot from 12 ft,,10,19
47,1,5:59.0,,Defensive rebound by R. Jackson,10,19
48,1,5:54.0,,A. Drummond makes 2-pt layup at rim (assist by R. Jackson),10,21
49,1,5:45.0,D. Cousins misses 2-pt layup from 1 ft (block by A. Drummond),,10,21
50,1,5:43.0,,Defensive rebound by A. Drummond,10,21
51,1,5:38.0,,R. Jackson misses 2-pt jump shot from 3 ft,10,21
52,1,5:37.0,Defensive rebound by R. Gay,,10,21
53,1,5:31.0,Turnover by R. Rondo (bad pass; steal by A. Drummond),,10,21
54,1,5:25.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft,10,24
55,1,5:05.0,R. Rondo makes 2-pt layup at rim,,12,24
56,1,4:55.0,,Personal foul by Q. Acy,12,24
57,1,4:55.0,M. Belinelli enters the game for R. Gay,,12,24
58,1,4:55.0,C. Butler enters the game for R. Rondo,,12,24
59,1,4:55.0,,S. Blake enters the game for R. Jackson,12,24
60,1,4:44.0,,A. Drummond makes 2-pt hook shot from 6 ft (assist by M. Morris),12,26
61,1,4:24.0,D. Cousins makes 2-pt layup at rim,,14,26
62,1,4:08.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by S. Blake),14,29
63,1,3:55.0,Turnover by D. Cousins (bad pass; steal by M. Morris),,14,29
64,1,3:48.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,14,29
65,1,3:48.0,Defensive rebound by D. Cousins,,14,29
66,1,3:32.0,C. Butler misses 2-pt jump shot from 16 ft,,14,29
67,1,3:32.0,Offensive rebound by Q. Acy,,14,29
68,1,3:28.0,Q. Acy misses 2-pt layup at rim,,14,29
69,1,3:27.0,Offensive rebound by Q. Acy,,14,29
70,1,3:25.0,Shooting foul by A. Drummond (drawn by Q. Acy),,14,29
71,1,3:25.0,Q. Acy misses free throw 1 of 2,,14,29
72,1,3:25.0,Offensive rebound by Team,,14,29
73,1,3:25.0,,S. Johnson enters the game for M. Morris,14,29
74,1,3:25.0,Q. Acy misses free throw 2 of 2,,14,29
75,1,3:25.0,Offensive rebound by D. Cousins,,14,29
76,1,3:25.0,D. Cousins makes 2-pt layup at rim,,16,29
77,1,3:12.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),16,32
78,1,2:51.0,Shooting foul by K. Caldwell-Pope (drawn by Q. Acy),,16,32
79,1,2:51.0,,Detroit full timeout,16,32
80,1,2:51.0,,R. Bullock enters the game for K. Caldwell-Pope,16,32
81,1,2:51.0,Q. Acy makes free throw 1 of 2,,17,32
82,1,2:51.0,Q. Acy makes free throw 2 of 2,,18,32
83,1,2:27.0,,T. Harris misses 2-pt layup at rim,18,32
84,1,2:26.0,Defensive rebound by D. Cousins,,18,32
85,1,2:11.0,D. Cousins misses 2-pt jump shot from 4 ft,,18,32
86,1,2:10.0,,Defensive rebound by A. Drummond,18,32
87,1,2:09.0,,Turnover by A. Drummond (bad pass; steal by Q. Acy),18,32
88,1,2:02.0,D. Cousins makes 2-pt layup at rim (assist by Q. Acy),,20,32
89,1,1:51.0,,S. Johnson misses 3-pt jump shot from 25 ft,20,32
90,1,1:50.0,Defensive rebound by C. Butler,,20,32
91,1,1:39.0,D. Collison misses 2-pt jump shot from 7 ft,,20,32
92,1,1:39.0,,Defensive rebound by A. Drummond,20,32
93,1,1:29.0,,A. Drummond makes 2-pt dunk at rim (assist by S. Blake),20,34
94,1,1:04.0,M. Belinelli misses 3-pt jump shot from 24 ft,,20,34
95,1,1:03.0,,Defensive rebound by A. Drummond,20,34
96,1,0:57.0,,T. Harris misses 2-pt jump shot from 7 ft,20,34
97,1,0:55.0,,Offensive rebound by R. Bullock,20,34
98,1,0:55.0,K. Koufos enters the game for Q. Acy,,20,34
99,1,0:55.0,R. Gay enters the game for D. Cousins,,20,34
100,1,0:44.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by S. Blake),20,37
101,1,0:32.0,Shooting foul by S. Johnson (drawn by C. Butler),,20,37
102,1,0:32.0,C. Butler makes free throw 1 of 3,,21,37
103,1,0:32.0,C. Butler makes free throw 2 of 3,,22,37
104,1,0:32.0,C. Butler makes free throw 3 of 3,,23,37
105,1,0:21.0,,T. Harris makes 2-pt layup from 2 ft,23,39
106,1,0:02.0,D. Collison makes 2-pt jump shot from 15 ft,,25,39
107,2,11:38.0,R. Gay makes 2-pt jump shot from 11 ft,,27,39
108,2,11:21.0,,S. Johnson misses 2-pt jump shot from 13 ft,27,39
109,2,11:20.0,Defensive rebound by C. Butler,,27,39
110,2,11:13.0,Turnover by D. Collison (bad pass; steal by S. Johnson),,27,39
111,2,11:13.0,,Personal foul by C. Butler,27,39
112,2,11:02.0,,A. Baynes makes 2-pt hook shot from 4 ft (assist by S. Blake),27,41
113,2,10:43.0,R. Gay makes 2-pt jump shot from 16 ft (assist by C. Butler),,29,41
114,2,10:26.0,,M. Morris misses 2-pt jump shot from 17 ft,29,41
115,2,10:25.0,Defensive rebound by K. Koufos,,29,41
116,2,10:10.0,M. Belinelli misses 3-pt jump shot from 24 ft,,29,41
117,2,10:10.0,Offensive rebound by R. Gay,,29,41
118,2,10:02.0,D. Collison makes 3-pt jump shot from 25 ft,,32,41
119,2,9:55.0,,Detroit full timeout,32,41
120,2,9:44.0,,M. Morris makes 2-pt jump shot from 18 ft,32,43
121,2,9:25.0,R. Gay misses 2-pt jump shot from 14 ft,,32,43
122,2,9:25.0,,Defensive rebound by R. Bullock,32,43
123,2,9:18.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by S. Blake),32,46
124,2,8:52.0,C. Butler misses 2-pt hook shot from 8 ft,,32,46
125,2,8:50.0,,Defensive rebound by R. Bullock,32,46
126,2,8:42.0,R. Rondo enters the game for C. Butler,,32,46
127,2,8:30.0,,A. Baynes misses 2-pt layup at rim (block by K. Koufos),32,46
128,2,8:29.0,,Offensive rebound by S. Johnson,32,46
129,2,8:23.0,,Turnover by Team (shot clock),32,46
130,2,8:06.0,K. Koufos makes 2-pt hook shot from 3 ft (assist by D. Collison),,34,46
131,2,7:47.0,,A. Baynes misses 2-pt jump shot from 17 ft,34,46
132,2,7:46.0,Defensive rebound by R. Gay,,34,46
133,2,7:25.0,D. Collison misses 2-pt layup at rim,,34,46
134,2,7:25.0,Offensive rebound by K. Koufos,,34,46
135,2,7:22.0,K. Koufos makes 2-pt layup at rim,,36,46
136,2,7:10.0,,Turnover by S. Blake (bad pass),36,46
137,2,7:10.0,,R. Jackson enters the game for S. Blake,36,46
138,2,7:10.0,D. Cousins enters the game for M. Belinelli,,36,46
139,2,6:44.0,R. Gay misses 2-pt jump shot from 14 ft,,36,46
140,2,6:44.0,,Defensive rebound by A. Baynes,36,46
141,2,6:32.0,,A. Baynes makes 2-pt jump shot from 4 ft (assist by S. Johnson),36,48
142,2,6:20.0,R. Rondo misses 3-pt jump shot from 24 ft,,36,48
143,2,6:19.0,,Defensive rebound by R. Bullock,36,48
144,2,6:12.0,,R. Jackson makes 3-pt jump shot from 26 ft,36,51
145,2,6:04.0,Shooting foul by S. Johnson (drawn by K. Koufos),,36,51
146,2,6:04.0,K. Koufos makes free throw 1 of 2,,37,51
147,2,6:04.0,,T. Harris enters the game for S. Johnson,37,51
148,2,6:04.0,,K. Caldwell-Pope enters the game for R. Bullock,37,51
149,2,6:04.0,K. Koufos misses free throw 2 of 2,,37,51
150,2,6:03.0,,Defensive rebound by M. Morris,37,51
151,2,5:51.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by R. Jackson),37,54
152,2,5:46.0,Sacramento full timeout,,37,54
153,2,5:46.0,,A. Drummond enters the game for A. Baynes,37,54
154,2,5:31.0,D. Cousins makes 2-pt layup at rim,,39,54
155,2,5:17.0,,T. Harris misses 3-pt jump shot from 23 ft,39,54
156,2,5:16.0,Defensive rebound by R. Rondo,,39,54
157,2,5:06.0,D. Cousins makes 2-pt layup at rim,,41,54
158,2,5:06.0,Shooting foul by T. Harris (drawn by D. Cousins),,41,54
159,2,5:06.0,D. Cousins makes free throw 1 of 1,,42,54
160,2,4:55.0,,R. Jackson misses 2-pt jump shot from 6 ft,42,54
161,2,4:55.0,Defensive rebound by D. Cousins,,42,54
162,2,4:48.0,K. Koufos misses 2-pt jump shot from 3 ft,,42,54
163,2,4:47.0,,Defensive rebound by T. Harris,42,54
164,2,4:29.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,42,54
165,2,4:29.0,Defensive rebound by K. Koufos,,42,54
166,2,4:09.0,D. Cousins misses 2-pt jump shot from 17 ft,,42,54
167,2,4:08.0,,Defensive rebound by R. Jackson,42,54
168,2,4:00.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),42,57
169,2,3:38.0,Turnover by R. Gay (bad pass; steal by M. Morris),,42,57
170,2,3:35.0,,Turnover by M. Morris (bad pass),42,57
171,2,3:35.0,J. Anderson enters the game for R. Gay,,42,57
172,2,3:35.0,S. Curry enters the game for D. Collison,,42,57
173,2,3:11.0,Turnover by R. Rondo (bad pass),,42,57
174,2,3:11.0,C. Butler enters the game for K. Koufos,,42,57
175,2,2:55.0,,T. Harris makes 2-pt layup at rim (assist by R. Jackson),42,59
176,2,2:55.0,,Shooting foul by D. Cousins (drawn by T. Harris),42,59
177,2,2:55.0,Official timeout,,42,59
178,2,2:55.0,,T. Harris makes free throw 1 of 1,42,60
179,2,2:43.0,D. Cousins makes 2-pt dunk at rim (assist by R. Rondo),,44,60
180,2,2:22.0,,K. Caldwell-Pope misses 2-pt jump shot from 9 ft,44,60
181,2,2:22.0,,Offensive rebound by K. Caldwell-Pope,44,60
182,2,2:19.0,,K. Caldwell-Pope makes 2-pt layup at rim,44,62
183,2,1:58.0,S. Curry makes 2-pt layup at rim (assist by C. Butler),,46,62
184,2,1:46.0,,Turnover by R. Jackson (bad pass),46,62
185,2,1:46.0,,R. Bullock enters the game for K. Caldwell-Pope,46,62
186,2,1:46.0,,S. Johnson enters the game for T. Harris,46,62
187,2,1:36.0,Shooting foul by A. Drummond (drawn by D. Cousins),,46,62
188,2,1:36.0,D. Cousins makes free throw 1 of 2,,47,62
189,2,1:36.0,,A. Baynes enters the game for A. Drummond,47,62
190,2,1:36.0,D. Cousins misses free throw 2 of 2,,47,62
191,2,1:35.0,,Defensive rebound by A. Baynes,47,62
192,2,1:21.0,,R. Jackson misses 2-pt jump shot from 7 ft,47,62
193,2,1:20.0,Defensive rebound by D. Cousins,,47,62
194,2,1:12.0,C. Butler makes 2-pt jump shot from 15 ft (assist by R. Rondo),,49,62
195,2,0:55.0,,M. Morris misses 2-pt jump shot from 4 ft (block by D. Cousins),49,62
196,2,0:53.0,Defensive rebound by D. Cousins,,49,62
197,2,0:46.0,J. Anderson misses 3-pt jump shot from 26 ft,,49,62
198,2,0:46.0,Offensive rebound by C. Butler,,49,62
199,2,0:46.0,,Loose ball foul by R. Jackson,49,62
200,2,0:46.0,C. Butler makes free throw 1 of 2,,50,62
201,2,0:46.0,K. Koufos enters the game for D. Cousins,,50,62
202,2,0:46.0,C. Butler makes free throw 2 of 2,,51,62
203,2,0:35.0,,S. Johnson makes 2-pt jump shot from 8 ft,51,64
204,2,0:28.0,R. Rondo misses 2-pt layup at rim (block by A. Baynes),,51,64
205,2,0:27.0,,Defensive rebound by R. Bullock,51,64
206,2,0:09.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by R. Jackson),51,67
207,2,0:02.0,J. Anderson makes 3-pt jump shot from 26 ft,,54,67
208,2,0:01.0,,S. Johnson misses 3-pt jump shot from 68 ft,54,67
209,2,0:00.0,,Offensive rebound by Team,54,67
210,3,11:46.0,Shooting foul by A. Drummond (drawn by D. Cousins),,54,67
211,3,11:46.0,D. Cousins makes free throw 1 of 2,,55,67
212,3,11:46.0,D. Cousins makes free throw 2 of 2,,56,67
213,3,11:29.0,,Turnover by R. Jackson (bad pass; steal by D. Cousins),56,67
214,3,11:29.0,Personal foul by R. Jackson,,56,67
215,3,11:14.0,D. Cousins misses 3-pt jump shot from 25 ft,,56,67
216,3,11:14.0,,Defensive rebound by T. Harris,56,67
217,3,10:55.0,,M. Morris misses 2-pt jump shot from 20 ft,56,67
218,3,10:54.0,Defensive rebound by R. Rondo,,56,67
219,3,10:42.0,C. Butler makes 2-pt jump shot from 15 ft (assist by R. Rondo),,58,67
220,3,10:29.0,,A. Drummond makes 2-pt dunk at rim (assist by T. Harris),58,69
221,3,10:16.0,R. Gay makes 2-pt layup at rim,,60,69
222,3,10:02.0,,T. Harris misses 2-pt hook shot from 5 ft,60,69
223,3,10:00.0,Defensive rebound by C. Butler,,60,69
224,3,9:51.0,Shooting foul by M. Morris (drawn by R. Gay),,60,69
225,3,9:51.0,R. Gay makes free throw 1 of 2,,61,69
226,3,9:51.0,R. Gay makes free throw 2 of 2,,62,69
227,3,9:40.0,,Turnover by M. Morris (lost ball),62,69
228,3,9:24.0,D. Cousins misses 2-pt jump shot from 5 ft,,62,69
229,3,9:24.0,,Defensive rebound by A. Drummond,62,69
230,3,9:24.0,,Personal foul by R. Rondo,62,69
231,3,9:09.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,62,69
232,3,9:08.0,Defensive rebound by R. Rondo,,62,69
233,3,8:53.0,D. Cousins misses 3-pt jump shot from 22 ft,,62,69
234,3,8:52.0,,Defensive rebound by K. Caldwell-Pope,62,69
235,3,8:42.0,,Shooting foul by C. Butler (drawn by K. Caldwell-Pope),62,69
236,3,8:42.0,,K. Caldwell-Pope makes free throw 1 of 2,62,70
237,3,8:42.0,,K. Caldwell-Pope makes free throw 2 of 2,62,71
238,3,8:29.0,J. Anderson misses 3-pt jump shot from 23 ft,,62,71
239,3,8:29.0,,Defensive rebound by T. Harris,62,71
240,3,8:22.0,,R. Jackson misses 2-pt layup at rim,62,71
241,3,8:20.0,,Offensive rebound by A. Drummond,62,71
242,3,8:17.0,,A. Drummond makes 2-pt layup at rim,62,73
243,3,8:04.0,R. Gay makes 2-pt layup from 1 ft,,64,73
244,3,7:52.0,,R. Jackson misses 2-pt jump shot from 11 ft,64,73
245,3,7:51.0,,Offensive rebound by A. Drummond,64,73
246,3,7:50.0,,A. Drummond misses 2-pt layup at rim,64,73
247,3,7:49.0,,Offensive rebound by R. Jackson,64,73
248,3,7:48.0,,R. Jackson misses 2-pt jump shot from 3 ft,64,73
249,3,7:46.0,,Offensive rebound by Team,64,73
250,3,7:38.0,,R. Jackson misses 3-pt jump shot from 25 ft,64,73
251,3,7:38.0,Defensive rebound by R. Rondo,,64,73
252,3,7:26.0,D. Cousins misses 2-pt jump shot from 4 ft (block by A. Drummond),,64,73
253,3,7:25.0,Offensive rebound by D. Cousins,,64,73
254,3,7:24.0,Personal foul by R. Jackson,,64,73
255,3,7:11.0,R. Rondo makes 2-pt layup at rim,,66,73
256,3,6:55.0,,Personal foul by C. Butler,66,73
257,3,6:54.0,,Turnover by M. Morris (bad pass; steal by D. Cousins),66,73
258,3,6:48.0,Turnover by R. Rondo (lost ball),,66,73
259,3,6:29.0,,M. Morris makes 2-pt layup at rim,66,75
260,3,6:07.0,D. Cousins misses 2-pt layup at rim,,66,75
261,3,6:06.0,,Defensive rebound by A. Drummond,66,75
262,3,5:59.0,,Turnover by T. Harris (bad pass; steal by J. Anderson),66,75
263,3,5:49.0,R. Gay misses 2-pt jump shot from 3 ft (block by A. Drummond),,66,75
264,3,5:48.0,,Defensive rebound by R. Jackson,66,75
265,3,5:44.0,,Personal foul by C. Butler,66,75
266,3,5:44.0,,Detroit full timeout,66,75
267,3,5:33.0,,T. Harris misses 3-pt jump shot from 24 ft,66,75
268,3,5:33.0,Defensive rebound by D. Cousins,,66,75
269,3,5:19.0,R. Rondo misses 2-pt jump shot from 8 ft,,66,75
270,3,5:19.0,,Defensive rebound by Team,66,75
271,3,5:19.0,Loose ball foul by D. Cousins,,66,75
272,3,5:19.0,,K. Caldwell-Pope makes free throw 1 of 2,66,76
273,3,5:19.0,,S. Johnson enters the game for T. Harris,66,76
274,3,5:19.0,,K. Caldwell-Pope makes free throw 2 of 2,66,77
275,3,5:05.0,Shooting foul by A. Drummond (drawn by D. Cousins),,66,77
276,3,5:05.0,D. Cousins misses free throw 1 of 2,,66,77
277,3,5:05.0,Offensive rebound by Team,,66,77
278,3,5:05.0,,A. Baynes enters the game for A. Drummond,66,77
279,3,5:05.0,D. Collison enters the game for C. Butler,,66,77
280,3,5:05.0,D. Cousins makes free throw 2 of 2,,67,77
281,3,4:47.0,,R. Jackson makes 2-pt layup at rim,67,79
282,3,4:47.0,,Shooting foul by R. Gay (drawn by R. Jackson),67,79
283,3,4:47.0,,R. Jackson makes free throw 1 of 1,67,80
284,3,4:29.0,D. Collison makes 2-pt layup at rim (assist by D. Cousins),,69,80
285,3,4:29.0,Shooting foul by K. Caldwell-Pope (drawn by D. Collison),,69,80
286,3,4:29.0,D. Collison makes free throw 1 of 1,,70,80
287,3,4:10.0,,M. Morris misses 2-pt jump shot from 11 ft,70,80
288,3,4:09.0,Defensive rebound by D. Cousins,,70,80
289,3,4:02.0,Turnover by R. Rondo (bad pass; steal by K. Caldwell-Pope),,70,80
290,3,3:54.0,,S. Johnson misses 3-pt jump shot from 23 ft,70,80
291,3,3:54.0,Defensive rebound by Team,,70,80
292,3,3:41.0,D. Cousins misses 2-pt jump shot from 18 ft,,70,80
293,3,3:41.0,,Defensive rebound by M. Morris,70,80
294,3,3:33.0,,S. Johnson makes 2-pt layup at rim (assist by R. Jackson),70,82
295,3,3:33.0,,Shooting foul by D. Cousins (drawn by S. Johnson),70,82
296,3,3:33.0,Q. Acy enters the game for R. Gay,,70,82
297,3,3:33.0,K. Koufos enters the game for D. Cousins,,70,82
298,3,3:33.0,,S. Johnson misses free throw 1 of 1,70,82
299,3,3:32.0,Defensive rebound by K. Koufos,,70,82
300,3,3:18.0,R. Rondo makes 2-pt jump shot from 18 ft (assist by D. Collison),,72,82
301,3,2:57.0,,R. Jackson makes 2-pt jump shot from 8 ft,72,84
302,3,2:43.0,K. Koufos makes 2-pt layup at rim (assist by R. Rondo),,74,84
303,3,2:22.0,,Turnover by K. Caldwell-Pope (bad pass; steal by R. Rondo),74,84
304,3,2:04.0,,Violation by A. Baynes (def goaltending),74,84
305,3,2:04.0,R. Rondo makes 2-pt layup at rim,,76,84
306,3,1:50.0,,R. Jackson makes 2-pt jump shot from 15 ft,76,86
307,3,1:33.0,J. Anderson makes 3-pt jump shot from 23 ft (assist by R. Rondo),,79,86
308,3,1:20.0,,Turnover by R. Jackson (bad pass; steal by R. Rondo),79,86
309,3,1:01.0,K. Koufos makes 2-pt layup from 1 ft (assist by R. Rondo),,81,86
310,3,1:01.0,,Detroit full timeout,81,86
311,3,1:01.0,Sacramento full timeout,,81,86
312,3,1:01.0,M. Belinelli enters the game for R. Rondo,,81,86
313,3,1:01.0,,S. Blake enters the game for R. Jackson,81,86
314,3,0:41.0,,Shooting foul by Q. Acy (drawn by A. Baynes),81,86
315,3,0:41.0,,A. Baynes makes free throw 1 of 2,81,87
316,3,0:41.0,,A. Baynes misses free throw 2 of 2,81,87
317,3,0:39.0,Defensive rebound by K. Koufos,,81,87
318,3,0:27.0,M. Belinelli misses 2-pt jump shot from 16 ft,,81,87
319,3,0:26.0,,Defensive rebound by A. Baynes,81,87
320,3,0:02.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,81,87
321,3,0:02.0,Defensive rebound by Team,,81,87
322,3,0:02.0,,Loose ball foul by A. Baynes,81,87
323,3,0:02.0,Q. Acy makes free throw 1 of 2,,82,87
324,3,0:02.0,Q. Acy makes free throw 2 of 2,,83,87
325,3,0:01.0,,S. Blake misses 3-pt jump shot from 67 ft,83,87
326,3,0:00.0,,Offensive rebound by Team,83,87
327,4,11:44.0,,A. Baynes misses 2-pt hook shot from 5 ft,83,87
328,4,11:42.0,Defensive rebound by J. Anderson,,83,87
329,4,11:23.0,D. Collison makes 2-pt jump shot from 17 ft,,85,87
330,4,11:09.0,,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,85,87
331,4,11:09.0,,Offensive rebound by A. Baynes,85,87
332,4,11:08.0,,A. Baynes misses 2-pt layup at rim,85,87
333,4,11:05.0,Defensive rebound by J. Anderson,,85,87
334,4,10:46.0,Q. Acy makes 2-pt jump shot from 16 ft,,87,87
335,4,10:17.0,,T. Harris misses 3-pt jump shot from 25 ft,87,87
336,4,10:16.0,,Offensive rebound by S. Blake,87,87
337,4,10:15.0,,Shooting foul by K. Koufos (drawn by T. Harris),87,87
338,4,10:15.0,,T. Harris makes free throw 1 of 2,87,88
339,4,10:15.0,R. Rondo enters the game for J. Anderson,,87,88
340,4,10:15.0,,T. Harris makes free throw 2 of 2,87,89
341,4,10:01.0,D. Collison misses 2-pt jump shot from 14 ft,,87,89
342,4,10:01.0,,Defensive rebound by Team,87,89
343,4,9:43.0,,T. Harris makes 2-pt jump shot from 8 ft (assist by S. Blake),87,91
344,4,9:30.0,M. Belinelli makes 2-pt jump shot from 16 ft (assist by R. Rondo),,89,91
345,4,9:13.0,,S. Johnson makes 2-pt jump shot from 14 ft (assist by S. Blake),89,93
346,4,8:55.0,M. Belinelli misses 2-pt jump shot from 19 ft,,89,93
347,4,8:54.0,,Defensive rebound by T. Harris,89,93
348,4,8:48.0,Official timeout,,89,93
