,QUARTER,TIME_REMAINING,MIAMI_ACTION,ATLANTA_ACTION,MIAMI_SCORE,ATLANTA_SCORE
0,1,11:46.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by P. Millsap),0,2
1,1,11:46.0,,Shooting foul by C. Bosh (drawn by K. Bazemore),0,2
2,1,11:46.0,,K. Bazemore makes free throw 1 of 1,0,3
3,1,11:22.0,Turnover by C. Bosh (bad pass),,0,3
4,1,11:08.0,,A. Horford makes 2-pt jump shot from 18 ft (assist by K. Bazemore),0,5
5,1,10:44.0,H. Whiteside misses 2-pt layup at rim,,0,5
6,1,10:41.0,Offensive rebound by H. Whiteside,,0,5
7,1,10:40.0,H. Whiteside misses 2-pt layup from 2 ft (block by A. Horford),,0,5
8,1,10:38.0,,Defensive rebound by A. Horford,0,5
9,1,10:29.0,,K. Bazemore misses 2-pt layup from 2 ft,0,5
10,1,10:28.0,Defensive rebound by D. Wade,,0,5
11,1,10:21.0,C. Bosh makes 2-pt jump shot from 18 ft (assist by G. Dragić),,2,5
12,1,10:04.0,,J. Teague misses 2-pt layup from 2 ft (block by G. Dragić),2,5
13,1,10:04.0,,Offensive rebound by Team,2,5
14,1,10:01.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by K. Korver),2,7
15,1,9:46.0,L. Deng makes 2-pt layup from 2 ft,,4,7
16,1,9:33.0,,K. Korver misses 2-pt hook shot at rim,4,7
17,1,9:31.0,Defensive rebound by C. Bosh,,4,7
18,1,9:28.0,Personal foul by J. Teague (drawn by L. Deng),,4,7
19,1,9:15.0,Turnover by H. Whiteside (3 sec),,4,7
20,1,8:55.0,,K. Bazemore makes 2-pt jump shot from 13 ft (assist by J. Teague),4,9
21,1,8:30.0,H. Whiteside makes 2-pt dunk at rim (assist by C. Bosh),,6,9
22,1,8:20.0,,P. Millsap makes 2-pt jump shot from 9 ft (assist by A. Horford),6,11
23,1,8:06.0,D. Wade misses 2-pt jump shot from 19 ft,,6,11
24,1,8:04.0,Offensive rebound by H. Whiteside,,6,11
25,1,7:55.0,H. Whiteside misses 2-pt hook shot from 9 ft,,6,11
26,1,7:52.0,,Defensive rebound by K. Bazemore,6,11
27,1,7:45.0,,P. Millsap misses 2-pt layup from 1 ft (block by H. Whiteside),6,11
28,1,7:43.0,Defensive rebound by G. Dragić,,6,11
29,1,7:40.0,G. Dragić makes 2-pt layup at rim,,8,11
30,1,7:27.0,,K. Korver misses 3-pt jump shot from 25 ft,8,11
31,1,7:25.0,Defensive rebound by C. Bosh,,8,11
32,1,7:10.0,L. Deng misses 2-pt jump shot from 13 ft,,8,11
33,1,7:09.0,Offensive rebound by H. Whiteside,,8,11
34,1,7:02.0,H. Whiteside misses 2-pt hook shot from 8 ft,,8,11
35,1,7:00.0,,Defensive rebound by K. Korver,8,11
36,1,6:48.0,,A. Horford misses 3-pt jump shot from 22 ft,8,11
37,1,6:47.0,Defensive rebound by H. Whiteside,,8,11
38,1,6:37.0,G. Dragić makes 2-pt layup from 2 ft,,10,11
39,1,6:36.0,,Atlanta full timeout,10,11
40,1,6:36.0,,M. Muscala enters the game for A. Horford,10,11
41,1,6:36.0,J. Winslow enters the game for C. Bosh,,10,11
42,1,6:14.0,,J. Teague misses 2-pt layup from 2 ft (block by H. Whiteside),10,11
43,1,6:10.0,,Offensive rebound by M. Muscala,10,11
44,1,6:09.0,,M. Muscala misses 2-pt layup at rim,10,11
45,1,6:08.0,Defensive rebound by L. Deng,,10,11
46,1,6:01.0,G. Dragić misses 3-pt jump shot from 24 ft,,10,11
47,1,6:00.0,,Defensive rebound by P. Millsap,10,11
48,1,5:51.0,,K. Korver misses 3-pt jump shot from 24 ft,10,11
49,1,5:50.0,Defensive rebound by J. Winslow,,10,11
50,1,5:34.0,G. Dragić makes 2-pt layup at rim,,12,11
51,1,5:30.0,,J. Teague misses 2-pt layup from 1 ft (block by G. Dragić),12,11
52,1,5:30.0,,Offensive rebound by Team,12,11
53,1,5:30.0,,T. Sefolosha enters the game for K. Korver,12,11
54,1,5:23.0,,T. Sefolosha misses 3-pt jump shot from 24 ft,12,11
55,1,5:22.0,Defensive rebound by L. Deng,,12,11
56,1,5:09.0,Personal foul by K. Bazemore (drawn by H. Whiteside),,12,11
57,1,4:56.0,D. Wade misses 2-pt layup from 1 ft,,12,11
58,1,4:55.0,Offensive rebound by Team,,12,11
59,1,4:55.0,,D. Schröder enters the game for J. Teague,12,11
60,1,4:52.0,G. Dragić misses 2-pt jump shot from 13 ft,,12,11
61,1,4:50.0,,Defensive rebound by M. Muscala,12,11
62,1,4:43.0,,Shooting foul by L. Deng (drawn by P. Millsap),12,11
63,1,4:43.0,,P. Millsap makes free throw 1 of 2,12,12
64,1,4:43.0,,P. Millsap makes free throw 2 of 2,12,13
65,1,4:34.0,Turnover by G. Dragić (offensive foul),,12,13
66,1,4:34.0,,Offensive charge foul by G. Dragić (drawn by D. Schröder),12,13
67,1,4:34.0,G. Green enters the game for D. Wade,,12,13
68,1,4:20.0,,P. Millsap misses 2-pt jump shot from 6 ft,12,13
69,1,4:19.0,Defensive rebound by Team,,12,13
70,1,4:01.0,G. Dragić misses 2-pt layup from 1 ft,,12,13
71,1,4:00.0,Offensive rebound by H. Whiteside,,12,13
72,1,4:00.0,H. Whiteside makes 2-pt dunk at rim,,14,13
73,1,3:49.0,,Turnover by K. Bazemore (bad pass; steal by L. Deng),14,13
74,1,3:44.0,L. Deng misses 2-pt layup at rim (block by K. Bazemore),,14,13
75,1,3:42.0,,Defensive rebound by P. Millsap,14,13
76,1,3:36.0,,T. Sefolosha misses 3-pt jump shot from 22 ft,14,13
77,1,3:34.0,Defensive rebound by G. Dragić,,14,13
78,1,3:30.0,Miami full timeout,,14,13
79,1,3:12.0,J. Winslow misses 3-pt jump shot from 22 ft,,14,13
80,1,3:10.0,,Defensive rebound by P. Millsap,14,13
81,1,2:56.0,,Turnover by T. Sefolosha (bad pass),14,13
82,1,2:40.0,G. Green makes 3-pt jump shot from 23 ft,,17,13
83,1,2:25.0,,Shooting foul by J. Winslow (drawn by P. Millsap),17,13
84,1,2:25.0,,P. Millsap makes free throw 1 of 2,17,14
85,1,2:25.0,C. Bosh enters the game for L. Deng,,17,14
86,1,2:25.0,,P. Millsap makes free throw 2 of 2,17,15
87,1,2:10.0,Shooting foul by T. Sefolosha (drawn by C. Bosh),,17,15
88,1,2:10.0,C. Bosh makes free throw 1 of 2,,18,15
89,1,2:10.0,,A. Horford enters the game for P. Millsap,18,15
90,1,2:10.0,C. Bosh makes free throw 2 of 2,,19,15
91,1,2:01.0,,D. Schröder makes 2-pt layup from 1 ft,19,17
92,1,1:47.0,G. Green misses 2-pt dunk at rim,,19,17
93,1,1:46.0,Offensive rebound by C. Bosh,,19,17
94,1,1:43.0,C. Bosh makes 3-pt jump shot from 22 ft,,22,17
95,1,1:35.0,,D. Schröder misses 2-pt jump shot from 20 ft,22,17
96,1,1:33.0,Defensive rebound by C. Bosh,,22,17
97,1,1:19.0,Turnover by G. Green (bad pass; steal by A. Horford),,22,17
98,1,1:14.0,,K. Bazemore misses 2-pt layup from 1 ft,22,17
99,1,1:12.0,Defensive rebound by J. Winslow,,22,17
100,1,1:12.0,Turnover by J. Winslow (bad pass),,22,17
101,1,1:12.0,,K. Korver enters the game for K. Bazemore,22,17
102,1,1:12.0,B. Udrih enters the game for G. Dragić,,22,17
