,QUARTER,TIME_REMAINING,INDIANA_ACTION,BROOKLYN_ACTION,INDIANA_SCORE,BROOKLYN_SCORE
0,1,11:41.0,P. George misses 2-pt jump shot from 16 ft,,0,0
1,1,11:40.0,Offensive rebound by P. George,,0,0
2,1,11:38.0,P. George misses 2-pt jump shot from 7 ft,,0,0
3,1,11:37.0,Offensive rebound by J. Hill,,0,0
4,1,11:36.0,J. Hill makes 2-pt layup from 1 ft,,2,0
5,1,11:23.0,,B. Lopez misses 3-pt jump shot from 24 ft,2,0
6,1,11:22.0,Defensive rebound by M. Ellis,,2,0
7,1,11:08.0,P. George misses 2-pt jump shot from 9 ft,,2,0
8,1,11:07.0,,Defensive rebound by T. Young,2,0
9,1,10:55.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by J. Johnson),2,3
10,1,10:51.0,Turnover by P. George (bad pass),,2,3
11,1,10:32.0,,D. Sloan makes 2-pt jump shot from 23 ft (assist by J. Johnson),2,5
12,1,10:08.0,P. George makes 3-pt jump shot from 24 ft,,5,5
13,1,9:52.0,,Shooting foul by J. Hill (drawn by B. Lopez),5,5
14,1,9:52.0,,B. Lopez makes free throw 1 of 2,5,6
15,1,9:52.0,,B. Lopez makes free throw 2 of 2,5,7
16,1,9:34.0,M. Ellis makes 3-pt jump shot from 25 ft (assist by J. Hill),,8,7
17,1,9:24.0,,Turnover by T. Young (lost ball; steal by P. George),8,7
18,1,9:19.0,M. Ellis makes 2-pt layup from 2 ft (assist by P. George),,10,7
19,1,9:08.0,,Turnover by W. Ellington (bad pass; steal by P. George),10,7
20,1,8:58.0,P. George misses 3-pt jump shot from 22 ft,,10,7
21,1,8:57.0,,Defensive rebound by D. Sloan,10,7
22,1,8:47.0,,T. Young misses 2-pt jump shot from 19 ft,10,7
23,1,8:46.0,Defensive rebound by M. Ellis,,10,7
24,1,8:39.0,M. Turner misses 2-pt jump shot from 12 ft,,10,7
25,1,8:38.0,,Defensive rebound by J. Johnson,10,7
26,1,8:32.0,,T. Young makes 2-pt dunk at rim (assist by J. Johnson),10,9
27,1,8:14.0,P. George makes 2-pt jump shot from 18 ft,,12,9
28,1,7:50.0,,Turnover by T. Young (lost ball; steal by M. Ellis),12,9
29,1,7:46.0,P. George misses 2-pt layup from 1 ft,,12,9
30,1,7:45.0,Offensive rebound by G. Hill,,12,9
31,1,7:43.0,G. Hill misses 2-pt layup from 2 ft,,12,9
32,1,7:42.0,Offensive rebound by G. Hill,,12,9
33,1,7:39.0,G. Hill makes 2-pt layup at rim,,14,9
34,1,7:25.0,,W. Ellington misses 3-pt jump shot from 24 ft,14,9
35,1,7:24.0,Defensive rebound by P. George,,14,9
36,1,7:13.0,G. Hill makes 3-pt jump shot from 24 ft,,17,9
37,1,7:13.0,,Brooklyn full timeout,17,9
38,1,6:58.0,,Shooting foul by M. Ellis (drawn by B. Lopez),17,9
39,1,6:58.0,,B. Lopez makes free throw 1 of 2,17,10
40,1,6:58.0,,B. Lopez makes free throw 2 of 2,17,11
41,1,6:48.0,Personal foul by J. Johnson (drawn by G. Hill),,17,11
42,1,6:40.0,Turnover by M. Ellis (bad pass),,17,11
43,1,6:26.0,,J. Johnson makes 2-pt jump shot from 19 ft,17,13
44,1,6:13.0,P. George misses 2-pt layup from 3 ft,,17,13
45,1,6:12.0,,Defensive rebound by T. Young,17,13
46,1,6:04.0,,J. Johnson makes 2-pt jump shot from 18 ft,17,15
47,1,6:03.0,Indiana full timeout,,17,15
48,1,5:46.0,M. Turner misses 2-pt jump shot from 18 ft,,17,15
49,1,5:45.0,,Defensive rebound by T. Young,17,15
50,1,5:25.0,,B. Lopez makes 2-pt jump shot from 14 ft (assist by J. Johnson),17,17
51,1,5:01.0,P. George makes 2-pt jump shot from 18 ft,,19,17
52,1,4:33.0,,B. Lopez misses 2-pt jump shot from 16 ft,19,17
53,1,4:32.0,,Offensive rebound by T. Young,19,17
54,1,4:28.0,,W. Ellington makes 2-pt layup from 3 ft (assist by T. Young),19,19
55,1,4:19.0,Turnover by G. Hill (dbl dribble),,19,19
56,1,3:58.0,,J. Johnson misses 2-pt jump shot from 21 ft,19,19
57,1,3:57.0,,Offensive rebound by T. Young,19,19
58,1,3:54.0,,J. Johnson misses 2-pt jump shot from 9 ft,19,19
59,1,3:53.0,Defensive rebound by J. Hill,,19,19
60,1,3:36.0,J. Hill makes 2-pt jump shot from 18 ft (assist by M. Ellis),,21,19
61,1,3:20.0,,D. Sloan misses 3-pt jump shot from 24 ft,21,19
62,1,3:19.0,Defensive rebound by P. George,,21,19
63,1,3:11.0,G. Hill makes 2-pt layup from 2 ft,,23,19
64,1,2:50.0,,T. Young misses 2-pt layup from 2 ft (block by M. Turner),23,19
65,1,2:49.0,Defensive rebound by M. Ellis,,23,19
66,1,2:43.0,G. Hill misses 2-pt layup from 2 ft,,23,19
67,1,2:42.0,,Defensive rebound by W. Ellington,23,19
68,1,2:34.0,,Shooting foul by M. Turner (drawn by B. Lopez),23,19
69,1,2:34.0,,B. Lopez misses free throw 1 of 2,23,19
70,1,2:34.0,,Offensive rebound by Team,23,19
71,1,2:34.0,,A. Bargnani enters the game for T. Young,23,19
72,1,2:34.0,,S. Larkin enters the game for D. Sloan,23,19
73,1,2:34.0,,B. Bogdanović enters the game for J. Johnson,23,19
74,1,2:34.0,J. Young enters the game for G. Hill,,23,19
75,1,2:34.0,L. Allen enters the game for J. Hill,,23,19
76,1,2:34.0,,B. Lopez misses free throw 2 of 2,23,19
77,1,2:33.0,Defensive rebound by L. Allen,,23,19
78,1,2:17.0,J. Young makes 3-pt jump shot from 23 ft (assist by P. George),,26,19
79,1,2:17.0,,Brooklyn full timeout,26,19
80,1,1:53.0,,W. Ellington misses 3-pt jump shot from 34 ft,26,19
81,1,1:52.0,,Offensive rebound by Team,26,19
82,1,1:52.0,,Turnover by Team (shot clock),26,19
83,1,1:37.0,M. Turner misses 2-pt jump shot from 20 ft,,26,19
84,1,1:36.0,,Defensive rebound by A. Bargnani,26,19
85,1,1:30.0,,Turnover by W. Ellington (bad pass; steal by P. George),26,19
86,1,1:25.0,Turnover by P. George (bad pass),,26,19
87,1,1:25.0,,M. Brown enters the game for W. Ellington,26,19
88,1,1:25.0,C. Miles enters the game for P. George,,26,19
89,1,1:07.0,,B. Lopez makes 2-pt layup from 3 ft,26,21
90,1,0:52.0,L. Allen misses 2-pt hook shot from 7 ft,,26,21
91,1,0:50.0,,Defensive rebound by B. Lopez,26,21
92,1,0:35.0,,M. Brown makes 2-pt jump shot from 15 ft (assist by B. Lopez),26,23
