,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CLEVELAND_ACTION,PHOENIX_SCORE,CLEVELAND_SCORE
0,1,11:40.0,A. Goodwin misses 2-pt jump shot from 13 ft (block by K. Love),,0,0
1,1,11:40.0,Offensive rebound by Team,,0,0
2,1,11:32.0,P. Tucker misses 2-pt jump shot from 6 ft,,0,0
3,1,11:31.0,,Defensive rebound by L. James,0,0
4,1,11:24.0,,J. Smith misses 3-pt jump shot from 23 ft,0,0
5,1,11:24.0,Defensive rebound by P. Tucker,,0,0
6,1,11:16.0,D. Booker misses 3-pt jump shot from 28 ft,,0,0
7,1,11:14.0,,Defensive rebound by K. Irving,0,0
8,1,11:07.0,,K. Irving makes 2-pt jump shot from 15 ft,0,2
9,1,10:57.0,Shooting foul by K. Love (drawn by D. Booker),,0,2
10,1,10:57.0,D. Booker makes free throw 1 of 2,,1,2
11,1,10:57.0,D. Booker makes free throw 2 of 2,,2,2
12,1,10:42.0,,K. Irving makes 2-pt jump shot from 16 ft (assist by L. James),2,4
13,1,10:28.0,P. Tucker makes 3-pt jump shot from 25 ft (assist by D. Booker),,5,4
14,1,10:19.0,,Personal foul by P. Tucker (drawn by J. Smith),5,4
15,1,10:12.0,,Turnover by T. Thompson (lost ball; steal by A. Goodwin),5,4
16,1,9:58.0,A. Len misses 2-pt jump shot from 10 ft,,5,4
17,1,9:56.0,,Defensive rebound by K. Love,5,4
18,1,9:47.0,,J. Smith makes 2-pt jump shot from 7 ft (assist by K. Love),5,6
19,1,9:32.0,Turnover by T. Chandler (bad pass),,5,6
20,1,9:20.0,,K. Love misses 3-pt jump shot from 22 ft,5,6
21,1,9:19.0,Defensive rebound by A. Len,,5,6
22,1,9:02.0,A. Goodwin misses 2-pt jump shot from 19 ft,,5,6
23,1,9:02.0,,Defensive rebound by T. Thompson,5,6
24,1,8:54.0,,Turnover by K. Love (traveling),5,6
25,1,8:38.0,A. Len makes 2-pt hook shot from 5 ft,,7,6
26,1,8:27.0,,K. Love makes 3-pt jump shot from 26 ft (assist by K. Irving),7,9
27,1,8:06.0,Offensive foul by A. Len (drawn by K. Love),,7,9
28,1,8:06.0,Turnover by A. Len (offensive foul),,7,9
29,1,7:52.0,,Personal foul by P. Tucker (drawn by K. Love),7,9
30,1,7:46.0,,Turnover by J. Smith (traveling),7,9
