,QUARTER,TIME_REMAINING,MIAMI_ACTION,BROOKLYN_ACTION,MIAMI_SCORE,BROOKLYN_SCORE
0,1,11:46.0,A. Stoudemire makes 2-pt dunk at rim (assist by C. Bosh),,2,0
1,1,11:26.0,,B. Lopez makes 2-pt hook shot from 5 ft,2,2
2,1,11:06.0,C. Bosh makes 2-pt jump shot from 18 ft,,4,2
3,1,10:43.0,,T. Young misses 2-pt jump shot from 15 ft,4,2
4,1,10:42.0,Defensive rebound by A. Stoudemire,,4,2
5,1,10:31.0,L. Deng misses 2-pt hook shot from 8 ft,,4,2
6,1,10:31.0,Offensive rebound by L. Deng,,4,2
7,1,10:22.0,B. Udrih makes 2-pt layup from 2 ft (assist by L. Deng),,6,2
8,1,9:59.0,,B. Lopez makes 2-pt jump shot from 9 ft,6,4
9,1,9:43.0,C. Bosh misses 3-pt jump shot from 23 ft,,6,4
10,1,9:42.0,,Defensive rebound by B. Lopez,6,4
11,1,9:28.0,,T. Young makes 2-pt jump shot from 17 ft,6,6
12,1,9:14.0,D. Wade misses 2-pt jump shot from 5 ft,,6,6
13,1,9:13.0,,Defensive rebound by B. Lopez,6,6
14,1,9:07.0,,T. Young makes 2-pt layup at rim (assist by D. Sloan),6,8
15,1,8:54.0,A. Stoudemire misses 2-pt layup from 2 ft,,6,8
16,1,8:53.0,,Defensive rebound by B. Lopez,6,8
17,1,8:42.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by D. Sloan),6,11
18,1,8:21.0,D. Wade makes 2-pt jump shot from 11 ft (assist by A. Stoudemire),,8,11
19,1,8:12.0,,D. Sloan misses 2-pt jump shot from 20 ft,8,11
20,1,8:11.0,Defensive rebound by A. Stoudemire,,8,11
21,1,7:57.0,Shooting foul by B. Lopez (drawn by D. Wade),,8,11
22,1,7:57.0,D. Wade makes free throw 1 of 2,,9,11
23,1,7:57.0,D. Wade makes free throw 2 of 2,,10,11
24,1,7:45.0,,J. Johnson makes 2-pt jump shot from 18 ft,10,13
25,1,7:45.0,,Shooting foul by L. Deng (drawn by J. Johnson),10,13
26,1,7:45.0,,J. Johnson makes free throw 1 of 1,10,14
27,1,7:31.0,L. Deng misses 3-pt jump shot from 22 ft,,10,14
28,1,7:30.0,,Defensive rebound by B. Lopez,10,14
29,1,7:19.0,,B. Lopez makes 2-pt jump shot from 8 ft,10,16
30,1,7:01.0,D. Wade misses 2-pt layup from 2 ft,,10,16
31,1,7:00.0,,Defensive rebound by D. Sloan,10,16
32,1,6:52.0,,T. Young makes 2-pt layup from 2 ft (assist by J. Johnson),10,18
33,1,6:46.0,Miami full timeout,,10,18
34,1,6:46.0,J. Winslow enters the game for C. Bosh,,10,18
35,1,6:37.0,Offensive foul by D. Wade (drawn by W. Ellington),,10,18
36,1,6:37.0,Turnover by D. Wade (offensive foul),,10,18
37,1,6:27.0,,Turnover by B. Lopez (3 sec),10,18
38,1,6:14.0,D. Wade misses 2-pt jump shot from 9 ft,,10,18
39,1,6:13.0,,Defensive rebound by B. Lopez,10,18
40,1,6:04.0,,J. Johnson makes 2-pt jump shot from 8 ft,10,20
41,1,5:42.0,B. Udrih makes 2-pt jump shot from 14 ft (assist by D. Wade),,12,20
42,1,5:28.0,,T. Young misses 2-pt jump shot from 17 ft,12,20
43,1,5:27.0,Defensive rebound by J. Winslow,,12,20
44,1,5:18.0,D. Wade makes 2-pt jump shot from 8 ft,,14,20
45,1,4:53.0,,T. Young misses 2-pt hook shot from 7 ft,14,20
46,1,4:52.0,Defensive rebound by J. Winslow,,14,20
47,1,4:35.0,Turnover by L. Deng (step out of bounds),,14,20
48,1,4:20.0,,W. Ellington misses 2-pt jump shot from 18 ft (block by D. Wade),14,20
49,1,4:19.0,Defensive rebound by B. Udrih,,14,20
50,1,4:15.0,D. Wade misses 2-pt layup from 1 ft,,14,20
51,1,4:14.0,,Defensive rebound by D. Sloan,14,20
52,1,4:05.0,,W. Ellington misses 3-pt jump shot from 23 ft,14,20
53,1,4:04.0,Defensive rebound by B. Udrih,,14,20
54,1,3:51.0,L. Deng makes 2-pt jump shot from 9 ft (assist by B. Udrih),,16,20
55,1,3:28.0,,B. Lopez misses 2-pt jump shot from 4 ft,16,20
56,1,3:27.0,Defensive rebound by A. Stoudemire,,16,20
