,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,OKLAHOMA CITY_ACTION,LA CLIPPERS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:43.0,,S. Ibaka makes 3-pt jump shot from 24 ft (assist by R. Westbrook),0,3
1,1,11:22.0,Turnover by J. Redick (bad pass; steal by R. Westbrook),,0,3
2,1,11:19.0,,Turnover by R. Westbrook (bad pass; steal by C. Paul),0,3
3,1,11:13.0,P. Pierce misses 3-pt jump shot from 24 ft,,0,3
4,1,11:13.0,,Defensive rebound by A. Roberson,0,3
5,1,11:00.0,,S. Ibaka misses 2-pt jump shot from 17 ft,0,3
6,1,11:00.0,,Offensive rebound by Team,0,3
7,1,10:58.0,,K. Durant makes 2-pt dunk at rim (assist by R. Westbrook),0,5
8,1,10:57.0,LA Clippers full timeout,,0,5
9,1,10:49.0,Shooting foul by K. Durant (drawn by D. Jordan),,0,5
10,1,10:49.0,D. Jordan misses free throw 1 of 2,,0,5
11,1,10:49.0,Offensive rebound by Team,,0,5
12,1,10:49.0,D. Jordan misses free throw 2 of 2,,0,5
13,1,10:48.0,,Defensive rebound by K. Durant,0,5
14,1,10:33.0,,S. Ibaka misses 3-pt jump shot from 22 ft,0,5
15,1,10:33.0,Defensive rebound by D. Jordan,,0,5
16,1,10:26.0,J. Green makes 2-pt layup at rim (assist by C. Paul),,2,5
17,1,10:17.0,,K. Durant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),2,8
18,1,10:01.0,Personal foul by S. Ibaka,,2,8
19,1,9:46.0,C. Paul makes 2-pt jump shot from 6 ft,,4,8
20,1,9:29.0,,S. Adams makes 2-pt hook shot from 2 ft (assist by R. Westbrook),4,10
21,1,9:10.0,D. Jordan makes 2-pt layup from 1 ft (assist by C. Paul),,6,10
22,1,9:10.0,Shooting foul by A. Roberson (drawn by D. Jordan),,6,10
23,1,9:10.0,D. Jordan misses free throw 1 of 1,,6,10
24,1,9:09.0,,Defensive rebound by S. Adams,6,10
25,1,9:07.0,,Turnover by S. Adams (lost ball; steal by C. Paul),6,10
26,1,9:03.0,C. Paul misses 3-pt jump shot from 24 ft,,6,10
27,1,9:03.0,,Defensive rebound by S. Adams,6,10
28,1,8:51.0,,A. Roberson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),6,13
29,1,8:35.0,J. Green misses 2-pt jump shot from 22 ft,,6,13
30,1,8:34.0,,Defensive rebound by S. Adams,6,13
31,1,8:17.0,,K. Durant misses 2-pt layup at rim (block by P. Pierce),6,13
32,1,8:15.0,Defensive rebound by J. Green,,6,13
