,QUARTER,TIME_REMAINING,DETROIT_ACTION,WASHINGTON_ACTION,DETROIT_SCORE,WASHINGTON_SCORE
0,1,11:37.0,M. Morris misses 3-pt jump shot from 26 ft,,0,0
1,1,11:36.0,,Defensive rebound by M. Gortat,0,0
2,1,11:15.0,,M. Gortat misses 2-pt jump shot from 6 ft,0,0
3,1,11:14.0,Defensive rebound by A. Drummond,,0,0
4,1,11:02.0,A. Drummond misses 2-pt jump shot from 14 ft,,0,0
5,1,11:01.0,,Defensive rebound by J. Wall,0,0
6,1,10:52.0,,J. Wall makes 2-pt jump shot from 17 ft,0,2
7,1,10:35.0,A. Tolliver misses 2-pt jump shot from 17 ft,,0,2
8,1,10:34.0,Offensive rebound by A. Tolliver,,0,2
9,1,10:30.0,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,,0,2
10,1,10:29.0,,Defensive rebound by Team,0,2
11,1,10:18.0,,J. Dudley makes 2-pt layup from 1 ft (assist by J. Wall),0,4
12,1,9:48.0,Turnover by R. Jackson (lost ball; steal by J. Wall),,0,4
13,1,9:37.0,,G. Temple misses 3-pt jump shot from 24 ft,0,4
14,1,9:36.0,Defensive rebound by A. Drummond,,0,4
15,1,9:29.0,M. Morris misses 2-pt layup at rim,,0,4
16,1,9:28.0,Offensive rebound by M. Morris,,0,4
17,1,9:26.0,M. Morris misses 2-pt layup at rim,,0,4
18,1,9:25.0,,Defensive rebound by O. Porter,0,4
19,1,9:17.0,,J. Wall misses 3-pt jump shot from 25 ft,0,4
20,1,9:16.0,Defensive rebound by A. Tolliver,,0,4
21,1,9:06.0,R. Jackson makes 2-pt layup from 1 ft,,2,4
22,1,8:55.0,,J. Dudley misses 2-pt jump shot from 19 ft,2,4
23,1,8:54.0,Defensive rebound by K. Caldwell-Pope,,2,4
24,1,8:49.0,K. Caldwell-Pope misses 2-pt layup from 1 ft,,2,4
25,1,8:47.0,,Defensive rebound by O. Porter,2,4
26,1,8:34.0,,Shooting foul by A. Tolliver (drawn by J. Dudley),2,4
27,1,8:34.0,,J. Dudley makes free throw 1 of 2,2,5
28,1,8:34.0,,J. Dudley makes free throw 2 of 2,2,6
29,1,8:20.0,M. Morris misses 2-pt jump shot from 14 ft,,2,6
30,1,8:19.0,,Defensive rebound by J. Wall,2,6
31,1,8:09.0,,J. Dudley misses 3-pt jump shot from 25 ft,2,6
32,1,8:08.0,Defensive rebound by A. Tolliver,,2,6
33,1,7:53.0,R. Jackson misses 3-pt jump shot from 26 ft,,2,6
34,1,7:52.0,,Defensive rebound by O. Porter,2,6
35,1,7:45.0,,J. Wall makes 3-pt jump shot from 22 ft (assist by G. Temple),2,9
36,1,7:32.0,R. Jackson misses 2-pt jump shot from 3 ft,,2,9
37,1,7:31.0,Offensive rebound by R. Jackson,,2,9
38,1,7:24.0,R. Jackson makes 2-pt layup from 1 ft,,4,9
39,1,7:24.0,Shooting foul by J. Dudley (drawn by R. Jackson),,4,9
40,1,7:24.0,R. Jackson makes free throw 1 of 1,,5,9
41,1,7:01.0,,J. Wall misses 2-pt jump shot from 19 ft,5,9
42,1,7:00.0,Defensive rebound by M. Morris,,5,9
43,1,6:53.0,A. Tolliver makes 3-pt jump shot from 24 ft (assist by M. Morris),,8,9
44,1,6:39.0,,O. Porter makes 3-pt jump shot from 26 ft (assist by M. Gortat),8,12
45,1,6:21.0,Turnover by M. Morris (lost ball),,8,12
46,1,6:01.0,,G. Temple misses 2-pt jump shot from 17 ft,8,12
47,1,6:00.0,Defensive rebound by K. Caldwell-Pope,,8,12
48,1,5:57.0,Personal foul by J. Wall (drawn by K. Caldwell-Pope),,8,12
49,1,5:57.0,,Washington full timeout,8,12
50,1,5:57.0,T. Harris enters the game for A. Tolliver,,8,12
51,1,5:50.0,R. Jackson misses 2-pt jump shot from 20 ft,,8,12
52,1,5:49.0,,Defensive rebound by O. Porter,8,12
53,1,5:32.0,,G. Temple misses 3-pt jump shot from 23 ft,8,12
54,1,5:31.0,,Offensive rebound by M. Gortat,8,12
55,1,5:28.0,,M. Gortat makes 2-pt jump shot from 14 ft,8,14
56,1,5:09.0,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,,8,14
57,1,5:08.0,,Defensive rebound by G. Temple,8,14
58,1,4:51.0,,J. Wall makes 2-pt jump shot from 16 ft,8,16
59,1,4:21.0,R. Jackson misses 3-pt jump shot from 30 ft,,8,16
60,1,4:20.0,,Defensive rebound by G. Temple,8,16
61,1,4:09.0,,J. Dudley makes 2-pt jump shot from 14 ft (assist by J. Wall),8,18
62,1,3:58.0,Detroit full timeout,,8,18
63,1,3:58.0,,M. Morris enters the game for J. Dudley,8,18
64,1,3:58.0,,B. Beal enters the game for G. Temple,8,18
65,1,3:58.0,S. Johnson enters the game for K. Caldwell-Pope,,8,18
66,1,3:48.0,Turnover by T. Harris (traveling),,8,18
67,1,3:35.0,,Turnover by J. Wall (lost ball; steal by A. Drummond),8,18
68,1,3:21.0,A. Drummond makes 2-pt jump shot from 3 ft (assist by R. Jackson),,10,18
69,1,3:10.0,,M. Gortat makes 2-pt layup from 1 ft (assist by B. Beal),10,20
70,1,3:10.0,,Shooting foul by A. Drummond (drawn by M. Gortat),10,20
71,1,3:10.0,,M. Gortat makes free throw 1 of 1,10,21
72,1,2:57.0,T. Harris makes 3-pt jump shot from 25 ft (assist by R. Jackson),,13,21
73,1,2:48.0,,B. Beal makes 2-pt jump shot from 16 ft,13,23
74,1,2:28.0,Turnover by R. Jackson (bad pass; steal by B. Beal),,13,23
75,1,2:24.0,,Shooting foul by S. Johnson (drawn by M. Morris),13,23
76,1,2:24.0,,M. Morris makes free throw 1 of 2,13,24
77,1,2:24.0,S. Blake enters the game for R. Jackson,,13,24
78,1,2:24.0,A. Tolliver enters the game for M. Morris,,13,24
79,1,2:24.0,,M. Morris makes free throw 2 of 2,13,25
80,1,2:04.0,A. Drummond misses 2-pt jump shot from 4 ft,,13,25
81,1,2:03.0,,Defensive rebound by M. Gortat,13,25
82,1,1:53.0,,Shooting foul by T. Harris (drawn by M. Gortat),13,25
83,1,1:53.0,,M. Gortat makes free throw 1 of 2,13,26
84,1,1:53.0,,R. Sessions enters the game for J. Wall,13,26
85,1,1:53.0,,M. Gortat makes free throw 2 of 2,13,27
86,1,1:37.0,S. Johnson misses 3-pt jump shot from 27 ft,,13,27
87,1,1:36.0,,Defensive rebound by M. Gortat,13,27
88,1,1:18.0,,B. Beal misses 2-pt jump shot from 19 ft,13,27
89,1,1:17.0,Defensive rebound by A. Drummond,,13,27
90,1,1:03.0,A. Drummond makes 2-pt layup at rim (assist by S. Blake),,15,27
91,1,0:53.0,,R. Sessions makes 2-pt layup from 1 ft,15,29
92,1,0:40.0,Offensive foul by A. Tolliver (drawn by B. Beal),,15,29
93,1,0:40.0,Turnover by A. Tolliver (offensive foul),,15,29
94,1,0:40.0,,N. Hilário enters the game for M. Gortat,15,29
95,1,0:40.0,,G. Temple enters the game for O. Porter,15,29
96,1,0:21.0,,M. Morris misses 2-pt jump shot from 18 ft,15,29
97,1,0:20.0,Defensive rebound by A. Drummond,,15,29
98,1,0:05.0,Personal take foul by R. Sessions (drawn by S. Blake),,15,29
99,1,0:01.0,S. Blake misses 2-pt jump shot from 14 ft,,15,29
100,1,0:00.0,Offensive rebound by Team,,15,29
101,2,11:53.0,,Personal foul by T. Harris (drawn by G. Temple),15,29
102,2,11:46.0,,R. Sessions makes 2-pt layup from 1 ft,15,31
103,2,11:22.0,A. Tolliver misses 3-pt jump shot from 25 ft,,15,31
104,2,11:21.0,,Defensive rebound by G. Temple,15,31
105,2,11:12.0,,M. Morris misses 2-pt jump shot from 12 ft,15,31
106,2,11:11.0,Defensive rebound by T. Harris,,15,31
107,2,11:03.0,S. Blake makes 3-pt jump shot from 26 ft,,18,31
108,2,10:51.0,,R. Sessions makes 2-pt jump shot from 6 ft (assist by B. Beal),18,33
109,2,10:51.0,,Shooting foul by S. Blake (drawn by R. Sessions),18,33
110,2,10:51.0,M. Morris enters the game for A. Tolliver,,18,33
111,2,10:51.0,,R. Sessions makes free throw 1 of 1,18,34
112,2,10:39.0,Shooting foul by N. Hilário (drawn by T. Harris),,18,34
113,2,10:39.0,T. Harris makes free throw 1 of 2,,19,34
114,2,10:39.0,T. Harris makes free throw 2 of 2,,20,34
115,2,10:24.0,,B. Beal makes 2-pt jump shot from 15 ft (assist by N. Hilário),20,36
116,2,10:02.0,M. Morris misses 2-pt jump shot from 17 ft,,20,36
117,2,10:01.0,,Defensive rebound by R. Sessions,20,36
118,2,9:53.0,,Turnover by M. Morris (3 sec),20,36
119,2,9:53.0,K. Caldwell-Pope enters the game for S. Johnson,,20,36
120,2,9:38.0,A. Baynes makes 2-pt hook shot from 6 ft (assist by M. Morris),,22,36
121,2,9:28.0,,Turnover by B. Beal (bad pass),22,36
122,2,9:13.0,T. Harris makes 2-pt jump shot from 8 ft (assist by S. Blake),,24,36
123,2,9:00.0,,R. Sessions misses 2-pt jump shot from 3 ft,24,36
124,2,8:58.0,,Offensive rebound by N. Hilário,24,36
125,2,8:56.0,,N. Hilário misses 2-pt layup from 1 ft,24,36
126,2,8:56.0,Defensive rebound by A. Baynes,,24,36
127,2,8:50.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,,24,36
128,2,8:49.0,,Defensive rebound by N. Hilário,24,36
129,2,8:28.0,,M. Morris misses 2-pt jump shot from 10 ft,24,36
130,2,8:27.0,Defensive rebound by A. Baynes,,24,36
131,2,8:17.0,A. Baynes makes 2-pt hook shot from 8 ft (assist by M. Morris),,26,36
132,2,7:59.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by R. Sessions),26,39
133,2,7:40.0,T. Harris makes 2-pt jump shot from 5 ft,,28,39
134,2,7:26.0,,Offensive foul by M. Morris (drawn by M. Morris),28,39
135,2,7:26.0,,Turnover by M. Morris (offensive foul),28,39
136,2,7:26.0,Official timeout,,28,39
137,2,7:26.0,,J. Dudley enters the game for M. Morris,28,39
138,2,7:13.0,T. Harris misses 2-pt jump shot from 11 ft,,28,39
139,2,7:12.0,,Defensive rebound by J. Dudley,28,39
140,2,7:03.0,,Def 3 sec tech foul by A. Baynes,28,39
141,2,7:03.0,,B. Beal misses technical free throw,28,39
142,2,7:03.0,,Offensive rebound by Team,28,39
143,2,6:54.0,,Shooting foul by A. Baynes (drawn by N. Hilário),28,39
144,2,6:54.0,,N. Hilário misses free throw 1 of 2,28,39
145,2,6:54.0,,Offensive rebound by Team,28,39
146,2,6:54.0,R. Jackson enters the game for S. Blake,,28,39
147,2,6:54.0,,N. Hilário misses free throw 2 of 2,28,39
148,2,6:53.0,Defensive rebound by A. Baynes,,28,39
149,2,6:43.0,M. Morris makes 2-pt jump shot from 15 ft,,30,39
150,2,6:27.0,,N. Hilário misses 2-pt layup at rim,30,39
151,2,6:26.0,Defensive rebound by A. Baynes,,30,39
152,2,6:23.0,,J. Wall enters the game for R. Sessions,30,39
153,2,6:07.0,Turnover by R. Jackson (bad pass; steal by N. Hilário),,30,39
154,2,5:50.0,,J. Wall misses 2-pt layup from 2 ft (block by A. Baynes),30,39
155,2,5:49.0,Defensive rebound by M. Morris,,30,39
156,2,5:46.0,,Washington full timeout,30,39
157,2,5:46.0,,M. Gortat enters the game for N. Hilário,30,39
158,2,5:46.0,A. Drummond enters the game for A. Baynes,,30,39
159,2,5:36.0,T. Harris makes 2-pt layup from 1 ft,,32,39
160,2,5:13.0,,M. Gortat makes 2-pt hook shot from 8 ft (assist by G. Temple),32,41
161,2,4:59.0,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),,34,41
162,2,4:48.0,,B. Beal misses 3-pt jump shot from 25 ft,34,41
163,2,4:47.0,Defensive rebound by A. Drummond,,34,41
164,2,4:38.0,R. Jackson misses 2-pt jump shot from 3 ft,,34,41
165,2,4:37.0,Offensive rebound by R. Jackson,,34,41
166,2,4:34.0,T. Harris makes 2-pt layup from 1 ft (assist by R. Jackson),,36,41
167,2,4:16.0,,M. Gortat misses 2-pt jump shot from 11 ft,36,41
168,2,4:15.0,Defensive rebound by A. Drummond,,36,41
169,2,4:15.0,Personal foul by B. Beal (drawn by A. Drummond),,36,41
170,2,4:15.0,,O. Porter enters the game for G. Temple,36,41
171,2,4:00.0,M. Morris misses 2-pt jump shot from 18 ft,,36,41
172,2,3:59.0,,Defensive rebound by O. Porter,36,41
173,2,3:48.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),36,43
174,2,3:48.0,,Shooting foul by M. Morris (drawn by M. Gortat),36,43
175,2,3:48.0,,M. Gortat misses free throw 1 of 1,36,43
176,2,3:47.0,,Offensive rebound by J. Dudley,36,43
177,2,3:31.0,,Turnover by J. Wall (lost ball; steal by A. Drummond),36,43
178,2,3:23.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,36,43
179,2,3:22.0,,Defensive rebound by J. Dudley,36,43
180,2,3:17.0,,B. Beal makes 2-pt layup from 1 ft (assist by J. Dudley),36,45
181,2,3:04.0,Detroit full timeout,,36,45
182,2,3:04.0,S. Johnson enters the game for T. Harris,,36,45
183,2,2:54.0,Turnover by M. Morris (bad pass),,36,45
184,2,2:40.0,,M. Gortat makes 2-pt jump shot from 5 ft (assist by J. Wall),36,47
185,2,2:25.0,R. Jackson misses 2-pt jump shot from 4 ft,,36,47
186,2,2:24.0,,Defensive rebound by M. Gortat,36,47
187,2,2:12.0,,O. Porter makes 3-pt jump shot from 28 ft (assist by J. Wall),36,50
188,2,1:57.0,Personal foul by J. Wall (drawn by R. Jackson),,36,50
189,2,1:57.0,,G. Temple enters the game for B. Beal,36,50
190,2,1:47.0,S. Johnson makes 2-pt jump shot from 9 ft (assist by A. Drummond),,38,50
191,2,1:38.0,,J. Wall makes 2-pt jump shot from 16 ft,38,52
192,2,1:26.0,R. Jackson makes 2-pt layup at rim,,40,52
193,2,1:10.0,,G. Temple makes 2-pt layup from 2 ft (assist by M. Gortat),40,54
194,2,0:57.0,R. Jackson misses 2-pt jump shot from 18 ft,,40,54
195,2,0:55.0,,Defensive rebound by O. Porter,40,54
196,2,0:45.0,Violation by M. Morris (kicked ball),,40,54
197,2,0:38.0,,J. Wall misses 3-pt jump shot from 27 ft,40,54
198,2,0:37.0,,Offensive rebound by J. Dudley,40,54
199,2,0:36.0,,Personal foul by R. Jackson (drawn by J. Dudley),40,54
200,2,0:36.0,,J. Dudley makes free throw 1 of 2,40,55
201,2,0:36.0,,R. Sessions enters the game for J. Wall,40,55
202,2,0:36.0,,J. Dudley misses free throw 2 of 2,40,55
203,2,0:35.0,Defensive rebound by M. Morris,,40,55
204,2,0:21.0,Offensive foul by S. Johnson (drawn by O. Porter),,40,55
205,2,0:21.0,Turnover by S. Johnson (offensive foul),,40,55
206,2,0:21.0,,J. Wall enters the game for G. Temple,40,55
207,2,0:02.0,,J. Wall misses 2-pt jump shot from 14 ft,40,55
208,2,0:01.0,Defensive rebound by A. Drummond,,40,55
209,2,0:01.0,A. Drummond misses 3-pt jump shot from 70 ft,,40,55
210,2,0:00.0,Offensive rebound by Team,,40,55
211,3,11:36.0,,J. Wall makes 2-pt jump shot from 20 ft (assist by J. Dudley),40,57
212,3,11:09.0,K. Caldwell-Pope misses 2-pt jump shot from 20 ft,,40,57
213,3,11:08.0,,Defensive rebound by M. Gortat,40,57
214,3,11:01.0,,J. Dudley misses 3-pt jump shot from 25 ft,40,57
215,3,11:00.0,,Offensive rebound by M. Gortat,40,57
