,QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
0,1,11:36.0,K. Lowry makes 2-pt layup from 2 ft,,2,0
1,1,11:14.0,,L. Deng misses 2-pt jump shot from 11 ft,2,0
2,1,11:13.0,Defensive rebound by J. Valančiūnas,,2,0
3,1,11:07.0,L. Scola makes 2-pt jump shot from 10 ft (assist by K. Lowry),,4,0
4,1,10:49.0,,H. Whiteside misses 2-pt jump shot from 14 ft,4,0
5,1,10:48.0,Defensive rebound by J. Johnson,,4,0
6,1,10:42.0,Personal block foul by G. Dragić (drawn by K. Lowry),,4,0
7,1,10:33.0,D. DeRozan misses 2-pt layup from 4 ft,,4,0
8,1,10:32.0,Offensive rebound by J. Valančiūnas,,4,0
9,1,10:31.0,J. Valančiūnas makes 2-pt layup from 1 ft,,6,0
10,1,10:17.0,,G. Dragić misses 3-pt jump shot from 24 ft,6,0
11,1,10:15.0,Defensive rebound by Team,,6,0
12,1,9:54.0,J. Valančiūnas misses 2-pt layup from 1 ft,,6,0
13,1,9:53.0,,Defensive rebound by H. Whiteside,6,0
14,1,9:43.0,,D. Wade makes 2-pt jump shot from 16 ft,6,2
15,1,9:12.0,L. Scola makes 3-pt jump shot from 23 ft (assist by K. Lowry),,9,2
16,1,8:53.0,,Personal foul by L. Scola (drawn by C. Bosh),9,2
17,1,8:43.0,,C. Bosh makes 2-pt dunk at rim,9,4
18,1,8:28.0,D. DeRozan misses 2-pt dunk at rim (block by H. Whiteside),,9,4
19,1,8:27.0,,Defensive rebound by C. Bosh,9,4
20,1,8:22.0,,G. Dragić misses 2-pt jump shot from 17 ft,9,4
21,1,8:21.0,Defensive rebound by Team,,9,4
22,1,8:20.0,,Loose ball foul by H. Whiteside (drawn by J. Valančiūnas),9,4
23,1,8:08.0,K. Lowry misses 2-pt jump shot from 18 ft,,9,4
24,1,8:07.0,,Defensive rebound by D. Wade,9,4
25,1,7:54.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by D. Wade),9,6
26,1,7:32.0,J. Valančiūnas makes 2-pt jump shot from 7 ft,,11,6
27,1,7:19.0,,C. Bosh misses 2-pt jump shot from 18 ft,11,6
28,1,7:18.0,,Offensive rebound by L. Deng,11,6
29,1,7:09.0,,Turnover by G. Dragić (bad pass),11,6
30,1,7:09.0,,Loose ball foul by C. Bosh (drawn by L. Scola),11,6
31,1,7:09.0,,J. Winslow enters the game for C. Bosh,11,6
32,1,6:55.0,L. Scola misses 3-pt jump shot from 24 ft,,11,6
33,1,6:54.0,,Defensive rebound by H. Whiteside,11,6
34,1,6:42.0,,H. Whiteside makes 2-pt jump shot from 3 ft,11,8
35,1,6:42.0,,Shooting foul by J. Johnson (drawn by H. Whiteside),11,8
36,1,6:42.0,,H. Whiteside makes free throw 1 of 1,11,9
37,1,6:24.0,Turnover by L. Scola (bad pass),,11,9
38,1,6:02.0,,H. Whiteside misses 2-pt jump shot from 5 ft,11,9
39,1,6:01.0,,Offensive rebound by H. Whiteside,11,9
40,1,5:59.0,,H. Whiteside makes 2-pt jump shot from 3 ft,11,11
41,1,5:41.0,,Miami full timeout,11,11
42,1,5:41.0,P. Patterson enters the game for L. Scola,,11,11
43,1,5:36.0,J. Johnson makes 2-pt dunk at rim (assist by P. Patterson),,13,11
44,1,5:21.0,,L. Deng misses 2-pt jump shot from 18 ft,13,11
45,1,5:20.0,Defensive rebound by J. Johnson,,13,11
46,1,5:10.0,K. Lowry misses 2-pt layup from 1 ft (block by H. Whiteside),,13,11
47,1,5:09.0,Offensive rebound by K. Lowry,,13,11
48,1,5:07.0,J. Valančiūnas misses 2-pt jump shot from 7 ft,,13,11
49,1,5:06.0,,Defensive rebound by L. Deng,13,11
50,1,4:58.0,,J. Winslow misses 2-pt hook shot from 5 ft,13,11
51,1,4:57.0,Defensive rebound by K. Lowry,,13,11
52,1,4:51.0,Shooting foul by D. Wade (drawn by J. Johnson),,13,11
53,1,4:51.0,J. Johnson misses free throw 1 of 2,,13,11
54,1,4:51.0,Offensive rebound by Team,,13,11
55,1,4:51.0,J. Johnson makes free throw 2 of 2,,14,11
56,1,4:36.0,,D. Wade misses 2-pt jump shot from 11 ft,14,11
57,1,4:35.0,Defensive rebound by J. Valančiūnas,,14,11
58,1,4:28.0,P. Patterson misses 3-pt jump shot from 23 ft,,14,11
59,1,4:27.0,,Defensive rebound by G. Dragić,14,11
60,1,4:23.0,,Turnover by G. Dragić (bad pass; steal by J. Johnson),14,11
61,1,4:18.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by J. Johnson),,16,11
62,1,4:00.0,,D. Wade makes 2-pt layup from 2 ft,16,13
63,1,3:49.0,J. Valančiūnas makes 2-pt dunk at rim (assist by D. DeRozan),,18,13
64,1,3:31.0,,D. Wade makes 2-pt layup at rim,18,15
65,1,3:17.0,D. DeRozan makes 2-pt dunk at rim,,20,15
66,1,2:59.0,,L. Deng makes 2-pt layup from 3 ft,20,17
67,1,2:40.0,D. DeRozan misses 2-pt jump shot from 8 ft (block by H. Whiteside),,20,17
68,1,2:39.0,,Defensive rebound by H. Whiteside,20,17
69,1,2:33.0,,L. Deng misses 3-pt jump shot from 24 ft,20,17
70,1,2:32.0,Defensive rebound by J. Johnson,,20,17
71,1,2:15.0,J. Johnson makes 2-pt jump shot from 3 ft (assist by P. Patterson),,22,17
72,1,2:05.0,,Miami full timeout,22,17
73,1,2:05.0,Toronto full timeout,,22,17
74,1,2:05.0,T. Ross enters the game for J. Johnson,,22,17
75,1,2:05.0,B. Biyombo enters the game for J. Valančiūnas,,22,17
76,1,2:05.0,C. Joseph enters the game for K. Lowry,,22,17
77,1,2:05.0,,J. McRoberts enters the game for L. Deng,22,17
78,1,2:05.0,,C. Bosh enters the game for H. Whiteside,22,17
79,1,2:05.0,,M. Chalmers enters the game for D. Wade,22,17
80,1,1:43.0,,C. Bosh misses 2-pt jump shot from 19 ft,22,17
81,1,1:42.0,Defensive rebound by P. Patterson,,22,17
82,1,1:25.0,Turnover by T. Ross (bad pass),,22,17
83,1,1:14.0,,Personal foul by C. Joseph (drawn by G. Dragić),22,17
84,1,1:14.0,,T. Johnson enters the game for G. Dragić,22,17
85,1,1:01.0,,J. McRoberts makes 2-pt jump shot from 3 ft (assist by M. Chalmers),22,19
86,1,0:41.0,D. DeRozan misses 3-pt jump shot from 23 ft,,22,19
