,QUARTER,TIME_REMAINING,UTAH_ACTION,DETROIT_ACTION,UTAH_SCORE,DETROIT_SCORE
0,1,11:47.0,G. Hayward makes 2-pt hook shot from 4 ft,,2,0
1,1,11:29.0,,Offensive foul by M. Morris (drawn by G. Hayward),2,0
2,1,11:29.0,,Turnover by M. Morris (offensive foul),2,0
3,1,11:12.0,G. Hayward misses 2-pt jump shot from 3 ft,,2,0
4,1,11:11.0,,Defensive rebound by A. Drummond,2,0
5,1,11:01.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by R. Jackson),2,3
6,1,10:47.0,Turnover by R. Gobert (bad pass),,2,3
7,1,10:26.0,,M. Morris misses 2-pt jump shot from 16 ft,2,3
8,1,10:25.0,Defensive rebound by R. Gobert,,2,3
9,1,10:06.0,D. Favors makes 2-pt jump shot from 12 ft (assist by R. Neto),,4,3
10,1,9:45.0,,R. Jackson misses 2-pt jump shot from 11 ft,4,3
11,1,9:43.0,Defensive rebound by R. Gobert,,4,3
12,1,9:31.0,R. Hood misses 3-pt jump shot from 25 ft,,4,3
13,1,9:30.0,,Defensive rebound by K. Caldwell-Pope,4,3
14,1,9:12.0,,M. Morris misses 2-pt jump shot from 4 ft,4,3
15,1,9:11.0,Defensive rebound by R. Gobert,,4,3
16,1,8:51.0,R. Gobert misses 2-pt jump shot from 3 ft,,4,3
17,1,8:50.0,Offensive rebound by Team,,4,3
18,1,8:43.0,R. Hood misses 3-pt jump shot from 25 ft,,4,3
19,1,8:42.0,,Defensive rebound by M. Morris,4,3
20,1,8:33.0,,E. İlyasova makes 2-pt jump shot from 19 ft (assist by R. Jackson),4,5
21,1,8:10.0,R. Neto misses 2-pt jump shot from 20 ft,,4,5
22,1,8:09.0,,Defensive rebound by E. İlyasova,4,5
23,1,7:58.0,,R. Jackson misses 2-pt jump shot from 13 ft,4,5
24,1,7:57.0,Defensive rebound by D. Favors,,4,5
25,1,7:47.0,R. Gobert makes 2-pt layup at rim (assist by R. Neto),,6,5
26,1,7:21.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,6,5
27,1,7:19.0,Defensive rebound by R. Gobert,,6,5
28,1,7:10.0,,Offensive charge foul by G. Hayward (drawn by E. İlyasova),6,5
29,1,7:10.0,Turnover by G. Hayward (offensive foul),,6,5
30,1,6:57.0,,Turnover by R. Jackson (bad pass; steal by R. Gobert),6,5
31,1,6:51.0,G. Hayward makes 2-pt layup at rim (assist by R. Hood),,8,5
32,1,6:35.0,,E. İlyasova misses 3-pt jump shot from 26 ft,8,5
33,1,6:34.0,Defensive rebound by R. Hood,,8,5
34,1,6:16.0,R. Hood misses 3-pt jump shot from 26 ft,,8,5
35,1,6:15.0,,Defensive rebound by A. Drummond,8,5
36,1,6:06.0,,Personal foul by R. Hood (drawn by M. Morris),8,5
37,1,6:06.0,T. Burke enters the game for R. Neto,,8,5
38,1,5:55.0,,A. Drummond misses 2-pt hook shot from 4 ft,8,5
39,1,5:53.0,Defensive rebound by R. Gobert,,8,5
40,1,5:38.0,D. Favors makes 2-pt dunk at rim,,10,5
41,1,5:35.0,,Detroit full timeout,10,5
42,1,5:23.0,,Turnover by K. Caldwell-Pope (lost ball),10,5
43,1,5:10.0,D. Favors makes 2-pt jump shot from 7 ft (assist by R. Hood),,12,5
44,1,4:55.0,,E. İlyasova misses 2-pt jump shot from 5 ft (block by R. Gobert),12,5
45,1,4:52.0,Defensive rebound by R. Hood,,12,5
46,1,4:29.0,R. Gobert misses 2-pt hook shot from 7 ft,,12,5
47,1,4:27.0,,Defensive rebound by M. Morris,12,5
48,1,4:21.0,,R. Jackson misses 2-pt jump shot from 13 ft,12,5
49,1,4:19.0,Defensive rebound by G. Hayward,,12,5
50,1,4:09.0,Turnover by R. Hood (lost ball; steal by E. İlyasova),,12,5
51,1,3:56.0,,M. Morris makes 2-pt jump shot from 11 ft (assist by K. Caldwell-Pope),12,7
52,1,3:32.0,Shooting foul by E. İlyasova (drawn by D. Favors),,12,7
53,1,3:32.0,D. Favors misses free throw 1 of 2,,12,7
54,1,3:32.0,Offensive rebound by Team,,12,7
55,1,3:32.0,A. Burks enters the game for R. Hood,,12,7
56,1,3:32.0,T. Lyles enters the game for R. Gobert,,12,7
57,1,3:32.0,,J. Meeks enters the game for K. Caldwell-Pope,12,7
58,1,3:32.0,D. Favors makes free throw 2 of 2,,13,7
59,1,3:18.0,,M. Morris misses 2-pt layup at rim,13,7
60,1,3:16.0,Defensive rebound by D. Favors,,13,7
61,1,2:59.0,Turnover by D. Favors (traveling),,13,7
62,1,2:59.0,Utah full timeout,,13,7
63,1,2:59.0,,S. Blake enters the game for E. İlyasova,13,7
64,1,2:59.0,,A. Tolliver enters the game for R. Jackson,13,7
65,1,2:59.0,J. Ingles enters the game for G. Hayward,,13,7
66,1,2:41.0,,A. Drummond misses 2-pt hook shot from 4 ft,13,7
67,1,2:39.0,Defensive rebound by A. Burks,,13,7
68,1,2:25.0,T. Burke misses 2-pt jump shot from 17 ft,,13,7
69,1,2:22.0,,Defensive rebound by A. Tolliver,13,7
70,1,2:14.0,,Shooting foul by T. Burke (drawn by A. Drummond),13,7
71,1,2:14.0,,A. Drummond makes free throw 1 of 2,13,8
72,1,2:14.0,R. Gobert enters the game for D. Favors,,13,8
73,1,2:14.0,,A. Drummond makes free throw 2 of 2,13,9
74,1,2:07.0,Personal foul by J. Meeks (drawn by A. Burks),,13,9
75,1,2:01.0,A. Burks misses 2-pt jump shot from 12 ft,,13,9
76,1,2:01.0,,Defensive rebound by A. Tolliver,13,9
77,1,1:47.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Tolliver),13,12
78,1,1:25.0,T. Lyles misses 2-pt jump shot from 14 ft,,13,12
79,1,1:19.0,,Defensive rebound by A. Drummond,13,12
80,1,1:17.0,,Shooting foul by A. Burks (drawn by A. Drummond),13,12
81,1,1:17.0,,A. Drummond makes free throw 1 of 2,13,13
82,1,1:17.0,,A. Drummond makes free throw 2 of 2,13,14
83,1,1:02.0,A. Burks makes 2-pt layup at rim,,15,14
84,1,0:48.0,,A. Drummond misses 2-pt hook shot from 4 ft,15,14
85,1,0:47.0,Defensive rebound by R. Gobert,,15,14
86,1,0:29.0,R. Gobert misses 2-pt jump shot from 8 ft,,15,14
87,1,0:28.0,,Defensive rebound by Team,15,14
88,1,0:09.0,,S. Blake misses 2-pt jump shot from 4 ft,15,14
89,1,0:08.0,,Offensive rebound by A. Drummond,15,14
90,1,0:08.0,,A. Drummond makes 2-pt dunk at rim,15,16
91,1,0:01.0,A. Burks misses 2-pt layup at rim,,15,16
92,1,0:00.0,,Defensive rebound by A. Drummond,15,16
93,2,11:49.0,,J. Meeks misses 2-pt jump shot from 21 ft,15,16
94,2,11:47.0,,Offensive rebound by A. Baynes,15,16
95,2,11:43.0,,Turnover by S. Blake (lost ball; steal by E. Millsap),15,16
96,2,11:35.0,J. Ingles misses 3-pt jump shot from 26 ft,,15,16
97,2,11:34.0,,Defensive rebound by A. Tolliver,15,16
98,2,11:28.0,,S. Johnson misses 2-pt layup from 1 ft,15,16
99,2,11:27.0,Defensive rebound by R. Gobert,,15,16
100,2,11:06.0,Shooting foul by S. Johnson (drawn by A. Burks),,15,16
101,2,11:06.0,A. Burks makes free throw 1 of 2,,16,16
102,2,11:06.0,A. Burks makes free throw 2 of 2,,17,16
103,2,10:47.0,,A. Baynes makes 2-pt dunk at rim (assist by S. Blake),17,18
104,2,10:29.0,T. Burke misses 2-pt layup from 2 ft (block by A. Baynes),,17,18
105,2,10:27.0,,Defensive rebound by S. Johnson,17,18
106,2,10:16.0,,A. Baynes misses 2-pt jump shot from 14 ft,17,18
107,2,10:16.0,Defensive rebound by A. Burks,,17,18
108,2,10:16.0,,Loose ball foul by A. Baynes (drawn by E. Millsap),17,18
109,2,9:55.0,J. Ingles makes 2-pt jump shot from 15 ft,,19,18
110,2,9:32.0,,K. Caldwell-Pope enters the game for J. Meeks,19,18
111,2,9:31.0,,Shooting foul by J. Ingles (drawn by A. Tolliver),19,18
112,2,9:31.0,,A. Tolliver misses free throw 1 of 3,19,18
113,2,9:31.0,,Offensive rebound by Team,19,18
114,2,9:31.0,,A. Tolliver misses free throw 2 of 3,19,18
115,2,9:31.0,,Offensive rebound by Team,19,18
116,2,9:31.0,,A. Tolliver misses free throw 3 of 3,19,18
117,2,9:29.0,Defensive rebound by T. Burke,,19,18
118,2,9:12.0,A. Burks makes 2-pt jump shot from 19 ft,,21,18
119,2,8:51.0,,S. Johnson makes 3-pt jump shot from 26 ft (assist by S. Blake),21,21
120,2,8:33.0,J. Ingles misses 2-pt jump shot from 18 ft,,21,21
121,2,8:32.0,,Defensive rebound by S. Blake,21,21
122,2,8:19.0,,K. Caldwell-Pope makes 2-pt layup at rim (assist by S. Blake),21,23
123,2,8:19.0,Utah full timeout,,21,23
124,2,8:19.0,R. Hood enters the game for T. Burke,,21,23
125,2,8:19.0,R. Neto enters the game for E. Millsap,,21,23
126,2,8:05.0,R. Hood makes 2-pt jump shot from 6 ft,,23,23
127,2,7:52.0,,S. Johnson misses 2-pt jump shot from 4 ft,23,23
128,2,7:51.0,,Offensive rebound by A. Baynes,23,23
129,2,7:32.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,23,23
130,2,7:32.0,,Offensive rebound by S. Johnson,23,23
131,2,7:13.0,,A. Baynes misses 2-pt layup from 2 ft,23,23
132,2,7:13.0,Defensive rebound by J. Ingles,,23,23
133,2,6:59.0,R. Gobert makes 2-pt layup at rim (assist by R. Hood),,25,23
134,2,6:36.0,,Shooting foul by A. Burks (drawn by A. Baynes),25,23
135,2,6:36.0,,A. Baynes makes free throw 1 of 2,25,24
136,2,6:36.0,D. Favors enters the game for A. Burks,,25,24
137,2,6:36.0,G. Hayward enters the game for R. Gobert,,25,24
138,2,6:36.0,,A. Baynes makes free throw 2 of 2,25,25
139,2,6:16.0,D. Favors makes 2-pt dunk at rim,,27,25
140,2,6:04.0,,K. Caldwell-Pope makes 2-pt layup at rim (assist by A. Tolliver),27,27
141,2,6:00.0,Utah full timeout,,27,27
142,2,6:00.0,,R. Jackson enters the game for S. Blake,27,27
143,2,5:50.0,R. Neto makes 3-pt jump shot from 24 ft (assist by D. Favors),,30,27
144,2,5:26.0,,A. Tolliver misses 3-pt jump shot from 24 ft,30,27
145,2,5:26.0,Defensive rebound by D. Favors,,30,27
146,2,5:14.0,R. Hood makes 2-pt layup at rim (assist by G. Hayward),,32,27
147,2,5:09.0,,Detroit full timeout,32,27
148,2,5:09.0,,M. Morris enters the game for A. Tolliver,32,27
149,2,5:09.0,,A. Drummond enters the game for A. Baynes,32,27
150,2,5:09.0,E. Millsap enters the game for J. Ingles,,32,27
151,2,4:56.0,,S. Johnson misses 2-pt jump shot from 5 ft,32,27
152,2,4:56.0,Defensive rebound by E. Millsap,,32,27
153,2,4:44.0,Personal foul by K. Caldwell-Pope (drawn by R. Hood),,32,27
154,2,4:34.0,D. Favors makes 2-pt layup at rim (assist by R. Hood),,34,27
155,2,4:18.0,,R. Jackson makes 2-pt jump shot from 5 ft,34,29
156,2,4:01.0,R. Hood makes 2-pt jump shot from 5 ft,,36,29
157,2,3:49.0,,R. Jackson makes 2-pt jump shot from 5 ft,36,31
158,2,3:49.0,,Shooting foul by R. Neto (drawn by R. Jackson),36,31
159,2,3:49.0,A. Burks enters the game for R. Neto,,36,31
160,2,3:49.0,,R. Jackson misses free throw 1 of 1,36,31
161,2,3:48.0,Defensive rebound by Team,,36,31
162,2,3:48.0,Personal foul by A. Drummond (drawn by A. Burks),,36,31
163,2,3:36.0,Def 3 sec tech foul by A. Drummond,,36,31
164,2,3:36.0,G. Hayward misses technical free throw,,36,31
165,2,3:36.0,Offensive rebound by Team,,36,31
166,2,3:28.0,G. Hayward makes 2-pt jump shot from 13 ft,,38,31
167,2,3:08.0,,Shooting foul by E. Millsap (drawn by R. Jackson),38,31
168,2,3:08.0,,R. Jackson misses free throw 1 of 2,38,31
169,2,3:08.0,,Offensive rebound by Team,38,31
170,2,3:08.0,T. Burke enters the game for E. Millsap,,38,31
171,2,3:08.0,,R. Jackson makes free throw 2 of 2,38,32
172,2,2:54.0,Turnover by G. Hayward (bad pass),,38,32
173,2,2:54.0,Official timeout,,38,32
174,2,2:54.0,R. Gobert enters the game for A. Burks,,38,32
175,2,2:42.0,,R. Jackson makes 2-pt layup at rim,38,34
176,2,2:15.0,D. Favors misses 2-pt jump shot from 9 ft,,38,34
177,2,2:15.0,,Defensive rebound by S. Johnson,38,34
178,2,2:03.0,,Shooting foul by T. Burke (drawn by R. Jackson),38,34
179,2,2:03.0,,R. Jackson makes free throw 1 of 2,38,35
180,2,2:03.0,,R. Jackson misses free throw 2 of 2,38,35
181,2,2:01.0,Defensive rebound by R. Gobert,,38,35
182,2,1:38.0,R. Hood makes 2-pt jump shot from 8 ft,,40,35
183,2,1:26.0,,M. Morris makes 2-pt jump shot from 13 ft,40,37
184,2,1:17.0,,Offensive charge foul by G. Hayward (drawn by M. Morris),40,37
185,2,1:17.0,Turnover by G. Hayward (offensive foul),,40,37
186,2,1:03.0,,Turnover by R. Jackson (bad pass; steal by G. Hayward),40,37
187,2,0:58.0,G. Hayward misses 2-pt layup at rim,,40,37
188,2,0:58.0,Offensive rebound by D. Favors,,40,37
189,2,0:52.0,D. Favors makes 2-pt layup at rim,,42,37
190,2,0:41.0,,M. Morris makes 2-pt jump shot from 16 ft,42,39
191,2,0:32.0,D. Favors makes 2-pt jump shot from 15 ft (assist by T. Burke),,44,39
192,2,0:18.0,,Personal foul by D. Favors (drawn by A. Drummond),44,39
193,2,0:18.0,,A. Drummond makes free throw 1 of 2,44,40
194,2,0:18.0,,A. Drummond makes free throw 2 of 2,44,41
195,2,0:00.0,R. Hood misses 3-pt jump shot from 24 ft,,44,41
196,2,0:00.0,,Defensive rebound by K. Caldwell-Pope,44,41
