,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MIAMI_ACTION,MINNESOTA_SCORE,MIAMI_SCORE
0,1,11:45.0,,Turnover by H. Whiteside (traveling),0,0
1,1,11:33.0,K. Towns makes 2-pt jump shot from 17 ft,,2,0
2,1,11:07.0,,G. Dragić misses 2-pt jump shot from 14 ft,2,0
3,1,11:06.0,,Offensive rebound by C. Bosh,2,0
4,1,10:51.0,,G. Dragić makes 2-pt layup at rim,2,2
5,1,10:39.0,Shooting foul by G. Dragić (drawn by R. Rubio),,2,2
6,1,10:39.0,R. Rubio makes free throw 1 of 2,,3,2
7,1,10:39.0,R. Rubio makes free throw 2 of 2,,4,2
8,1,10:28.0,,L. Deng makes 3-pt jump shot from 23 ft (assist by G. Dragić),4,5
9,1,10:16.0,A. Wiggins makes 2-pt jump shot from 17 ft,,6,5
10,1,9:52.0,,C. Bosh misses 3-pt jump shot from 23 ft,6,5
11,1,9:51.0,Defensive rebound by K. Towns,,6,5
12,1,9:41.0,R. Rubio misses 2-pt jump shot from 16 ft,,6,5
13,1,9:40.0,,Defensive rebound by H. Whiteside,6,5
14,1,9:36.0,,Shooting foul by K. Towns (drawn by G. Dragić),6,5
15,1,9:36.0,,G. Dragić makes free throw 1 of 2,6,6
16,1,9:36.0,,G. Dragić makes free throw 2 of 2,6,7
17,1,9:23.0,A. Wiggins misses 3-pt jump shot from 26 ft,,6,7
18,1,9:22.0,,Defensive rebound by L. Deng,6,7
19,1,9:14.0,,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),6,9
20,1,8:56.0,R. Rubio misses 2-pt jump shot from 16 ft,,6,9
21,1,8:55.0,Offensive rebound by T. Prince,,6,9
22,1,8:46.0,K. Garnett makes 2-pt jump shot from 17 ft (assist by T. Prince),,8,9
23,1,8:35.0,,D. Wade misses 2-pt jump shot from 21 ft,8,9
24,1,8:34.0,Defensive rebound by Team,,8,9
25,1,8:22.0,Turnover by K. Towns (traveling),,8,9
26,1,8:07.0,,D. Wade makes 2-pt layup from 1 ft (assist by G. Dragić),8,11
27,1,7:53.0,A. Wiggins makes 2-pt jump shot from 16 ft (assist by R. Rubio),,10,11
28,1,7:40.0,,D. Wade misses 2-pt layup from 1 ft,10,11
29,1,7:39.0,Defensive rebound by K. Garnett,,10,11
30,1,7:31.0,A. Wiggins misses 2-pt jump shot from 9 ft,,10,11
31,1,7:30.0,Offensive rebound by K. Towns,,10,11
32,1,7:29.0,K. Towns misses 2-pt layup from 1 ft (block by H. Whiteside),,10,11
33,1,7:28.0,Offensive rebound by K. Towns,,10,11
34,1,7:27.0,K. Towns misses 2-pt layup from 1 ft,,10,11
35,1,7:25.0,,Defensive rebound by L. Deng,10,11
36,1,7:21.0,,Personal foul by R. Rubio (drawn by G. Dragić),10,11
37,1,7:15.0,,J. Winslow enters the game for C. Bosh,10,11
38,1,7:12.0,,D. Wade misses 2-pt layup from 1 ft (block by A. Wiggins),10,11
39,1,7:11.0,,Offensive rebound by D. Wade,10,11
40,1,7:09.0,,Turnover by D. Wade (bad pass; steal by R. Rubio),10,11
41,1,7:03.0,Turnover by T. Prince (lost ball; steal by J. Winslow),,10,11
42,1,6:54.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by G. Dragić),10,13
43,1,6:54.0,Minnesota full timeout,,10,13
44,1,6:54.0,N. Bjelica enters the game for K. Garnett,,10,13
45,1,6:40.0,K. Towns misses 2-pt jump shot from 3 ft,,10,13
46,1,6:39.0,,Defensive rebound by H. Whiteside,10,13
47,1,6:26.0,,L. Deng misses 3-pt jump shot from 24 ft,10,13
48,1,6:25.0,Defensive rebound by T. Prince,,10,13
49,1,6:17.0,Shooting foul by J. Winslow (drawn by A. Wiggins),,10,13
50,1,6:17.0,A. Wiggins misses free throw 1 of 2,,10,13
51,1,6:17.0,Offensive rebound by Team,,10,13
52,1,6:17.0,A. Wiggins makes free throw 2 of 2,,11,13
53,1,5:51.0,,J. Winslow makes 3-pt jump shot from 23 ft (assist by L. Deng),11,16
54,1,5:38.0,T. Prince misses 2-pt jump shot from 19 ft,,11,16
55,1,5:37.0,,Defensive rebound by H. Whiteside,11,16
56,1,5:29.0,,Shooting foul by K. Towns (drawn by G. Dragić),11,16
57,1,5:29.0,,G. Dragić misses free throw 1 of 2,11,16
58,1,5:29.0,,Offensive rebound by Team,11,16
59,1,5:29.0,K. Martin enters the game for T. Prince,,11,16
60,1,5:29.0,G. Dieng enters the game for K. Towns,,11,16
61,1,5:29.0,,G. Dragić makes free throw 2 of 2,11,17
62,1,5:13.0,A. Wiggins misses 2-pt jump shot from 19 ft,,11,17
63,1,5:12.0,,Defensive rebound by J. Winslow,11,17
64,1,4:57.0,,Shooting foul by N. Bjelica (drawn by J. Winslow),11,17
65,1,4:57.0,,J. Winslow makes free throw 1 of 2,11,18
66,1,4:57.0,Z. LaVine enters the game for R. Rubio,,11,18
67,1,4:57.0,,J. Winslow makes free throw 2 of 2,11,19
68,1,4:39.0,K. Martin misses 3-pt jump shot from 25 ft,,11,19
69,1,4:38.0,Offensive rebound by G. Dieng,,11,19
70,1,4:35.0,G. Dieng misses 2-pt jump shot from 4 ft (block by H. Whiteside),,11,19
71,1,4:35.0,Offensive rebound by Team,,11,19
72,1,4:30.0,N. Bjelica misses 2-pt jump shot from 3 ft (block by H. Whiteside),,11,19
73,1,4:30.0,Offensive rebound by Team,,11,19
74,1,4:24.0,Offensive foul by G. Dieng (drawn by G. Dragić),,11,19
75,1,4:24.0,Turnover by G. Dieng (offensive foul),,11,19
76,1,4:13.0,,L. Deng makes 2-pt jump shot from 2 ft (assist by D. Wade),11,21
77,1,4:01.0,A. Wiggins misses 2-pt jump shot from 18 ft,,11,21
78,1,3:59.0,Offensive rebound by A. Wiggins,,11,21
79,1,3:55.0,A. Wiggins misses 2-pt jump shot from 5 ft (block by H. Whiteside),,11,21
80,1,3:54.0,,Defensive rebound by H. Whiteside,11,21
81,1,3:46.0,,G. Dragić misses 3-pt jump shot from 25 ft,11,21
82,1,3:45.0,Defensive rebound by N. Bjelica,,11,21
83,1,3:34.0,A. Wiggins makes 2-pt jump shot from 7 ft,,13,21
84,1,3:25.0,,Miami full timeout,13,21
85,1,3:25.0,,T. Johnson enters the game for D. Wade,13,21
