,QUARTER,TIME_REMAINING,DENVER_ACTION,UTAH_ACTION,DENVER_SCORE,UTAH_SCORE
0,1,11:41.0,,T. Lyles makes 2-pt jump shot from 15 ft,0,2
1,1,11:23.0,D. Gallinari misses 2-pt jump shot from 14 ft,,0,2
2,1,11:22.0,Offensive rebound by K. Faried,,0,2
3,1,11:13.0,J. Nelson makes 3-pt jump shot from 24 ft (assist by J. Lauvergne),,3,2
4,1,10:55.0,,R. Hood makes 3-pt jump shot from 23 ft (assist by T. Lyles),3,5
5,1,10:42.0,G. Harris misses 3-pt jump shot from 24 ft,,3,5
6,1,10:41.0,,Defensive rebound by D. Favors,3,5
7,1,10:26.0,,R. Neto makes 2-pt jump shot from 11 ft,3,7
8,1,10:15.0,,Violation by T. Lyles (kicked ball),3,7
9,1,10:03.0,K. Faried misses 2-pt jump shot from 18 ft,,3,7
10,1,10:02.0,,Defensive rebound by T. Lyles,3,7
11,1,9:48.0,,R. Neto makes 3-pt jump shot from 24 ft (assist by R. Hood),3,10
12,1,9:38.0,Shooting foul by R. Neto (drawn by J. Nelson),,3,10
13,1,9:38.0,J. Nelson makes free throw 1 of 2,,4,10
14,1,9:38.0,J. Nelson makes free throw 2 of 2,,5,10
15,1,9:19.0,,R. Neto misses 3-pt jump shot from 24 ft,5,10
16,1,9:19.0,,Offensive rebound by D. Favors,5,10
17,1,9:06.0,,D. Favors misses 2-pt jump shot from 15 ft,5,10
18,1,9:06.0,Defensive rebound by J. Lauvergne,,5,10
19,1,8:52.0,J. Nelson misses 3-pt jump shot from 25 ft,,5,10
20,1,8:51.0,,Defensive rebound by T. Lyles,5,10
21,1,8:30.0,,G. Hayward makes 3-pt jump shot from 23 ft (assist by R. Hood),5,13
22,1,8:21.0,Personal foul by R. Neto (drawn by D. Gallinari),,5,13
23,1,8:21.0,,T. Burke enters the game for R. Neto,5,13
24,1,8:06.0,J. Lauvergne makes 3-pt jump shot from 23 ft (assist by J. Nelson),,8,13
25,1,7:51.0,,T. Lyles makes 2-pt jump shot from 19 ft (assist by G. Hayward),8,15
26,1,7:50.0,Denver full timeout,,8,15
27,1,7:38.0,D. Gallinari misses 2-pt jump shot from 16 ft,,8,15
28,1,7:35.0,Offensive rebound by J. Lauvergne,,8,15
