,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MILWAUKEE_ACTION,NEW ORLEANS_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,A. Davis misses 2-pt jump shot from 16 ft,,0,0
1,1,11:44.0,,Defensive rebound by G. Antetokounmpo,0,0
2,1,11:43.0,,Personal foul by Ö. Aşık,0,0
3,1,11:31.0,,K. Middleton misses 2-pt jump shot from 16 ft,0,0
4,1,11:29.0,Defensive rebound by T. Douglas,,0,0
5,1,11:20.0,L. Babbitt misses 3-pt jump shot from 29 ft,,0,0
6,1,11:18.0,,Defensive rebound by J. Parker,0,0
7,1,11:08.0,,J. Parker misses 2-pt jump shot from 17 ft,0,0
8,1,11:06.0,Defensive rebound by Ö. Aşık,,0,0
9,1,10:44.0,L. Babbitt makes 2-pt jump shot from 15 ft (assist by T. Douglas),,2,0
10,1,10:26.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,2,0
11,1,10:24.0,Defensive rebound by A. Davis,,2,0
12,1,10:17.0,T. Douglas misses 3-pt jump shot from 24 ft,,2,0
13,1,10:16.0,,Defensive rebound by G. Monroe,2,0
14,1,10:05.0,,Def 3 sec tech foul by Ö. Aşık,2,0
15,1,10:05.0,,K. Middleton makes technical free throw,2,1
16,1,9:56.0,,G. Monroe makes 2-pt layup from 1 ft (assist by K. Middleton),2,3
17,1,9:47.0,L. Babbitt misses 3-pt jump shot from 24 ft,,2,3
18,1,9:46.0,,Defensive rebound by G. Monroe,2,3
19,1,9:33.0,,J. Bayless makes 3-pt jump shot from 23 ft (assist by G. Monroe),2,6
20,1,9:19.0,Turnover by Ö. Aşık (bad pass; steal by K. Middleton),,2,6
21,1,9:15.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),2,8
22,1,9:00.0,L. Babbitt makes 2-pt jump shot from 6 ft (assist by T. Douglas),,4,8
23,1,8:45.0,,G. Monroe makes 2-pt jump shot from 17 ft (assist by G. Antetokounmpo),4,10
24,1,8:29.0,Offensive foul by T. Douglas (drawn by G. Antetokounmpo),,4,10
25,1,8:29.0,Turnover by T. Douglas (offensive foul),,4,10
26,1,8:21.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,4,10
27,1,8:19.0,Defensive rebound by L. Babbitt,,4,10
28,1,8:16.0,Shooting foul by G. Monroe (drawn by A. Davis),,4,10
29,1,8:16.0,A. Davis makes free throw 1 of 2,,5,10
30,1,8:16.0,A. Davis makes free throw 2 of 2,,6,10
31,1,8:07.0,,K. Middleton makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),6,12
32,1,7:53.0,A. Davis misses 2-pt jump shot from 9 ft,,6,12
33,1,7:52.0,,Defensive rebound by G. Monroe,6,12
34,1,7:42.0,,G. Monroe makes 2-pt layup at rim (assist by K. Middleton),6,14
35,1,7:30.0,L. Babbitt misses 3-pt jump shot from 23 ft,,6,14
36,1,7:28.0,Offensive rebound by Ö. Aşık,,6,14
37,1,7:26.0,Ö. Aşık misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,6,14
38,1,7:23.0,,Defensive rebound by G. Monroe,6,14
39,1,7:19.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,6,14
