,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MIAMI_ACTION,GOLDEN STATE_SCORE,MIAMI_SCORE
0,1,11:33.0,,G. Dragić misses 2-pt jump shot from 17 ft,0,0
1,1,11:32.0,,Offensive rebound by D. Wade,0,0
2,1,11:30.0,,D. Wade makes 2-pt layup from 1 ft,0,2
3,1,11:09.0,K. Thompson misses 3-pt jump shot from 26 ft,,0,2
4,1,11:08.0,,Defensive rebound by L. Deng,0,2
5,1,10:53.0,,J. Winslow misses 2-pt layup from 1 ft (block by D. Green),0,2
6,1,10:52.0,,Offensive rebound by J. Winslow,0,2
7,1,10:46.0,,G. Dragić misses 3-pt jump shot from 23 ft,0,2
8,1,10:45.0,Defensive rebound by D. Green,,0,2
9,1,10:41.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),,3,2
10,1,10:27.0,,L. Deng misses 3-pt jump shot from 26 ft,3,2
11,1,10:26.0,Defensive rebound by A. Bogut,,3,2
12,1,10:20.0,H. Barnes misses 3-pt jump shot from 23 ft,,3,2
13,1,10:19.0,,Defensive rebound by A. Stoudemire,3,2
14,1,10:10.0,,D. Wade makes 2-pt jump shot from 18 ft,3,4
15,1,9:59.0,H. Barnes misses 2-pt jump shot from 12 ft,,3,4
16,1,9:58.0,,Defensive rebound by A. Stoudemire,3,4
17,1,9:47.0,,D. Wade makes 2-pt jump shot from 12 ft,3,6
18,1,9:39.0,S. Curry misses 3-pt jump shot from 24 ft,,3,6
19,1,9:38.0,,Defensive rebound by L. Deng,3,6
20,1,9:29.0,,Turnover by G. Dragić (lost ball),3,6
21,1,9:26.0,Turnover by S. Curry (lost ball; steal by G. Dragić),,3,6
22,1,9:20.0,,A. Stoudemire misses 2-pt layup from 2 ft,3,6
23,1,9:19.0,Defensive rebound by A. Bogut,,3,6
24,1,9:03.0,K. Thompson misses 3-pt jump shot from 24 ft,,3,6
25,1,9:02.0,,Defensive rebound by L. Deng,3,6
26,1,8:48.0,,G. Dragić misses 2-pt layup from 2 ft,3,6
27,1,8:47.0,Defensive rebound by A. Bogut,,3,6
28,1,8:38.0,S. Curry makes 2-pt layup from 1 ft (assist by A. Bogut),,5,6
29,1,8:25.0,,G. Dragić misses 2-pt jump shot from 13 ft,5,6
30,1,8:24.0,Defensive rebound by D. Green,,5,6
31,1,8:20.0,Turnover by D. Green (bad pass; steal by L. Deng),,5,6
32,1,8:18.0,,Shooting block foul by D. Green (drawn by L. Deng),5,6
33,1,8:18.0,,L. Deng makes free throw 1 of 2,5,7
34,1,8:18.0,Golden State full timeout,,5,7
35,1,8:18.0,,L. Deng misses free throw 2 of 2,5,7
36,1,8:17.0,Defensive rebound by D. Green,,5,7
37,1,8:03.0,A. Bogut misses 2-pt hook shot from 9 ft,,5,7
38,1,8:02.0,,Defensive rebound by J. Winslow,5,7
39,1,7:52.0,,D. Wade makes 2-pt jump shot from 6 ft,5,9
40,1,7:38.0,S. Curry makes 2-pt layup from 2 ft,,7,9
41,1,7:11.0,,D. Wade makes 2-pt jump shot from 2 ft,7,11
42,1,7:02.0,Turnover by S. Curry (bad pass),,7,11
43,1,6:44.0,,A. Stoudemire misses 2-pt jump shot from 5 ft,7,11
44,1,6:43.0,Defensive rebound by A. Bogut,,7,11
45,1,6:31.0,S. Curry misses 2-pt jump shot from 2 ft,,7,11
46,1,6:30.0,,Defensive rebound by G. Dragić,7,11
47,1,6:23.0,,Turnover by D. Wade (bad pass; steal by K. Thompson),7,11
48,1,6:18.0,S. Curry misses 2-pt layup from 2 ft,,7,11
49,1,6:17.0,Offensive rebound by H. Barnes,,7,11
50,1,6:17.0,Shooting foul by A. Stoudemire (drawn by H. Barnes),,7,11
51,1,6:17.0,H. Barnes makes free throw 1 of 2,,8,11
52,1,6:17.0,,H. Whiteside enters the game for A. Stoudemire,8,11
53,1,6:17.0,,G. Green enters the game for D. Wade,8,11
54,1,6:17.0,H. Barnes makes free throw 2 of 2,,9,11
