,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SACRAMENTO_ACTION,GOLDEN STATE_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,,R. Gay misses 2-pt jump shot from 9 ft,0,0
1,1,11:39.0,,Offensive rebound by Team,0,0
2,1,11:35.0,,K. Koufos misses 2-pt jump shot from 12 ft,0,0
3,1,11:35.0,Defensive rebound by H. Barnes,,0,0
4,1,11:21.0,F. Ezeli makes 2-pt layup from 2 ft (assist by H. Barnes),,2,0
5,1,11:13.0,,R. Gay makes 3-pt jump shot from 24 ft (assist by R. Rondo),2,3
6,1,11:00.0,Turnover by D. Green (bad pass),,2,3
7,1,10:46.0,,R. Gay misses 2-pt jump shot from 16 ft,2,3
8,1,10:46.0,Defensive rebound by F. Ezeli,,2,3
9,1,10:36.0,K. Thompson misses 2-pt jump shot from 15 ft,,2,3
10,1,10:35.0,,Defensive rebound by R. Gay,2,3
11,1,10:27.0,,Turnover by Q. Acy (lost ball),2,3
12,1,10:06.0,F. Ezeli misses 2-pt jump shot from 6 ft,,2,3
13,1,10:06.0,Offensive rebound by Team,,2,3
14,1,10:02.0,D. Green misses 3-pt jump shot from 23 ft,,2,3
15,1,10:00.0,,Defensive rebound by R. Rondo,2,3
16,1,9:52.0,,R. Rondo makes 2-pt jump shot from 7 ft (assist by Q. Acy),2,5
17,1,9:24.0,F. Ezeli misses 2-pt jump shot from 17 ft,,2,5
18,1,9:24.0,,Defensive rebound by R. Gay,2,5
19,1,9:13.0,,R. Gay misses 2-pt hook shot from 5 ft,2,5
20,1,9:12.0,Defensive rebound by D. Green,,2,5
21,1,9:03.0,H. Barnes misses 3-pt jump shot from 25 ft,,2,5
22,1,9:02.0,,Defensive rebound by R. Rondo,2,5
23,1,8:54.0,,J. Anderson misses 3-pt jump shot from 25 ft,2,5
24,1,8:54.0,Defensive rebound by Team,,2,5
25,1,8:45.0,S. Curry misses 3-pt jump shot from 27 ft,,2,5
26,1,8:45.0,,Defensive rebound by K. Koufos,2,5
27,1,8:36.0,,K. Koufos makes 2-pt hook shot from 7 ft (assist by J. Anderson),2,7
28,1,8:24.0,K. Thompson misses 3-pt jump shot from 24 ft,,2,7
29,1,8:23.0,Offensive rebound by F. Ezeli,,2,7
30,1,8:22.0,F. Ezeli misses 2-pt jump shot from 4 ft (block by Q. Acy),,2,7
31,1,8:22.0,Offensive rebound by Team,,2,7
32,1,8:19.0,H. Barnes makes 2-pt dunk at rim (assist by S. Curry),,4,7
33,1,8:02.0,,Personal foul by H. Barnes (drawn by J. Anderson),4,7
34,1,7:49.0,,Turnover by R. Rondo (bad pass; steal by H. Barnes),4,7
35,1,7:44.0,H. Barnes misses 2-pt layup from 3 ft,,4,7
36,1,7:43.0,,Defensive rebound by K. Koufos,4,7
37,1,7:31.0,,K. Koufos misses 2-pt jump shot from 4 ft (block by F. Ezeli),4,7
38,1,7:29.0,Defensive rebound by F. Ezeli,,4,7
39,1,7:25.0,Shooting foul by K. Koufos (drawn by D. Green),,4,7
40,1,7:25.0,D. Green makes free throw 1 of 2,,5,7
41,1,7:25.0,D. Green makes free throw 2 of 2,,6,7
42,1,7:02.0,,J. Anderson misses 2-pt jump shot from 4 ft,6,7
43,1,7:00.0,,Offensive rebound by K. Koufos,6,7
44,1,7:00.0,,Turnover by Team (shot clock),6,7
45,1,6:50.0,Turnover by D. Green (bad pass),,6,7
46,1,6:25.0,,K. Koufos misses 2-pt hook shot from 7 ft,6,7
47,1,6:24.0,Defensive rebound by S. Curry,,6,7
48,1,6:15.0,H. Barnes misses 3-pt jump shot from 23 ft,,6,7
49,1,6:14.0,,Defensive rebound by R. Rondo,6,7
50,1,6:11.0,,Turnover by R. Rondo (bad pass; steal by H. Barnes),6,7
51,1,6:01.0,H. Barnes misses 2-pt jump shot from 4 ft (block by K. Koufos),,6,7
52,1,6:00.0,Offensive rebound by Team,,6,7
53,1,6:00.0,,Sacramento full timeout,6,7
54,1,6:00.0,,M. Belinelli enters the game for J. Anderson,6,7
55,1,5:56.0,S. Curry misses 2-pt jump shot from 19 ft,,6,7
56,1,5:56.0,,Defensive rebound by Q. Acy,6,7
57,1,5:33.0,,Q. Acy makes 2-pt jump shot from 6 ft,6,9
58,1,5:16.0,K. Thompson misses 3-pt jump shot from 25 ft,,6,9
59,1,5:14.0,Offensive rebound by F. Ezeli,,6,9
60,1,5:14.0,F. Ezeli misses 2-pt layup from 1 ft,,6,9
61,1,5:13.0,,Defensive rebound by Q. Acy,6,9
62,1,5:02.0,,R. Gay misses 2-pt jump shot from 17 ft,6,9
63,1,5:01.0,Defensive rebound by S. Curry,,6,9
64,1,4:55.0,Turnover by S. Curry (bad pass; steal by R. Gay),,6,9
65,1,4:43.0,,R. Rondo misses 2-pt jump shot from 5 ft,6,9
66,1,4:43.0,,Offensive rebound by Team,6,9
67,1,4:43.0,Loose ball foul by D. Green (drawn by K. Koufos),,6,9
68,1,4:43.0,A. Iguodala enters the game for H. Barnes,,6,9
69,1,4:43.0,,W. Cauley-Stein enters the game for K. Koufos,6,9
70,1,4:35.0,,M. Belinelli misses 2-pt jump shot from 17 ft (block by K. Thompson),6,9
71,1,4:33.0,,Offensive rebound by M. Belinelli,6,9
72,1,4:32.0,,M. Belinelli misses 2-pt jump shot from 9 ft,6,9
73,1,4:31.0,,Offensive rebound by R. Gay,6,9
74,1,4:25.0,,R. Gay misses 2-pt layup from 1 ft,6,9
75,1,4:24.0,Defensive rebound by K. Thompson,,6,9
76,1,4:18.0,Shooting foul by W. Cauley-Stein (drawn by F. Ezeli),,6,9
77,1,4:18.0,F. Ezeli makes free throw 1 of 2,,7,9
78,1,4:18.0,,O. Casspi enters the game for R. Gay,7,9
79,1,4:18.0,S. Livingston enters the game for K. Thompson,,7,9
80,1,4:18.0,F. Ezeli misses free throw 2 of 2,,7,9
81,1,4:17.0,,Defensive rebound by Q. Acy,7,9
82,1,4:01.0,,Turnover by M. Belinelli (bad pass; steal by D. Green),7,9
83,1,3:52.0,F. Ezeli makes 2-pt dunk at rim (assist by D. Green),,9,9
84,1,3:44.0,J. Thompson enters the game for F. Ezeli,,9,9
85,1,3:35.0,,R. Rondo makes 2-pt layup from 1 ft,9,11
86,1,3:12.0,J. Thompson misses 2-pt jump shot from 6 ft,,9,11
87,1,3:11.0,Offensive rebound by S. Curry,,9,11
88,1,3:09.0,S. Curry makes 2-pt layup from 2 ft,,11,11
89,1,2:48.0,,Shooting foul by S. Livingston (drawn by Q. Acy),11,11
90,1,2:48.0,Golden State full timeout,,11,11
91,1,2:48.0,,Q. Acy misses free throw 1 of 2,11,11
92,1,2:48.0,,Offensive rebound by Team,11,11
93,1,2:48.0,,Q. Acy makes free throw 2 of 2,11,12
94,1,2:34.0,D. Green misses 3-pt jump shot from 25 ft,,11,12
95,1,2:33.0,,Defensive rebound by Team,11,12
96,1,2:33.0,,C. Butler enters the game for Q. Acy,11,12
97,1,2:13.0,,Turnover by M. Belinelli (lost ball; steal by D. Green),11,12
98,1,2:05.0,A. Iguodala makes 3-pt jump shot from 24 ft (assist by S. Livingston),,14,12
99,1,1:55.0,,R. Rondo misses 2-pt jump shot from 4 ft,14,12
100,1,1:55.0,Defensive rebound by A. Iguodala,,14,12
101,1,1:48.0,S. Curry misses 3-pt jump shot from 26 ft,,14,12
102,1,1:48.0,Offensive rebound by J. Thompson,,14,12
