,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,UTAH_ACTION,MILWAUKEE_SCORE,UTAH_SCORE
0,1,11:45.0,J. Parker misses 2-pt jump shot from 17 ft,,0,0
1,1,11:44.0,,Defensive rebound by R. Neto,0,0
2,1,11:19.0,,R. Neto makes 2-pt jump shot from 3 ft,0,2
3,1,11:03.0,K. Middleton misses 2-pt jump shot from 12 ft,,0,2
4,1,11:02.0,,Defensive rebound by R. Hood,0,2
5,1,10:46.0,,R. Gobert makes 2-pt hook shot from 4 ft,0,4
6,1,10:35.0,M. Carter-Williams makes 2-pt layup from 1 ft,,2,4
7,1,10:28.0,,Personal foul by J. Parker (drawn by G. Hayward),2,4
8,1,10:25.0,,Personal foul by G. Antetokounmpo (drawn by R. Neto),2,4
9,1,10:10.0,,R. Neto misses 3-pt jump shot from 23 ft,2,4
10,1,10:10.0,Defensive rebound by K. Middleton,,2,4
11,1,10:00.0,G. Monroe misses 2-pt jump shot from 4 ft,,2,4
12,1,9:59.0,Offensive rebound by G. Monroe,,2,4
13,1,9:55.0,M. Carter-Williams misses 2-pt layup from 1 ft (block by D. Favors),,2,4
14,1,9:53.0,,Defensive rebound by D. Favors,2,4
15,1,9:45.0,,D. Favors misses 2-pt jump shot from 15 ft,2,4
16,1,9:44.0,Defensive rebound by G. Monroe,,2,4
17,1,9:33.0,M. Carter-Williams makes 2-pt jump shot from 12 ft,,4,4
18,1,9:13.0,,R. Neto misses 2-pt layup from 2 ft,4,4
19,1,9:11.0,Defensive rebound by G. Monroe,,4,4
20,1,9:06.0,K. Middleton makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,6,4
21,1,8:45.0,,G. Hayward misses 2-pt jump shot from 11 ft,6,4
22,1,8:44.0,Defensive rebound by G. Monroe,,6,4
23,1,8:35.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,8,4
24,1,8:12.0,,D. Favors misses 2-pt layup from 1 ft,8,4
25,1,8:11.0,Defensive rebound by G. Monroe,,8,4
26,1,8:04.0,K. Middleton misses 3-pt jump shot from 24 ft,,8,4
27,1,8:03.0,,Defensive rebound by G. Hayward,8,4
28,1,7:50.0,,R. Hood misses 3-pt jump shot from 24 ft,8,4
29,1,7:49.0,,Offensive rebound by D. Favors,8,4
30,1,7:35.0,,D. Favors makes 2-pt layup from 2 ft (assist by R. Neto),8,6
31,1,7:14.0,K. Middleton misses 2-pt jump shot from 21 ft,,8,6
32,1,7:13.0,,Defensive rebound by D. Favors,8,6
33,1,6:50.0,,R. Neto misses 2-pt jump shot from 3 ft (block by J. Parker),8,6
34,1,6:49.0,Defensive rebound by J. Parker,,8,6
35,1,6:45.0,J. Parker misses 2-pt layup from 1 ft (block by R. Gobert),,8,6
36,1,6:45.0,Offensive rebound by Team,,8,6
