,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MIAMI_ACTION,OKLAHOMA CITY_SCORE,MIAMI_SCORE
0,1,11:35.0,,Shooting foul by K. Durant (drawn by C. Bosh),0,0
1,1,11:35.0,,C. Bosh makes free throw 1 of 2,0,1
2,1,11:35.0,,C. Bosh misses free throw 2 of 2,0,1
3,1,11:34.0,Defensive rebound by S. Adams,,0,1
4,1,11:22.0,Turnover by S. Adams (lost ball; steal by D. Wade),,0,1
5,1,11:12.0,,Turnover by D. Wade (lost ball; steal by A. Roberson),0,1
6,1,10:53.0,S. Ibaka misses 2-pt jump shot from 20 ft,,0,1
7,1,10:52.0,Offensive rebound by S. Adams,,0,1
8,1,10:49.0,S. Adams makes 2-pt hook shot from 5 ft,,2,1
9,1,10:33.0,,C. Bosh misses 3-pt jump shot from 24 ft,2,1
10,1,10:32.0,,Offensive rebound by H. Whiteside,2,1
11,1,10:29.0,,Turnover by G. Green (step out of bounds),2,1
12,1,10:18.0,K. Durant misses 2-pt jump shot from 12 ft,,2,1
13,1,10:17.0,Offensive rebound by S. Adams,,2,1
14,1,10:16.0,S. Adams misses 2-pt layup from 1 ft,,2,1
15,1,10:15.0,,Defensive rebound by G. Dragić,2,1
16,1,10:02.0,,H. Whiteside makes 2-pt hook shot from 4 ft (assist by D. Wade),2,3
17,1,9:51.0,Shooting foul by G. Dragić (drawn by R. Westbrook),,2,3
18,1,9:51.0,R. Westbrook makes free throw 1 of 2,,3,3
19,1,9:51.0,R. Westbrook makes free throw 2 of 2,,4,3
20,1,9:32.0,,Turnover by H. Whiteside (bad pass; steal by A. Roberson),4,3
21,1,9:26.0,Turnover by R. Westbrook (bad pass; steal by C. Bosh),,4,3
22,1,9:14.0,,H. Whiteside makes 2-pt hook shot from 6 ft (assist by C. Bosh),4,5
23,1,8:59.0,K. Durant misses 2-pt layup from 1 ft,,4,5
24,1,8:58.0,,Defensive rebound by H. Whiteside,4,5
25,1,8:42.0,,D. Wade makes 2-pt jump shot from 16 ft (assist by G. Dragić),4,7
26,1,8:29.0,R. Westbrook makes 2-pt jump shot from 14 ft,,6,7
