,QUARTER,TIME_REMAINING,BOSTON_ACTION,GOLDEN STATE_ACTION,BOSTON_SCORE,GOLDEN STATE_SCORE
0,1,11:39.0,,D. Green makes 3-pt jump shot from 25 ft,0,3
1,1,11:14.0,J. Sullinger misses 2-pt jump shot from 18 ft,,0,3
2,1,11:13.0,,Defensive rebound by S. Curry,0,3
3,1,11:09.0,,Turnover by S. Curry (bad pass),0,3
4,1,11:00.0,A. Bradley misses 2-pt jump shot from 16 ft,,0,3
5,1,10:59.0,,Defensive rebound by D. Green,0,3
6,1,10:48.0,,D. Green makes 3-pt jump shot from 23 ft (assist by A. Bogut),0,6
7,1,10:35.0,E. Turner makes 2-pt jump shot from 18 ft (assist by J. Sullinger),,2,6
8,1,10:25.0,,D. Green misses 3-pt jump shot from 28 ft,2,6
9,1,10:24.0,Defensive rebound by J. Sullinger,,2,6
10,1,10:16.0,A. Bradley misses 2-pt jump shot from 6 ft (block by D. Green),,2,6
11,1,10:15.0,Offensive rebound by A. Bradley,,2,6
12,1,10:10.0,E. Turner misses 2-pt jump shot from 12 ft,,2,6
13,1,10:09.0,Offensive rebound by J. Sullinger,,2,6
14,1,10:07.0,Turnover by J. Sullinger (lost ball; steal by K. Thompson),,2,6
15,1,9:54.0,,Turnover by S. Curry (bad pass; steal by E. Turner),2,6
16,1,9:48.0,A. Johnson makes 2-pt layup from 1 ft (assist by E. Turner),,4,6
17,1,9:24.0,,A. Bogut misses 2-pt hook shot from 12 ft,4,6
18,1,9:20.0,Defensive rebound by A. Johnson,,4,6
19,1,9:13.0,I. Thomas misses 3-pt jump shot from 24 ft,,4,6
20,1,9:12.0,,Defensive rebound by A. Bogut,4,6
21,1,9:07.0,,Turnover by S. Curry (bad pass),4,6
22,1,8:48.0,A. Johnson misses 2-pt hook shot from 9 ft,,4,6
23,1,8:46.0,Offensive rebound by Team,,4,6
24,1,8:39.0,Turnover by E. Turner (bad pass; steal by D. Green),,4,6
25,1,8:27.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by S. Curry),4,9
26,1,8:04.0,I. Thomas misses 3-pt jump shot from 25 ft,,4,9
27,1,8:03.0,,Defensive rebound by D. Green,4,9
28,1,7:56.0,,Turnover by S. Curry (lost ball),4,9
29,1,7:46.0,J. Sullinger makes 2-pt jump shot from 14 ft (assist by A. Bradley),,6,9
30,1,7:33.0,,H. Barnes misses 3-pt jump shot from 24 ft,6,9
31,1,7:32.0,Defensive rebound by A. Bradley,,6,9
32,1,7:18.0,J. Sullinger makes 3-pt jump shot from 25 ft (assist by A. Johnson),,9,9
33,1,7:17.0,,Golden State full timeout,9,9
34,1,7:04.0,,K. Thompson misses 3-pt jump shot from 25 ft,9,9
35,1,7:04.0,Defensive rebound by A. Johnson,,9,9
36,1,6:47.0,I. Thomas misses 2-pt jump shot from 7 ft,,9,9
37,1,6:46.0,,Defensive rebound by D. Green,9,9
38,1,6:27.0,,Turnover by A. Bogut (bad pass; steal by I. Thomas),9,9
39,1,6:17.0,E. Turner makes 2-pt jump shot from 9 ft,,11,9
40,1,6:04.0,,S. Curry misses 3-pt jump shot from 24 ft,11,9
41,1,6:04.0,Defensive rebound by A. Johnson,,11,9
42,1,5:49.0,Shooting foul by A. Bogut (drawn by J. Sullinger),,11,9
43,1,5:49.0,J. Sullinger misses free throw 1 of 2,,11,9
44,1,5:49.0,Offensive rebound by Team,,11,9
45,1,5:49.0,J. Sullinger misses free throw 2 of 2,,11,9
46,1,5:48.0,,Defensive rebound by H. Barnes,11,9
47,1,5:37.0,,Turnover by S. Curry (bad pass; steal by J. Sullinger),11,9
48,1,5:31.0,Shooting foul by A. Bogut (drawn by A. Johnson),,11,9
49,1,5:31.0,A. Johnson makes free throw 1 of 2,,12,9
50,1,5:31.0,,A. Varejão enters the game for A. Bogut,12,9
51,1,5:31.0,M. Smart enters the game for E. Turner,,12,9
52,1,5:31.0,,L. Barbosa enters the game for K. Thompson,12,9
53,1,5:31.0,A. Johnson misses free throw 2 of 2,,12,9
54,1,5:27.0,,Defensive rebound by A. Varejão,12,9
55,1,5:11.0,,S. Curry misses 2-pt jump shot from 15 ft,12,9
56,1,5:09.0,,Offensive rebound by A. Varejão,12,9
57,1,5:03.0,,Personal block foul by A. Johnson,12,9
58,1,4:55.0,,A. Varejão makes 2-pt hook shot from 5 ft (assist by D. Green),12,11
59,1,4:40.0,J. Sullinger misses 2-pt jump shot from 18 ft,,12,11
60,1,4:39.0,,Defensive rebound by S. Curry,12,11
61,1,4:29.0,,D. Green misses 3-pt jump shot from 26 ft,12,11
62,1,4:27.0,Defensive rebound by J. Sullinger,,12,11
63,1,4:20.0,I. Thomas misses 3-pt jump shot from 26 ft,,12,11
64,1,4:20.0,,Defensive rebound by A. Varejão,12,11
65,1,4:12.0,,Shooting foul by J. Sullinger (drawn by D. Green),12,11
66,1,4:12.0,,D. Green makes free throw 1 of 2,12,12
67,1,4:12.0,K. Olynyk enters the game for A. Johnson,,12,12
