,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SAN ANTONIO_ACTION,LA LAKERS_SCORE,SAN ANTONIO_SCORE
0,1,11:46.0,,Shooting foul by R. Hibbert (drawn by L. Aldridge),0,0
1,1,11:46.0,,L. Aldridge makes free throw 1 of 2,0,1
2,1,11:46.0,,L. Aldridge makes free throw 2 of 2,0,2
3,1,11:28.0,K. Bryant makes 2-pt jump shot from 19 ft,,2,2
4,1,11:11.0,,L. Aldridge makes 2-pt jump shot from 13 ft (assist by D. West),2,4
5,1,10:49.0,J. Randle misses 2-pt jump shot from 16 ft,,2,4
6,1,10:48.0,,Defensive rebound by L. Aldridge,2,4
7,1,10:37.0,,D. Green makes 2-pt layup at rim (assist by D. West),2,6
8,1,10:23.0,K. Bryant misses 2-pt jump shot from 16 ft,,2,6
9,1,10:22.0,Offensive rebound by R. Hibbert,,2,6
10,1,10:17.0,J. Clarkson misses 2-pt jump shot from 20 ft,,2,6
11,1,10:16.0,,Defensive rebound by K. Leonard,2,6
12,1,9:56.0,,T. Parker misses 2-pt layup at rim,2,6
13,1,9:55.0,Defensive rebound by J. Randle,,2,6
14,1,9:40.0,J. Randle makes 2-pt jump shot from 13 ft (assist by L. Williams),,4,6
15,1,9:22.0,,L. Aldridge misses 2-pt jump shot from 13 ft,4,6
16,1,9:21.0,Defensive rebound by R. Hibbert,,4,6
17,1,9:10.0,K. Bryant misses 2-pt jump shot from 12 ft,,4,6
18,1,9:09.0,Offensive rebound by J. Randle,,4,6
19,1,9:00.0,Turnover by K. Bryant (traveling),,4,6
20,1,8:42.0,,D. West misses 2-pt jump shot from 13 ft,4,6
21,1,8:42.0,Defensive rebound by J. Randle,,4,6
22,1,8:25.0,Turnover by J. Randle (lost ball; steal by K. Leonard),,4,6
23,1,8:17.0,,K. Leonard misses 2-pt jump shot from 19 ft,4,6
24,1,8:16.0,Defensive rebound by L. Williams,,4,6
25,1,8:09.0,J. Randle misses 2-pt layup from 1 ft,,4,6
26,1,8:08.0,,Defensive rebound by D. West,4,6
27,1,8:06.0,,Turnover by D. Green (step out of bounds),4,6
28,1,7:57.0,Shooting foul by D. West (drawn by L. Williams),,4,6
29,1,7:57.0,L. Williams makes free throw 1 of 2,,5,6
30,1,7:57.0,,B. Diaw enters the game for D. West,5,6
31,1,7:57.0,L. Williams makes free throw 2 of 2,,6,6
32,1,7:46.0,,K. Leonard misses 2-pt dunk at rim,6,6
33,1,7:45.0,,Offensive rebound by K. Leonard,6,6
34,1,7:40.0,,Shooting foul by J. Clarkson (drawn by K. Leonard),6,6
35,1,7:40.0,,K. Leonard makes free throw 1 of 2,6,7
36,1,7:40.0,,K. Leonard makes free throw 2 of 2,6,8
37,1,7:28.0,L. Williams makes 2-pt jump shot from 21 ft (assist by K. Bryant),,8,8
38,1,7:16.0,,Turnover by L. Aldridge (3 sec),8,8
39,1,7:05.0,K. Bryant misses 3-pt jump shot from 24 ft,,8,8
40,1,7:04.0,,Defensive rebound by D. Green,8,8
41,1,6:56.0,,K. Leonard misses 2-pt jump shot from 17 ft,8,8
42,1,6:56.0,,Offensive rebound by K. Leonard,8,8
43,1,6:56.0,,Shooting foul by J. Randle (drawn by K. Leonard),8,8
44,1,6:56.0,,K. Leonard makes free throw 1 of 2,8,9
45,1,6:56.0,,J. Simmons enters the game for D. Green,8,9
46,1,6:56.0,,K. Leonard makes free throw 2 of 2,8,10
47,1,6:39.0,L. Williams misses 3-pt jump shot from 24 ft,,8,10
48,1,6:38.0,Offensive rebound by K. Bryant,,8,10
49,1,6:34.0,K. Bryant misses 2-pt jump shot from 19 ft,,8,10
50,1,6:33.0,,Defensive rebound by K. Leonard,8,10
51,1,6:14.0,,L. Aldridge makes 2-pt jump shot from 10 ft (assist by T. Parker),8,12
52,1,5:59.0,Personal foul by T. Parker (drawn by J. Clarkson),,8,12
53,1,5:59.0,,San Antonio full timeout,8,12
54,1,5:59.0,,P. Mills enters the game for T. Parker,8,12
55,1,5:59.0,D. Russell enters the game for L. Williams,,8,12
56,1,5:53.0,D. Russell misses 2-pt jump shot from 14 ft,,8,12
57,1,5:52.0,,Defensive rebound by P. Mills,8,12
58,1,5:40.0,,P. Mills makes 2-pt jump shot from 17 ft,8,14
59,1,5:12.0,J. Clarkson makes 2-pt jump shot from 18 ft,,10,14
60,1,4:56.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by P. Mills),10,16
61,1,4:40.0,J. Randle misses 2-pt jump shot from 13 ft,,10,16
62,1,4:39.0,,Defensive rebound by L. Aldridge,10,16
63,1,4:25.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by J. Simmons),10,19
64,1,4:03.0,R. Hibbert makes 2-pt jump shot from 17 ft (assist by K. Bryant),,12,19
65,1,3:54.0,,Turnover by K. Leonard (traveling),12,19
66,1,3:54.0,,D. West enters the game for L. Aldridge,12,19
67,1,3:54.0,N. Young enters the game for K. Bryant,,12,19
68,1,3:54.0,B. Bass enters the game for R. Hibbert,,12,19
69,1,3:43.0,Personal foul by J. Simmons (drawn by J. Clarkson),,12,19
70,1,3:43.0,,K. Anderson enters the game for K. Leonard,12,19
71,1,3:38.0,J. Clarkson misses 2-pt layup from 1 ft,,12,19
72,1,3:37.0,,Defensive rebound by K. Anderson,12,19
73,1,3:32.0,,P. Mills misses 3-pt jump shot from 25 ft,12,19
74,1,3:22.0,Defensive rebound by N. Young,,12,19
75,1,3:15.0,J. Clarkson makes 2-pt jump shot from 19 ft (assist by D. Russell),,14,19
76,1,2:59.0,,J. Simmons misses 3-pt jump shot from 24 ft,14,19
77,1,2:58.0,Defensive rebound by J. Randle,,14,19
78,1,2:47.0,B. Bass misses 2-pt layup from 2 ft,,14,19
79,1,2:46.0,,Defensive rebound by D. West,14,19
80,1,2:35.0,,D. West makes 2-pt jump shot from 18 ft (assist by P. Mills),14,21
81,1,2:28.0,LA Lakers full timeout,,14,21
82,1,2:28.0,T. Black enters the game for J. Randle,,14,21
83,1,2:28.0,Offensive foul by D. Russell (drawn by P. Mills),,14,21
84,1,2:28.0,Turnover by D. Russell (offensive foul),,14,21
85,1,2:14.0,,Turnover by K. Anderson (lost ball),14,21
86,1,1:55.0,J. Clarkson makes 2-pt layup from 2 ft,,16,21
87,1,1:44.0,,P. Mills misses 2-pt jump shot from 19 ft,16,21
88,1,1:42.0,Defensive rebound by T. Black,,16,21
89,1,1:33.0,J. Clarkson misses 2-pt jump shot from 15 ft,,16,21
90,1,1:32.0,Offensive rebound by J. Clarkson,,16,21
91,1,1:29.0,J. Clarkson makes 2-pt layup at rim,,18,21
92,1,1:17.0,,B. Diaw makes 3-pt jump shot from 24 ft (assist by P. Mills),18,24
93,1,1:00.0,N. Young misses 3-pt jump shot from 24 ft,,18,24
94,1,1:00.0,,Defensive rebound by P. Mills,18,24
95,1,0:45.0,,Turnover by P. Mills (bad pass; steal by J. Clarkson),18,24
96,1,0:39.0,J. Clarkson misses 2-pt layup from 1 ft (block by B. Diaw),,18,24
97,1,0:37.0,,Defensive rebound by J. Simmons,18,24
98,1,0:32.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by J. Simmons),18,27
99,1,0:13.0,Shooting foul by P. Mills (drawn by D. Russell),,18,27
100,1,0:13.0,D. Russell makes free throw 1 of 2,,19,27
101,1,0:13.0,D. Russell makes free throw 2 of 2,,20,27
102,1,0:07.0,,Personal foul by B. Bass (drawn by P. Mills),20,27
103,1,0:01.0,,J. Simmons makes 2-pt jump shot from 4 ft,20,29
104,2,11:43.0,B. Bass misses 2-pt layup at rim (block by D. West),,20,29
105,2,11:41.0,,Defensive rebound by D. Green,20,29
106,2,11:26.0,,D. Green misses 3-pt jump shot from 23 ft,20,29
107,2,11:25.0,,Offensive rebound by D. West,20,29
108,2,11:21.0,,D. West makes 2-pt layup from 1 ft,20,31
109,2,11:08.0,L. Williams misses 2-pt jump shot from 15 ft (block by D. Green),,20,31
110,2,11:07.0,Offensive rebound by T. Black,,20,31
111,2,11:03.0,T. Black misses 2-pt layup from 1 ft,,20,31
112,2,11:02.0,Offensive rebound by T. Black,,20,31
113,2,10:59.0,T. Black makes 2-pt layup at rim,,22,31
114,2,10:45.0,,L. Aldridge misses 2-pt jump shot from 14 ft,22,31
115,2,10:41.0,Defensive rebound by B. Bass,,22,31
116,2,10:35.0,Shooting foul by L. Aldridge (drawn by T. Black),,22,31
117,2,10:35.0,T. Black misses free throw 1 of 2,,22,31
118,2,10:35.0,Offensive rebound by Team,,22,31
119,2,10:35.0,T. Black misses free throw 2 of 2,,22,31
120,2,10:34.0,,Defensive rebound by L. Aldridge,22,31
121,2,10:07.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by T. Parker),22,33
122,2,9:53.0,D. Russell misses 3-pt jump shot from 24 ft,,22,33
123,2,9:52.0,,Defensive rebound by L. Aldridge,22,33
124,2,9:43.0,,Personal foul by T. Black (drawn by L. Aldridge),22,33
125,2,9:28.0,,Turnover by T. Parker (bad pass),22,33
126,2,9:09.0,N. Young misses 2-pt jump shot from 21 ft,,22,33
127,2,9:08.0,,Defensive rebound by K. Anderson,22,33
128,2,8:59.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by K. Anderson),22,35
129,2,8:47.0,N. Young makes 3-pt jump shot from 24 ft (assist by L. Williams),,25,35
130,2,8:46.0,,San Antonio full timeout,25,35
131,2,8:46.0,,Personal foul by D. Russell (drawn by T. Parker),25,35
132,2,8:46.0,,B. Marjanović enters the game for D. West,25,35
133,2,8:38.0,,Personal foul by D. Russell (drawn by T. Parker),25,35
134,2,8:38.0,J. Clarkson enters the game for D. Russell,,25,35
135,2,8:28.0,,Turnover by T. Parker (bad pass; steal by B. Bass),25,35
136,2,8:23.0,B. Bass makes 2-pt dunk at rim,,27,35
137,2,8:02.0,,T. Parker makes 2-pt jump shot from 18 ft (assist by L. Aldridge),27,37
138,2,7:36.0,Shooting foul by B. Marjanović (drawn by B. Bass),,27,37
139,2,7:36.0,B. Bass makes free throw 1 of 2,,28,37
140,2,7:36.0,B. Bass makes free throw 2 of 2,,29,37
141,2,7:18.0,,K. Anderson misses 2-pt hook shot from 8 ft,29,37
142,2,7:14.0,Defensive rebound by J. Clarkson,,29,37
143,2,7:05.0,Turnover by L. Williams (bad pass; steal by B. Marjanović),,29,37
144,2,7:02.0,,Personal foul by L. Williams,29,37
145,2,7:02.0,J. Randle enters the game for B. Bass,,29,37
146,2,7:02.0,K. Bryant enters the game for N. Young,,29,37
147,2,7:02.0,,K. Leonard enters the game for K. Anderson,29,37
148,2,6:50.0,,L. Aldridge makes 2-pt jump shot from 8 ft,29,39
149,2,6:37.0,Shooting foul by T. Parker (drawn by J. Clarkson),,29,39
150,2,6:37.0,J. Clarkson makes free throw 1 of 2,,30,39
151,2,6:37.0,J. Clarkson makes free throw 2 of 2,,31,39
152,2,6:25.0,,T. Parker misses 2-pt layup at rim,31,39
153,2,6:24.0,Defensive rebound by L. Williams,,31,39
154,2,6:18.0,,Violation by B. Marjanović (kicked ball),31,39
155,2,6:18.0,R. Sacre enters the game for T. Black,,31,39
156,2,6:17.0,Personal foul by D. Green (drawn by J. Randle),,31,39
157,2,6:17.0,,J. Simmons enters the game for D. Green,31,39
158,2,6:08.0,R. Sacre misses 2-pt jump shot from 11 ft,,31,39
159,2,6:08.0,,Defensive rebound by Team,31,39
160,2,5:48.0,,J. Simmons misses 3-pt jump shot from 25 ft,31,39
161,2,5:47.0,Defensive rebound by J. Clarkson,,31,39
162,2,5:35.0,J. Randle makes 2-pt jump shot from 4 ft (assist by J. Clarkson),,33,39
163,2,5:18.0,,Shooting foul by K. Bryant (drawn by K. Leonard),33,39
