,QUARTER,TIME_REMAINING,DENVER_ACTION,INDIANA_ACTION,DENVER_SCORE,INDIANA_SCORE
0,1,11:45.0,,P. George makes 3-pt jump shot from 23 ft (assist by M. Ellis),0,3
1,1,11:24.0,N. Jokić misses 2-pt jump shot from 7 ft,,0,3
2,1,11:23.0,,Defensive rebound by G. Hill,0,3
3,1,11:09.0,,J. Hill makes 2-pt jump shot from 14 ft (assist by M. Turner),0,5
4,1,10:49.0,K. Faried misses 2-pt jump shot from 4 ft (block by J. Hill),,0,5
5,1,10:47.0,,Defensive rebound by M. Ellis,0,5
6,1,10:39.0,,M. Turner misses 2-pt layup at rim,0,5
7,1,10:38.0,Defensive rebound by E. Mudiay,,0,5
8,1,10:33.0,E. Mudiay misses 2-pt jump shot from 4 ft (block by J. Hill),,0,5
9,1,10:33.0,Offensive rebound by Team,,0,5
10,1,10:24.0,D. Gallinari makes 2-pt jump shot from 11 ft (assist by E. Mudiay),,2,5
11,1,10:16.0,,M. Turner misses 2-pt layup from 1 ft,2,5
12,1,10:16.0,Defensive rebound by N. Jokić,,2,5
13,1,10:02.0,D. Gallinari misses 2-pt jump shot from 20 ft,,2,5
14,1,10:02.0,,Defensive rebound by M. Turner,2,5
15,1,9:42.0,,P. George makes 2-pt jump shot from 20 ft,2,7
16,1,9:26.0,E. Mudiay makes 2-pt jump shot from 17 ft,,4,7
17,1,9:16.0,,M. Turner misses 2-pt jump shot from 17 ft,4,7
18,1,9:15.0,Defensive rebound by K. Faried,,4,7
19,1,9:07.0,N. Jokić makes 2-pt layup from 3 ft (assist by E. Mudiay),,6,7
20,1,8:47.0,,Turnover by J. Hill (lost ball; steal by G. Harris),6,7
21,1,8:41.0,G. Harris makes 2-pt layup from 3 ft,,8,7
22,1,8:27.0,,Personal foul by E. Mudiay (drawn by M. Turner),8,7
23,1,8:24.0,,P. George misses 3-pt jump shot from 24 ft,8,7
24,1,8:22.0,,Offensive rebound by J. Hill,8,7
25,1,8:18.0,,Turnover by P. George (lost ball; steal by D. Gallinari),8,7
26,1,8:14.0,Shooting foul by M. Ellis (drawn by G. Harris),,8,7
27,1,8:14.0,G. Harris misses free throw 1 of 2,,8,7
28,1,8:14.0,Offensive rebound by Team,,8,7
