,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SAN ANTONIO_ACTION,GOLDEN STATE_SCORE,SAN ANTONIO_SCORE
0,1,11:35.0,A. Bogut misses 2-pt layup from 2 ft,,0,0
1,1,11:33.0,,Defensive rebound by D. West,0,0
2,1,11:16.0,,K. Leonard makes 2-pt jump shot from 3 ft (assist by T. Parker),0,2
3,1,10:56.0,H. Barnes misses 3-pt jump shot from 25 ft,,0,2
4,1,10:55.0,,Defensive rebound by K. Leonard,0,2
5,1,10:45.0,,K. Leonard misses 3-pt jump shot from 24 ft,0,2
6,1,10:43.0,,Offensive rebound by K. Leonard,0,2
7,1,10:42.0,,K. Leonard makes 2-pt jump shot from 7 ft,0,4
8,1,10:42.0,,Shooting foul by K. Thompson (drawn by K. Leonard),0,4
9,1,10:42.0,,K. Leonard makes free throw 1 of 1,0,5
10,1,10:33.0,S. Curry makes 2-pt jump shot from 20 ft,,2,5
11,1,10:07.0,,L. Aldridge misses 2-pt jump shot from 18 ft,2,5
12,1,10:07.0,Defensive rebound by A. Bogut,,2,5
13,1,10:00.0,S. Curry misses 3-pt jump shot from 25 ft,,2,5
14,1,9:59.0,,Defensive rebound by L. Aldridge,2,5
15,1,9:49.0,,Personal foul by S. Curry,2,5
16,1,9:35.0,,L. Aldridge makes 2-pt jump shot from 13 ft,2,7
17,1,9:18.0,H. Barnes misses 3-pt jump shot from 25 ft,,2,7
18,1,9:17.0,,Defensive rebound by D. West,2,7
19,1,9:04.0,,K. Leonard misses 3-pt jump shot from 23 ft,2,7
20,1,9:03.0,,Offensive rebound by L. Aldridge,2,7
21,1,8:59.0,,L. Aldridge misses 2-pt jump shot from 15 ft,2,7
22,1,8:58.0,Defensive rebound by D. Green,,2,7
23,1,8:43.0,Turnover by S. Curry (bad pass),,2,7
24,1,8:19.0,,D. Green misses 3-pt jump shot from 22 ft,2,7
25,1,8:17.0,,Offensive rebound by D. West,2,7
26,1,8:09.0,,K. Leonard misses 2-pt jump shot from 16 ft,2,7
27,1,8:08.0,Defensive rebound by H. Barnes,,2,7
28,1,8:01.0,Shooting foul by D. West (drawn by D. Green),,2,7
29,1,8:01.0,D. Green makes free throw 1 of 2,,3,7
30,1,8:01.0,D. Green makes free throw 2 of 2,,4,7
31,1,7:38.0,,D. Green misses 3-pt jump shot from 23 ft,4,7
32,1,7:38.0,,Offensive rebound by D. West,4,7
33,1,7:37.0,,Turnover by Team (shot clock),4,7
34,1,7:22.0,D. Green makes 2-pt jump shot from 4 ft (assist by A. Bogut),,6,7
35,1,7:08.0,,T. Parker misses 2-pt jump shot from 14 ft,6,7
36,1,7:07.0,Defensive rebound by D. Green,,6,7
37,1,7:01.0,Turnover by D. Green (bad pass; steal by D. West),,6,7
38,1,6:57.0,,D. West makes 2-pt dunk at rim,6,9
39,1,6:34.0,D. Green makes 2-pt layup from 1 ft,,8,9
40,1,6:34.0,Shooting foul by D. Green (drawn by D. Green),,8,9
41,1,6:34.0,D. Green misses free throw 1 of 1,,8,9
42,1,6:33.0,,Defensive rebound by K. Leonard,8,9
43,1,6:17.0,,L. Aldridge misses 2-pt layup from 1 ft (block by K. Thompson),8,9
44,1,6:16.0,Defensive rebound by D. Green,,8,9
45,1,6:06.0,S. Curry misses 2-pt jump shot from 15 ft,,8,9
46,1,6:05.0,,Defensive rebound by L. Aldridge,8,9
47,1,6:00.0,,San Antonio full timeout,8,9
48,1,6:00.0,,M. Ginóbili enters the game for D. Green,8,9
49,1,6:00.0,,P. Mills enters the game for T. Parker,8,9
50,1,6:00.0,A. Iguodala enters the game for H. Barnes,,8,9
51,1,5:56.0,,Personal foul by S. Curry,8,9
52,1,5:46.0,,L. Aldridge misses 2-pt jump shot from 17 ft,8,9
53,1,5:45.0,Defensive rebound by A. Bogut,,8,9
54,1,5:31.0,Personal foul by P. Mills,,8,9
55,1,5:22.0,S. Curry makes 3-pt jump shot from 24 ft,,11,9
56,1,5:03.0,,D. West misses 2-pt jump shot from 19 ft,11,9
57,1,5:02.0,,Offensive rebound by K. Leonard,11,9
58,1,5:02.0,,K. Leonard misses 2-pt layup at rim,11,9
59,1,5:02.0,,Offensive rebound by M. Ginóbili,11,9
60,1,5:02.0,,Personal foul by D. Green,11,9
61,1,4:56.0,,P. Mills makes 2-pt layup from 2 ft (assist by D. West),11,11
62,1,4:34.0,K. Thompson misses 2-pt jump shot from 3 ft,,11,11
63,1,4:33.0,,Defensive rebound by K. Leonard,11,11
64,1,4:17.0,,L. Aldridge makes 2-pt hook shot from 10 ft,11,13
65,1,4:07.0,Shooting foul by K. Leonard (drawn by S. Curry),,11,13
66,1,4:07.0,S. Curry makes free throw 1 of 2,,12,13
67,1,4:07.0,F. Ezeli enters the game for A. Bogut,,12,13
68,1,4:07.0,,D. Green enters the game for L. Aldridge,12,13
69,1,4:07.0,S. Curry makes free throw 2 of 2,,13,13
70,1,3:54.0,,P. Mills misses 2-pt jump shot from 9 ft,13,13
71,1,3:53.0,Defensive rebound by F. Ezeli,,13,13
72,1,3:48.0,S. Livingston enters the game for S. Curry,,13,13
73,1,3:48.0,H. Barnes enters the game for D. Green,,13,13
74,1,3:48.0,,K. Anderson enters the game for K. Leonard,13,13
75,1,3:41.0,S. Livingston misses 2-pt jump shot from 7 ft,,13,13
76,1,3:39.0,Offensive rebound by F. Ezeli,,13,13
77,1,3:37.0,Turnover by F. Ezeli (bad pass; steal by M. Ginóbili),,13,13
78,1,3:25.0,,Turnover by D. Green (lost ball; steal by A. Iguodala),13,13
79,1,3:08.0,H. Barnes misses 2-pt jump shot from 11 ft,,13,13
80,1,3:08.0,Offensive rebound by F. Ezeli,,13,13
