,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MEMPHIS_ACTION,LA LAKERS_SCORE,MEMPHIS_SCORE
0,1,11:35.0,,M. Barnes makes 3-pt jump shot from 23 ft (assist by M. Conley),0,3
1,1,11:19.0,K. Bryant makes 3-pt jump shot from 24 ft (assist by D. Russell),,3,3
2,1,11:07.0,,M. Barnes misses 3-pt jump shot from 25 ft,3,3
3,1,11:06.0,Defensive rebound by J. Randle,,3,3
4,1,10:57.0,Turnover by D. Russell (bad pass; steal by J. Green),,3,3
5,1,10:53.0,,J. Green makes 2-pt dunk at rim,3,5
6,1,10:41.0,Shooting foul by Z. Randolph (drawn by R. Hibbert),,3,5
7,1,10:41.0,R. Hibbert makes free throw 1 of 2,,4,5
8,1,10:41.0,R. Hibbert misses free throw 2 of 2,,4,5
9,1,10:40.0,,Defensive rebound by M. Barnes,4,5
10,1,10:23.0,,Z. Randolph misses 2-pt hook shot from 4 ft,4,5
11,1,10:21.0,,Offensive rebound by M. Barnes,4,5
12,1,10:21.0,,M. Barnes makes 2-pt layup from 2 ft,4,7
13,1,10:09.0,K. Bryant misses 3-pt jump shot from 24 ft,,4,7
14,1,10:07.0,,Defensive rebound by J. Green,4,7
15,1,10:00.0,,M. Conley misses 3-pt jump shot from 24 ft,4,7
16,1,9:59.0,Defensive rebound by J. Randle,,4,7
17,1,9:47.0,J. Randle misses 2-pt jump shot from 19 ft,,4,7
18,1,9:46.0,,Defensive rebound by Z. Randolph,4,7
19,1,9:37.0,,M. Conley makes 2-pt layup from 2 ft,4,9
20,1,9:14.0,K. Bryant misses 3-pt jump shot from 25 ft,,4,9
21,1,9:13.0,,Defensive rebound by M. Conley,4,9
22,1,8:59.0,,M. Barnes makes 3-pt jump shot from 24 ft (assist by Z. Randolph),4,12
23,1,8:40.0,K. Bryant misses 2-pt layup from 1 ft,,4,12
24,1,8:39.0,,Defensive rebound by M. Conley,4,12
25,1,8:35.0,,P. Hairston makes 3-pt jump shot from 23 ft (assist by M. Conley),4,15
26,1,8:26.0,LA Lakers full timeout,,4,15
27,1,8:06.0,J. Randle misses 2-pt hook shot from 5 ft,,4,15
28,1,8:04.0,,Defensive rebound by M. Barnes,4,15
29,1,8:02.0,,J. Green makes 2-pt layup from 2 ft (assist by M. Barnes),4,17
30,1,8:02.0,,Shooting foul by R. Hibbert (drawn by J. Green),4,17
31,1,8:02.0,,J. Green makes free throw 1 of 1,4,18
32,1,7:47.0,J. Clarkson makes 3-pt jump shot from 24 ft (assist by D. Russell),,7,18
33,1,7:35.0,,Shooting foul by J. Randle (drawn by P. Hairston),7,18
34,1,7:35.0,,P. Hairston makes free throw 1 of 2,7,19
35,1,7:35.0,,P. Hairston makes free throw 2 of 2,7,20
36,1,7:21.0,K. Bryant makes 2-pt jump shot from 20 ft (assist by D. Russell),,9,20
37,1,7:02.0,,M. Conley makes 2-pt layup from 2 ft,9,22
38,1,6:44.0,K. Bryant makes 2-pt jump shot from 14 ft,,11,22
39,1,6:33.0,,M. Barnes misses 3-pt jump shot from 26 ft,11,22
40,1,6:33.0,Defensive rebound by J. Randle,,11,22
41,1,6:20.0,K. Bryant misses 2-pt jump shot from 15 ft,,11,22
42,1,6:18.0,,Defensive rebound by J. Green,11,22
43,1,6:12.0,,P. Hairston misses 3-pt jump shot from 24 ft,11,22
44,1,6:10.0,,Offensive rebound by Team,11,22
45,1,6:10.0,L. Williams enters the game for D. Russell,,11,22
46,1,6:10.0,,M. Chalmers enters the game for M. Barnes,11,22
47,1,6:10.0,,Violation by Team (delay of game),11,22
48,1,5:51.0,,J. Green misses 2-pt layup from 2 ft (block by R. Hibbert),11,22
49,1,5:51.0,,Offensive rebound by Team,11,22
50,1,5:51.0,,Memphis full timeout,11,22
51,1,5:45.0,,Z. Randolph makes 2-pt jump shot from 16 ft,11,24
52,1,5:18.0,L. Williams makes 2-pt jump shot from 16 ft,,13,24
53,1,5:02.0,,J. Green misses 2-pt jump shot from 16 ft,13,24
54,1,5:01.0,Defensive rebound by J. Randle,,13,24
55,1,4:50.0,R. Hibbert misses 2-pt hook shot from 6 ft,,13,24
56,1,4:47.0,,Defensive rebound by Z. Randolph,13,24
57,1,4:40.0,,M. Conley misses 2-pt layup from 1 ft,13,24
58,1,4:36.0,Defensive rebound by R. Hibbert,,13,24
59,1,4:22.0,L. Williams misses 2-pt jump shot from 13 ft,,13,24
60,1,4:20.0,,Defensive rebound by P. Hairston,13,24
61,1,4:18.0,,J. Green makes 2-pt layup from 1 ft (assist by P. Hairston),13,26
62,1,4:18.0,,Shooting foul by J. Clarkson (drawn by J. Green),13,26
63,1,4:18.0,,L. Stephenson enters the game for M. Conley,13,26
64,1,4:18.0,B. Bass enters the game for R. Hibbert,,13,26
65,1,4:18.0,N. Young enters the game for K. Bryant,,13,26
66,1,4:18.0,,J. Green misses free throw 1 of 1,13,26
67,1,4:17.0,Defensive rebound by B. Bass,,13,26
68,1,3:55.0,J. Randle makes 2-pt layup from 2 ft,,15,26
69,1,3:42.0,,Z. Randolph misses 2-pt jump shot from 13 ft,15,26
70,1,3:42.0,Defensive rebound by J. Randle,,15,26
71,1,3:35.0,Shooting foul by J. Green (drawn by J. Randle),,15,26
72,1,3:35.0,J. Randle misses free throw 1 of 2,,15,26
73,1,3:35.0,Offensive rebound by Team,,15,26
74,1,3:35.0,,B. Wright enters the game for J. Green,15,26
75,1,3:35.0,,V. Carter enters the game for P. Hairston,15,26
76,1,3:35.0,J. Randle misses free throw 2 of 2,,15,26
77,1,3:34.0,,Defensive rebound by Z. Randolph,15,26
78,1,3:23.0,,Turnover by L. Stephenson (lost ball),15,26
79,1,3:08.0,Turnover by J. Randle (lost ball; steal by V. Carter),,15,26
80,1,3:01.0,,L. Stephenson makes 2-pt layup from 2 ft,15,28
81,1,2:51.0,L. Williams misses 2-pt jump shot from 19 ft,,15,28
82,1,2:50.0,,Defensive rebound by Z. Randolph,15,28
83,1,2:35.0,,Z. Randolph makes 2-pt jump shot from 6 ft (assist by V. Carter),15,30
84,1,2:28.0,LA Lakers full timeout,,15,30
85,1,2:28.0,L. Nance enters the game for J. Randle,,15,30
