,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BROOKLYN_ACTION,CHARLOTTE_SCORE,BROOKLYN_SCORE
0,1,11:44.0,,W. Ellington misses 2-pt jump shot from 6 ft,0,0
1,1,11:43.0,,Offensive rebound by W. Ellington,0,0
2,1,11:42.0,,W. Ellington makes 2-pt layup from 3 ft,0,2
3,1,11:19.0,C. Lee makes 2-pt jump shot from 9 ft,,2,2
4,1,11:01.0,,T. Young misses 2-pt hook shot from 8 ft,2,2
5,1,11:00.0,Defensive rebound by C. Zeller,,2,2
6,1,10:49.0,K. Walker misses 3-pt jump shot from 24 ft,,2,2
7,1,10:48.0,Offensive rebound by F. Kaminsky,,2,2
8,1,10:38.0,F. Kaminsky makes 3-pt jump shot from 22 ft (assist by K. Walker),,5,2
9,1,10:22.0,,Turnover by B. Lopez (bad pass; steal by K. Walker),5,2
10,1,10:11.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,5,2
11,1,10:10.0,,Defensive rebound by B. Bogdanović,5,2
12,1,9:49.0,,Shooting foul by C. Zeller (drawn by B. Lopez),5,2
13,1,9:49.0,,B. Lopez makes free throw 1 of 2,5,3
14,1,9:49.0,,B. Lopez makes free throw 2 of 2,5,4
15,1,9:29.0,F. Kaminsky makes 2-pt jump shot from 13 ft,,7,4
16,1,9:14.0,,B. Lopez makes 2-pt jump shot from 15 ft,7,6
17,1,9:01.0,N. Batum misses 3-pt jump shot from 23 ft,,7,6
18,1,8:59.0,,Defensive rebound by D. Sloan,7,6
19,1,8:44.0,,T. Young misses 2-pt jump shot from 15 ft,7,6
20,1,8:43.0,Defensive rebound by C. Zeller,,7,6
21,1,8:26.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by N. Batum),,10,6
22,1,8:13.0,,Turnover by T. Young (bad pass),10,6
23,1,7:57.0,C. Zeller misses 2-pt jump shot from 14 ft,,10,6
24,1,7:56.0,,Defensive rebound by D. Sloan,10,6
25,1,7:46.0,,B. Lopez misses 2-pt jump shot from 9 ft,10,6
26,1,7:45.0,Defensive rebound by C. Lee,,10,6
27,1,7:30.0,K. Walker misses 3-pt jump shot from 25 ft,,10,6
28,1,7:29.0,,Defensive rebound by T. Young,10,6
29,1,7:19.0,,T. Young makes 2-pt layup from 3 ft (assist by D. Sloan),10,8
30,1,7:00.0,Personal foul by B. Bogdanović,,10,8
31,1,6:48.0,F. Kaminsky misses 2-pt jump shot from 17 ft,,10,8
32,1,6:47.0,,Defensive rebound by B. Bogdanović,10,8
33,1,6:35.0,,D. Sloan misses 3-pt jump shot from 23 ft,10,8
34,1,6:34.0,Defensive rebound by F. Kaminsky,,10,8
35,1,6:25.0,C. Zeller makes 2-pt dunk at rim (assist by K. Walker),,12,8
36,1,6:03.0,,T. Young misses 2-pt layup from 2 ft (block by F. Kaminsky),12,8
37,1,6:02.0,,Offensive rebound by T. Young,12,8
38,1,6:01.0,,T. Young misses 2-pt layup from 3 ft,12,8
39,1,5:59.0,Defensive rebound by C. Zeller,,12,8
40,1,5:40.0,F. Kaminsky makes 2-pt jump shot from 5 ft,,14,8
41,1,5:33.0,,Brooklyn full timeout,14,8
42,1,5:33.0,A. Jefferson enters the game for C. Zeller,,14,8
43,1,5:33.0,,R. Hollis-Jefferson enters the game for W. Ellington,14,8
44,1,5:33.0,J. Lin enters the game for C. Lee,,14,8
45,1,5:25.0,,B. Lopez makes 2-pt jump shot from 19 ft (assist by D. Sloan),14,10
46,1,5:06.0,N. Batum makes 2-pt layup from 1 ft (assist by A. Jefferson),,16,10
47,1,4:47.0,,D. Sloan misses 2-pt jump shot from 19 ft,16,10
48,1,4:46.0,Defensive rebound by K. Walker,,16,10
49,1,4:25.0,F. Kaminsky misses 2-pt jump shot from 15 ft,,16,10
50,1,4:24.0,,Defensive rebound by T. Young,16,10
51,1,4:18.0,,Turnover by T. Young (bad pass),16,10
52,1,3:59.0,Personal foul by R. Hollis-Jefferson,,16,10
53,1,3:48.0,J. Lin misses 2-pt jump shot from 14 ft,,16,10
54,1,3:47.0,,Defensive rebound by B. Lopez,16,10
55,1,3:41.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,16,10
56,1,3:39.0,Defensive rebound by F. Kaminsky,,16,10
57,1,3:30.0,J. Lin makes 2-pt layup from 3 ft,,18,10
58,1,3:18.0,,T. Young makes 2-pt layup from 1 ft,18,12
59,1,3:03.0,A. Jefferson misses 2-pt jump shot from 8 ft,,18,12
60,1,3:02.0,,Defensive rebound by B. Bogdanović,18,12
61,1,2:42.0,,Turnover by T. Young (lost ball),18,12
62,1,2:42.0,Charlotte full timeout,,18,12
63,1,2:42.0,C. Lee enters the game for N. Batum,,18,12
64,1,2:42.0,S. Hawes enters the game for F. Kaminsky,,18,12
65,1,2:26.0,C. Lee makes 3-pt jump shot from 26 ft (assist by A. Jefferson),,21,12
66,1,2:14.0,,Personal foul by C. Lee,21,12
67,1,2:14.0,,M. Brown enters the game for B. Bogdanović,21,12
68,1,2:05.0,,R. Hollis-Jefferson makes 2-pt jump shot from 17 ft (assist by B. Lopez),21,14
69,1,1:41.0,C. Lee misses 3-pt jump shot from 23 ft,,21,14
70,1,1:39.0,,Defensive rebound by M. Brown,21,14
71,1,1:22.0,,R. Hollis-Jefferson misses 3-pt jump shot from 24 ft,21,14
72,1,1:21.0,Defensive rebound by S. Hawes,,21,14
73,1,1:03.0,J. Lin makes 2-pt layup from 2 ft (assist by C. Lee),,23,14
74,1,0:46.0,,Turnover by M. Brown (lost ball; steal by C. Lee),23,14
75,1,0:42.0,J. Lin makes 2-pt layup from 2 ft (assist by C. Lee),,25,14
76,1,0:42.0,,Brooklyn full timeout,25,14
77,1,0:42.0,,S. Larkin enters the game for D. Sloan,25,14
78,1,0:32.0,,M. Brown misses 3-pt jump shot from 26 ft,25,14
79,1,0:31.0,Defensive rebound by S. Hawes,,25,14
80,1,0:16.0,K. Walker misses 2-pt jump shot from 20 ft,,25,14
81,1,0:15.0,,Defensive rebound by M. Brown,25,14
82,1,0:02.0,,Turnover by T. Young (bad pass; steal by C. Lee),25,14
83,2,11:48.0,Personal foul by S. Kilpatrick,,25,14
84,2,11:48.0,J. Lamb misses free throw 1 of 2,,25,14
85,2,11:48.0,Offensive rebound by Team,,25,14
86,2,11:48.0,J. Lamb makes free throw 2 of 2,,26,14
87,2,11:33.0,,M. Brown misses 3-pt jump shot from 24 ft,26,14
88,2,11:32.0,Defensive rebound by C. Lee,,26,14
89,2,11:22.0,J. Lamb misses 3-pt jump shot from 25 ft,,26,14
90,2,11:21.0,,Defensive rebound by T. Robinson,26,14
91,2,11:08.0,,S. Kilpatrick makes 2-pt jump shot from 10 ft,26,16
92,2,10:53.0,Personal foul by H. Sims,,26,16
93,2,10:45.0,S. Hawes misses 3-pt jump shot from 24 ft,,26,16
94,2,10:44.0,,Defensive rebound by M. Brown,26,16
95,2,10:31.0,,H. Sims misses 2-pt jump shot from 17 ft,26,16
96,2,10:30.0,Defensive rebound by J. Lamb,,26,16
97,2,10:26.0,Turnover by J. Lamb (bad pass; steal by M. Brown),,26,16
98,2,10:25.0,,Personal foul by C. Lee,26,16
99,2,10:12.0,,S. Kilpatrick makes 2-pt jump shot from 19 ft (assist by S. Larkin),26,18
100,2,9:55.0,S. Hawes makes 2-pt layup from 2 ft (assist by A. Jefferson),,28,18
101,2,9:40.0,,T. Robinson misses 2-pt layup from 1 ft,28,18
102,2,9:39.0,Defensive rebound by J. Lin,,28,18
103,2,9:28.0,Turnover by S. Hawes (bad pass),,28,18
104,2,9:14.0,Violation by S. Hawes (kicked ball),,28,18
105,2,9:14.0,,Personal foul by J. Lamb,28,18
106,2,9:05.0,,M. Brown misses 2-pt jump shot from 19 ft,28,18
107,2,9:04.0,Defensive rebound by C. Lee,,28,18
108,2,8:50.0,J. Lin misses 3-pt jump shot from 24 ft,,28,18
109,2,8:49.0,,Defensive rebound by H. Sims,28,18
110,2,8:39.0,,Shooting foul by A. Jefferson (drawn by M. Brown),28,18
111,2,8:39.0,Official timeout,,28,18
112,2,8:39.0,,M. Brown makes free throw 1 of 2,28,19
113,2,8:39.0,,M. Brown makes free throw 2 of 2,28,20
114,2,8:37.0,Personal foul by T. Robinson,,28,20
115,2,8:17.0,A. Jefferson misses 2-pt jump shot from 17 ft,,28,20
116,2,8:16.0,,Defensive rebound by T. Robinson,28,20
117,2,8:07.0,,Offensive foul by H. Sims (drawn by S. Hawes),28,20
118,2,8:07.0,,Turnover by H. Sims (offensive foul),28,20
119,2,8:07.0,C. Zeller enters the game for A. Jefferson,,28,20
120,2,7:57.0,C. Lee misses 2-pt jump shot from 15 ft,,28,20
121,2,7:56.0,,Defensive rebound by H. Sims,28,20
122,2,7:44.0,,Shooting foul by S. Hawes (drawn by T. Robinson),28,20
123,2,7:44.0,,T. Robinson misses free throw 1 of 2,28,20
124,2,7:44.0,,Offensive rebound by Team,28,20
125,2,7:44.0,,T. Robinson misses free throw 2 of 2,28,20
126,2,7:44.0,Defensive rebound by C. Lee,,28,20
127,2,7:30.0,C. Zeller makes 2-pt layup from 1 ft (assist by J. Lin),,30,20
128,2,7:14.0,,S. Larkin misses 2-pt jump shot from 16 ft,30,20
129,2,7:13.0,Defensive rebound by C. Zeller,,30,20
130,2,7:01.0,C. Lee misses 3-pt jump shot from 24 ft,,30,20
131,2,7:00.0,Offensive rebound by J. Lamb,,30,20
132,2,6:58.0,J. Lamb makes 2-pt layup from 1 ft,,32,20
133,2,6:49.0,,Personal foul by J. Lamb,32,20
134,2,6:49.0,,S. Kilpatrick makes free throw 1 of 2,32,21
135,2,6:49.0,N. Batum enters the game for C. Lee,,32,21
136,2,6:49.0,,B. Lopez enters the game for H. Sims,32,21
137,2,6:49.0,,S. Kilpatrick makes free throw 2 of 2,32,22
138,2,6:24.0,J. Lin makes 3-pt jump shot from 26 ft,,35,22
139,2,6:07.0,,S. Kilpatrick makes 2-pt jump shot from 8 ft (assist by B. Lopez),35,24
140,2,5:52.0,C. Zeller makes 2-pt layup from 2 ft (assist by J. Lin),,37,24
141,2,5:26.0,,S. Kilpatrick makes 3-pt jump shot from 24 ft (assist by B. Lopez),37,27
142,2,5:15.0,J. Lin misses 2-pt jump shot from 19 ft,,37,27
143,2,5:14.0,,Defensive rebound by M. Brown,37,27
144,2,5:03.0,,Turnover by B. Lopez (step out of bounds),37,27
145,2,5:03.0,,Brooklyn full timeout,37,27
146,2,5:03.0,F. Kaminsky enters the game for S. Hawes,,37,27
147,2,5:03.0,K. Walker enters the game for J. Lamb,,37,27
148,2,5:03.0,,B. Bogdanović enters the game for M. Brown,37,27
149,2,4:48.0,N. Batum misses 2-pt jump shot from 23 ft,,37,27
150,2,4:47.0,,Defensive rebound by T. Robinson,37,27
151,2,4:35.0,,S. Kilpatrick misses 2-pt jump shot from 8 ft,37,27
152,2,4:34.0,Defensive rebound by F. Kaminsky,,37,27
153,2,4:19.0,J. Lin misses 2-pt jump shot from 5 ft,,37,27
154,2,4:18.0,,Defensive rebound by S. Larkin,37,27
155,2,4:12.0,,S. Kilpatrick makes 3-pt jump shot from 23 ft (assist by S. Larkin),37,30
156,2,3:53.0,K. Walker misses 2-pt jump shot from 18 ft,,37,30
157,2,3:52.0,,Defensive rebound by T. Robinson,37,30
158,2,3:36.0,,Shooting foul by C. Zeller (drawn by B. Lopez),37,30
159,2,3:36.0,,B. Lopez makes free throw 1 of 2,37,31
160,2,3:36.0,,T. Young enters the game for T. Robinson,37,31
161,2,3:36.0,C. Lee enters the game for J. Lin,,37,31
162,2,3:36.0,,B. Lopez makes free throw 2 of 2,37,32
163,2,3:15.0,N. Batum makes 2-pt jump shot from 16 ft,,39,32
164,2,3:04.0,,Turnover by S. Larkin (lost ball; steal by C. Lee),39,32
165,2,2:54.0,N. Batum makes 3-pt jump shot from 23 ft (assist by C. Lee),,42,32
166,2,2:54.0,,Brooklyn full timeout,42,32
167,2,2:54.0,,D. Sloan enters the game for S. Larkin,42,32
168,2,2:54.0,,W. Ellington enters the game for S. Kilpatrick,42,32
169,2,2:54.0,A. Jefferson enters the game for C. Zeller,,42,32
170,2,2:38.0,,B. Lopez makes 2-pt jump shot from 5 ft,42,34
171,2,2:12.0,N. Batum misses 3-pt jump shot from 26 ft,,42,34
172,2,2:11.0,,Defensive rebound by W. Ellington,42,34
173,2,2:02.0,,W. Ellington misses 3-pt jump shot from 24 ft,42,34
174,2,2:01.0,Defensive rebound by A. Jefferson,,42,34
175,2,1:45.0,A. Jefferson makes 2-pt jump shot from 16 ft (assist by K. Walker),,44,34
176,2,1:32.0,,B. Bogdanović misses 2-pt jump shot from 8 ft (block by F. Kaminsky),44,34
177,2,1:30.0,,Offensive rebound by B. Lopez,44,34
178,2,1:24.0,,B. Bogdanović misses 2-pt jump shot from 23 ft,44,34
179,2,1:24.0,Defensive rebound by A. Jefferson,,44,34
180,2,1:17.0,Turnover by K. Walker (bad pass),,44,34
181,2,1:02.0,,D. Sloan misses 2-pt layup from 2 ft,44,34
