,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,GOLDEN STATE_ACTION,SAN ANTONIO_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,L. Aldridge misses 3-pt jump shot from 23 ft,,0,0
1,1,11:44.0,,Defensive rebound by K. Thompson,0,0
2,1,11:30.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),0,2
3,1,11:17.0,T. Parker makes 2-pt jump shot from 18 ft (assist by D. Green),,2,2
4,1,11:03.0,,S. Curry misses 3-pt jump shot from 24 ft,2,2
5,1,11:02.0,,Offensive rebound by A. Bogut,2,2
6,1,10:57.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by A. Bogut),2,4
7,1,10:45.0,T. Parker misses 2-pt jump shot from 21 ft,,2,4
8,1,10:44.0,,Defensive rebound by D. Green,2,4
9,1,10:22.0,,K. Thompson misses 3-pt jump shot from 24 ft,2,4
10,1,10:21.0,Defensive rebound by D. West,,2,4
11,1,10:10.0,Shooting foul by H. Barnes (drawn by K. Leonard),,2,4
12,1,10:10.0,K. Leonard makes free throw 1 of 2,,3,4
13,1,10:10.0,K. Leonard makes free throw 2 of 2,,4,4
14,1,9:55.0,,A. Bogut makes 2-pt layup from 1 ft (assist by K. Thompson),4,6
15,1,9:33.0,D. West misses 2-pt jump shot from 14 ft,,4,6
16,1,9:32.0,,Defensive rebound by D. Green,4,6
17,1,9:16.0,,H. Barnes misses 3-pt jump shot from 23 ft,4,6
18,1,9:15.0,Defensive rebound by T. Parker,,4,6
19,1,9:04.0,Turnover by D. West (bad pass),,4,6
20,1,8:51.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by A. Bogut),4,9
21,1,8:43.0,T. Parker misses 2-pt jump shot from 3 ft (block by A. Bogut),,4,9
22,1,8:41.0,,Defensive rebound by K. Thompson,4,9
23,1,8:33.0,,K. Thompson misses 2-pt jump shot from 21 ft,4,9
24,1,8:32.0,Defensive rebound by K. Leonard,,4,9
25,1,8:22.0,D. Green misses 2-pt dunk at rim,,4,9
26,1,8:22.0,Offensive rebound by D. Green,,4,9
27,1,8:16.0,T. Parker makes 3-pt jump shot from 23 ft (assist by D. Green),,7,9
28,1,8:07.0,,K. Thompson misses 3-pt jump shot from 26 ft,7,9
29,1,8:07.0,Defensive rebound by K. Leonard,,7,9
30,1,8:01.0,Turnover by K. Leonard (bad pass; steal by S. Curry),,7,9
31,1,7:55.0,,S. Curry makes 2-pt layup from 1 ft,7,11
32,1,7:55.0,San Antonio full timeout,,7,11
33,1,7:37.0,Turnover by K. Leonard (bad pass; steal by S. Curry),,7,11
34,1,7:37.0,,Personal foul by T. Parker (drawn by S. Curry),7,11
35,1,7:23.0,,S. Curry makes 3-pt jump shot from 26 ft,7,14
36,1,7:03.0,D. West makes 2-pt jump shot from 19 ft (assist by T. Parker),,9,14
37,1,6:53.0,,H. Barnes makes 2-pt jump shot from 15 ft (assist by S. Curry),9,16
38,1,6:33.0,D. Green makes 3-pt jump shot from 24 ft (assist by D. West),,12,16
39,1,6:22.0,,S. Curry misses 2-pt layup from 2 ft,12,16
40,1,6:21.0,Defensive rebound by D. West,,12,16
41,1,6:14.0,Turnover by T. Parker (bad pass; steal by S. Curry),,12,16
42,1,6:10.0,,Shooting foul by D. West (drawn by S. Curry),12,16
43,1,6:10.0,,S. Curry makes free throw 1 of 2,12,17
44,1,6:10.0,M. Ginóbili enters the game for D. Green,,12,17
45,1,6:10.0,B. Diaw enters the game for D. West,,12,17
46,1,6:10.0,,A. Iguodala enters the game for H. Barnes,12,17
47,1,6:10.0,,S. Curry makes free throw 2 of 2,12,18
48,1,5:56.0,Turnover by L. Aldridge (lost ball; steal by A. Bogut),,12,18
49,1,5:50.0,,A. Iguodala makes 2-pt dunk at rim (assist by S. Curry),12,20
50,1,5:33.0,Personal foul by A. Bogut (drawn by B. Diaw),,12,20
51,1,5:30.0,T. Parker misses 2-pt jump shot from 15 ft,,12,20
52,1,5:29.0,,Defensive rebound by D. Green,12,20
53,1,5:11.0,,D. Green misses 3-pt jump shot from 25 ft,12,20
54,1,5:10.0,Defensive rebound by M. Ginóbili,,12,20
55,1,5:02.0,Turnover by M. Ginóbili (bad pass),,12,20
56,1,5:02.0,P. Mills enters the game for T. Parker,,12,20
57,1,4:47.0,,Turnover by A. Iguodala (traveling),12,20
58,1,4:47.0,,F. Ezeli enters the game for A. Bogut,12,20
59,1,4:36.0,L. Aldridge misses 2-pt jump shot from 18 ft,,12,20
60,1,4:35.0,,Defensive rebound by S. Curry,12,20
61,1,4:22.0,,Turnover by D. Green (bad pass; steal by K. Leonard),12,20
