,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MINNESOTA_ACTION,MEMPHIS_SCORE,MINNESOTA_SCORE
0,1,11:42.0,M. Conley misses 2-pt jump shot from 7 ft,,0,0
1,1,11:41.0,,Defensive rebound by Z. LaVine,0,0
2,1,11:23.0,,Z. LaVine misses 2-pt layup from 2 ft,0,0
3,1,11:22.0,Defensive rebound by Z. Randolph,,0,0
4,1,11:03.0,Turnover by Z. Randolph (lost ball; steal by K. Garnett),,0,0
5,1,10:58.0,,Z. LaVine makes 2-pt dunk at rim (assist by K. Garnett),0,2
6,1,10:34.0,Personal foul by Z. LaVine (drawn by M. Conley),,0,2
7,1,10:29.0,Personal foul by K. Garnett (drawn by Z. Randolph),,0,2
8,1,10:20.0,J. Green makes 2-pt layup from 1 ft,,2,2
9,1,9:59.0,,Z. LaVine misses 2-pt jump shot from 18 ft,2,2
10,1,9:58.0,Defensive rebound by M. Gasol,,2,2
11,1,9:52.0,M. Gasol makes 2-pt jump shot from 20 ft (assist by M. Conley),,4,2
12,1,9:31.0,,K. Towns misses 2-pt jump shot from 21 ft,4,2
13,1,9:30.0,,Offensive rebound by Z. LaVine,4,2
14,1,9:29.0,,Z. LaVine makes 2-pt hook shot from 5 ft,4,4
15,1,9:19.0,Personal foul by Z. LaVine (drawn by M. Conley),,4,4
16,1,9:19.0,,A. Miller enters the game for Z. LaVine,4,4
17,1,9:13.0,Turnover by M. Conley (bad pass; steal by T. Prince),,4,4
18,1,8:54.0,,K. Towns misses 2-pt hook shot at rim,4,4
19,1,8:53.0,Defensive rebound by Team,,4,4
20,1,8:30.0,M. Conley makes 3-pt jump shot from 24 ft (assist by J. Green),,7,4
21,1,8:15.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by A. Miller),7,7
22,1,8:01.0,T. Allen misses 3-pt jump shot from 22 ft,,7,7
23,1,8:00.0,,Defensive rebound by K. Garnett,7,7
24,1,7:56.0,,Shooting foul by T. Allen (drawn by A. Wiggins),7,7
25,1,7:56.0,,A. Wiggins makes free throw 1 of 2,7,8
26,1,7:56.0,,A. Wiggins makes free throw 2 of 2,7,9
27,1,7:33.0,T. Allen makes 2-pt jump shot from 9 ft,,9,9
28,1,7:15.0,,Shooting foul by Z. Randolph (drawn by K. Towns),9,9
29,1,7:15.0,,K. Towns makes free throw 1 of 2,9,10
30,1,7:15.0,,K. Towns makes free throw 2 of 2,9,11
31,1,6:59.0,Personal foul by K. Towns (drawn by M. Gasol),,9,11
32,1,6:47.0,Turnover by M. Gasol (bad pass; steal by A. Wiggins),,9,11
33,1,6:43.0,,A. Wiggins makes 2-pt dunk at rim,9,13
34,1,6:41.0,Memphis full timeout,,9,13
35,1,6:41.0,C. Lee enters the game for T. Allen,,9,13
36,1,6:21.0,,Violation by A. Wiggins (kicked ball),9,13
37,1,6:10.0,M. Conley makes 3-pt jump shot from 24 ft,,12,13
38,1,5:53.0,,A. Wiggins misses 2-pt jump shot from 21 ft,12,13
39,1,5:52.0,Defensive rebound by M. Gasol,,12,13
40,1,5:49.0,Offensive foul by J. Green (drawn by A. Wiggins),,12,13
41,1,5:49.0,Turnover by J. Green (offensive foul),,12,13
42,1,5:28.0,,T. Prince misses 2-pt jump shot from 12 ft,12,13
