,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,UTAH_ACTION,CLEVELAND_SCORE,UTAH_SCORE
0,1,11:44.0,K. Irving makes 3-pt jump shot from 24 ft (assist by L. James),,3,0
1,1,11:29.0,,D. Favors makes 2-pt dunk at rim (assist by R. Gobert),3,2
2,1,11:12.0,K. Love misses 3-pt jump shot from 22 ft,,3,2
3,1,11:12.0,,Defensive rebound by R. Gobert,3,2
4,1,11:02.0,,S. Mack misses 3-pt jump shot from 24 ft,3,2
5,1,11:01.0,Defensive rebound by K. Love,,3,2
6,1,10:50.0,Turnover by L. James (bad pass),,3,2
7,1,10:36.0,,R. Hood misses 3-pt jump shot from 25 ft,3,2
8,1,10:36.0,Defensive rebound by L. James,,3,2
9,1,10:22.0,L. James makes 2-pt layup from 2 ft,,5,2
10,1,10:07.0,,D. Favors misses 2-pt jump shot from 17 ft,5,2
11,1,10:07.0,Defensive rebound by K. Love,,5,2
12,1,9:54.0,K. Love misses 2-pt layup from 2 ft (block by D. Favors),,5,2
13,1,9:54.0,Offensive rebound by Team,,5,2
14,1,9:49.0,T. Mozgov makes 2-pt dunk at rim (assist by K. Love),,7,2
15,1,9:29.0,,S. Mack makes 2-pt jump shot from 11 ft,7,4
16,1,9:15.0,K. Irving misses 2-pt jump shot from 9 ft,,7,4
17,1,9:15.0,,Defensive rebound by D. Favors,7,4
18,1,9:00.0,,R. Hood misses 3-pt jump shot from 24 ft,7,4
19,1,8:59.0,Defensive rebound by K. Love,,7,4
20,1,8:40.0,L. James makes 2-pt jump shot from 12 ft,,9,4
21,1,8:26.0,,Turnover by J. Ingles (bad pass; steal by K. Irving),9,4
22,1,8:21.0,L. James makes 2-pt dunk at rim (assist by J. Smith),,11,4
23,1,8:01.0,,D. Favors makes 2-pt layup from 1 ft,11,6
24,1,7:38.0,Shooting foul by R. Gobert (drawn by K. Love),,11,6
25,1,7:38.0,K. Love makes free throw 1 of 2,,12,6
26,1,7:38.0,K. Love makes free throw 2 of 2,,13,6
27,1,7:16.0,,S. Mack makes 3-pt jump shot from 24 ft,13,9
28,1,7:00.0,K. Love misses 3-pt jump shot from 24 ft,,13,9
29,1,6:59.0,,Defensive rebound by S. Mack,13,9
